ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,19,16,25,17,15,22,17,17,11,13,8,20,22,12,15,19,10,11,24,12,17,13,14,21,17,20,24,17,18,29,17,12,15,20,19,20
1,13,18,19,25,17,15,24,16,16,15,12,6,20,21,12,17,20,11,13,22,13,16,14,13,19,17,20,24,19,19,14,17,13,12,19,19
2,16,13,19,17,23,17,14,26,13,20,13,11,6,19,21,11,19,21,11,13,22,15,15,11,10,22,18,20,23,21,22,15,16,11,10,22
3,36,17,13,18,19,24,19,15,23,14,17,13,11,5,19,22,11,17,22,13,14,21,15,15,14,11,22,19,18,23,14,21,15,17,14,11
4,16,35,17,14,17,18,23,18,15,23,13,17,13,9,5,19,24,13,17,23,15,14,21,15,17,15,12,24,16,17,16,14,21,16,17,15
5,18,17,35,16,13,18,19,24,18,14,24,12,20,13,8,8,20,25,12,18,22,15,14,21,16,18,15,13,25,17,21,17,14,22,16,20
6,20,19,16,36,16,14,20,20,24,19,15,25,12,20,12,8,8,20,25,13,16,21,14,13,21,14,18,14,12,25,15,20,16,13,23,15
7,25,20,19,16,36,17,14,19,20,24,17,15,25,12,20,14,8,7,20,23,14,17,20,14,17,23,17,17,16,13,14,17,20,15,16,24
8,24,26,19,18,18,36,20,17,21,19,24,16,15,24,12,20,15,9,7,19,20,15,18,21,14,16,23,17,17,15,22,15,17,20,14,16
9,32,28,25,19,20,16,34,18,16,21,19,22,16,16,24,11,21,16,9,8,19,21,14,17,24,16,17,25,17,18,19,22,15,20,23,15
10,20,32,27,26,19,18,17,35,21,17,18,19,22,15,16,23,11,20,17,9,8,19,21,14,18,24,16,17,26,17,8,19,22,14,20,23
11,26,21,31,27,26,19,19,16,34,19,15,19,20,23,14,13,24,12,20,18,9,9,19,22,14,19,25,17,16,26,10,9,19,17,14,21
