ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,30,40,22,27,22,45,31,30,24,35,22,33,28,28,38,32,21,33,21,20,25,21,22,18,23,19,23,20,20,20,23,21,21,19,23,19
1,31,32,42,21,28,25,43,33,29,26,35,22,31,29,27,36,32,21,35,22,19,24,21,22,16,24,18,24,21,19,20,23,21,22,17,23
2,40,32,32,39,20,28,26,50,33,27,21,34,23,30,29,27,36,30,21,35,23,19,25,21,21,15,23,18,22,21,21,21,24,21,21,16
3,17,44,31,30,39,19,28,22,47,34,27,21,33,24,30,29,27,35,31,21,34,23,21,25,20,22,15,22,18,21,32,21,22,24,20,23
4,41,20,41,30,33,40,19,27,24,47,30,26,22,32,26,29,29,27,35,31,19,33,23,21,25,21,24,17,20,18,19,31,21,22,25,21
5,42,44,19,50,30,37,40,20,26,24,44,29,26,22,32,25,28,29,27,35,32,19,30,23,20,27,21,23,17,21,31,19,30,21,21,26
6,39,45,42,19,45,28,30,38,20,27,24,43,29,27,22,30,27,27,28,26,34,33,19,30,23,21,27,21,21,16,36,32,19,30,21,22
7,50,39,46,44,21,47,31,32,39,20,27,24,43,27,27,22,29,28,27,27,26,33,34,19,29,22,21,28,22,21,28,35,33,19,29,21
8,45,53,42,44,44,19,46,30,33,40,19,27,24,43,27,28,22,29,29,27,27,26,35,34,19,31,23,21,27,21,27,28,36,33,19,31
9,44,44,53,40,47,42,21,46,29,32,39,19,27,23,42,26,27,22,29,30,26,27,26,35,34,19,32,25,23,27,26,27,28,36,33,19
10,51,44,45,55,41,46,42,22,47,29,33,39,17,25,24,42,26,27,22,30,29,28,28,26,34,34,19,32,24,23,26,29,28,28,35,33
11,40,50,45,44,55,42,45,41,22,48,30,30,39,17,25,24,42,25,26,22,30,29,28,28,27,35,34,19,31,23,28,26,28,28,29,36
12,46,37,48,47,42,53,41,46,40,22,45,30,31,39,17,25,25,43,25,26,22,27,29,28,28,27,35,34,19,31,21,27,26,28,28,29
13,40,44,41,47,46,42,54,42,45,39,22,45,30,31,39,18,25,25,43,24,26,22,27,29,28,28,27,36,34,19,27,21,27,26,28,28
14,49,42,46,41,49,49,40,53,42,48,39,22,44,30,31,39,18,25,25,43,24,28,22,27,29,29,29,27,33,34,27,28,21,27,27,29
15,53,49,42,47,39,44,47,40,52,44,45,39,21,43,32,31,39,18,26,24,44,24,28,22,28,29,29,30,28,33,44,27,28,21,28,27
16,50,56,51,42,44,40,46,46,44,52,44,45,39,21,42,32,31,39,18,26,22,44,24,28,22,29,29,28,30,28,21,44,27,28,21,28
17,47,47,56,48,44,43,41,45,48,42,53,44,45,39,21,41,32,31,38,18,26,22,43,25,28,22,29,28,26,30,25,21,43,27,28,21
18,36,48,50,53,47,42,47,43,46,49,42,53,44,45,40,21,40,32,31,37,16,26,22,43,25,28,22,29,27,26,18,25,21,43,27,28
19,45,36,45,45,56,49,42,46,46,45,49,39,53,44,45,40,21,39,32,31,37,18,25,22,42,26,28,20,27,26,36,20,25,21,42,28
20,57,46,35,46,47,56,50,41,44,44,45,48,39,53,44,43,42,21,42,31,31,37,17,24,23,43,25,30,21,27,31,36,19,25,22,44
21,50,59,46,34,47,45,52,48,42,39,41,44,48,42,56,44,42,42,21,42,33,31,37,17,23,24,44,26,29,21,30,31,36,19,24,23
22,43,49,59,44,36,48,45,55,48,41,39,38,42,47,44,54,45,43,41,21,40,32,30,38,18,24,25,45,24,27,36,29,32,38,20,25
23,42,39,52,59,45,42,46,44,54,48,43,41,39,41,47,43,55,42,42,41,21,39,33,31,39,19,24,24,46,24,21,36,30,32,37,21
24,40,37,42,50,50,44,38,45,47,52,45,42,42,36,39,49,43,54,41,41,41,17,41,31,30,40,19,25,24,47,40,17,37,29,31,39
25,40,38,39,38,51,52,45,39,46,43,50,42,40,41,40,38,50,40,58,41,41,41,18,43,30,31,42,21,24,26,37,41,18,38,28,32
26,33,43,36,38,38,52,51,43,39,48,42,47,43,41,40,42,39,47,41,57,40,42,45,20,44,31,33,41,22,24,39,39,44,21,39,29
27,38,35,40,40,38,38,48,51,39,39,48,43,49,39,42,39,41,40,48,40,57,44,44,45,20,41,32,32,42,21,58,42,41,45,22,38
28,25,38,35,38,39,40,38,47,50,43,38,46,42,48,38,43,40,41,40,45,39,57,43,39,45,18,43,34,30,41,41,57,41,38,45,20
29,33,29,39,36,38,40,43,35,46,49,39,33,44,41,48,39,41,42,41,40,45,39,54,43,40,45,19,40,32,31,45,40,54,41,37,45
30,31,37,27,41,33,35,38,40,34,47,51,40,33,42,40,46,39,39,41,42,42,47,37,53,42,40,45,20,39,32,41,45,38,52,41,37
31,42,31,36,28,42,36,33,38,40,33,46,51,41,33,44,38,46,41,40,40,40,41,49,38,47,40,40,43,20,39,40,41,47,38,47,40
32,38,43,33,36,30,42,35,33,38,40,34,47,48,40,33,44,35,46,40,40,35,37,42,47,36,47,39,39,43,20,39,37,40,46,37,47
33,43,38,42,30,33,28,41,35,35,42,41,34,47,51,41,33,42,35,47,39,39,35,36,44,44,34,48,40,35,40,43,39,36,42,44,35
34,51,38,36,42,31,37,29,40,34,32,38,41,34,47,52,40,36,42,39,46,39,38,38,36,39,43,34,48,40,35,40,42,40,34,39,42
35,31,53,38,36,42,30,34,27,41,35,33,39,41,35,47,51,37,37,41,39,44,40,36,40,34,38,44,33,48,37,46,40,41,42,33,39
36,36,30,52,36,36,40,29,35,31,41,33,33,38,39,37,47,51,37,36,40,39,47,40,36,41,34,38,42,33,47,39,47,40,41,43,33
37,23,34,31,51,35,38,42,28,34,31,41,33,33,38,39,37,45,51,35,36,40,39,47,40,37,45,34,36,43,32,40,39,47,40,41,46
38,23,25,34,32,51,35,35,43,30,35,30,41,34,33,37,39,36,44,51,35,36,41,38,46,41,39,44,34,37,43,36,41,38,46,40,42
39,23,25,24,35,32,54,36,35,43,28,35,30,40,35,33,37,39,36,44,51,35,36,41,38,45,40,41,44,31,39,35,36,41,38,45,40
40,35,19,23,24,33,32,56,33,34,41,26,35,29,38,36,35,37,39,36,43,49,36,38,41,37,45,39,43,42,32,47,36,38,41,36,45
41,39,36,18,26,24,37,30,54,33,34,43,27,35,28,36,36,35,36,40,37,42,49,36,38,42,38,45,38,40,42,41,48,36,37,41,38
42,39,41,35,20,25,24,35,29,55,34,33,42,27,35,27,36,36,35,36,39,36,42,49,37,38,41,38,42,36,42,36,41,48,36,36,41
43,39,37,42,35,18,26,23,36,30,52,34,33,41,27,35,25,35,36,34,37,38,37,42,49,37,37,41,37,43,36,37,36,41,48,36,36
44,38,41,38,43,34,19,25,26,36,30,53,34,33,41,27,34,23,34,32,34,37,38,37,42,48,37,36,41,37,41,35,37,36,41,47,36
45,38,36,37,40,39,37,18,23,25,34,30,52,34,34,40,27,34,24,35,31,34,36,38,37,42,48,38,36,40,37,33,34,36,36,41,47
46,43,38,37,36,40,36,36,16,25,25,34,30,52,35,33,40,26,33,23,35,31,34,32,38,38,42,48,35,35,40,29,33,31,36,36,41
47,43,40,38,39,38,41,38,38,17,23,24,33,30,51,36,33,40,24,33,22,35,27,34,31,40,37,43,47,37,35,37,27,33,31,38,36
48,46,43,40,38,38,38,40,36,35,16,23,24,30,30,51,36,32,39,25,33,21,36,26,34,29,40,37,43,47,36,22,36,26,33,29,38
49,58,44,44,41,38,37,37,41,38,36,17,23,24,29,28,51,37,31,39,25,31,21,36,26,35,29,40,36,42,46,31,22,36,26,34,29
50,46,54,44,44,40,36,38,36,40,40,35,17,24,23,29,28,50,33,30,39,24,32,19,36,26,35,29,39,33,41,26,31,21,36,27,34
51,53,46,57,44,42,45,36,41,33,42,39,35,17,24,23,29,28,47,33,29,37,24,32,19,36,27,36,29,38,33,38,26,31,21,37,26
52,60,55,47,55,43,41,43,36,41,35,42,39,35,17,24,23,28,28,45,33,28,37,23,32,20,36,26,37,29,36,32,38,25,31,21,36
53,46,59,53,46,56,44,42,41,37,38,31,42,37,36,17,24,23,31,28,45,34,30,38,23,32,20,36,24,37,29,31,33,39,25,31,21
54,41,43,59,52,46,57,42,41,40,34,39,31,42,37,36,17,24,23,31,28,44,31,31,38,23,31,20,35,22,37,45,30,34,39,25,31
55,42,41,42,59,51,47,54,43,42,41,37,38,30,42,37,36,17,22,22,29,28,44,31,31,38,23,30,21,35,22,28,45,30,33,39,25
56,51,45,40,42,56,52,47,55,42,44,42,37,38,30,41,37,36,17,22,23,28,28,44,31,30,39,23,30,22,35,31,27,45,30,33,39
57,40,52,43,40,44,58,54,47,54,44,43,42,37,38,31,41,36,36,17,22,23,29,28,43,31,31,39,23,30,23,22,31,27,44,30,33
58,42,41,51,42,41,45,56,54,47,56,40,42,44,37,38,32,41,37,37,16,22,23,29,28,41,31,31,39,24,30,22,22,32,27,43,30
59,35,41,41,53,42,42,45,58,52,50,53,40,41,42,37,37,32,42,37,37,16,22,23,31,28,41,31,32,38,24,15,22,22,33,27,42
60,46,37,41,40,52,45,42,42,57,55,46,55,40,41,42,37,37,33,42,37,37,16,22,23,30,28,41,31,33,39,36,15,22,22,32,27
61,49,44,35,40,39,52,43,42,42,57,54,46,55,42,43,41,37,37,34,42,35,37,16,22,23,31,28,40,31,32,36,36,15,22,22,32
62,18,47,47,33,41,39,53,43,42,43,55,54,47,55,42,42,40,38,38,34,41,35,38,16,22,23,29,28,41,29,38,35,37,15,22,22
63,24,17,45,44,34,42,38,54,41,40,42,54,55,47,54,43,42,39,38,40,34,41,35,38,15,21,23,30,28,40,33,38,35,37,15,21
64,18,23,18,45,42,31,44,36,52,42,38,42,54,51,47,54,42,42,40,38,40,35,39,35,37,15,21,23,32,28,40,34,37,35,37,15
65,30,17,24,20,45,43,35,40,38,51,40,38,42,54,50,47,54,42,42,39,38,43,35,39,36,37,16,21,23,30,38,42,35,37,36,37
66,37,29,19,22,18,45,41,31,39,36,50,39,38,43,54,50,47,55,41,42,36,37,43,36,37,35,38,16,21,23,40,37,43,35,37,35
67,34,37,29,16,22,19,44,40,31,37,36,50,39,38,42,54,50,47,54,40,42,36,38,43,34,38,35,38,16,21,41,39,38,43,34,38
68,43,37,38,30,16,24,19,46,40,29,39,32,49,39,33,42,51,49,47,52,40,42,37,38,41,33,36,35,37,16,40,41,40,38,41,33
69,44,44,34,36,29,17,23,20,43,42,30,38,31,50,39,33,41,50,47,49,51,40,41,38,38,39,33,36,35,35,51,40,40,40,38,39
70,38,43,43,35,35,31,16,22,18,43,38,30,38,32,46,38,31,41,50,46,49,51,40,41,37,38,39,33,36,35,51,50,40,40,39,38
71,47,39,42,41,33,35,30,16,23,16,42,36,29,36,31,45,38,31,39,48,46,47,51,40,41,37,38,38,33,35,47,48,50,39,40,39
72,36,46,40,42,44,29,33,28,16,24,17,40,36,29,34,29,45,38,30,39,49,46,46,51,39,40,38,38,37,33,53,47,47,50,38,39
73,39,35,45,37,42,40,29,32,31,17,23,17,38,35,28,33,29,45,40,29,39,48,45,46,50,38,38,38,37,37,38,52,46,47,49,37
74,32,38,36,42,37,39,38,29,32,29,15,23,17,37,36,28,33,29,45,39,29,38,48,45,47,49,34,37,37,35,32,37,51,46,47,48
75,29,29,40,35,41,34,37,40,27,29,28,15,23,17,36,36,28,31,29,45,39,28,35,50,46,47,49,34,37,37,38,31,35,52,46,46
76,34,26,29,36,36,40,36,37,38,27,30,26,15,24,17,34,36,27,31,28,42,39,30,35,51,44,47,48,33,36,41,38,32,35,52,44
77,31,33,26,26,34,33,36,33,35,32,28,30,26,14,24,16,33,37,26,30,28,42,37,29,34,50,44,47,48,33,29,41,36,31,34,51
78,22,28,32,23,28,33,29,36,31,34,31,28,28,26,15,24,16,33,35,24,30,27,41,34,31,34,51,43,48,47,31,28,40,33,32,34
79,20,18,28,31,23,25,32,28,34,31,33,30,26,28,26,14,22,16,31,35,24,29,27,39,34,31,34,51,42,48,23,29,28,38,33,32
80,26,19,16,23,29,19,22,30,30,34,27,32,30,26,28,24,14,21,16,29,31,23,30,24,33,34,31,33,50,42,31,22,29,25,35,33
81,14,22,18,16,25,27,19,21,25,29,31,25,28,30,24,28,23,13,21,16,27,32,23,27,25,33,31,27,32,49,26,31,22,27,25,33
82,15,14,22,12,15,20,26,17,20,26,26,28,23,28,29,21,26,22,12,21,15,27,30,23,28,25,32,27,25,31,14,26,28,22,26,25
83,17,11,10,18,13,17,14,25,14,18,24,25,26,21,25,26,21,23,20,12,20,15,25,26,21,26,25,30,27,24,21,14,24,24,19,25
84,9,15,10,11,20,11,15,13,23,13,16,22,23,26,19,22,21,21,21,17,10,18,10,22,25,18,21,25,25,24,10,19,11,22,23,18
85,11,11,11,12,13,16,15,13,14,18,13,16,22,19,25,19,23,21,19,18,12,10,17,8,19,22,15,20,22,21,12,10,18,9,19,20
86,9,9,10,9,11,12,13,12,11,14,15,13,14,20,17,22,19,22,18,14,17,11,9,14,8,17,21,15,19,21,17,10,9,15,9,17
87,8,8,8,9,7,10,10,11,10,11,11,12,7,13,18,17,19,18,21,17,13,15,11,8,14,7,14,18,12,16,13,15,10,8,14,7
88,6,6,7,7,7,6,7,8,10,9,8,10,12,6,11,13,16,18,15,18,15,12,11,11,8,9,5,12,14,12,17,12,12,10,8,9
89,5,5,5,6,6,7,5,6,6,10,6,7,10,11,4,7,12,12,17,13,17,16,10,9,9,8,8,4,12,13,15,17,11,10,9,8
90,4,5,4,4,4,5,5,3,4,4,10,6,5,7,10,4,8,10,6,16,13,14,12,10,10,8,5,6,4,12,13,13,14,10,10,8
91,3,3,3,3,3,3,3,3,3,4,6,9,5,4,3,7,3,7,8,5,12,13,13,10,7,6,7,4,6,3,13,14,12,12,8,6
92,2,2,2,2,2,3,3,2,3,3,5,3,7,3,3,3,6,4,5,8,4,11,9,13,9,6,5,5,4,6,3,12,10,12,11,7
93,2,2,2,2,2,2,2,2,2,2,2,3,2,6,2,3,3,6,3,3,8,2,9,8,13,6,6,3,5,2,7,2,10,9,12,8
94,1,1,1,1,1,1,1,1,2,2,0,2,1,2,5,2,2,3,4,2,3,8,2,6,6,8,5,5,3,4,3,7,2,7,6,7
95,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,5,2,2,2,5,1,3,6,2,3,4,5,4,3,3,1,3,5,2,4,4
96,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,1,1,0,4,1,2,5,1,3,2,4,3,3,5,1,2,4,2,4
97,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,2,1,0,0,2,1,2,2,1,2,2,2,4,0,3,1,2,2,1
