ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,6,2,3,0,4,1,2,3,1,6,3,5,1,6,0,5,5,1,5,3,3,1,5,5,2,4,6,8,9,3,2,1,4,5,2
1,9,7,8,2,4,0,4,1,3,2,1,7,3,5,0,5,1,5,5,1,5,2,4,2,5,5,1,4,6,9,6,3,2,2,5,5
2,1,9,7,7,2,4,0,4,2,2,3,1,7,3,3,1,4,1,4,5,1,5,2,4,4,6,4,1,4,8,1,5,3,2,4,6
3,5,1,9,7,7,2,4,1,4,2,2,3,2,7,3,6,3,4,1,3,5,1,5,3,5,4,6,4,2,4,6,1,5,4,3,4
4,0,4,3,10,8,7,2,4,1,6,2,3,3,2,5,3,7,3,4,1,4,6,0,5,2,4,4,5,5,3,4,6,0,6,3,3
5,5,0,5,3,10,9,6,2,5,1,5,2,3,4,4,5,4,6,3,4,1,4,6,0,4,3,5,4,5,5,1,4,6,0,5,4
6,6,5,0,4,3,8,9,6,2,5,1,5,2,3,4,4,5,4,5,3,5,2,4,6,1,3,3,5,4,8,5,2,4,6,1,3
7,3,5,5,1,4,3,8,9,5,2,6,1,6,3,3,5,4,4,4,5,4,6,2,4,8,2,3,4,5,4,5,6,2,4,8,1
8,9,3,5,6,1,5,3,8,10,5,3,7,1,6,3,3,6,4,4,4,6,4,5,2,4,7,2,3,4,6,6,5,5,2,4,8
9,1,9,3,5,5,2,5,2,8,10,6,3,7,2,6,3,3,6,5,4,5,6,4,5,2,4,7,2,3,4,5,6,5,5,2,4
10,3,2,9,3,5,7,2,5,2,8,11,6,3,7,2,6,2,3,6,5,5,5,6,5,5,2,3,7,2,3,6,5,6,5,5,2
11,1,3,3,10,5,6,5,2,5,2,9,11,6,3,8,2,6,2,3,6,5,5,5,5,5,4,2,4,6,2,5,6,5,5,5,4
12,3,1,3,3,10,4,6,7,2,6,2,9,11,7,4,8,2,6,2,3,6,4,5,5,6,5,4,2,4,6,6,4,6,5,6,5
13,8,2,2,3,3,9,4,6,5,2,5,2,10,12,8,4,8,2,6,2,3,4,4,5,5,6,7,4,1,4,2,5,4,5,5,6
14,2,7,3,2,3,3,9,4,6,5,2,5,2,10,13,8,4,8,2,7,2,2,4,4,5,5,7,6,4,1,2,1,5,4,5,5
15,3,2,8,4,3,3,3,9,4,6,5,2,6,1,10,12,7,3,8,2,6,2,1,4,5,5,5,7,6,4,7,1,1,5,5,5
16,6,3,2,6,5,3,2,2,9,4,7,5,2,5,1,10,11,7,2,8,4,7,2,1,5,5,5,5,7,6,3,7,1,1,6,5
17,4,6,3,2,5,4,3,3,2,10,5,7,5,2,5,1,10,11,7,2,7,2,7,2,2,5,6,5,5,7,7,2,7,1,2,5
18,0,5,7,3,2,5,4,4,3,2,11,4,5,6,2,5,1,10,11,8,2,7,2,7,2,2,4,6,5,4,2,7,2,7,1,1
19,3,0,5,5,4,3,3,4,3,4,3,14,4,5,6,2,5,1,10,11,8,2,6,3,6,2,1,5,6,4,8,1,6,2,6,1
20,6,3,0,5,5,4,1,4,5,4,4,3,13,4,7,5,2,5,1,10,11,7,1,6,3,6,2,1,6,6,10,5,1,6,2,6
21,9,7,4,0,4,7,4,1,4,4,4,3,3,12,4,6,5,2,5,1,10,11,6,1,6,3,5,2,1,6,9,11,5,1,6,3
22,1,7,7,4,0,3,8,4,1,3,6,0,3,3,13,4,7,6,2,6,1,11,10,7,2,7,3,5,2,2,1,12,10,6,2,7
23,2,4,5,7,4,0,3,5,3,0,4,7,0,3,4,13,4,7,6,3,6,0,12,10,7,2,7,3,5,2,6,1,11,10,6,2
24,4,1,5,5,5,2,0,3,5,2,2,4,7,1,2,5,13,3,5,6,4,5,2,12,11,9,1,6,3,4,6,5,3,11,10,7
25,6,4,2,5,5,5,1,3,4,5,3,1,4,7,1,1,3,12,3,5,6,5,5,2,14,8,8,1,6,2,5,5,5,3,13,9
26,4,7,5,4,4,4,6,2,3,4,6,3,1,4,5,1,1,5,12,3,6,7,5,5,1,12,8,7,1,7,6,6,5,5,3,11
27,8,4,7,7,4,4,4,7,4,3,5,6,4,3,4,4,2,2,5,12,2,4,10,5,4,2,12,8,7,1,4,4,8,6,4,4
28,3,7,4,6,7,2,3,3,8,3,3,5,6,4,3,4,4,3,2,6,11,2,3,10,4,4,3,11,10,8,9,4,5,8,5,3
29,0,3,8,3,7,8,3,5,5,7,4,3,5,6,4,4,6,4,5,4,7,10,2,7,11,3,3,3,11,10,7,9,4,8,8,4
30,4,0,2,8,5,5,6,4,5,4,7,5,6,5,6,5,7,6,3,7,5,7,12,3,2,11,6,4,4,9,5,7,9,5,6,9
31,13,5,0,2,7,5,6,6,4,5,6,6,7,6,5,6,6,6,5,3,8,4,8,15,5,1,12,6,4,5,9,5,7,9,6,6
32,1,12,5,0,3,8,4,5,9,4,6,5,7,8,5,6,7,6,7,6,2,9,6,8,14,3,1,11,6,7,1,9,6,6,11,5
33,5,0,13,5,0,4,8,4,6,8,4,6,6,10,10,6,6,6,5,7,6,1,8,6,9,13,3,4,11,7,5,1,8,6,7,11
34,5,5,2,13,7,0,4,9,4,6,9,4,6,7,8,11,5,6,7,4,8,9,2,8,7,11,10,8,8,11,9,8,2,8,6,9
35,6,6,5,2,14,6,0,3,6,6,6,9,3,5,6,8,11,5,8,7,3,8,8,4,9,8,11,10,9,8,3,9,7,3,9,7
36,6,5,6,6,2,15,5,0,3,5,4,5,10,7,7,6,9,9,5,8,8,3,8,9,5,8,9,11,10,9,8,3,8,8,3,8
37,6,6,5,7,6,3,15,6,0,5,3,4,5,10,7,7,8,9,9,5,8,9,3,9,10,6,9,7,11,10,8,8,3,9,9,4
38,4,7,5,4,7,5,3,15,5,0,6,4,4,4,11,9,8,8,9,8,5,7,9,4,8,10,6,7,7,11,5,8,8,4,8,9
39,8,4,7,5,5,7,6,2,17,5,0,6,5,7,6,11,8,8,7,9,7,5,8,9,4,11,10,3,7,5,7,5,9,8,4,9
40,9,8,4,7,5,5,7,5,2,16,7,0,6,5,7,7,11,8,9,7,9,5,5,8,7,3,12,10,3,8,9,5,5,9,7,3
41,7,9,8,5,7,6,5,8,6,4,17,5,0,5,4,6,6,11,8,9,8,11,6,5,8,8,4,12,10,3,8,12,5,5,8,8
42,8,6,9,8,5,8,5,5,8,6,4,17,4,0,6,3,6,6,10,8,9,9,12,6,6,8,9,4,13,11,9,9,11,5,6,8
43,6,7,6,9,9,5,8,4,5,8,6,4,16,3,0,7,3,5,6,12,8,9,9,12,6,7,8,10,6,14,8,9,9,11,5,7
44,2,6,8,5,8,9,5,8,4,5,9,6,3,16,3,0,6,3,5,6,12,8,8,9,15,6,8,8,11,6,10,8,8,9,13,5
45,5,3,6,10,5,8,8,5,8,3,6,9,6,3,16,5,0,7,3,5,5,13,8,8,10,15,6,8,8,12,6,11,8,8,9,13
46,4,5,2,6,9,5,7,9,4,8,5,8,10,8,3,16,4,0,7,4,6,5,12,8,7,8,14,6,10,8,6,6,10,8,7,8
47,6,5,5,2,6,11,5,6,8,4,8,7,8,10,8,3,16,4,0,7,4,6,5,13,8,7,8,14,5,10,5,6,6,12,8,8
48,7,5,5,5,1,5,12,5,6,9,3,8,7,6,9,8,3,15,4,0,6,4,6,5,13,8,8,7,15,5,6,5,6,5,12,8
49,2,9,5,5,5,0,5,11,5,6,8,3,9,7,6,9,8,4,15,4,1,7,4,6,5,13,7,8,7,14,1,6,5,6,5,12
50,4,3,9,5,4,5,0,5,11,7,6,8,3,10,8,6,8,8,5,15,4,1,7,4,6,5,13,7,8,7,4,1,6,5,6,5
51,4,4,3,8,5,4,5,0,5,11,7,6,7,3,9,8,7,7,8,5,14,4,1,7,6,6,4,15,7,10,13,4,1,6,6,6
52,3,4,4,4,8,6,4,5,0,7,13,8,6,6,3,9,6,7,5,8,4,13,4,1,6,6,6,4,13,7,5,12,4,1,5,6
53,3,3,4,4,4,9,5,4,6,0,7,13,7,6,6,4,8,8,7,5,8,3,13,4,1,6,7,7,4,13,7,4,12,4,1,5
54,3,3,3,5,6,5,10,5,4,7,1,7,12,7,6,6,4,8,8,7,6,8,3,14,4,1,6,7,8,4,6,8,4,13,4,1
55,3,2,3,3,6,5,5,10,5,3,11,1,7,12,7,7,7,4,8,8,8,7,9,3,14,4,1,5,6,6,7,6,8,4,13,4
56,6,3,2,2,5,5,5,6,10,5,4,9,1,7,12,7,8,7,4,8,8,9,7,9,2,16,4,1,4,6,8,7,6,8,4,14
57,9,6,3,3,3,3,5,5,5,10,6,4,8,1,8,12,6,9,7,5,8,8,8,7,9,4,15,4,1,4,8,8,7,6,8,6
58,9,9,6,3,2,2,4,5,7,5,8,6,4,7,1,8,12,4,9,9,5,10,9,8,7,9,5,14,5,1,6,9,9,7,6,9
59,6,9,9,6,3,3,2,4,5,7,6,8,6,5,7,2,9,12,4,9,9,6,8,9,10,7,10,6,15,6,8,7,9,9,9,6
60,7,7,8,9,7,3,2,2,4,5,10,7,7,6,5,9,3,9,11,4,9,10,7,8,8,11,7,10,10,15,8,10,7,9,8,9
61,2,7,5,8,9,7,4,2,2,4,5,9,7,7,6,5,8,3,10,10,4,8,9,7,8,8,11,7,10,10,4,8,9,8,9,8
62,2,2,7,5,8,9,7,3,2,2,5,3,8,7,8,6,5,8,3,11,10,4,7,8,7,7,7,8,7,10,9,4,8,9,8,8
63,0,2,2,6,5,7,9,6,3,2,3,5,3,8,7,8,5,4,8,3,11,9,4,7,8,7,9,7,8,7,10,9,4,8,9,8
64,3,2,2,2,6,6,7,9,5,3,3,3,5,4,8,7,8,3,4,5,3,10,8,4,7,8,7,9,7,8,3,9,9,4,8,8
65,2,4,2,2,2,5,6,7,9,6,4,3,3,5,7,6,7,8,3,4,5,3,12,9,4,7,9,8,9,7,5,3,10,9,4,8
