ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,0,1,5,1,1,1,0,0,0,2,1,0,2,2,1,4,2,0,1,0,0,0,1,2,1,3,2,2,0,0,0,0,1,2,1
1,1,2,1,1,5,1,1,2,0,0,1,2,1,0,2,1,1,4,2,0,1,0,0,0,1,2,1,3,3,2,1,0,0,0,1,2
2,1,1,3,0,1,5,1,1,2,0,0,1,2,1,0,1,1,1,4,2,0,1,0,0,0,1,2,1,4,3,0,1,0,0,0,1
3,2,1,1,2,0,1,5,1,1,2,0,0,1,2,0,0,1,1,1,4,1,0,1,0,0,0,0,2,1,3,1,0,1,0,0,0
4,3,3,1,0,2,0,1,6,1,1,2,1,0,1,4,0,1,1,1,1,4,0,0,1,0,0,0,0,2,1,4,0,0,1,0,0
5,5,5,3,1,0,2,0,1,6,1,2,1,1,0,1,2,0,1,1,1,1,4,0,0,1,0,0,0,0,2,1,4,0,0,1,0
6,6,4,3,3,1,0,2,0,1,6,2,3,1,1,0,0,2,0,1,1,1,1,4,1,0,1,0,0,0,0,2,1,4,1,0,1
7,1,6,4,3,3,1,0,3,1,1,6,2,3,1,1,0,0,2,0,4,1,1,1,5,1,0,2,0,0,0,1,1,1,4,1,0
8,4,0,7,4,3,4,1,0,3,0,2,6,2,3,0,0,0,0,2,0,4,1,1,1,5,1,0,2,0,0,4,1,1,1,4,1
9,0,3,0,7,4,3,4,1,0,2,0,2,7,2,2,0,0,0,0,2,0,3,1,0,1,5,1,0,2,0,0,3,1,0,1,4
10,5,1,3,0,6,5,4,4,1,0,3,0,2,7,2,1,0,0,0,0,2,0,3,1,0,1,5,2,0,2,2,0,3,1,0,1
11,5,5,0,3,0,6,5,3,4,1,0,3,0,2,6,2,1,0,1,0,0,2,0,2,1,0,1,5,2,0,0,2,0,2,1,0
12,2,4,5,0,1,0,7,5,3,3,1,0,3,0,2,6,3,1,0,1,1,0,2,0,2,1,0,1,5,2,1,0,2,0,2,1
13,4,2,4,5,0,1,0,7,5,3,3,0,0,3,0,1,6,3,1,0,0,2,0,2,0,2,1,0,1,4,1,2,0,2,0,2
14,8,4,3,4,5,0,1,0,7,5,3,4,0,0,2,0,3,6,3,1,1,0,2,0,2,0,1,1,0,2,2,1,3,0,2,0
15,10,8,4,2,4,6,0,2,0,6,5,3,4,0,0,2,0,3,6,3,1,1,0,2,0,2,0,1,1,0,1,2,1,3,0,2
16,3,9,8,4,2,4,5,0,2,0,6,5,3,4,0,0,2,0,3,6,3,1,1,0,3,0,2,1,1,0,4,1,2,1,3,0
17,8,3,9,8,4,2,4,6,0,3,1,6,5,3,4,0,0,2,0,3,6,3,1,1,0,3,0,2,1,1,6,4,1,1,1,3
18,3,7,3,8,8,4,3,5,7,0,4,1,6,5,3,3,0,0,2,0,3,7,3,2,1,0,3,0,2,0,3,7,4,2,1,1
19,9,7,9,3,8,8,5,3,5,6,1,4,1,6,5,3,4,0,0,1,0,3,5,2,2,1,0,4,1,2,0,3,5,3,1,1
20,4,9,6,7,4,8,9,5,3,4,7,1,3,1,5,5,3,3,0,1,1,0,3,5,2,1,1,0,4,1,1,0,3,5,3,1
21,0,2,10,3,7,2,9,9,3,4,7,6,1,3,1,5,6,3,3,0,1,1,0,3,5,2,1,3,0,3,1,1,0,3,5,3
22,4,0,4,10,3,7,2,10,9,2,4,6,5,1,3,1,5,6,3,4,0,1,2,0,3,6,2,1,3,2,0,1,1,0,3,6
23,3,4,0,1,12,5,7,3,8,7,3,3,6,5,0,3,1,5,6,3,4,0,1,2,0,3,5,2,1,3,4,0,1,1,0,3
24,4,3,4,1,1,8,6,7,3,8,8,3,3,6,7,0,3,1,5,5,3,6,0,0,2,0,4,5,2,1,3,6,0,0,1,0
25,6,3,2,4,2,1,8,5,7,2,7,7,3,2,6,7,0,3,2,5,4,3,5,0,0,2,0,3,5,3,4,3,5,0,0,1
26,3,6,3,2,4,2,1,6,2,7,4,9,7,3,3,6,7,0,3,2,5,7,3,4,0,0,2,0,3,5,5,7,3,4,0,0
27,0,3,6,3,2,3,2,1,5,0,7,4,8,7,2,3,5,6,0,5,2,4,8,4,4,0,0,2,0,3,3,4,8,4,4,0
28,4,1,3,7,3,2,2,2,1,5,2,8,4,8,7,2,4,4,6,0,5,2,3,8,3,4,0,0,2,0,4,3,3,7,4,4
29,2,5,1,3,6,3,2,2,1,1,7,3,8,4,8,7,2,4,3,5,1,5,2,3,9,3,5,2,0,1,0,4,3,3,8,4
30,6,2,4,1,2,6,2,3,2,1,3,8,2,8,3,8,7,2,4,3,4,1,6,2,3,8,5,6,2,1,4,0,5,3,3,7
31,5,6,3,4,1,3,6,3,3,1,1,4,6,2,8,4,8,7,5,3,4,6,2,3,2,3,7,5,5,3,4,5,1,3,3,3
32,6,4,6,2,4,1,1,6,3,3,2,1,4,5,2,8,4,7,7,5,3,3,5,1,4,2,3,5,4,4,3,4,5,1,4,3
33,6,4,4,5,2,4,1,1,6,3,3,2,1,4,4,2,8,4,7,6,5,2,2,4,3,4,3,2,5,3,5,3,4,4,2,4
34,5,8,3,4,5,2,4,2,1,6,4,3,1,1,3,4,2,7,4,7,6,4,2,2,4,3,4,4,2,5,7,4,3,4,4,2
35,2,4,8,3,5,5,2,5,2,3,5,0,2,1,1,5,4,2,6,5,7,6,5,2,3,4,3,5,4,3,6,7,5,3,4,4
36,6,1,6,8,3,5,5,2,6,2,2,6,0,2,0,2,6,3,5,6,5,7,9,3,2,3,3,2,6,3,5,6,8,4,3,4
37,1,5,1,4,8,3,5,5,2,6,2,2,6,0,2,0,2,6,2,4,7,5,7,8,3,2,3,3,2,6,7,5,6,8,4,3
38,4,2,5,1,4,6,3,6,6,2,6,2,2,6,0,1,0,2,6,2,5,6,5,8,10,3,2,3,3,2,5,6,5,7,9,4
39,1,4,1,5,1,3,7,3,5,6,2,6,2,2,6,0,1,0,2,6,2,6,6,4,8,9,4,3,4,3,2,6,6,4,7,8
40,3,0,4,2,5,1,4,7,3,5,5,2,6,2,2,6,1,2,0,2,6,2,5,7,5,8,9,5,3,4,6,2,5,7,4,7
41,3,3,0,4,1,5,2,5,7,3,5,5,2,6,2,1,6,2,2,2,1,6,3,5,8,5,9,9,5,4,1,6,3,5,7,4
42,5,4,4,0,4,1,5,1,6,7,3,4,5,2,6,2,1,6,3,3,3,1,6,3,4,8,5,8,9,5,3,1,6,3,5,7
43,6,4,3,4,2,4,2,5,1,5,7,3,4,5,2,6,2,2,6,3,3,3,1,7,4,4,9,6,8,8,3,3,1,6,4,5
44,8,6,4,3,4,1,4,2,6,1,5,7,3,4,5,2,6,2,2,5,4,3,3,1,6,4,4,8,6,8,4,3,3,1,6,3
45,0,8,6,4,3,4,0,3,1,5,2,5,7,3,5,5,2,6,2,2,5,4,3,3,1,6,3,4,8,5,5,4,3,3,1,6
46,2,1,7,6,4,4,4,1,3,1,5,2,5,7,3,5,6,2,6,2,2,5,4,3,3,1,6,4,4,8,2,5,4,3,3,1
47,6,2,1,6,5,4,4,4,0,3,2,5,2,5,7,3,5,6,2,6,2,2,5,4,3,3,1,6,4,6,2,2,5,4,3,3
48,4,7,2,0,7,5,5,4,4,1,5,2,5,1,4,7,3,5,6,2,6,2,2,5,4,3,3,2,6,4,6,2,2,5,4,3
49,7,5,7,2,1,7,5,4,4,5,0,5,2,5,1,4,7,4,5,5,3,6,2,2,5,4,3,3,2,5,3,6,2,2,5,4
50,7,6,5,7,2,0,7,5,4,5,4,0,5,2,4,1,4,7,4,5,5,3,6,3,2,5,4,3,3,1,5,3,6,3,2,5
51,8,7,6,4,6,2,0,7,5,4,5,4,0,5,2,4,1,4,8,3,5,5,3,6,3,2,6,5,3,3,5,5,3,6,3,2
52,7,8,7,6,5,6,2,0,7,5,4,5,4,0,5,2,4,1,4,8,3,5,5,3,5,3,1,6,5,3,3,5,5,3,5,3
53,11,7,8,7,6,4,6,2,0,9,6,3,5,4,0,5,2,6,1,3,8,3,6,5,3,5,4,1,6,4,7,3,6,5,3,5
54,10,11,7,8,7,6,3,7,2,1,9,5,3,5,4,0,5,2,6,1,4,6,4,5,5,3,6,4,2,6,4,6,4,5,6,3
55,10,11,11,7,8,7,6,3,7,2,2,9,5,3,5,4,0,5,2,6,1,4,6,4,5,5,3,6,5,2,1,4,6,4,5,6
56,2,10,11,10,7,8,7,6,4,8,2,2,9,5,2,5,4,0,5,2,6,1,4,6,4,5,5,4,6,4,5,1,4,6,4,5
57,7,2,10,11,10,7,8,7,6,3,10,2,2,9,5,3,5,4,0,6,2,6,1,4,4,4,5,5,4,6,2,5,1,4,5,4
58,8,7,2,10,11,10,7,9,7,6,4,10,2,2,9,5,3,5,4,0,6,2,6,1,4,4,4,5,5,3,6,2,5,1,4,5
59,7,7,7,2,10,11,11,8,8,7,7,4,10,2,2,9,5,4,5,4,0,6,2,4,1,4,4,4,5,6,0,6,2,4,1,4
60,12,7,7,7,2,10,11,10,7,8,9,7,4,10,2,2,9,5,5,5,6,0,6,2,4,1,4,4,4,5,6,0,6,2,4,1
61,7,11,6,7,7,1,10,11,10,7,9,8,7,4,10,2,2,9,5,7,7,6,0,6,2,4,1,4,4,2,6,6,0,6,2,4
62,5,8,11,6,7,7,1,10,10,10,8,9,8,7,6,10,2,2,9,5,7,8,6,0,6,2,4,1,4,4,7,7,6,0,6,2
63,4,4,6,11,6,7,6,2,10,10,9,8,9,8,7,5,10,2,2,10,5,5,8,6,0,6,2,4,1,4,5,6,7,6,0,6
64,3,5,5,6,12,6,7,6,1,9,11,8,8,9,8,7,5,10,2,2,9,5,5,9,6,0,6,2,4,1,9,5,6,8,6,0
65,3,3,5,4,6,11,5,7,7,1,9,11,8,8,9,8,7,5,10,2,3,6,5,5,9,6,0,6,2,4,3,7,5,6,8,6
66,6,3,3,5,4,6,11,5,7,6,1,9,11,8,9,9,8,7,5,10,2,3,6,5,5,9,6,0,6,2,2,3,6,5,6,8
67,6,6,3,3,5,4,6,10,5,8,7,1,7,11,8,9,9,8,7,5,10,2,3,6,5,5,9,6,0,6,9,2,3,6,5,6
68,7,7,6,3,3,6,4,6,10,5,8,7,1,7,10,8,10,10,8,7,4,10,2,3,5,5,5,7,6,0,4,9,2,3,5,5
69,7,7,7,6,2,2,6,4,5,11,4,6,7,1,7,10,8,10,10,7,6,5,9,2,3,5,5,6,7,6,6,5,9,2,3,5
70,11,7,7,7,6,1,3,6,5,5,11,4,6,7,1,7,10,8,10,11,7,6,5,9,2,3,5,5,6,7,7,6,5,8,2,3
71,11,11,7,7,7,7,0,3,5,5,6,11,4,6,7,1,7,10,8,10,11,6,6,5,9,2,3,5,5,6,9,6,6,5,9,2
72,11,10,11,7,7,7,8,1,3,5,5,6,11,4,6,7,2,7,8,8,10,11,6,5,5,9,2,3,5,5,9,10,6,5,5,9
73,3,10,10,11,7,7,7,7,0,3,5,5,6,11,4,5,7,1,5,5,8,7,11,5,5,6,9,2,2,5,8,7,9,6,5,6
74,4,3,10,10,12,5,7,8,6,0,4,5,4,5,10,4,5,7,1,6,5,8,7,11,7,5,5,9,2,2,7,8,7,9,7,5
75,6,4,3,10,10,10,5,6,7,6,0,3,5,4,5,10,4,5,7,1,6,5,8,7,11,7,6,6,9,2,7,7,8,7,9,7
76,8,5,4,3,8,10,10,4,5,7,6,1,3,5,4,5,9,4,5,7,1,6,5,8,7,10,7,6,6,9,1,7,7,8,7,8
77,13,6,4,4,3,8,9,10,4,5,7,6,1,3,5,4,5,9,4,5,4,1,6,6,8,7,10,8,5,6,5,1,7,7,8,7
78,3,12,5,4,4,3,9,10,8,5,5,7,6,1,3,3,4,5,9,4,5,4,1,6,5,7,7,10,7,5,5,5,1,7,6,7
79,6,3,11,5,4,3,3,6,8,5,5,5,7,6,1,3,3,4,7,9,5,5,4,1,6,5,7,7,10,6,4,5,5,1,7,6
80,9,6,2,10,5,5,3,3,6,8,5,5,5,9,6,1,2,3,4,7,8,5,4,5,1,5,5,7,7,9,8,4,4,5,1,6
81,5,8,5,1,10,5,4,3,2,4,7,5,4,4,7,6,1,2,2,3,6,8,5,4,5,1,3,5,7,7,6,8,4,4,6,1
82,5,6,8,1,3,8,4,4,3,2,5,5,4,4,4,6,6,1,2,2,3,6,8,5,4,4,1,3,5,6,3,6,8,4,4,5
83,3,5,4,8,1,3,7,4,4,3,2,5,4,4,3,3,5,6,1,3,2,3,5,7,5,4,5,1,3,6,2,3,5,7,4,4
84,3,3,4,3,9,1,2,7,4,4,4,2,4,4,4,2,3,5,6,1,3,1,3,4,7,5,4,5,1,4,3,1,3,5,7,4
85,3,3,3,3,4,5,5,4,4,3,5,4,2,3,4,4,2,4,5,6,1,1,1,3,5,7,4,4,5,1,1,1,1,3,5,7
86,2,3,3,3,3,4,4,3,3,3,3,4,4,2,2,4,3,2,4,4,4,1,1,3,3,4,7,4,3,4,5,1,1,2,3,5
87,2,2,2,2,2,3,3,3,2,2,3,2,3,3,3,1,3,3,2,4,4,3,1,1,3,3,3,6,4,3,4,4,1,1,2,3
88,2,2,2,2,2,3,2,2,2,2,0,3,2,3,2,3,1,2,3,2,4,2,3,2,1,3,3,3,6,1,4,2,4,2,1,2
89,1,1,1,1,1,2,2,2,2,2,1,0,3,1,3,1,2,1,1,3,2,4,1,2,2,0,3,2,1,5,2,3,2,3,2,1
90,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,2,1,2,1,1,3,2,3,1,2,1,0,2,3,2,3,2,2,2,3,1
91,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,0,2,1,1,3,0,3,2,4,1,2,1,0,2,3,1,3,2,3,2,3
92,0,1,1,1,1,1,1,1,1,1,2,1,2,0,0,0,0,2,0,1,1,0,4,2,2,1,2,0,0,2,1,1,4,2,2,2
93,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,2,0,1,1,0,4,2,0,1,1,0,0,1,1,1,4,2,0
94,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,2,1,0,1,1,0,0,1,1,1,2,1
95,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,1,1,2,0,1,1,1,1
96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,1,0
97,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1
98,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
