ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,14,13,21,16,11,18,15,11,27,13,11,25,15,15,22,19,19,27,19,24,27,28,28,27,30,28,30,23,30,24,26,27,27,27,29
1,14,17,12,14,21,14,14,19,14,10,22,13,12,23,17,17,24,17,21,29,20,25,29,25,25,26,25,30,32,30,19,23,28,28,26,26
2,14,14,17,14,15,21,15,14,16,11,12,24,13,13,23,19,18,26,17,21,30,21,22,25,24,24,27,28,29,33,29,20,24,27,27,25
3,25,16,14,16,16,17,21,16,14,16,12,16,24,14,14,22,18,20,25,16,25,31,22,22,26,22,23,27,28,30,26,30,20,24,28,25
4,19,25,15,14,18,18,16,23,18,15,16,12,15,24,18,14,26,20,21,29,15,26,33,25,22,26,23,23,26,29,18,27,31,21,24,27
5,25,20,26,16,12,19,17,15,23,18,13,17,12,15,30,19,15,26,20,21,29,15,24,32,25,22,29,24,25,26,29,18,25,28,21,24
6,17,27,21,26,18,12,18,19,14,23,18,13,17,12,22,31,18,15,26,19,22,28,16,27,33,20,22,30,25,30,19,29,20,27,29,18
7,20,17,27,21,27,19,12,18,19,12,21,19,15,16,14,24,32,18,15,24,21,22,29,16,26,32,20,24,31,26,23,19,30,19,25,29
8,25,20,17,28,22,31,19,12,18,18,12,24,19,15,16,14,24,32,18,16,24,21,23,29,17,26,32,20,23,32,26,22,19,31,21,24
9,32,25,20,17,29,25,32,23,14,19,16,13,24,19,17,19,13,25,32,20,18,25,19,22,29,17,27,32,19,23,17,27,21,19,31,20
10,15,35,25,21,15,30,29,32,22,17,19,17,12,25,19,17,19,15,28,32,20,21,26,21,25,31,18,25,33,19,22,21,28,23,23,32
11,21,15,32,23,23,16,30,25,29,22,18,18,18,13,26,20,16,20,18,28,32,20,23,25,21,24,27,21,23,31,32,22,22,27,23,23
12,31,22,16,33,22,23,16,27,26,32,21,18,19,18,15,27,20,18,20,18,30,30,20,22,26,21,25,29,22,23,28,30,22,22,29,24
13,22,31,23,16,32,23,21,16,25,26,33,21,18,20,21,16,28,20,19,20,19,30,31,20,23,26,21,25,29,22,22,27,32,22,22,29
14,30,21,33,22,17,33,25,23,17,25,28,34,21,17,22,21,16,30,22,20,20,20,30,30,20,22,26,21,23,30,19,23,28,32,22,21
15,28,30,20,32,21,15,33,25,22,18,28,28,34,21,17,21,21,18,31,21,20,20,21,29,30,20,22,28,22,23,18,19,24,27,33,23
16,20,27,30,21,32,23,15,32,24,24,18,27,28,35,21,17,20,21,20,31,22,21,20,21,29,29,19,20,28,23,22,19,18,24,27,32
17,22,20,29,30,22,32,23,16,32,24,25,18,28,28,34,20,19,23,22,20,35,22,20,18,20,29,29,19,20,28,33,22,19,16,23,27
18,16,23,19,30,30,22,31,24,16,34,25,25,17,28,28,34,20,20,24,23,20,33,24,20,16,18,29,31,23,19,23,32,25,19,14,20
19,19,17,22,21,29,32,24,31,24,17,36,24,28,16,29,28,33,22,20,25,25,20,34,22,21,16,20,30,32,22,24,23,33,23,21,14
20,25,17,18,20,19,30,35,23,30,24,16,35,24,27,16,30,28,32,20,20,27,25,21,31,24,20,16,19,29,32,29,25,24,32,22,21
21,14,24,19,19,20,21,29,35,26,31,24,17,37,25,27,16,31,28,33,20,23,27,26,17,31,24,20,17,22,29,23,28,26,21,34,23
22,25,17,26,20,20,18,27,29,34,28,32,24,16,37,26,27,18,34,31,32,20,19,29,26,17,31,24,24,20,23,20,20,30,26,20,34
23,29,28,19,29,21,19,19,25,28,31,29,36,22,16,40,28,26,18,32,31,31,24,19,35,25,18,35,24,27,20,33,22,17,33,23,21
24,24,29,30,21,34,23,22,21,28,27,34,32,35,25,21,43,31,29,21,32,32,29,24,19,30,28,20,32,27,26,30,35,23,18,30,27
25,30,27,29,31,22,35,25,26,23,29,32,38,34,37,32,26,43,29,31,23,33,31,31,26,22,29,31,20,33,29,32,32,36,25,20,30
26,8,32,25,33,32,24,35,26,26,23,28,33,38,33,40,35,24,41,32,32,25,39,30,35,24,26,30,32,18,33,25,32,32,40,23,24
27,24,9,33,26,35,29,27,35,29,29,28,38,33,39,40,40,37,31,42,34,36,28,42,32,33,22,27,30,29,19,35,28,33,34,39,22
28,22,22,9,33,26,35,31,29,32,31,33,30,36,32,39,43,41,36,32,40,35,41,33,47,31,35,20,25,34,29,36,35,29,34,32,40
29,32,22,23,12,38,27,36,31,27,33,30,34,31,35,40,41,38,40,42,37,43,32,45,37,47,33,32,24,24,29,43,33,36,30,35,35
30,29,31,21,22,12,40,27,34,30,27,33,33,34,31,37,41,44,43,45,45,40,44,39,48,37,47,35,33,22,21,38,45,35,37,30,41
31,19,31,31,21,24,14,41,29,34,31,29,33,31,34,35,37,42,43,43,47,50,40,48,40,50,36,45,35,36,28,48,40,48,37,38,34
32,24,19,30,32,24,24,16,39,28,35,34,34,37,30,37,37,36,45,44,38,43,48,49,50,40,51,37,43,38,33,45,48,43,50,40,45
33,31,25,22,31,31,26,23,15,36,28,37,35,32,36,34,38,37,35,42,43,37,44,48,50,45,40,47,38,44,37,36,47,49,46,46,40
34,26,30,27,24,33,32,26,22,17,37,35,38,38,35,37,30,43,37,35,40,46,37,45,53,53,46,45,46,42,46,43,38,50,50,47,45
35,19,27,30,26,23,33,31,27,24,20,38,35,36,37,38,37,30,45,42,35,44,44,39,51,53,55,44,47,49,44,42,44,42,52,52,54
36,16,20,27,32,26,24,31,32,26,25,20,36,36,36,44,42,40,32,45,40,36,46,43,43,50,55,56,45,48,47,36,45,45,43,50,54
37,28,19,21,29,33,26,27,30,30,27,28,20,37,38,38,45,42,45,32,45,45,39,49,46,42,46,54,57,41,47,46,38,48,48,40,46
38,12,29,20,21,28,33,26,29,31,30,28,30,18,36,41,40,45,42,47,33,45,47,44,54,47,40,46,52,58,43,43,49,43,50,49,39
39,16,11,28,20,21,30,32,25,29,30,34,30,27,18,35,43,40,47,41,49,35,46,49,41,56,49,38,46,54,54,38,45,52,42,51,52
