ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,11,5,7,10,8,13,14,6,7,7,11,8,4,6,8,8,7,7,11,32,16,11,14,8,17,15,17,17,13,32,16,10,14,8,16
1,5,9,12,5,7,9,9,16,16,6,9,7,11,8,5,5,8,9,7,7,16,30,17,11,14,9,18,16,18,16,11,31,16,10,14,9
2,7,5,9,12,5,8,9,8,17,16,7,9,7,11,8,6,6,7,9,6,7,17,31,17,11,14,10,15,15,19,5,12,31,16,13,14
3,6,6,4,8,12,5,7,9,5,18,16,6,9,7,11,8,6,7,7,9,8,7,15,32,16,10,15,11,15,17,9,6,11,33,15,11
4,9,8,5,4,8,12,5,7,9,5,18,17,6,9,7,11,7,6,7,8,10,8,6,16,28,17,10,17,11,15,9,9,5,12,13,16
5,11,8,9,6,4,8,13,5,7,9,5,18,17,6,8,7,11,7,7,8,7,13,9,6,14,26,18,9,17,12,8,11,10,7,12,12
6,18,12,8,8,9,4,7,13,6,7,9,5,18,17,6,8,7,10,8,7,10,8,14,9,7,12,24,16,9,18,5,9,13,10,8,12
7,14,19,11,9,6,8,4,7,13,5,8,10,5,18,14,6,8,7,9,8,7,10,9,13,11,7,14,22,18,9,8,6,10,11,10,8
8,10,14,18,11,11,8,8,6,7,13,6,8,10,4,19,13,7,8,7,9,8,7,10,9,13,14,7,15,20,19,9,8,6,10,11,10
9,9,11,14,18,11,11,7,9,6,7,14,6,8,12,5,18,13,7,7,8,9,9,8,11,9,14,13,7,15,18,10,10,10,7,10,11
10,16,9,11,14,18,11,12,8,9,6,7,14,6,9,12,5,17,14,8,8,7,10,10,13,10,10,15,12,7,14,8,11,10,12,7,11
11,14,15,11,12,13,18,12,12,7,8,7,7,13,6,10,13,5,16,14,10,9,7,10,13,14,11,11,15,13,8,8,8,11,12,13,8
12,22,16,15,10,12,13,17,11,13,8,8,6,7,13,6,9,12,4,15,14,11,10,10,12,13,14,10,11,14,10,10,9,11,11,12,13
13,12,21,16,15,10,14,15,17,11,13,8,8,6,9,11,6,9,12,4,13,16,11,10,14,15,13,13,10,12,14,16,11,9,14,14,13
14,14,13,22,17,15,11,12,13,18,12,12,7,8,6,9,11,5,9,12,6,14,16,11,11,16,14,14,13,9,12,16,16,10,9,15,13
15,16,13,12,22,15,15,12,12,13,17,12,13,8,9,6,9,11,5,9,11,5,14,16,10,11,17,14,14,13,8,5,16,16,9,9,16
16,17,16,13,12,21,16,14,12,12,14,18,12,13,6,10,6,9,11,6,9,11,4,14,19,11,11,15,15,14,10,12,4,16,17,9,9
17,16,17,17,14,12,22,16,15,13,13,14,18,12,12,6,10,6,9,11,7,8,11,5,17,19,10,11,15,15,14,8,12,5,17,17,9
18,21,13,15,16,15,12,24,16,14,13,14,14,18,12,11,6,9,6,9,11,7,7,13,6,17,22,10,12,15,14,7,7,14,6,17,19
19,13,18,14,16,14,16,12,24,16,14,14,13,16,17,12,10,5,8,7,9,10,8,9,16,7,19,21,11,11,14,11,9,8,15,7,18
20,13,12,18,14,14,17,13,11,25,15,16,14,12,16,15,12,10,7,9,9,8,10,8,11,15,7,23,19,9,13,9,11,8,9,14,7
21,13,13,12,18,13,14,15,13,10,22,14,15,14,12,17,16,13,11,7,10,10,7,10,8,11,16,7,22,21,11,10,8,11,8,9,14
22,21,15,14,12,20,13,12,16,13,11,26,16,14,14,10,17,17,12,13,7,14,9,12,9,13,11,17,9,23,23,12,9,12,11,12,8
23,13,18,14,15,11,19,13,11,14,11,12,24,16,14,13,11,17,15,12,12,9,11,8,11,12,12,14,18,9,23,8,12,10,12,13,10
24,18,15,15,14,18,12,19,12,7,14,12,12,24,16,14,13,11,16,14,12,14,7,8,6,14,15,12,14,18,9,15,8,13,11,14,17
