ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,20,14,8,13,9,14,10,18,20,10,15,18,14,20,19,22,15,13,23,18,12,12,10,19,14,22,16,16,18,18,12,13,12,19,14
1,11,17,17,15,7,14,13,18,10,14,20,12,14,18,13,19,22,21,14,12,25,17,11,16,10,17,12,24,18,16,25,18,11,16,12,18
2,22,12,16,21,16,8,13,9,15,11,15,22,14,17,16,13,18,21,21,15,12,24,17,11,16,10,20,12,25,17,13,24,18,11,16,12
3,16,21,13,15,21,15,7,15,11,14,12,16,25,14,15,17,13,17,23,21,14,13,28,19,9,12,11,21,12,26,15,12,27,19,9,13
4,15,14,22,12,14,21,14,8,16,11,14,12,18,26,15,13,18,12,17,23,20,13,15,30,20,9,11,11,21,14,22,15,14,29,20,9
5,28,14,16,22,13,15,22,15,7,17,10,13,12,18,24,14,13,16,12,17,20,20,13,15,30,20,10,11,14,21,18,22,15,14,29,20
6,25,26,14,15,23,14,17,21,16,8,19,12,15,14,20,24,15,11,16,14,18,21,22,13,16,27,19,10,13,12,18,17,23,15,15,27
7,27,25,24,16,16,24,16,18,23,17,8,19,12,16,14,20,22,15,12,18,15,18,21,22,15,15,29,18,10,13,15,18,18,23,16,15
8,18,28,26,24,14,15,24,15,20,24,16,8,19,13,17,14,20,20,15,13,18,16,18,22,22,15,14,28,18,10,16,16,18,19,23,16
9,25,17,27,27,24,15,16,23,17,19,22,17,8,20,14,17,12,20,20,14,12,18,14,18,23,22,15,15,27,19,12,17,15,19,21,23
10,30,25,18,27,28,24,14,15,22,15,20,22,18,10,20,14,17,11,21,18,15,13,21,17,18,24,22,15,16,27,14,13,20,17,19,22
11,18,29,24,20,30,29,27,14,13,22,15,20,24,19,13,18,13,17,11,21,19,17,13,20,16,18,24,25,17,16,19,16,13,18,16,19
12,29,21,29,26,20,28,29,25,13,15,23,14,22,23,19,12,19,13,18,10,19,20,16,13,20,14,19,24,25,17,19,20,15,13,20,16
13,29,32,19,27,21,19,26,28,25,14,15,24,14,22,23,19,12,19,14,17,9,19,21,15,14,19,14,18,25,24,11,19,21,15,14,19
14,30,28,29,23,28,24,20,27,29,28,12,15,25,14,21,21,17,12,21,16,16,8,20,18,15,13,20,17,17,23,16,10,19,19,15,13
15,26,31,29,30,23,29,26,22,25,29,26,12,16,25,15,19,20,17,12,21,16,16,9,20,19,15,14,20,17,17,13,16,10,19,20,14
16,39,28,33,29,28,23,31,25,21,26,32,27,12,16,26,15,18,21,18,12,22,16,16,9,23,18,15,14,20,20,24,13,16,10,21,18
17,32,36,26,30,30,26,23,30,25,19,26,32,27,12,16,26,15,18,22,18,12,22,16,15,11,23,19,15,14,21,12,24,13,15,11,21
18,25,36,35,26,29,29,27,22,28,24,19,26,34,27,12,17,26,15,17,20,17,13,23,16,14,10,21,21,14,14,18,12,24,13,14,10
19,16,24,33,38,27,28,30,29,26,31,26,18,26,33,27,15,22,26,15,17,19,16,15,26,17,14,12,21,19,14,19,17,13,26,14,14
20,23,19,27,31,35,32,29,29,27,26,30,27,16,26,33,26,15,24,24,13,16,19,17,15,25,18,14,13,20,18,16,19,17,13,25,15
21,19,21,19,27,30,32,36,29,30,31,21,30,28,16,25,35,26,16,25,23,12,16,21,18,15,24,15,16,14,19,12,16,21,18,13,24
22,38,20,23,22,30,32,30,35,28,27,31,23,30,31,18,24,35,25,16,25,23,12,16,21,16,13,25,20,16,13,24,12,16,22,16,11
23,23,39,23,26,19,30,37,30,34,26,25,29,24,35,29,16,25,35,24,19,23,25,15,15,20,16,12,28,17,16,23,26,15,16,20,16
24,23,21,36,24,25,21,29,37,31,38,30,26,30,23,32,28,17,24,34,26,17,24,22,15,14,19,13,12,28,19,17,24,22,15,15,19
25,22,23,26,37,26,28,22,31,37,33,37,30,29,31,22,32,26,16,25,34,26,19,23,24,13,14,22,13,11,30,26,18,23,25,14,15
26,25,24,23,26,36,25,27,17,29,38,34,37,31,31,31,27,27,25,17,20,34,29,22,21,24,13,16,22,15,11,33,30,21,22,26,14
27,25,28,25,22,28,32,25,26,18,31,37,35,37,31,32,32,24,26,27,17,22,31,32,21,19,21,14,16,23,15,22,32,32,19,20,22
28,21,23,28,26,23,28,33,25,32,24,31,38,36,39,32,33,33,23,27,26,18,22,31,34,22,20,28,14,17,25,21,21,31,33,21,20
