ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,54,52,51,34,35,42,39,40,30,39,34,36,28,24,32,23,35,24,38,20,40,29,44,38,37,43,37,46,27,48,42,30,43,37,37,41
1,48,52,54,51,35,36,44,41,42,28,36,30,37,28,23,34,22,33,25,40,25,39,29,45,37,37,47,35,52,29,24,42,33,46,38,37
2,48,41,52,51,52,36,34,43,39,46,30,34,29,38,30,21,33,23,32,24,39,27,40,28,46,40,33,45,36,50,39,27,45,33,47,40
3,59,47,37,53,52,56,35,32,45,38,45,28,35,28,38,33,20,31,26,33,22,40,26,39,33,47,41,37,45,37,25,39,26,43,34,46
4,48,59,46,41,52,51,56,35,34,42,36,45,28,32,29,40,32,20,33,29,35,21,41,28,43,35,46,41,39,49,38,25,41,26,46,36
5,59,49,58,46,43,53,50,53,34,34,43,36,45,25,31,32,39,34,22,34,29,36,21,41,28,42,33,46,45,38,28,39,24,40,26,45
6,75,54,50,55,47,44,51,47,56,33,35,44,35,45,25,30,31,39,36,24,35,30,37,25,42,27,44,32,46,45,37,29,40,24,41,25
7,67,74,51,49,57,47,42,50,50,55,33,36,44,35,45,24,30,32,39,38,24,36,31,37,26,45,29,46,35,49,27,37,28,39,25,44
8,66,67,76,50,50,56,49,41,51,45,53,32,33,43,35,48,25,33,32,40,38,23,35,30,38,29,45,32,47,37,41,27,38,27,40,27
9,47,66,66,76,53,47,56,51,43,48,44,52,33,33,44,36,47,26,33,32,39,36,25,34,32,38,27,45,31,46,41,41,27,36,30,40
10,64,47,65,65,79,54,48,55,52,41,45,44,49,32,30,44,36,46,26,34,33,39,38,29,34,32,41,29,45,29,34,42,42,31,36,30
11,62,66,49,67,63,78,50,49,55,49,37,43,41,48,33,29,42,35,46,28,34,32,40,40,29,34,31,40,27,43,34,34,43,43,30,36
12,56,61,63,50,68,63,78,49,49,55,47,37,42,42,49,35,30,39,34,46,29,33,32,42,43,32,31,31,40,28,27,34,32,45,45,32
13,63,53,60,65,50,68,61,80,49,50,56,47,38,44,45,49,35,30,39,36,46,28,33,35,42,43,31,34,32,40,47,27,35,35,44,45
14,82,62,51,64,70,50,69,59,81,50,49,54,47,36,45,45,51,38,30,38,37,47,25,35,36,41,45,32,36,32,40,50,24,38,36,44
15,67,83,63,53,61,70,54,68,59,82,50,50,55,47,35,45,45,49,39,31,38,39,46,27,35,38,43,46,30,41,37,42,49,26,38,41
16,62,66,83,64,55,61,67,54,70,61,81,50,48,54,47,34,45,44,49,39,32,40,39,46,27,35,37,46,48,33,31,38,42,48,26,37
17,57,63,67,84,64,53,61,67,54,70,59,79,51,49,54,47,35,46,44,51,38,32,39,39,47,25,37,37,47,48,37,33,39,42,48,24
18,82,59,63,64,84,64,50,61,67,52,67,58,77,50,51,52,48,36,44,44,49,39,32,40,40,49,24,39,37,46,50,38,32,38,42,50
19,63,80,59,63,61,84,64,49,59,68,54,67,57,75,51,52,48,47,37,44,43,49,39,30,39,40,49,25,41,39,46,53,37,30,39,41
20,56,61,70,59,62,60,85,64,52,60,69,54,67,57,74,50,50,49,46,37,47,44,51,39,30,40,38,49,24,39,47,48,54,37,30,40
21,52,54,59,69,61,62,60,81,63,52,62,69,51,65,61,75,48,49,52,48,38,46,44,52,41,29,37,36,53,22,37,46,49,57,38,30
22,55,51,60,61,75,65,62,59,83,63,54,56,66,52,64,60,74,47,48,54,49,40,42,49,55,42,29,35,37,51,49,39,43,52,57,39
23,52,50,49,56,59,72,66,63,59,79,61,55,59,68,50,65,59,71,46,48,53,51,40,41,53,53,43,31,35,37,55,53,39,42,55,53
24,58,49,45,48,56,58,69,65,65,60,77,59,54,59,69,50,63,60,63,48,49,49,54,42,44,50,53,42,37,35,45,52,54,40,45,52
25,41,60,48,46,46,54,56,69,64,64,58,74,56,57,62,65,52,59,64,59,49,51,50,57,42,45,50,54,45,39,47,47,55,57,40,46
26,52,41,57,43,43,47,54,59,70,65,64,60,70,58,56,59,58,52,57,67,55,45,50,52,56,41,49,48,58,46,54,45,50,55,55,47
27,53,53,41,54,41,42,44,52,57,71,63,64,57,68,58,61,60,56,57,57,62,53,49,52,54,58,39,49,48,59,60,56,49,52,58,57
28,48,52,50,40,49,46,38,48,47,56,68,58,62,57,72,57,55,59,50,61,64,63,56,50,51,55,64,42,55,49,61,62,63,49,55,59
29,46,47,53,52,39,49,48,39,46,48,55,67,58,62,58,68,57,55,59,54,62,63,64,60,55,52,53,66,44,50,62,63,66,69,54,55
30,52,46,47,50,50,37,50,44,39,44,47,54,68,56,63,56,66,56,57,60,62,65,70,61,61,55,53,58,62,51,62,67,67,62,70,52
31,51,57,48,47,48,52,39,46,43,36,46,48,54,66,61,65,56,64,58,59,60,60,65,67,67,68,57,58,54,65,61,63,65,72,62,80
32,58,48,54,49,47,50,48,41,45,43,35,45,50,53,67,64,63,60,62,58,66,61,61,63,68,71,66,59,64,62,63,64,61,65,73,67
33,59,57,51,49,50,48,48,47,42,41,43,34,45,50,53,69,63,63,63,61,61,73,65,59,63,73,74,72,58,65,60,66,69,63,65,77
34,49,61,58,48,48,52,45,50,47,41,40,45,34,43,49,56,71,63,66,66,64,62,79,66,61,72,74,83,73,60,62,61,70,68,64,70
35,49,48,58,55,51,47,52,42,52,48,37,41,45,33,43,48,58,71,64,67,68,64,63,77,68,58,72,77,81,71,69,66,62,76,69,60
