ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,20,15,14,13,10,16,20,22,12,10,20,10,9,11,9,18,17,9,7,7,7,12,13,22,15,14,15,16,13,6,7,14,12,22,15
1,26,10,23,15,13,13,11,16,22,18,12,10,19,10,9,11,10,17,19,9,7,7,8,13,12,21,15,14,13,16,7,6,8,14,12,21
2,18,25,11,22,14,13,13,9,16,21,18,13,9,19,10,9,11,10,17,19,9,6,7,9,13,11,20,15,14,13,9,7,6,9,14,11
3,17,17,23,11,23,14,12,15,9,15,23,18,14,7,19,11,10,11,10,16,19,9,6,10,8,16,10,19,14,15,21,9,7,9,8,16
4,20,19,18,23,12,24,11,12,14,9,14,22,18,13,8,18,12,10,11,11,16,19,9,6,10,7,16,11,19,13,18,21,9,7,10,7
5,22,21,21,18,22,12,23,11,13,12,9,12,24,16,14,8,20,12,9,11,11,17,20,9,7,9,7,19,11,19,10,18,22,9,7,9
6,25,22,21,21,16,21,12,24,12,14,11,9,14,25,16,13,8,20,11,8,11,11,18,19,12,8,9,9,18,11,13,10,20,20,12,8
7,12,23,22,21,22,14,21,13,25,11,13,11,9,14,24,17,14,9,20,11,8,12,11,19,18,12,8,8,8,18,9,13,10,19,19,12
8,22,13,23,23,21,23,13,20,14,23,10,13,12,9,16,24,17,14,10,19,11,8,12,11,19,18,12,7,8,9,11,9,12,10,19,19
9,23,22,13,22,23,22,22,13,20,13,24,10,13,10,11,16,24,17,14,10,17,12,9,13,11,19,20,11,8,6,16,11,10,13,10,19
10,26,23,21,13,22,22,21,21,13,19,13,24,10,13,10,10,16,22,16,14,10,17,12,10,13,10,19,19,13,7,11,16,11,11,13,9
11,19,26,21,19,13,23,23,21,24,13,19,13,25,11,13,11,11,17,22,16,13,10,19,14,12,13,8,20,19,11,14,11,19,12,12,13
12,35,19,26,21,20,15,22,22,20,23,14,19,14,27,12,14,11,11,16,22,16,13,10,17,12,10,12,8,21,18,15,14,11,17,12,11
13,18,35,21,27,22,19,14,22,22,19,25,14,17,14,27,12,15,12,11,16,21,16,13,12,17,12,11,12,8,19,21,15,14,12,17,12
14,23,17,36,18,24,21,20,14,24,23,22,23,14,16,11,27,12,15,13,12,16,21,16,12,11,17,12,12,12,7,18,21,15,13,12,17
15,24,25,17,36,18,24,22,22,14,24,24,22,23,14,15,11,26,12,15,14,13,16,21,16,12,12,17,12,12,12,12,18,21,15,13,13
16,22,23,27,16,36,17,25,22,22,14,22,24,23,23,14,15,11,23,10,15,15,12,16,20,16,12,11,17,12,10,13,12,18,19,15,13
17,24,26,24,26,16,35,20,27,23,22,16,23,23,23,25,14,16,11,24,11,15,15,12,16,20,16,12,12,17,12,15,13,12,17,19,15
18,33,24,26,26,24,15,36,16,23,20,22,16,21,24,23,25,14,16,11,26,9,15,15,13,18,21,16,13,12,17,10,15,13,13,18,20
19,24,33,22,23,29,23,17,35,14,23,21,23,15,21,24,23,25,13,17,12,25,11,15,13,13,19,22,17,12,11,28,11,15,12,13,19
20,21,24,35,21,23,30,23,17,37,15,26,19,23,15,21,25,23,25,13,17,11,25,9,13,15,13,20,21,19,13,12,28,9,14,14,13
21,28,22,24,30,23,25,28,24,17,37,16,26,18,22,15,21,25,23,25,13,18,11,25,9,14,13,13,19,21,17,19,12,28,9,16,12
22,19,25,21,24,30,22,25,28,23,16,36,16,25,20,21,14,20,24,23,25,14,18,12,27,9,15,12,12,19,22,13,19,13,30,9,17
