ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,24,24,26,25,24,24,28,17,22,21,10,23,20,16,14,28,21,19,28,32,25,22,26,20,33,28,27,30,35,35,25,22,26,20,34,29
1,29,23,29,25,24,27,19,28,17,22,22,15,23,23,17,15,25,20,20,27,33,25,24,25,20,33,28,24,32,32,34,25,23,27,23,34
2,36,30,23,25,28,25,25,19,26,16,21,24,11,22,23,16,17,22,21,18,27,34,24,23,27,21,36,28,22,28,27,33,24,22,29,24
3,38,38,28,23,28,28,23,25,19,28,14,20,24,13,22,23,17,17,24,21,18,25,31,25,22,27,16,34,31,24,19,25,31,25,21,29
4,30,37,40,29,23,27,26,23,25,19,22,14,20,25,12,22,22,15,17,24,22,18,25,28,25,22,27,20,34,32,21,20,25,27,25,19
5,47,36,36,41,29,23,29,26,23,27,18,22,15,19,25,10,22,22,16,16,24,23,16,23,29,24,19,28,20,31,27,22,18,21,29,25
6,42,47,34,36,41,29,22,28,27,22,23,17,21,16,22,26,10,22,23,16,16,24,24,17,22,28,24,15,30,22,14,27,22,19,21,28
7,50,43,48,37,33,43,28,23,30,28,22,23,17,23,16,21,26,11,22,23,16,15,21,21,16,25,34,24,17,28,17,13,24,20,18,24
8,52,52,45,48,33,34,42,26,23,28,25,22,24,18,22,15,21,25,12,17,22,14,15,24,19,15,23,32,26,18,22,15,13,26,19,17
9,52,50,54,47,48,35,34,39,26,21,25,26,22,25,19,22,15,21,26,13,18,20,11,15,21,18,18,23,33,25,17,22,13,14,22,17
10,51,52,52,52,48,46,34,36,37,26,20,26,27,24,25,18,22,18,21,23,13,18,21,12,16,23,18,18,26,34,13,17,24,13,15,24
11,54,53,52,53,53,46,46,31,36,36,26,18,26,30,23,25,16,23,17,21,24,14,19,22,12,16,23,17,19,25,25,15,18,23,13,15
12,41,55,48,50,52,52,44,46,30,35,37,26,19,27,30,22,24,17,24,18,20,25,15,19,21,15,16,24,16,19,20,26,16,19,24,16
13,44,42,55,49,50,51,50,41,47,27,35,37,28,19,28,30,22,24,16,23,18,21,25,16,19,22,15,15,24,17,19,21,26,16,20,24
14,43,43,42,56,51,46,50,49,42,45,29,35,37,28,19,27,30,23,24,16,22,17,20,29,14,19,23,15,16,25,23,20,21,29,14,20
15,59,38,44,45,55,50,47,49,51,42,45,29,35,38,28,21,27,30,21,24,16,22,16,23,29,15,21,24,16,18,17,23,19,22,30,17
16,39,59,39,44,48,53,49,48,47,48,41,43,29,34,38,29,21,28,29,21,20,19,21,17,21,28,17,21,22,19,21,19,23,20,21,29
17,48,42,57,40,41,49,53,50,48,48,48,42,43,29,33,38,28,21,28,28,21,20,20,22,18,22,27,18,24,23,22,21,20,24,22,22
18,44,50,45,55,39,42,48,56,45,47,48,48,40,42,30,32,38,30,22,27,28,21,21,20,21,20,22,26,17,25,27,22,21,20,23,23
19,46,44,52,43,56,38,43,48,55,49,46,51,48,42,42,30,34,38,29,23,28,29,23,23,21,21,22,22,29,19,28,27,24,22,21,23
20,42,45,49,50,42,60,39,44,51,57,48,46,51,48,41,42,30,34,39,27,22,26,29,24,23,21,21,23,22,35,22,25,27,25,22,21
21,45,39,47,54,51,44,56,38,47,53,56,50,46,52,48,41,41,33,34,40,27,24,27,30,25,23,23,28,21,20,27,25,27,28,26,21
22,42,45,41,45,60,51,40,50,40,47,54,55,50,47,54,49,43,41,33,34,39,30,27,27,29,23,29,27,26,19,37,30,26,27,29,24
23,38,42,49,41,49,59,56,44,50,45,45,52,56,51,50,55,49,44,39,34,34,38,27,27,29,35,30,32,24,25,35,38,28,25,30,34
24,40,39,42,44,41,51,56,53,44,54,45,44,52,60,49,50,57,50,44,41,36,34,41,27,28,28,33,31,37,24,34,34,40,29,27,30
25,46,46,37,39,44,40,45,59,56,43,61,45,45,51,55,48,50,54,53,41,42,38,33,43,31,28,28,36,31,35,44,35,35,42,33,27
26,55,50,46,38,41,41,40,53,56,51,46,63,43,44,51,51,48,52,56,53,40,42,37,36,47,35,33,31,33,34,42,44,34,36,47,36
27,45,59,48,44,39,41,40,40,49,58,50,43,61,44,46,57,50,53,52,53,50,38,45,42,34,50,31,34,35,34,50,41,46,40,34,49
28,43,45,58,49,47,45,36,38,37,47,46,54,42,62,43,49,54,50,56,52,52,48,38,42,42,30,51,33,34,31,50,48,41,44,41,29
29,52,46,49,62,46,45,45,35,39,31,45,43,52,50,62,46,44,55,47,59,54,58,42,41,43,43,30,48,31,35,54,51,50,44,46,40
30,48,54,49,47,62,46,48,43,38,38,34,45,39,52,54,64,49,49,59,46,62,53,59,45,40,42,43,25,48,33,59,55,52,48,41,44
31,45,48,53,48,46,62,49,46,45,39,40,35,44,39,51,55,66,49,46,57,44,57,53,59,46,42,42,44,30,47,47,60,54,60,46,43
32,41,47,45,53,49,45,64,48,49,42,38,40,35,49,37,52,55,62,48,46,52,40,59,52,57,47,50,42,42,27,52,43,61,57,56,47
33,52,41,46,46,51,48,45,61,43,43,42,38,39,35,50,36,52,56,60,49,43,51,41,55,56,55,46,50,49,43,43,49,44,54,57,55
34,65,51,37,46,46,48,52,51,61,43,43,42,39,42,36,48,33,53,58,57,48,46,51,41,53,59,54,49,44,51,50,47,50,45,52,62
35,60,65,52,36,50,45,49,49,45,58,41,41,41,38,39,38,48,33,52,56,52,48,45,49,40,54,56,56,51,49,52,49,47,49,41,55
36,34,58,65,48,36,47,43,53,47,44,58,41,41,43,37,38,37,49,34,54,55,54,46,42,51,41,54,59,56,50,54,55,47,45,51,44
37,40,35,60,67,49,35,45,45,52,41,45,59,42,41,38,36,38,38,53,32,55,56,61,47,40,48,40,56,59,51,54,56,55,48,41,51
38,52,41,34,58,69,48,36,44,47,50,39,45,59,43,41,36,35,40,37,54,32,53,53,61,44,40,51,42,53,57,34,52,53,62,45,41
39,46,51,41,35,57,68,48,34,46,44,49,39,46,56,43,41,36,35,40,35,53,33,53,55,62,47,38,49,43,49,53,34,52,55,62,47
40,43,43,50,42,34,55,69,47,34,45,43,48,39,45,56,42,41,35,34,36,33,50,36,54,52,64,48,41,52,44,31,52,37,52,50,64
41,48,40,43,52,38,31,56,69,52,34,45,44,46,40,45,55,43,39,35,32,36,37,51,36,54,51,60,43,44,56,35,33,51,37,52,51
42,38,47,43,40,50,36,30,55,69,52,37,43,44,45,40,44,54,46,40,35,31,36,41,52,39,57,52,61,44,46,32,35,35,52,40,57
43,43,38,50,43,39,52,35,32,55,68,51,37,43,44,44,40,44,54,47,40,37,34,39,39,55,38,58,54,61,45,38,35,38,34,54,38
44,39,46,38,51,43,42,52,34,36,53,67,52,36,43,44,43,39,45,53,46,39,35,35,38,41,57,40,58,56,61,40,36,36,36,36,56
45,22,42,48,39,51,41,41,50,36,32,54,67,52,36,44,44,43,39,45,52,47,37,33,33,39,42,55,38,56,57,48,39,35,34,38,37
46,31,23,39,47,42,51,44,43,51,39,31,55,67,52,34,44,44,44,40,45,53,46,38,33,32,40,43,53,37,56,53,47,40,35,33,37
47,29,32,22,42,47,39,50,41,40,51,38,31,54,65,52,31,44,43,44,40,44,52,47,38,32,33,39,43,53,36,42,53,48,40,34,34
48,33,29,33,24,39,46,39,52,41,41,49,38,30,55,69,52,30,45,44,45,40,44,52,47,38,35,33,42,46,52,37,42,52,48,40,35
49,34,34,29,33,21,37,45,38,50,42,40,50,37,30,55,68,51,31,47,44,45,40,45,55,45,38,36,36,40,42,48,38,43,55,46,40
50,26,35,34,29,32,21,40,44,39,50,40,40,49,36,31,55,67,50,30,47,44,45,41,44,56,44,37,35,33,37,44,48,38,43,55,44
51,27,24,38,34,29,29,21,38,44,39,49,40,40,49,36,32,54,66,50,29,46,43,42,41,44,53,43,38,34,34,44,44,46,38,42,54
52,38,30,25,37,34,31,33,19,38,45,39,48,40,42,49,36,32,53,65,51,29,47,41,44,41,44,54,42,36,33,30,45,42,47,38,42
53,30,41,27,25,37,31,30,28,20,40,45,39,47,39,42,49,36,32,51,64,50,30,47,41,44,43,45,54,45,35,51,31,45,43,46,40
54,29,30,40,28,24,36,30,32,30,19,37,45,40,47,38,42,49,35,32,51,63,49,31,45,42,44,44,43,53,48,63,50,31,44,44,46
55,37,27,30,43,29,22,39,31,30,29,19,36,45,38,46,38,43,49,34,32,50,63,48,30,44,40,44,43,42,52,47,63,49,30,43,42
56,38,36,27,28,40,28,22,36,32,30,30,18,37,45,39,47,38,43,48,33,33,49,62,51,30,43,41,47,41,42,33,47,61,51,31,42
57,43,36,35,26,27,39,28,22,36,33,29,28,18,37,45,40,48,38,43,46,33,32,50,62,50,31,44,41,49,40,32,32,49,61,50,31
58,32,43,37,36,28,28,39,28,23,37,31,29,28,18,37,45,38,50,39,41,45,33,32,52,60,49,30,43,38,50,45,32,32,50,57,49
59,32,28,46,34,36,29,25,39,28,23,38,30,29,27,17,37,45,38,50,37,40,45,33,32,52,59,49,31,42,39,41,45,32,32,50,58
60,27,31,29,45,35,35,28,24,37,26,21,37,28,29,27,17,37,43,37,51,36,40,45,31,32,52,59,47,31,41,34,41,45,31,32,51
61,31,25,32,30,43,34,34,27,24,35,24,22,37,28,29,27,17,38,42,36,49,34,39,45,29,31,51,58,47,30,48,33,39,45,29,31
62,16,31,24,32,31,44,34,33,27,25,36,24,23,37,28,30,26,17,37,43,34,48,32,40,45,29,29,52,59,48,36,48,32,40,45,29
63,16,15,30,25,30,31,44,35,34,26,22,36,23,22,37,28,30,25,19,37,42,34,48,31,39,44,29,28,52,56,42,36,48,30,39,44
64,15,16,14,31,26,32,30,46,33,36,24,21,36,23,21,37,27,30,25,18,37,42,35,48,31,40,46,29,28,51,36,41,37,48,30,40
65,18,16,14,15,30,26,29,30,45,31,33,25,21,36,22,20,37,27,29,25,18,33,42,36,47,31,41,45,31,28,17,34,41,37,46,30
66,24,16,16,15,14,30,26,27,30,42,32,33,24,22,36,21,20,37,29,29,25,18,35,42,36,45,31,40,45,31,25,17,36,41,37,44
67,25,22,15,14,14,15,29,25,26,30,41,31,33,24,22,35,21,21,36,29,29,25,21,35,43,36,45,28,41,45,29,25,19,35,42,37
68,15,27,21,18,14,13,13,29,27,26,31,39,28,32,23,22,36,21,21,34,29,29,24,20,34,43,36,43,28,41,29,29,24,18,34,42
69,28,14,23,25,16,15,13,11,27,25,24,28,36,28,32,22,22,35,21,21,34,29,29,24,18,34,44,34,42,28,33,29,30,24,16,34
70,32,26,15,24,21,15,13,13,11,26,24,23,28,36,27,31,22,22,34,20,21,33,28,29,24,16,33,44,33,41,22,32,28,30,24,14
71,19,29,26,14,22,22,17,12,12,10,24,24,22,28,36,27,30,21,22,31,20,21,33,27,28,24,16,33,41,35,20,22,32,27,29,24
72,25,20,30,24,16,22,21,13,11,16,8,23,24,22,27,36,26,27,21,21,31,20,21,32,27,28,23,14,32,42,30,20,22,31,27,29
73,19,23,19,29,23,15,22,20,14,11,12,8,23,24,22,27,35,26,26,21,20,30,20,20,32,27,30,23,14,32,20,29,19,21,31,27
74,12,19,22,18,29,21,14,22,19,15,11,10,9,24,23,22,27,34,25,28,21,20,30,17,22,32,27,30,23,12,21,20,29,17,22,31
75,11,12,18,22,17,31,19,14,21,17,15,9,10,8,24,23,22,27,33,26,31,21,19,29,18,21,32,28,30,24,31,21,19,28,18,21
76,16,10,12,15,18,17,27,19,14,23,15,15,9,9,8,24,23,22,21,32,26,31,20,20,29,18,21,29,28,29,26,31,20,20,28,18
77,17,15,9,13,14,17,16,29,20,13,20,12,15,9,8,8,24,22,22,20,33,26,32,20,20,30,18,21,28,24,33,26,32,20,20,29
78,13,16,14,9,12,15,17,16,29,18,13,19,9,15,8,8,9,22,22,22,20,33,26,31,20,21,31,17,21,28,19,33,26,31,20,21
79,17,9,13,14,10,10,14,16,13,29,17,12,19,8,13,8,8,10,22,21,22,21,32,24,29,20,17,30,17,21,24,20,32,24,29,20
80,12,17,8,11,12,8,11,14,15,12,26,16,12,18,8,12,9,8,10,22,20,21,16,27,23,27,19,16,27,18,19,23,19,27,22,27
81,9,9,18,9,9,10,6,14,12,14,12,26,15,11,15,8,11,8,8,8,22,22,18,18,26,23,25,18,16,26,23,20,20,17,26,22
82,4,6,8,15,7,9,9,5,10,12,14,10,21,14,12,13,10,10,7,7,7,21,22,18,17,25,23,24,18,15,6,21,20,20,16,25
83,7,5,6,8,15,6,7,8,4,9,10,12,10,20,13,12,13,9,10,7,7,7,19,18,17,18,24,20,23,16,8,6,19,17,19,17
84,3,5,5,6,7,11,3,6,7,4,10,7,11,10,19,13,12,11,9,8,4,7,7,18,16,17,18,24,16,21,4,7,6,17,16,18
85,3,3,4,5,6,6,8,8,8,8,5,10,6,11,11,17,13,11,11,8,7,3,7,8,15,15,17,17,24,16,7,3,7,7,15,15
86,3,3,4,4,5,5,6,7,7,7,6,4,9,3,11,10,17,13,9,9,6,7,3,7,8,12,13,13,16,22,6,7,3,7,6,12
87,2,2,3,3,4,4,5,5,6,6,6,6,3,8,1,11,10,16,11,6,9,5,8,3,6,9,11,9,14,15,9,5,8,3,6,7
88,2,2,2,2,3,3,5,4,4,5,3,7,6,3,7,None,10,10,10,7,6,12,4,6,3,4,6,6,10,12,6,10,4,7,3,4
89,1,1,2,2,2,3,4,4,4,4,7,2,7,5,3,7,None,6,10,10,7,5,12,2,6,3,4,6,7,9,8,6,8,3,7,3
90,2,2,2,3,2,2,3,3,3,2,3,5,1,6,4,2,7,None,3,6,9,5,7,10,None,6,2,4,5,7,10,6,7,7,2,7
91,1,1,1,1,1,2,2,2,2,2,4,3,5,2,5,3,2,6,1,2,6,8,6,7,6,None,7,1,3,3,6,8,7,7,6,2
92,1,1,1,1,1,1,2,2,1,2,1,3,3,4,2,5,2,2,4,None,2,6,4,8,6,4,None,5,1,3,2,6,4,8,6,5
93,1,None,1,1,1,1,1,1,1,1,None,1,2,2,1,2,5,2,1,4,None,2,4,4,6,5,4,None,5,1,None,2,4,4,6,5
94,None,None,None,1,1,1,1,1,1,1,None,None,1,2,1,1,1,3,2,1,4,1,1,5,3,5,3,4,None,4,4,None,1,5,3,5
95,None,None,None,None,None,1,1,1,1,1,None,None,None,1,2,1,1,1,2,2,None,3,1,1,3,3,4,3,4,None,None,3,None,1,3,3
96,None,None,None,None,None,None,None,None,None,1,1,None,None,None,1,2,1,1,1,2,1,None,2,1,1,3,3,3,3,3,1,None,2,None,1,2
97,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,1,1,None,1,1,2,1,None,None,1,1,1,2,2,2,2,1,None,None,None,1
98,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,1,1,None,None,None,2,1,None,None,1,1,None,2,1,None,2,1,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,1,None,None,None,None,2,1,None,None,1,1,None,1,None,None,2,1,None,None
