ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,23,32,46,36,36,32,22,25,30,27,26,19,29,18,21,25,27,21,21,16,24,20,27,15,12,17,17,13,14,18,23,20,28,14,11,18
1,34,20,29,45,36,35,30,20,24,30,26,26,19,28,18,20,25,26,21,22,15,23,20,25,17,13,18,17,12,17,15,22,20,26,17,13
2,37,33,22,29,45,36,36,30,23,24,28,26,27,18,28,17,19,25,25,21,22,15,22,20,25,16,15,18,18,11,22,16,22,21,25,16
3,33,38,35,24,28,44,33,35,30,22,24,28,24,25,18,28,17,20,24,25,21,24,14,21,20,24,16,15,19,16,21,23,15,21,19,25
4,33,30,40,35,24,28,42,32,35,28,21,24,28,24,25,18,28,18,18,24,25,20,23,14,21,19,23,15,15,21,28,21,22,14,21,19
5,33,32,30,36,36,23,28,42,32,34,30,21,25,28,25,25,18,29,18,18,24,26,21,21,14,20,19,25,14,12,25,28,22,22,13,20
6,28,32,32,28,35,33,23,27,39,31,33,30,20,23,28,25,25,18,29,18,18,24,26,20,22,14,20,19,25,15,19,25,27,21,23,13
7,22,26,31,31,28,34,34,23,28,35,29,31,32,21,23,27,25,26,18,30,18,18,24,23,20,23,12,20,18,23,17,19,25,23,21,23
8,53,21,26,30,30,30,33,31,23,26,35,29,31,32,18,23,26,25,26,18,28,17,18,22,23,19,23,13,21,18,25,16,19,25,23,20
9,34,55,22,27,30,30,30,33,31,23,28,34,29,31,32,18,23,25,25,27,18,27,17,18,21,21,18,23,14,21,17,25,16,19,24,22
10,31,35,54,21,27,31,30,29,32,30,23,27,35,29,31,32,18,23,23,25,30,17,26,17,19,23,21,20,22,13,29,17,25,16,20,24
11,26,32,36,54,22,29,29,32,28,29,30,24,27,35,30,31,31,19,23,22,26,31,16,26,17,19,23,21,21,22,26,30,17,25,16,20
12,38,27,32,33,55,22,28,30,30,27,30,31,24,27,35,30,31,30,19,23,21,26,31,16,26,17,19,22,21,20,24,26,30,17,25,15
13,34,38,29,32,33,53,22,29,29,29,29,30,31,24,29,34,30,31,30,19,23,21,27,32,16,26,14,19,22,21,22,24,27,31,17,25
