ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,5,5,7,9,13,7,4,10,14,6,2,6,5,11,4,8,5,2,6,1,6,7,2,1,4,2,8,2,5,1,6,7,2,1,3
1,4,5,5,4,6,9,14,8,4,10,16,6,2,6,4,12,4,8,6,2,7,1,6,7,2,1,3,2,8,2,7,1,6,7,2,1
2,7,5,4,4,5,6,8,14,5,4,9,16,7,2,6,4,13,4,8,6,2,7,1,6,6,2,1,3,2,8,3,7,1,5,6,2
3,3,7,4,5,4,5,6,8,13,5,3,9,14,7,2,6,4,13,3,7,5,2,8,None,6,6,3,1,3,2,5,3,8,1,5,6
4,11,3,8,4,5,5,5,7,9,13,6,3,10,13,7,3,6,4,13,3,7,5,2,8,None,6,6,3,1,3,7,5,3,8,1,5
5,10,11,1,7,4,5,5,6,8,9,17,6,5,9,13,8,3,6,4,14,3,7,5,3,8,None,6,7,2,1,3,7,5,4,8,1
6,18,10,10,None,7,5,5,4,5,7,9,17,6,6,10,13,8,3,6,4,14,3,7,5,3,8,None,5,7,4,14,3,7,5,4,9
7,4,16,10,10,1,8,5,5,4,3,7,9,17,5,6,10,12,8,3,6,4,15,3,7,5,2,8,None,7,7,4,14,3,8,5,3
8,16,4,15,9,10,1,7,4,5,2,6,7,9,17,5,6,9,10,8,3,6,4,15,3,8,5,2,8,None,7,6,4,14,3,9,5
9,9,17,2,14,10,11,2,7,4,6,3,6,8,9,17,5,6,10,10,8,2,5,4,15,3,7,5,3,9,2,2,5,4,15,3,8
10,8,9,15,3,15,10,11,3,9,4,6,3,5,8,10,17,6,6,10,10,8,2,5,4,15,3,7,5,3,9,9,2,5,4,14,3
