ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,26,25,26,26,23,21,39,23,31,43,36,50,51,32,30,32,41,37,29,35,35,39,43,43,49,39,38,51,33,33,36,38,43,44,47,39
1,19,25,26,31,27,22,34,39,24,34,34,39,45,53,30,31,29,39,38,27,36,33,40,44,46,47,40,39,53,34,36,33,38,43,45,47
2,18,19,25,28,32,27,26,37,43,24,31,36,37,42,53,32,29,29,38,39,27,37,31,39,44,47,47,43,39,53,26,34,35,41,42,45
3,23,16,20,25,29,33,39,26,39,46,25,34,39,36,46,48,32,28,30,37,34,28,36,29,40,43,46,45,40,35,34,27,33,31,40,42
4,20,20,17,23,28,30,43,38,29,46,38,24,35,40,37,48,43,32,28,34,36,34,26,36,27,39,43,46,39,42,36,34,23,35,29,38
5,25,21,22,18,23,28,40,44,40,28,43,44,27,34,43,39,46,37,32,29,34,34,34,25,36,29,40,39,44,38,35,34,34,22,35,29
6,24,22,24,24,19,24,45,39,49,39,29,46,43,29,37,44,42,43,37,36,29,31,33,35,26,37,31,41,36,46,29,34,33,36,23,36
7,19,26,24,24,26,18,30,45,44,49,41,31,46,42,28,35,41,41,43,34,35,29,32,33,35,24,38,29,40,37,36,29,35,32,37,22
8,24,18,22,27,26,28,26,31,49,47,49,43,31,48,43,27,34,46,44,43,33,38,30,33,33,32,26,37,29,39,33,38,30,35,32,34
9,26,22,21,23,28,23,37,27,38,50,47,50,47,29,46,45,27,35,48,45,42,33,37,30,35,32,33,24,36,30,39,33,37,32,39,31
10,21,26,22,21,22,28,30,41,28,37,48,48,50,47,32,47,43,27,36,52,48,43,35,35,33,34,32,34,26,39,42,43,34,36,35,35
11,20,22,29,23,20,23,45,33,41,30,39,51,50,53,45,29,43,44,31,37,50,50,45,33,35,32,32,32,35,22,50,43,45,40,37,34
