ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,13,12,12,11,10,15,15,11,7,3,8,10,16,13,8,14,9,6,8,13,11,8,10,9,22,13,16,13,15,13,11,8,11,9,23
1,18,11,13,12,12,11,10,15,14,13,7,3,8,10,15,13,8,13,9,8,8,12,12,8,10,9,22,13,17,12,8,12,12,8,11,9
2,18,16,14,13,11,12,11,11,17,16,11,7,3,7,11,15,13,7,13,10,9,7,12,12,6,11,7,21,11,16,7,7,12,14,7,11
3,17,18,16,15,14,13,11,11,10,16,16,11,7,4,9,12,15,12,7,13,10,9,8,12,13,5,10,7,20,12,11,7,8,12,14,7
4,11,14,18,17,14,15,13,12,11,11,15,16,11,7,5,9,12,15,13,7,14,11,9,8,12,13,5,10,7,22,14,12,7,7,12,14
5,21,10,17,18,17,14,15,9,11,12,9,15,16,10,6,5,9,12,14,13,7,13,11,9,6,14,14,5,11,8,7,13,12,10,5,14
6,14,21,10,17,19,16,16,15,10,10,10,9,15,16,9,6,5,8,11,14,12,7,13,11,9,4,15,13,6,11,13,7,13,11,10,4
7,23,14,22,9,18,18,16,14,17,12,11,10,9,16,17,10,8,5,7,11,14,13,7,13,11,10,4,15,13,6,14,14,7,13,11,10
8,22,22,14,22,9,21,18,18,15,14,9,11,11,10,16,17,10,8,5,6,11,14,13,7,13,10,8,4,16,12,11,14,14,7,13,10
9,15,21,22,14,22,9,20,18,17,14,15,9,11,11,10,17,16,10,8,5,6,11,13,15,8,13,10,8,4,18,8,11,13,13,7,13
10,20,17,24,22,14,22,9,19,18,19,14,15,9,12,11,11,17,16,10,9,6,7,11,13,15,9,13,11,7,4,6,9,11,13,13,8
11,19,21,18,22,21,14,21,9,17,19,19,14,15,9,11,12,11,17,16,10,9,5,10,11,12,15,7,13,10,7,10,5,11,11,12,14
12,16,19,18,17,23,20,13,21,10,19,19,19,14,15,9,11,12,11,17,16,10,8,5,10,10,12,14,7,13,10,11,9,5,11,10,12
13,17,15,19,19,16,23,20,13,22,11,17,19,19,14,14,9,11,12,11,16,16,10,8,5,10,11,12,13,7,13,16,11,9,5,11,11
14,19,18,15,20,18,18,23,22,13,21,11,17,20,19,14,14,9,11,13,11,16,16,10,7,6,10,11,12,12,7,16,16,12,8,7,11
15,18,19,18,17,20,17,18,24,20,14,22,11,17,20,18,14,14,10,11,13,11,16,16,11,9,6,9,11,12,13,11,16,16,14,9,7
16,18,16,21,19,18,21,17,16,23,19,13,22,13,17,20,18,14,17,10,12,12,11,16,16,14,9,6,9,11,12,12,11,16,16,15,9
17,23,20,15,18,20,17,21,17,16,24,21,13,22,11,16,19,19,13,17,10,12,12,12,17,17,14,9,6,9,11,12,12,12,17,17,15
18,16,19,18,16,19,21,18,20,18,17,24,21,14,22,10,16,19,20,13,17,10,12,13,12,17,17,14,9,6,11,10,12,13,12,17,17
19,22,18,19,22,15,19,20,19,21,17,17,23,20,14,21,10,17,19,20,12,17,10,11,13,12,17,17,15,9,6,16,10,11,13,12,17
20,21,22,12,19,22,14,19,18,17,21,20,20,22,22,15,23,12,17,19,20,11,17,10,8,11,14,17,18,13,8,10,16,10,10,12,15
21,19,22,24,16,18,21,14,22,19,17,24,19,19,21,23,16,25,12,18,20,20,11,16,9,9,10,14,18,15,14,21,10,15,10,10,11
22,12,19,24,28,17,18,22,14,25,18,14,24,19,18,21,24,15,26,13,17,20,20,12,17,13,9,10,13,15,17,21,20,11,16,13,10
23,12,12,19,20,27,17,18,24,13,21,17,14,23,19,20,19,23,15,26,13,16,20,20,13,18,12,9,11,14,17,14,20,20,12,18,12
24,17,15,11,19,22,27,16,17,19,14,23,16,16,23,20,17,20,22,15,26,12,18,19,19,16,18,12,8,12,14,11,16,19,19,15,18
25,17,16,13,14,18,22,27,18,19,19,12,23,16,17,22,21,17,19,16,13,26,12,18,21,19,17,15,12,10,12,27,11,16,23,19,16
26,22,17,18,12,15,18,22,24,15,19,19,12,21,16,20,21,21,16,17,16,14,26,10,19,22,19,17,15,12,10,15,28,10,17,24,19
27,14,21,15,18,13,12,18,22,24,16,18,18,9,22,17,19,21,21,16,16,17,13,26,7,18,19,21,17,15,12,16,14,28,8,16,19
28,16,15,18,15,18,16,13,20,23,22,17,18,20,10,20,18,19,20,21,17,15,18,12,25,9,19,19,20,16,12,15,17,13,26,8,16
29,14,15,14,17,16,21,15,12,21,23,24,17,19,19,11,21,19,19,22,21,17,16,19,13,19,8,20,21,19,15,17,15,17,13,20,7
30,17,16,16,14,17,16,18,15,12,21,25,24,18,20,19,11,19,20,19,23,22,16,16,17,16,18,7,20,20,18,21,17,15,16,15,19
31,15,18,18,16,15,17,14,18,17,14,22,25,25,19,19,21,11,19,21,18,22,21,17,15,18,16,19,6,19,18,21,20,18,14,17,15
