ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,13,12,14,12,10,13,13,11,10,14,10,11,11,2,8,5,15,8,10,6,8,5,8,4,3,4,7,3,3,5,7,5,8,4,3
1,13,16,13,11,15,12,10,12,13,10,11,14,10,12,13,2,8,7,14,9,10,8,6,6,10,4,3,3,7,2,11,7,6,6,9,4
2,17,14,16,13,11,14,12,11,13,11,12,11,14,10,12,13,2,8,7,14,9,10,7,7,6,10,5,3,4,6,9,11,7,7,6,9
3,12,18,14,15,16,9,14,10,13,13,12,12,11,14,11,11,12,2,9,7,14,9,10,7,8,6,10,4,3,3,13,9,10,7,8,6
4,13,12,16,14,15,17,9,14,10,11,14,13,14,12,10,11,11,12,3,9,6,14,9,10,7,7,6,9,4,3,7,13,9,10,7,7
5,13,17,14,15,16,14,17,8,15,11,14,12,14,14,12,10,12,11,11,4,9,6,14,9,13,7,7,6,9,4,9,6,13,9,13,7
6,15,11,16,14,14,16,14,16,9,14,12,12,13,14,14,12,10,11,11,11,4,10,7,14,9,13,8,7,6,9,4,9,7,13,9,13
7,17,18,15,17,14,15,14,14,16,8,16,12,12,13,13,14,13,10,11,11,11,4,11,7,15,9,13,8,6,6,14,5,11,7,14,9
8,22,19,17,12,19,13,16,15,14,15,8,16,12,12,13,13,14,12,9,10,12,11,5,11,7,15,9,13,8,6,13,13,5,11,7,14
9,17,22,17,16,13,18,12,16,13,15,15,6,17,12,12,12,11,14,12,9,10,12,13,5,11,7,15,9,13,8,10,12,14,5,11,7
10,19,16,22,18,16,11,19,11,18,14,16,14,5,17,12,12,11,12,14,12,9,10,12,13,7,11,7,15,7,13,10,9,12,14,7,11
11,15,20,16,21,17,17,11,18,11,17,15,16,14,6,17,12,12,11,12,13,12,9,9,13,12,8,10,7,13,9,11,10,9,13,13,8
12,23,16,19,16,22,19,16,11,20,11,16,15,15,14,6,16,12,12,10,13,13,12,9,9,13,12,9,10,7,13,14,12,9,9,13,13
