ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,8,9,4,7,9,6,8,7,6,1,6,3,6,3,4,2,2,3,2,3,4,1,3,4,5,5,5,10,3,2,4,1,3,4,4
1,5,6,7,9,5,7,7,5,7,7,6,1,6,3,6,3,4,2,2,3,3,3,4,1,3,3,3,5,4,10,4,3,4,1,3,3
2,13,6,6,6,9,5,7,7,6,7,7,6,1,7,2,6,3,4,2,1,3,2,4,5,1,3,3,3,4,5,3,2,3,5,1,3
3,6,12,6,5,6,9,5,7,7,5,6,7,7,1,8,2,6,2,4,2,1,3,2,4,5,1,3,3,3,4,1,3,2,3,5,1
4,6,5,12,6,5,6,9,6,7,7,5,6,7,7,1,8,2,6,2,4,2,1,3,2,4,4,1,3,3,3,1,1,3,2,3,4
5,10,5,5,12,6,7,6,10,7,7,6,5,6,6,7,1,8,2,6,2,4,2,0,3,2,4,5,1,3,3,4,2,0,3,2,3
6,4,8,4,5,12,6,7,6,8,8,7,6,5,6,6,7,1,8,2,6,2,4,2,0,3,2,5,5,1,3,3,4,2,0,3,2
7,7,4,8,4,6,12,6,7,6,8,5,6,6,5,6,6,7,1,8,2,6,2,4,2,0,3,3,3,6,1,7,2,4,2,0,3
8,9,6,4,7,4,5,13,6,7,6,8,5,7,6,5,6,6,7,2,8,2,6,1,4,2,1,3,3,3,6,2,7,1,4,2,1
9,9,9,6,6,8,4,5,12,9,6,9,9,6,7,6,5,7,6,6,2,8,2,5,1,4,3,1,3,3,3,8,3,6,1,4,3
10,8,9,9,6,5,9,4,5,14,6,4,9,8,6,7,6,5,7,6,6,2,7,1,5,1,2,3,1,3,3,3,7,2,6,1,3
11,4,6,9,9,7,6,10,4,6,13,5,4,9,8,6,7,9,5,7,6,6,2,6,1,5,1,2,3,1,3,6,2,7,2,6,1
12,8,4,7,9,9,6,5,9,5,6,13,3,4,9,8,7,7,9,5,7,6,5,2,6,1,5,1,2,3,1,6,6,2,7,2,6
13,6,8,2,7,8,9,6,4,10,4,7,13,2,4,9,8,6,7,9,5,7,6,4,3,6,1,5,1,3,3,7,6,5,3,7,2
14,8,5,8,2,7,8,9,6,7,9,4,7,13,2,4,9,7,7,7,9,5,7,6,4,3,8,1,5,2,3,6,8,6,4,3,8
15,9,8,6,9,2,7,8,9,5,5,11,4,7,13,2,4,9,7,7,7,9,5,6,5,4,3,8,1,6,2,7,5,7,5,4,3
16,11,10,7,4,8,2,7,9,11,6,5,11,4,7,13,2,4,10,7,7,8,9,6,6,5,4,3,8,2,6,8,8,6,7,5,4
17,5,11,9,9,4,7,2,7,9,9,6,4,10,3,7,12,4,4,9,7,7,8,6,6,6,5,4,4,8,2,8,8,6,6,7,5
18,11,8,11,7,6,4,6,2,7,9,12,7,5,9,3,7,11,4,5,9,8,7,8,6,6,6,5,4,4,8,8,7,9,6,6,7
19,5,13,6,11,6,5,4,7,3,9,11,11,7,5,9,3,7,11,4,5,9,8,7,8,6,6,7,5,5,4,9,8,7,7,6,6
