ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,32,27,23,34,30,20,29,39,37,28,22,27,28,25,23,23,20,20,28,20,26,29,18,16,18,18,28,14,17,13,25,29,18,15,18,18
1,37,34,28,23,35,33,18,30,36,36,26,22,27,28,24,22,22,19,21,26,19,24,30,18,17,19,18,27,13,16,18,24,28,18,15,19
2,50,39,36,28,22,38,31,18,32,35,35,26,22,26,28,25,21,22,21,21,25,18,24,29,17,18,19,17,27,13,26,19,24,27,18,16
3,30,52,36,36,28,20,35,32,15,32,32,36,26,22,26,26,23,19,23,22,20,26,16,24,29,17,18,20,17,28,21,27,17,24,27,17
4,28,31,54,39,36,26,20,35,31,16,28,32,38,25,21,26,26,22,19,22,22,20,26,16,24,27,18,18,20,17,20,21,27,17,23,26
5,35,28,32,52,37,36,26,20,37,30,13,27,32,36,25,21,26,25,22,19,22,21,20,25,15,24,28,18,16,19,21,19,21,28,16,23
6,37,34,28,33,51,38,36,27,19,35,28,13,28,31,34,25,21,26,24,22,18,23,22,20,25,15,25,29,17,15,19,22,19,21,28,16
7,38,40,33,29,34,51,36,35,26,19,35,28,15,28,31,34,25,19,26,23,22,18,23,22,20,25,16,25,28,17,22,19,21,19,22,28
8,48,38,38,33,29,33,53,35,36,27,19,36,28,15,31,31,34,25,19,26,23,22,19,22,24,22,24,16,24,28,22,22,20,21,21,23
9,35,48,36,38,34,29,35,50,36,35,27,19,35,28,15,30,32,32,27,19,26,23,23,19,22,21,22,25,17,23,26,22,22,19,21,19
10,33,37,48,41,37,33,28,36,50,38,34,26,19,34,30,16,29,32,32,27,19,25,21,23,19,20,21,22,26,17,21,25,20,23,19,20
11,38,31,38,49,38,40,36,28,37,49,34,33,26,19,34,29,16,30,32,32,27,19,25,21,23,21,20,20,23,27,27,21,25,20,23,21
12,41,38,31,37,49,38,38,34,28,36,48,33,34,26,19,33,28,16,30,33,32,28,20,25,21,23,22,20,18,23,34,29,21,25,20,23
13,40,45,38,33,37,49,37,37,32,28,36,48,32,34,28,19,33,28,16,32,33,32,28,20,25,20,23,22,18,20,36,34,28,22,25,20
14,41,38,44,38,32,37,47,37,38,33,29,36,48,32,34,28,20,33,28,16,32,32,32,27,20,25,20,23,22,18,32,35,34,28,20,25
15,42,41,37,44,39,35,39,50,38,36,34,29,36,48,32,32,29,20,33,28,16,32,32,32,27,20,25,20,23,22,14,32,35,34,28,20
16,33,42,41,38,43,39,34,39,46,38,38,34,31,36,48,33,32,29,20,32,28,16,32,32,32,27,20,25,21,23,29,14,32,35,34,28
17,53,33,42,42,38,41,40,36,38,44,40,38,34,31,36,46,34,33,28,20,32,28,16,32,32,33,26,21,24,22,32,29,14,32,34,34
18,38,50,37,44,43,40,42,40,38,39,46,40,38,34,31,36,45,36,33,29,20,32,28,15,32,35,33,26,22,21,19,32,29,14,32,36
19,42,40,55,33,44,44,40,44,39,38,41,46,40,38,33,31,37,45,36,34,30,20,32,29,17,31,35,34,24,22,29,19,32,29,15,32
20,36,42,38,53,32,43,44,38,42,37,41,42,46,42,39,33,29,36,45,37,33,30,21,32,29,19,31,36,34,23,32,29,20,32,29,17
21,50,37,44,40,51,34,46,45,39,42,38,40,42,46,43,39,35,30,36,44,37,34,30,20,31,32,19,34,38,32,35,33,28,19,31,32
22,37,49,40,44,40,52,34,47,43,40,43,38,38,43,44,44,39,36,31,36,44,39,36,31,20,32,31,19,35,39,46,36,35,29,19,32
23,32,37,48,41,44,37,56,35,42,42,40,44,40,39,44,43,39,38,36,29,34,48,37,36,28,22,32,31,16,32,35,47,35,35,27,21
24,26,34,37,51,39,44,40,55,33,42,45,37,46,41,39,45,44,38,38,37,29,32,49,36,39,30,22,33,29,16,27,34,48,34,37,29
25,42,29,34,37,49,40,46,41,54,32,42,45,36,47,40,41,44,42,38,36,36,31,32,48,34,38,29,20,31,29,34,29,33,48,33,36
26,42,43,32,35,37,51,42,47,38,51,35,42,45,34,47,39,36,43,42,38,38,37,32,30,50,34,36,28,21,30,38,35,29,30,49,33
27,38,42,44,31,32,34,49,41,45,38,51,36,42,44,34,48,37,36,43,42,38,38,36,32,29,46,34,32,28,20,39,37,34,28,29,45
28,34,38,41,45,30,34,31,46,39,48,38,50,36,43,43,32,46,41,36,40,40,39,37,38,32,31,45,33,29,29,40,40,36,35,29,31
29,35,36,39,42,46,30,30,33,43,40,46,38,51,33,41,42,29,44,42,36,38,41,38,39,35,31,31,47,30,29,42,41,39,37,32,28
30,28,35,36,37,42,46,31,30,32,44,38,45,37,50,33,42,42,27,44,43,36,38,44,38,37,35,30,31,47,30,36,41,44,38,36,32
31,32,29,37,32,35,42,44,31,30,34,41,38,46,37,51,31,42,41,27,43,43,35,41,41,36,36,35,30,34,46,39,35,43,43,36,35
32,33,30,28,35,33,34,43,44,30,30,36,42,37,47,37,51,28,42,39,25,44,43,35,37,41,35,33,31,29,33,44,40,35,42,43,37
33,28,33,31,28,36,34,34,42,45,30,31,35,42,37,45,38,49,26,42,37,25,41,40,32,36,37,34,33,29,24,24,42,38,33,41,41
34,25,26,33,31,29,36,35,35,42,44,31,30,34,42,37,43,37,49,26,41,35,27,39,36,33,39,37,38,34,29,37,25,42,36,34,42
35,30,24,25,34,35,26,35,35,34,42,44,31,34,33,42,37,43,37,47,26,42,32,26,37,36,34,37,36,36,33,42,35,25,36,36,35
36,25,31,25,26,34,32,28,37,35,36,43,44,31,33,32,41,36,42,36,47,26,43,31,26,36,37,35,42,38,35,27,42,35,25,35,37
37,24,22,30,25,26,36,31,25,37,37,36,43,44,32,33,33,39,35,43,35,46,26,43,32,24,33,37,33,41,37,50,27,42,35,24,33
38,23,24,24,31,24,29,34,34,26,36,36,37,41,44,32,33,32,39,35,43,35,47,27,43,31,23,33,37,32,40,37,49,28,42,34,24
39,16,21,26,21,32,25,26,34,33,26,36,35,39,41,44,32,33,32,39,34,42,35,47,27,44,32,25,32,35,31,42,37,49,28,43,34
40,37,14,22,23,24,31,27,25,36,35,26,36,34,39,41,43,32,31,30,39,34,43,38,49,27,45,30,27,32,34,35,42,38,50,28,44
41,37,36,15,21,25,22,32,25,25,34,36,25,36,34,39,40,42,31,31,30,39,34,40,38,47,27,45,32,26,31,41,35,40,38,49,27
42,30,38,37,15,21,26,24,33,26,24,34,35,25,36,34,39,40,42,31,31,30,38,34,40,38,45,27,44,33,27,32,40,34,40,38,48
43,26,30,37,36,14,22,24,24,31,25,26,34,35,26,36,33,39,41,39,33,31,28,40,34,41,37,44,28,45,32,30,30,40,34,41,38
