ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,None,2,None,None,None,2,2,None,1,1,1,1,1,3,4,None,1,3,3,4,1,2,2,2,None,None,1,2,None,4,1,2,None,1,None
1,4,2,None,2,None,2,None,2,3,None,1,1,1,1,None,2,4,None,2,4,3,4,1,1,2,1,None,None,1,2,3,4,3,None,None,1
2,3,3,1,None,2,1,None,None,2,3,None,1,1,1,1,None,2,4,None,1,4,3,4,1,1,3,1,None,1,2,4,3,4,2,None,None
3,3,3,3,3,None,2,1,None,None,2,2,None,None,1,1,1,None,2,4,None,1,4,3,4,1,1,3,None,1,1,1,4,3,5,1,None
4,4,3,2,3,1,2,1,2,None,None,1,2,None,None,1,1,1,1,1,4,None,1,3,3,3,1,1,3,None,1,None,1,2,3,3,1
5,3,3,3,2,3,1,2,1,2,None,None,1,2,None,None,1,1,1,1,1,4,None,1,3,3,3,1,None,2,None,4,None,1,2,3,3
6,4,1,3,2,2,3,1,2,1,1,None,None,1,2,None,None,1,1,None,1,1,4,None,1,2,3,2,1,None,2,1,4,None,1,2,3
7,4,3,2,3,2,2,3,1,2,1,1,None,None,1,2,None,None,1,1,None,1,1,4,None,1,2,3,2,1,None,1,1,3,None,1,2
8,1,4,2,1,4,2,2,3,2,2,1,1,None,None,1,2,None,None,1,1,None,1,1,4,None,1,2,3,2,1,None,1,2,3,None,1
9,4,1,3,2,1,3,2,2,2,1,3,1,1,None,None,1,1,None,None,1,1,None,1,1,4,None,1,1,3,2,1,None,1,2,3,None
10,4,4,1,3,2,1,3,2,2,3,1,3,1,1,None,None,1,2,None,None,1,1,None,1,1,4,None,1,1,3,1,1,1,1,2,3
11,5,3,4,1,3,2,1,3,2,None,3,1,3,None,1,None,None,1,2,None,None,1,None,None,1,1,4,None,1,1,None,1,None,1,1,2
12,6,3,3,4,None,3,2,None,3,2,3,3,1,3,None,1,None,None,1,2,None,None,1,None,None,1,1,4,None,1,None,None,1,None,1,1
13,11,6,3,3,4,1,3,3,None,3,2,3,3,1,4,None,1,None,None,1,2,None,1,1,1,None,1,1,4,None,2,None,1,1,None,1
14,3,10,6,3,3,4,1,3,3,1,1,2,3,3,1,4,None,1,None,None,1,2,None,1,1,1,None,None,1,4,1,2,None,1,1,None
15,4,2,9,6,3,2,4,1,3,3,None,1,2,3,3,1,3,2,1,None,None,1,2,None,1,1,1,None,None,2,None,1,2,None,1,1
16,9,4,2,9,5,3,2,4,1,3,3,None,1,2,3,3,1,3,2,1,None,None,1,2,None,1,1,1,None,None,None,None,1,2,None,1
17,4,9,4,1,8,4,3,2,4,1,2,3,None,1,2,3,3,1,3,2,1,None,None,1,2,None,1,1,1,1,1,None,None,1,2,None
18,5,3,9,4,2,6,4,3,3,4,1,2,3,None,1,2,3,2,1,3,2,1,None,None,1,2,None,1,1,1,2,1,None,None,1,2
19,4,6,3,10,3,1,5,4,4,2,4,1,4,4,None,1,2,3,3,1,3,2,1,None,None,1,2,None,1,1,3,2,None,None,None,1
20,6,4,6,3,8,2,1,4,3,3,1,3,1,4,4,None,1,1,2,3,1,3,2,1,None,None,1,2,1,1,1,3,2,None,None,None
21,5,4,4,6,2,8,4,2,4,3,2,1,2,1,4,4,None,2,1,2,3,1,3,2,1,1,None,1,2,1,3,1,3,3,2,None
22,1,4,3,3,6,2,7,2,2,4,3,2,1,3,1,4,4,None,3,1,2,3,1,3,2,1,1,2,2,2,2,3,1,3,2,3
23,5,3,4,3,3,6,2,6,2,3,3,2,2,1,4,1,4,4,None,3,1,2,3,1,3,2,1,1,2,2,1,2,4,1,3,2
24,2,5,3,4,3,4,6,1,5,2,1,3,2,2,2,4,1,3,4,None,2,1,2,3,1,3,2,1,1,1,2,1,1,3,1,3
25,4,2,5,2,3,3,5,6,2,5,3,None,3,1,2,3,3,1,3,4,None,2,1,2,3,1,3,2,1,None,None,2,1,1,2,1
26,5,3,2,5,3,4,3,3,6,1,8,2,None,3,1,3,4,2,1,3,4,None,2,2,2,3,1,3,2,1,4,None,4,None,2,2
27,2,5,2,1,5,3,4,3,5,7,1,5,2,None,4,1,2,4,2,1,3,4,None,2,2,1,4,1,3,2,3,4,None,3,1,2
28,1,2,5,2,1,5,3,3,3,2,9,1,5,2,None,4,1,2,5,2,1,3,4,None,2,2,2,4,1,3,1,3,4,None,3,1
29,2,1,2,4,2,1,5,3,2,4,1,9,1,5,1,None,4,4,2,5,2,1,3,4,None,3,3,1,3,1,2,1,2,2,None,3
30,3,2,1,1,4,2,2,5,3,2,3,1,9,1,5,1,None,4,5,2,5,1,1,2,5,None,4,3,None,3,5,2,1,1,4,None
31,3,3,1,1,1,4,2,1,5,2,2,2,None,9,2,4,1,None,4,5,2,3,1,2,2,5,None,4,2,None,2,4,2,1,2,4
