ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,20,10,12,18,11,15,10,21,12,10,18,9,12,15,10,11,9,17,13,18,18,18,17,8,18,18,15,25,19,19,18,20,17,8,17
1,20,17,18,10,12,18,10,15,9,21,8,10,18,10,12,14,9,11,10,17,13,20,18,20,18,8,16,17,14,25,12,20,17,19,18,8
2,15,19,16,20,11,14,18,11,15,9,19,8,11,18,10,12,13,9,9,12,17,15,20,17,20,19,7,18,16,12,16,14,20,16,19,20
3,14,16,20,17,20,11,12,18,11,15,10,16,9,11,18,10,12,15,8,8,11,15,15,20,17,19,18,7,18,16,12,15,14,20,16,18
4,18,12,16,21,15,19,12,13,18,11,17,11,15,10,11,18,10,14,15,8,8,11,17,17,19,17,20,19,8,17,8,12,16,14,19,16
5,18,22,12,15,20,15,19,13,12,18,10,17,11,15,10,11,18,10,14,13,8,8,11,16,16,19,17,19,19,8,10,8,12,15,14,19
6,22,17,21,12,15,19,16,20,13,12,17,10,18,10,15,10,11,16,9,14,13,8,8,11,16,14,19,18,18,19,14,10,8,12,15,13
7,22,22,18,19,12,16,19,15,18,11,10,17,12,19,10,15,10,12,16,9,13,13,9,8,11,15,12,19,17,18,14,14,10,9,12,14
8,18,22,20,16,19,14,16,19,15,18,11,10,17,12,19,9,15,10,12,16,10,15,13,10,8,10,15,12,19,17,10,15,15,11,9,11
9,18,17,21,19,16,19,12,16,19,15,19,11,10,17,12,18,9,15,10,12,15,10,15,12,9,8,9,15,12,19,14,10,15,14,10,9
10,17,20,19,22,19,16,19,12,16,19,15,19,11,10,17,12,18,8,15,10,10,15,9,16,12,9,8,9,13,12,11,14,10,16,13,10
11,16,17,18,20,23,19,17,21,13,16,19,15,19,11,10,16,12,18,11,15,10,10,15,8,17,16,10,9,10,13,11,11,14,9,17,16
12,21,16,17,19,18,21,21,16,21,13,15,19,15,19,11,11,16,12,17,11,15,11,10,16,8,17,15,10,11,10,15,12,11,15,9,17
13,30,21,16,18,18,20,20,19,17,22,12,15,19,15,19,11,11,16,12,17,11,14,11,12,16,11,14,15,11,11,12,15,12,12,15,11
14,11,30,21,16,17,20,19,20,21,16,22,12,15,17,15,19,11,11,16,11,17,11,14,14,12,16,11,14,17,10,17,12,15,14,12,15
15,28,11,32,22,17,18,18,18,20,19,17,23,12,15,17,15,21,10,11,16,11,17,11,15,14,12,16,12,15,17,11,17,12,15,14,12
16,25,29,13,29,25,17,16,18,20,20,21,18,22,12,15,18,15,21,9,11,16,11,17,10,15,14,12,16,12,15,18,11,17,12,15,13
17,34,27,28,13,29,22,20,19,18,19,19,21,17,22,12,15,18,16,21,9,11,16,12,17,10,14,13,12,16,12,10,18,12,17,12,14
18,33,35,27,26,13,29,23,19,18,18,19,19,21,17,21,12,14,19,16,21,9,12,17,11,17,12,14,13,13,17,10,11,18,11,17,13
19,21,32,35,26,27,15,28,22,19,16,19,19,20,22,18,21,15,14,21,16,21,10,13,18,11,16,12,13,12,12,19,11,12,19,11,16
20,23,21,33,37,24,30,15,28,21,17,16,21,18,18,23,17,21,14,12,23,16,20,10,15,18,9,16,13,12,11,16,19,11,13,19,10
21,22,23,25,34,39,25,32,16,29,20,20,16,21,18,19,23,17,19,14,11,23,17,20,10,13,20,9,17,14,12,22,17,19,11,12,19
22,21,25,22,22,36,40,24,29,16,30,22,17,19,19,19,21,23,16,17,14,11,24,17,19,9,15,21,10,18,14,12,23,17,19,10,14
23,21,21,23,22,22,37,41,27,29,16,32,22,18,17,19,20,23,23,16,17,14,14,23,15,19,9,15,21,13,18,14,15,21,15,19,10
24,21,21,19,23,22,21,38,42,27,30,19,33,23,16,15,18,21,24,23,13,17,15,13,22,16,21,9,12,19,13,17,15,14,20,17,21
25,19,23,22,19,22,23,20,35,41,27,28,18,33,25,15,16,20,20,25,23,13,18,14,12,24,16,21,11,14,22,15,18,14,13,22,17
26,22,21,21,20,18,21,23,22,37,41,28,25,18,30,25,17,18,21,20,26,23,16,18,15,13,22,16,20,14,11,23,18,18,15,14,20
27,18,20,20,19,21,18,21,22,21,37,40,25,25,22,29,23,16,19,23,19,27,21,21,16,18,13,23,16,21,12,25,21,21,16,17,14
28,21,16,20,16,19,20,16,19,21,19,36,39,22,25,22,27,23,20,21,23,20,29,20,19,18,18,13,22,18,18,20,27,19,19,17,16
29,18,21,16,21,16,19,20,16,19,20,22,35,44,21,26,23,29,23,19,20,22,20,28,19,20,19,15,14,21,19,22,20,26,20,20,17
30,22,20,23,15,19,16,18,19,17,19,21,22,33,44,21,26,22,29,22,19,21,23,18,29,21,20,19,19,17,20,21,23,19,26,21,22
31,12,21,23,21,14,21,13,18,20,16,21,20,21,31,43,22,27,23,27,21,18,21,21,18,29,23,24,19,19,21,18,20,22,20,26,22
32,16,13,20,23,21,13,21,14,18,19,18,22,20,20,31,42,22,26,24,27,21,18,18,20,17,26,21,26,20,19,21,18,19,21,19,24
33,23,16,11,21,22,21,13,19,14,19,19,17,22,20,20,30,41,21,28,24,26,20,18,17,21,20,23,21,26,20,26,21,19,18,22,21
34,12,24,16,12,21,22,21,13,19,12,19,18,18,23,21,20,29,39,21,29,25,27,21,19,17,24,21,22,22,26,25,27,22,20,18,23
35,17,11,24,19,12,21,23,21,13,19,13,19,17,17,24,20,20,29,38,25,30,28,26,24,19,20,23,21,23,20,27,29,27,23,20,20
36,13,18,12,24,15,12,22,22,21,13,19,15,19,17,17,23,20,18,27,40,24,30,30,28,22,19,22,23,21,22,24,28,30,28,22,20
37,17,13,19,12,24,15,12,21,21,22,13,19,14,18,18,18,23,18,17,25,38,24,32,29,30,21,19,21,24,19,36,23,31,27,29,21
