ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,4,5,3,6,2,3,1,2,1,4,3,2,2,1,2,None,5,2,1,1,None,1,3,4,None,3,3,4,1,2,None,1,3,4,None
1,4,3,4,6,2,5,3,2,1,2,1,4,2,2,2,None,1,None,5,1,None,2,None,None,3,4,None,4,4,5,None,2,None,1,3,4
2,4,4,2,5,6,2,4,2,3,1,2,1,3,2,2,2,None,1,None,5,1,None,2,None,None,3,4,None,3,3,1,None,2,None,1,3
3,3,6,4,1,4,6,3,3,2,3,1,2,1,5,2,1,1,None,1,None,5,1,None,2,1,None,3,4,None,2,5,1,None,2,None,1
4,8,2,5,4,2,5,7,2,3,3,2,1,2,1,5,2,1,1,None,1,None,5,None,None,2,1,None,3,4,None,None,5,None,None,2,None
5,2,7,2,5,4,2,4,6,1,3,3,2,1,2,1,5,2,1,1,None,1,None,5,None,None,2,1,None,3,4,1,None,4,None,None,2
6,6,3,7,2,5,4,2,5,6,1,4,3,2,1,2,1,3,2,1,1,None,1,None,5,None,1,1,1,None,3,None,1,None,4,None,None
7,3,4,2,7,2,5,4,2,4,6,1,4,2,3,1,2,1,3,2,1,1,None,1,None,5,None,1,1,None,None,2,None,1,None,4,None
8,6,3,5,2,7,1,5,4,2,4,6,1,4,2,3,1,2,1,3,2,1,1,None,1,None,5,None,1,1,None,2,1,None,1,None,4
9,2,5,3,4,2,6,2,5,4,2,4,6,1,4,2,3,1,2,1,3,1,1,1,None,1,None,5,None,1,1,1,1,1,None,1,None
10,5,4,5,2,5,2,6,1,4,4,2,4,6,1,4,2,2,1,2,1,3,1,1,1,None,1,None,5,None,1,3,1,1,1,None,1
11,5,4,2,5,2,5,2,6,1,4,4,2,4,6,1,4,2,2,1,2,1,2,1,1,1,None,1,None,5,None,1,2,1,1,1,None
12,9,5,5,2,4,3,4,2,6,1,4,3,2,4,6,1,4,3,2,1,2,None,2,1,1,1,None,1,None,5,2,None,2,1,1,1
13,7,11,4,4,2,5,3,4,2,6,1,4,3,2,4,6,1,4,3,2,1,2,None,2,1,1,1,None,1,None,1,2,None,2,1,1
14,4,7,11,4,5,2,6,2,4,2,6,1,4,3,2,4,6,1,4,3,2,1,2,None,2,1,1,1,None,1,2,1,2,None,2,1
15,7,3,6,10,4,5,2,7,2,4,3,6,1,4,3,2,5,6,1,4,3,2,1,2,None,3,1,1,1,None,2,2,1,2,None,3
16,9,7,3,6,9,4,4,2,6,2,4,3,6,1,4,3,2,5,6,1,3,3,2,1,3,None,3,1,1,2,4,3,2,1,3,None
17,4,9,7,3,5,9,3,3,2,5,3,4,3,6,1,3,3,1,5,6,1,3,4,2,1,3,None,3,1,1,1,3,3,2,1,3
18,10,4,8,7,2,6,9,4,2,2,6,3,4,3,6,1,3,3,1,6,6,1,3,4,2,1,3,None,3,1,5,1,3,2,2,1
19,8,9,4,8,9,5,6,8,3,2,2,6,3,4,3,6,1,3,3,3,5,6,2,3,4,2,1,4,None,3,5,6,1,3,2,2
20,7,9,9,6,8,8,4,6,7,3,3,2,6,3,4,3,6,1,3,3,3,5,6,1,3,4,2,1,4,None,4,6,6,None,3,2
21,5,7,7,8,4,7,8,3,5,7,4,3,2,6,3,4,3,6,1,4,3,3,5,6,1,3,4,2,1,3,3,3,6,7,None,3
22,2,5,7,8,7,7,7,8,3,5,11,6,3,2,6,3,6,3,6,1,4,4,3,5,5,1,3,4,2,1,4,4,3,7,6,None
23,5,2,6,7,9,6,6,5,7,3,5,9,5,3,2,6,3,6,2,5,1,4,5,2,5,5,None,4,4,2,1,4,5,1,6,5
24,5,6,3,6,7,8,5,6,5,7,4,5,9,3,3,2,6,3,5,2,5,1,3,5,3,5,5,None,3,4,5,1,4,5,2,6
25,3,5,6,4,3,7,6,4,6,6,4,4,4,9,3,3,2,6,3,5,2,5,None,3,4,3,5,6,None,3,3,5,1,4,4,2
26,8,3,5,6,4,4,6,7,3,6,5,4,4,4,7,3,3,2,6,2,5,1,5,1,3,4,1,4,5,None,5,3,5,2,4,4
27,12,7,3,5,5,2,3,6,7,3,6,6,4,4,3,8,3,3,1,6,2,5,1,5,1,4,4,1,4,5,3,5,3,5,2,5
28,4,10,8,4,4,5,1,3,6,6,3,6,5,4,4,2,8,3,3,1,6,2,3,2,5,1,4,7,1,4,5,3,4,3,5,2
29,5,4,10,8,5,4,4,1,2,6,6,3,5,5,4,3,2,8,3,3,1,7,None,3,2,5,1,4,6,1,1,6,2,4,3,5
30,1,4,3,10,8,5,3,3,2,3,6,6,3,4,5,3,3,1,9,3,4,2,6,None,2,1,5,1,2,6,4,3,5,1,4,3
31,5,2,4,4,10,8,6,3,3,2,4,4,6,3,4,5,3,3,1,9,3,4,2,6,None,2,2,6,1,3,4,4,3,5,2,4
32,8,5,2,3,3,10,7,5,4,3,1,4,4,6,3,4,4,3,3,1,8,3,3,1,4,1,2,3,4,1,6,3,3,3,5,2
33,4,6,4,2,4,2,9,5,5,3,3,2,4,4,5,3,3,4,2,2,1,7,2,4,None,4,2,3,3,1,1,6,2,3,3,4
34,6,4,6,4,2,4,2,9,5,4,4,3,2,4,4,5,3,3,4,2,1,2,7,3,4,None,6,2,1,2,2,1,6,2,3,2
35,6,5,3,6,3,2,3,2,9,3,5,4,3,2,4,4,5,3,3,4,2,1,3,6,3,4,1,4,2,2,3,2,1,7,2,3
36,2,6,5,3,6,2,2,2,2,9,4,4,5,5,2,4,4,5,3,3,4,2,2,3,6,3,4,1,4,2,4,2,3,1,6,2
37,3,3,6,5,2,6,2,1,2,2,10,4,4,5,6,2,3,4,5,3,3,4,2,2,2,6,3,4,1,6,4,4,2,3,1,7
38,3,3,1,6,3,2,6,2,1,3,4,9,5,4,5,6,2,3,4,5,3,2,4,2,2,3,6,3,4,None,4,3,4,2,3,1
39,5,4,3,None,6,5,1,6,2,1,4,4,9,5,4,4,6,2,3,4,6,2,2,4,2,2,2,6,3,3,5,3,3,4,2,3
40,11,4,5,3,None,5,4,1,6,2,1,3,3,9,5,4,5,5,2,4,4,6,2,2,4,2,2,3,5,3,4,5,3,3,4,2
41,3,9,4,4,2,2,5,4,1,6,3,1,3,2,9,5,4,5,5,2,4,4,7,2,2,5,2,2,2,6,5,4,6,3,3,6
42,4,2,8,4,4,2,1,5,4,1,6,3,1,3,2,9,5,4,5,6,2,4,4,6,1,2,5,2,1,1,2,4,4,5,3,3
43,7,3,2,8,5,3,2,1,4,4,2,7,3,1,3,2,9,5,4,5,6,2,3,4,5,1,2,5,2,3,4,2,3,3,4,3
44,3,7,2,2,8,6,3,1,1,4,5,3,7,3,1,4,2,7,5,4,5,6,2,3,4,5,2,3,6,2,5,5,2,3,3,5
45,4,2,7,2,1,8,5,3,1,1,4,5,3,7,3,1,4,3,7,5,5,5,5,2,3,4,5,4,3,6,4,5,4,2,3,3
46,3,5,2,7,1,1,7,4,3,1,2,4,5,2,7,3,1,4,3,7,5,5,5,2,2,3,4,5,4,3,5,4,5,3,2,4
47,6,3,5,2,7,1,1,7,3,3,2,2,4,5,2,7,3,1,4,3,7,5,5,3,3,2,3,4,6,4,7,5,4,4,3,2
48,8,6,3,5,2,6,None,1,6,3,4,2,2,4,5,2,8,3,1,4,3,7,5,5,3,3,2,3,4,6,3,7,5,4,4,3
49,4,8,6,3,6,2,6,None,1,6,4,5,2,2,4,5,2,7,3,1,4,2,7,5,5,3,3,2,4,5,5,2,8,5,4,4
50,7,5,7,6,3,5,3,6,None,1,6,4,5,2,2,4,5,2,7,3,1,3,3,7,5,5,3,3,2,4,1,4,3,9,5,4
51,7,7,5,7,6,4,5,2,6,None,1,6,4,5,2,1,5,5,1,6,3,1,4,3,7,5,5,4,3,2,3,1,4,3,7,5
52,3,7,7,5,6,5,3,5,2,6,1,1,9,4,5,2,3,4,5,1,6,3,1,5,3,7,5,5,4,3,5,3,1,4,3,7
53,5,4,7,7,5,7,5,3,5,2,5,1,1,9,4,5,1,3,4,6,1,7,3,1,4,5,7,5,5,3,1,6,3,1,4,5
54,6,4,3,7,7,5,7,5,3,5,2,5,1,1,9,4,3,2,3,4,5,1,7,5,1,4,4,7,5,5,5,1,6,4,1,4
55,4,6,5,3,7,7,5,7,5,3,6,2,5,1,1,8,4,3,3,3,4,5,1,7,5,1,4,3,7,5,4,5,1,7,4,1
56,9,4,7,5,3,7,7,5,7,5,4,6,2,4,1,1,8,3,3,3,3,4,5,1,7,3,1,4,3,8,2,4,5,1,6,3
57,6,10,4,6,5,3,7,7,5,7,5,4,6,2,4,1,1,8,3,3,3,3,4,5,1,7,3,1,4,3,3,2,4,5,1,6
58,9,5,10,4,6,5,3,7,7,5,9,5,4,6,2,4,1,1,8,5,4,3,3,4,5,1,7,2,2,4,4,3,2,4,5,1
59,5,9,5,10,3,6,5,3,7,7,6,9,5,4,6,2,4,1,1,8,5,4,2,3,4,5,1,6,2,2,5,4,2,2,4,5
60,4,6,9,4,9,3,6,4,3,7,7,6,9,4,4,6,2,6,1,3,8,5,4,2,3,4,5,1,6,3,6,5,5,2,2,4
61,13,4,5,9,4,10,3,6,4,3,7,6,6,6,4,4,6,2,6,1,3,8,6,4,2,3,4,5,None,6,4,7,5,5,2,2
62,2,13,4,5,9,5,10,3,6,4,4,7,6,6,6,4,4,7,2,6,1,3,8,6,4,2,3,4,5,1,1,3,8,5,5,2
63,1,3,13,4,6,8,4,9,3,7,4,4,7,6,6,6,3,5,7,2,6,2,3,7,6,4,2,3,4,5,6,2,3,8,5,5
64,6,2,3,13,4,5,8,4,10,5,5,4,4,7,6,6,6,5,5,6,2,6,1,3,7,5,4,2,3,4,2,6,1,3,7,5
65,8,6,2,3,13,4,5,8,4,9,4,4,4,4,7,6,5,7,5,5,4,2,7,1,3,6,5,5,2,3,4,2,7,1,3,5
66,5,8,6,2,3,12,4,5,8,3,7,4,4,4,4,7,6,5,7,5,5,3,2,7,1,3,6,4,5,2,5,4,2,7,2,3
67,5,6,8,6,2,3,12,4,5,8,4,7,4,4,4,3,7,6,5,6,5,4,3,3,7,1,3,6,4,5,5,4,4,3,6,2
68,5,5,5,7,6,2,3,13,4,5,8,4,7,6,4,6,3,7,8,5,6,5,5,3,3,7,None,3,6,3,6,5,5,4,3,6
69,5,6,5,5,7,6,2,3,12,4,5,6,4,7,6,4,6,3,7,8,5,6,5,3,3,2,7,None,3,6,5,6,5,4,4,2
70,5,4,6,4,5,7,6,2,3,13,4,5,6,4,7,6,4,5,3,7,7,5,5,5,3,3,2,7,1,3,6,5,6,4,4,4
71,11,5,4,6,4,6,7,6,2,3,12,3,5,6,4,7,5,4,5,3,7,7,5,5,5,2,3,2,7,1,6,7,5,5,4,3
72,9,11,6,4,6,3,5,7,6,2,3,12,3,5,6,4,7,5,4,5,3,7,7,5,5,5,2,4,2,7,4,7,7,5,5,4
73,4,9,12,5,5,6,3,5,7,6,2,3,12,3,5,5,4,7,5,5,5,2,7,8,5,5,5,2,5,2,4,3,7,8,5,5
74,10,3,8,10,5,4,6,3,6,7,6,2,2,12,3,5,5,3,7,5,4,5,2,6,7,5,5,6,2,5,5,4,3,8,6,6
75,4,9,2,8,11,5,4,6,3,6,7,6,2,1,12,3,5,5,3,6,4,4,5,2,6,7,5,5,6,2,4,5,4,3,7,6
76,2,4,8,2,7,10,5,4,6,3,6,6,6,2,2,12,3,5,5,3,6,4,4,5,2,5,7,5,5,6,6,4,5,4,3,6
77,9,2,3,9,1,8,9,5,4,5,3,6,6,5,2,2,12,3,5,5,3,6,4,4,6,2,5,6,5,4,3,7,4,4,5,3
78,5,8,2,3,8,3,7,8,6,4,5,3,5,6,5,2,2,11,3,5,5,3,6,3,3,4,2,4,6,5,5,3,7,3,4,4
79,None,5,7,1,3,6,2,7,7,3,3,5,2,5,6,5,2,2,9,3,5,5,3,7,3,3,3,3,4,6,5,5,3,9,3,4
80,None,None,5,6,1,2,6,2,7,7,3,3,3,1,4,6,5,2,2,10,3,6,5,3,7,3,3,3,4,4,3,5,5,3,7,3
81,3,None,None,5,6,1,2,5,2,7,7,3,3,2,1,4,6,5,2,2,10,3,7,4,3,6,2,3,3,3,9,3,5,4,3,6
82,3,2,None,1,3,5,1,2,5,2,6,6,2,3,1,3,4,5,4,2,2,10,3,6,4,3,6,3,4,1,2,9,3,4,4,3
83,1,3,1,None,None,3,6,1,1,4,3,5,6,1,1,1,2,4,4,3,2,2,8,2,7,4,3,6,2,4,2,2,8,1,4,3
84,4,1,3,None,None,None,3,5,1,2,4,2,4,5,1,1,1,2,4,3,2,2,2,6,1,6,4,3,6,2,2,2,2,5,1,3
85,1,2,1,1,1,1,1,2,2,3,2,3,2,4,4,2,1,1,2,4,3,2,2,2,4,2,5,5,None,5,3,2,2,2,5,2
86,1,1,1,1,1,1,1,2,2,2,1,2,2,2,4,4,2,1,1,2,4,3,2,2,2,3,2,5,6,None,5,3,2,2,2,5
87,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,2,4,2,1,1,2,2,3,2,1,2,2,3,4,4,2,3,3,1,1,2
88,1,1,1,1,1,1,None,1,1,1,2,3,1,None,None,1,2,3,1,1,1,2,1,1,1,3,2,2,3,4,1,2,2,2,1,2
89,None,1,1,1,1,1,None,1,1,1,None,2,3,1,None,None,None,2,3,None,1,1,2,1,1,1,2,3,3,2,1,1,2,2,2,1
90,1,2,1,2,2,None,1,2,2,2,None,None,None,2,1,None,None,None,2,3,None,1,None,1,None,1,1,1,4,2,None,1,None,1,1,2
91,None,None,None,None,None,None,None,None,1,1,None,None,None,None,3,1,None,None,None,2,1,None,1,None,1,None,2,1,1,4,1,None,1,None,1,1
