ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,48,47,33,31,43,30,32,39,26,42,26,20,36,21,22,26,31,21,25,21,22,24,25,26,28,22,28,22,24,38,20,24,26,27,29,23
1,47,48,48,32,32,42,31,32,40,29,37,26,22,32,20,22,29,30,24,26,22,23,24,25,26,25,25,31,19,25,22,20,24,22,27,25
2,40,48,47,48,33,30,42,36,37,40,36,34,27,24,32,19,22,29,32,23,27,21,26,25,23,28,23,25,33,18,24,21,23,27,21,29
3,50,40,45,47,49,33,30,44,34,34,40,36,33,28,22,34,21,22,28,27,22,27,23,24,24,24,29,24,27,32,24,24,22,24,26,23
4,49,49,42,45,52,51,34,32,45,37,35,39,35,33,29,24,35,23,22,26,28,22,28,25,25,25,24,27,25,29,29,24,26,24,25,27
5,55,50,50,40,44,55,50,32,32,45,42,35,37,35,34,30,26,38,23,22,25,28,21,27,24,28,25,22,27,28,24,29,23,23,23,26
6,59,54,49,48,41,45,56,48,33,33,44,39,36,39,35,36,29,27,39,25,21,25,28,21,26,23,29,24,22,28,22,23,29,22,23,23
7,56,58,56,52,47,42,45,58,49,34,31,44,40,37,38,35,37,30,26,40,26,20,26,29,22,27,26,29,26,21,29,23,24,30,23,24
8,43,56,56,55,51,47,42,44,54,48,35,31,43,41,37,40,34,36,31,26,40,28,21,27,31,22,25,28,28,25,42,29,23,24,31,24
9,40,45,58,58,52,54,49,42,42,57,46,36,31,45,41,38,40,36,37,31,25,38,26,21,28,28,23,26,28,28,26,40,28,23,25,28
10,46,42,46,57,57,52,55,52,41,43,56,45,36,35,45,43,38,38,35,38,32,26,38,26,21,24,26,25,26,26,31,27,40,28,23,23
11,40,46,40,46,53,57,55,56,49,42,43,56,44,36,35,43,43,39,40,35,36,31,29,39,27,20,24,27,26,25,37,30,28,41,27,22
12,45,39,47,40,46,56,59,54,55,51,41,43,56,45,37,35,44,42,36,39,36,35,31,29,39,26,23,24,25,28,37,35,30,28,40,27
13,40,45,40,46,37,45,55,58,53,55,50,41,43,56,44,38,35,43,41,37,40,35,36,30,29,38,27,25,25,25,40,35,36,30,28,40
14,50,38,45,39,46,37,46,55,56,53,53,50,42,44,56,43,37,32,45,42,38,41,36,37,30,31,38,30,25,25,40,39,35,37,30,30
15,45,50,36,43,40,46,38,47,56,58,51,55,51,42,44,56,44,42,34,45,42,37,41,36,40,30,31,42,28,23,40,38,39,35,39,30
16,31,45,49,36,44,41,49,37,48,56,56,51,54,53,43,44,55,45,42,34,45,42,37,42,36,40,29,31,41,28,44,40,38,40,36,39
17,42,31,42,47,36,45,41,50,36,49,55,57,51,55,54,43,46,54,45,44,34,46,42,39,43,37,40,31,32,40,35,46,39,39,41,37
18,37,45,34,41,49,35,51,40,50,35,49,52,57,51,55,52,43,46,57,46,42,32,47,42,39,46,39,41,31,32,44,33,46,40,39,44
19,35,38,41,33,43,47,37,52,39,49,37,48,53,56,51,54,52,42,49,58,47,42,31,51,42,38,43,41,41,32,44,44,33,49,40,38
20,43,37,37,43,32,39,51,37,50,38,51,36,47,53,55,51,52,48,42,49,62,47,43,30,52,41,39,42,39,40,60,44,45,31,49,39
21,46,36,36,37,48,35,40,52,38,50,39,50,35,49,48,57,52,54,48,42,49,58,49,44,30,52,43,38,45,39,52,61,46,46,32,48
22,40,47,39,37,37,45,35,38,49,38,52,40,48,37,46,49,55,53,53,47,41,51,56,48,41,33,52,41,37,45,42,54,61,45,42,34
23,38,41,43,43,38,38,42,35,40,47,36,46,41,47,38,44,50,55,56,54,49,43,52,60,48,40,33,50,39,34,49,44,55,58,45,41
24,35,39,38,43,46,40,39,41,38,35,48,36,43,40,42,39,43,50,55,50,52,50,45,54,58,46,39,35,50,39,53,52,46,54,57,43
25,56,39,42,41,44,49,42,40,44,37,39,49,38,43,40,41,40,42,50,54,48,52,50,46,56,55,47,40,32,52,45,55,52,46,56,53
26,47,54,42,44,39,48,54,45,37,43,38,40,51,36,42,42,38,40,44,50,57,50,57,52,48,56,57,43,45,35,56,48,57,51,52,58
27,51,48,57,43,43,39,51,50,46,39,43,36,40,46,36,41,45,40,39,47,51,55,51,58,55,47,61,54,47,47,55,56,49,59,60,45
28,43,52,50,54,42,44,41,51,57,47,39,42,36,39,48,39,47,49,40,37,47,55,58,48,57,59,45,62,55,47,46,58,58,50,60,61
29,39,43,52,52,52,42,45,41,51,56,47,40,41,38,37,50,40,43,53,36,40,48,53,57,46,55,58,46,65,52,41,45,56,59,50,57
30,41,40,42,51,50,53,45,45,41,50,55,46,40,45,39,40,50,40,44,50,33,44,52,59,55,43,56,57,51,63,33,42,49,61,58,48
31,40,41,40,38,47,53,58,48,45,40,53,52,48,43,45,42,42,54,41,46,53,35,41,49,59,58,45,57,58,51,48,34,41,48,60,60
32,41,41,45,40,37,48,50,57,46,48,42,49,52,47,44,45,45,41,55,43,47,51,33,39,52,59,57,53,56,62,44,49,35,40,52,60
33,31,43,40,45,40,39,47,47,57,46,45,41,51,54,47,46,47,47,41,56,46,46,54,31,39,51,59,61,57,62,44,45,50,36,40,51
34,35,31,43,39,46,44,40,49,50,57,45,45,42,53,55,51,46,49,54,45,58,46,46,51,34,42,52,71,63,65,57,43,49,52,41,42
35,39,36,31,45,37,47,44,38,51,49,54,44,46,41,54,56,54,49,49,56,49,58,46,44,55,33,44,56,68,63,49,59,44,47,49,41
36,38,39,36,34,44,41,50,44,38,52,50,54,43,46,42,55,59,56,50,49,53,51,55,47,45,53,37,46,56,68,52,52,57,47,48,48
37,25,38,38,37,34,41,41,51,43,39,53,51,56,44,47,42,56,59,56,50,49,55,51,56,45,44,52,41,51,56,47,55,55,58,46,49
38,25,23,38,39,35,35,41,41,51,43,41,52,50,57,42,48,41,56,60,53,51,49,56,51,55,43,46,54,41,57,46,47,56,54,58,45
39,29,23,23,39,40,35,36,43,40,53,44,41,52,49,57,42,48,40,58,63,53,48,49,56,49,57,43,50,51,43,51,45,45,56,53,62
40,26,30,24,23,38,41,36,37,41,39,53,44,40,52,49,58,41,47,40,57,65,54,47,50,55,53,58,45,52,55,64,51,45,47,57,58
41,32,26,31,23,22,39,41,34,37,41,39,53,44,40,51,48,61,37,48,40,57,63,54,46,51,60,54,60,45,55,59,64,50,44,51,61
42,34,33,27,30,23,23,38,41,34,37,42,38,53,44,39,52,50,61,38,47,38,57,63,54,45,50,59,56,59,46,36,60,64,51,43,50
43,25,34,32,25,30,24,26,39,40,34,39,43,40,54,44,39,50,49,59,37,47,39,55,62,56,43,51,58,54,58,46,36,57,64,53,42
44,14,24,34,33,25,30,23,24,38,39,34,39,43,40,55,43,38,50,48,61,36,47,37,55,64,55,45,52,62,52,36,46,35,56,61,53
45,21,16,24,34,33,25,32,23,24,37,39,33,39,44,40,56,43,39,51,46,61,36,47,38,55,65,59,45,53,60,60,36,46,36,56,62
46,21,21,15,24,34,32,24,32,22,23,38,39,33,39,44,40,56,42,39,51,44,61,38,44,40,57,64,58,45,55,45,61,36,44,38,57
47,17,20,22,14,24,35,35,25,32,22,23,38,38,31,39,42,40,54,43,41,52,46,61,39,45,40,58,66,55,43,52,46,60,37,45,38
48,22,19,20,24,13,22,36,36,25,32,23,23,38,37,31,39,41,40,55,43,43,51,46,58,42,46,37,59,64,54,42,52,46,59,45,46
49,21,22,18,20,23,14,23,36,35,26,32,22,24,36,34,31,40,39,42,56,42,42,55,46,57,43,44,36,58,61,42,41,56,46,58,45
50,16,21,22,18,20,24,15,22,37,35,24,32,22,25,36,33,31,38,39,40,56,42,42,55,48,58,44,44,37,58,56,42,41,56,48,58
51,14,15,21,23,17,19,24,15,21,38,36,23,31,22,24,37,34,32,35,39,40,54,42,43,56,47,57,46,45,38,39,56,42,42,57,47
52,23,15,16,21,23,18,18,25,15,21,40,35,23,31,22,24,38,34,32,37,39,40,54,42,43,54,46,57,47,46,41,39,56,42,42,55
53,16,25,14,16,20,22,17,17,24,15,24,39,35,23,31,22,24,36,34,32,39,39,38,53,42,43,55,48,55,49,39,40,38,56,42,42
54,15,13,24,15,16,20,23,16,17,27,16,24,37,35,23,30,22,26,34,34,32,41,38,38,52,43,43,56,47,54,34,41,40,38,47,43
55,14,16,13,26,13,14,18,22,16,17,24,16,24,35,35,25,31,23,27,35,34,32,42,38,38,51,46,43,56,46,37,34,41,40,38,47
56,19,13,15,13,26,14,14,18,22,17,17,24,16,25,34,36,25,29,23,28,36,34,33,43,39,38,51,45,43,57,37,37,35,41,40,38
57,24,19,13,14,12,23,14,16,18,22,18,17,24,16,26,33,36,26,29,23,27,37,34,35,41,41,38,49,47,41,27,38,37,36,40,41
58,12,25,18,13,15,15,22,14,14,18,22,18,17,24,17,26,35,39,27,28,22,27,37,34,35,39,41,38,49,47,22,27,38,36,36,39
59,11,12,26,19,14,14,15,22,14,13,19,22,17,17,24,16,26,34,39,28,28,23,27,37,35,37,39,41,38,48,28,23,27,38,36,37
60,16,11,12,23,18,14,14,15,19,14,13,18,22,17,17,23,16,26,34,40,29,28,23,27,38,35,37,39,41,38,25,28,23,27,38,36
61,18,15,13,13,24,19,15,16,14,19,15,13,17,22,16,17,23,16,26,33,40,30,28,24,27,38,37,37,39,41,39,26,28,24,27,39
62,19,19,15,11,12,24,17,15,16,15,19,15,13,17,23,17,17,23,17,27,32,40,30,28,24,25,38,36,36,40,34,40,26,28,24,26
63,9,19,21,17,11,10,24,16,16,15,14,19,15,13,16,22,16,17,22,17,27,32,40,30,28,24,25,38,36,36,26,33,40,26,28,24
64,15,9,17,20,18,12,10,23,16,15,14,14,18,15,13,20,21,19,17,20,17,27,32,40,29,28,23,25,39,35,18,24,33,41,26,28
65,11,15,9,18,20,17,12,12,24,14,16,14,14,18,15,13,20,21,19,19,20,18,26,32,40,28,29,23,24,37,19,18,24,33,40,26
66,15,11,15,9,16,20,17,12,12,23,13,16,14,13,18,15,13,20,20,19,20,20,17,26,33,39,28,29,25,22,20,19,17,24,33,39
67,12,16,10,16,9,16,20,17,13,12,23,12,16,13,13,19,16,13,20,20,20,19,20,17,27,35,39,27,29,24,20,19,19,17,25,35
68,11,13,16,10,14,9,15,20,18,14,12,23,12,16,12,12,19,15,14,20,20,18,19,20,16,25,34,39,25,30,20,19,19,19,16,24
69,11,10,12,16,11,14,9,15,21,17,16,12,22,12,15,12,12,18,14,14,20,21,18,19,20,15,26,31,40,25,20,20,19,19,19,15
