ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,18,21,20,19,19,12,22,24,34,27,28,23,17,26,16,17,23,17,19,10,7,13,18,14,11,12,9,12,8,8,8,13,18,14,10
1,28,18,16,19,20,18,17,13,19,24,28,25,28,22,17,28,16,17,22,17,18,10,7,12,18,14,9,10,9,12,17,8,8,12,18,14
2,23,25,18,15,18,19,19,18,12,17,26,29,25,25,22,16,26,15,16,21,16,18,10,7,13,17,14,9,11,10,13,17,8,8,13,17
3,13,25,26,17,16,19,17,18,17,12,19,26,28,24,25,19,15,25,15,16,20,16,18,10,7,13,16,14,9,11,21,13,17,8,8,12
4,39,9,23,26,18,16,19,17,18,17,14,19,26,24,25,24,18,15,26,15,17,19,15,18,10,7,13,14,14,10,17,20,13,17,8,8
5,20,39,11,23,27,18,16,18,17,17,19,15,20,25,28,23,25,18,15,25,14,17,18,15,19,10,9,13,14,14,13,17,19,14,18,8
6,26,19,38,10,23,27,18,16,17,15,16,19,15,19,26,30,23,24,18,15,25,13,17,18,15,19,10,9,11,14,25,13,17,19,14,18
7,25,28,19,37,11,24,27,17,16,17,16,16,17,15,19,24,30,22,23,18,13,25,13,17,18,15,19,10,9,12,13,25,12,17,19,14
8,21,24,27,19,38,11,24,26,16,16,17,17,15,15,15,19,23,29,22,23,19,13,25,13,17,18,15,19,7,9,23,12,25,12,17,19
9,17,18,24,26,21,38,12,25,26,16,17,17,16,15,15,11,22,23,29,22,23,21,13,25,13,17,18,15,18,7,23,24,12,25,12,17
10,29,15,18,25,27,21,38,9,25,26,18,17,17,16,15,15,9,22,23,29,22,23,21,13,25,13,17,18,14,18,22,22,24,12,25,12
11,23,27,15,18,25,27,23,38,10,26,26,18,17,17,16,14,15,9,21,22,28,22,20,21,13,23,13,17,18,14,27,21,21,24,12,24
