ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,32,30,38,23,24,37,36,32,39,38,33,33,32,30,24,19,43,33,31,38,26,25,18,37,24,34,28,31,31,37,27,24,20,35,25,33
1,29,33,35,42,22,24,35,36,30,37,34,32,33,32,28,25,21,45,36,30,40,24,24,17,37,23,36,27,31,33,37,25,24,20,35,24
2,30,31,32,37,43,22,23,37,37,32,37,37,33,33,32,27,28,24,44,34,30,40,27,23,18,35,24,37,27,32,30,39,26,24,21,32
3,35,30,30,36,37,40,27,23,37,36,32,39,38,32,36,32,29,29,25,43,30,30,39,28,21,21,36,23,34,28,33,30,37,29,23,21
4,38,38,32,32,37,40,39,25,27,35,33,31,39,38,33,35,34,32,29,22,43,26,32,39,27,22,22,32,23,33,43,33,31,37,28,23
5,34,40,39,37,34,37,40,40,25,25,36,33,30,37,38,33,35,34,31,31,21,46,27,33,40,26,22,21,32,24,22,44,29,32,38,28
6,30,33,37,40,34,34,39,41,40,25,27,36,30,30,35,38,31,37,36,33,30,20,44,28,34,38,27,26,22,34,30,21,43,29,33,37
7,40,30,31,39,40,36,34,39,41,39,24,27,37,29,31,37,40,33,37,35,31,31,24,45,30,34,38,29,27,23,31,31,24,43,29,33
8,40,39,29,33,37,43,36,34,39,42,36,25,28,35,28,31,38,41,34,35,38,30,31,24,45,28,35,40,31,27,39,30,32,25,43,27
9,45,39,40,31,32,41,43,34,34,39,40,36,26,29,35,27,31,42,41,34,35,38,28,32,28,41,29,35,40,31,36,38,29,33,28,40
10,33,44,39,43,30,33,43,44,34,34,39,40,35,25,31,37,27,32,45,43,33,35,39,27,32,28,42,29,35,42,33,36,39,28,33,28
11,30,34,45,39,44,30,34,40,43,34,35,39,40,37,26,31,36,29,31,44,43,34,33,38,31,31,29,42,30,34,41,33,35,38,31,32
12,37,29,33,41,39,44,32,34,40,44,35,33,39,39,37,26,31,38,30,31,43,44,31,34,39,30,32,30,41,30,41,42,31,34,41,30
13,36,39,29,33,42,42,44,32,36,43,41,35,34,37,38,38,27,32,39,30,30,43,43,31,35,38,29,33,29,39,32,41,41,31,35,40
14,42,38,38,29,34,44,44,46,34,36,40,41,37,34,36,36,38,26,33,38,30,31,43,43,31,35,39,28,32,28,31,33,41,41,31,35
15,40,42,34,39,29,34,43,44,46,34,36,39,41,39,35,35,37,38,26,32,38,27,30,42,44,30,35,41,29,32,40,28,33,40,42,31
16,59,41,45,33,39,30,35,46,43,45,34,36,39,44,39,37,35,38,41,26,32,38,26,30,42,44,31,36,42,29,31,40,27,33,40,42
17,47,60,40,44,33,40,30,35,46,44,45,33,37,40,44,39,37,37,38,41,27,29,40,27,31,44,44,29,36,41,28,29,42,28,33,42
18,35,46,61,38,48,33,40,33,35,45,46,45,34,34,39,43,39,35,37,40,41,28,29,41,29,29,45,44,27,37,42,29,29,43,30,31
19,51,35,47,57,36,47,34,41,34,35,46,46,45,32,35,39,43,40,35,36,42,40,27,30,41,30,31,48,43,25,42,41,28,30,43,32
20,53,50,35,47,61,34,45,38,39,34,36,46,45,45,33,35,39,43,39,39,36,43,40,31,30,44,29,32,50,40,37,42,41,31,30,46
21,40,50,51,37,45,60,34,46,40,39,33,36,45,47,47,36,36,42,40,40,41,34,44,40,31,31,42,32,32,48,38,36,43,40,30,31
22,43,44,53,48,44,51,61,37,46,43,45,35,34,44,46,48,37,40,40,39,41,41,34,44,40,30,33,45,31,33,40,39,37,44,40,29
23,44,41,43,52,45,45,50,58,41,46,41,43,35,35,45,50,48,37,41,40,39,42,45,34,44,38,28,36,49,32,40,38,42,38,44,38
24,43,40,39,45,52,48,47,49,68,38,51,37,44,39,33,47,50,44,40,41,40,38,45,45,36,44,38,27,34,45,39,43,40,40,41,45
25,52,43,42,37,51,55,49,46,55,68,39,54,46,42,41,33,49,53,46,41,41,38,43,44,39,34,45,40,24,38,44,37,48,39,41,38
26,50,51,42,41,34,47,56,47,47,54,66,41,55,48,39,43,31,50,49,47,39,40,37,45,41,41,38,41,38,28,39,44,37,48,36,37
27,35,45,55,47,45,36,50,59,47,47,56,62,39,54,51,39,44,35,47,51,49,43,46,39,41,36,44,42,43,40,48,41,47,39,44,34
28,41,38,44,56,53,40,36,51,59,47,52,55,62,35,52,53,44,45,39,47,52,46,39,45,39,41,37,44,44,42,51,48,39,47,37,41
29,25,43,39,45,56,52,40,39,52,60,46,54,56,62,35,53,54,48,51,42,49,57,53,45,49,38,45,39,49,43,51,52,51,42,50,38
30,43,24,42,42,43,57,52,41,42,52,62,48,55,56,60,39,52,58,45,45,42,56,59,60,43,50,41,38,42,47,43,52,54,59,42,51
31,25,44,26,43,44,46,58,48,43,45,57,64,51,55,54,61,45,56,61,47,51,46,56,62,56,39,45,42,41,43,49,47,57,56,56,38
32,35,26,42,29,43,43,43,59,48,43,46,56,64,54,53,51,67,44,55,64,46,51,44,49,56,52,41,42,41,39,47,49,45,59,58,58
33,33,35,29,44,29,43,46,44,59,47,45,44,53,67,53,52,53,70,45,56,65,50,54,42,47,57,60,46,43,46,64,49,53,42,59,58
34,34,32,38,30,45,29,44,48,46,59,45,43,44,54,67,54,55,52,67,47,60,66,53,56,43,46,53,59,45,45,57,68,52,52,43,58
35,35,36,33,41,32,47,27,44,48,46,61,45,44,45,54,67,57,55,49,70,43,57,67,57,53,42,45,56,60,46,41,56,69,55,48,42
36,22,36,37,35,40,35,44,28,43,47,47,59,45,46,47,54,66,55,52,52,71,47,60,67,58,53,43,44,55,55,68,44,60,69,57,50
37,24,22,36,37,36,41,36,44,29,44,51,46,59,45,45,52,54,67,62,48,54,71,49,57,65,55,57,44,45,54,55,68,45,57,65,56
38,22,27,24,38,38,37,42,36,44,28,44,50,48,57,46,44,51,54,64,62,47,55,71,50,55,61,53,57,48,42,48,57,68,47,54,63
39,36,23,25,26,37,40,40,43,37,45,29,43,51,47,57,51,44,53,54,62,63,45,60,66,52,54,63,55,58,49,60,46,62,65,48,54
40,25,36,22,27,28,37,40,39,40,38,47,30,44,52,46,57,52,44,54,52,63,64,44,60,70,50,58,63,55,58,63,61,46,62,67,47
41,31,29,37,21,27,28,37,38,42,42,35,48,29,44,52,45,57,54,45,54,54,61,65,44,62,69,47,55,61,61,52,63,63,47,62,66
42,46,31,25,37,21,29,28,38,39,40,45,34,48,29,46,52,44,57,55,43,53,56,62,63,46,60,67,45,54,63,55,55,65,63,49,62
43,32,44,30,26,40,24,27,28,36,39,38,44,35,48,28,46,49,45,59,55,46,51,60,63,63,50,63,69,41,57,46,53,58,65,61,53
44,33,33,45,30,25,41,22,28,29,35,39,38,45,35,45,28,45,48,44,59,55,46,54,61,63,60,53,63,68,39,54,45,56,61,63,60
45,37,33,32,45,32,26,40,22,28,30,36,40,39,46,36,45,28,46,48,46,59,53,47,52,56,66,61,54,61,67,60,55,47,54,56,66
46,43,40,32,33,45,31,24,40,23,27,29,36,41,40,46,36,45,30,45,47,45,59,54,48,51,55,65,64,51,65,47,62,56,47,54,57
47,30,44,39,31,34,46,31,25,41,22,27,29,36,40,38,46,35,45,30,48,48,47,60,54,48,52,56,68,63,51,46,48,64,54,48,53
48,46,32,46,37,30,35,46,32,24,41,22,28,28,37,39,38,46,37,45,31,48,50,48,59,51,47,55,59,70,61,48,50,49,62,51,48
49,50,43,31,45,40,32,34,48,33,23,40,22,28,29,37,38,38,46,38,46,34,48,53,48,59,51,47,54,58,69,32,48,53,48,59,51
50,37,49,42,33,44,37,32,33,48,34,23,40,22,27,29,37,39,36,46,41,46,34,49,51,48,58,51,45,52,60,44,32,49,51,48,59
51,27,35,49,42,32,43,38,30,34,46,33,23,40,22,27,30,37,41,37,48,42,46,32,50,52,48,59,52,45,53,42,44,31,49,52,47
52,30,25,36,49,41,33,43,38,29,34,49,33,23,40,22,27,31,38,41,37,47,41,44,32,52,52,46,59,52,44,46,41,43,31,51,51
53,31,28,25,35,50,39,33,43,37,27,34,49,33,22,40,23,26,31,39,41,37,47,41,44,32,51,49,45,60,50,38,47,41,43,31,51
54,38,31,31,26,36,52,40,32,46,38,29,34,48,32,23,40,22,26,30,39,40,35,47,40,44,32,53,50,46,61,42,35,47,39,43,32
55,52,38,33,30,25,33,52,38,32,44,39,29,35,48,32,23,40,19,27,30,39,39,35,47,39,45,33,51,49,47,40,41,35,47,39,43
56,30,49,39,32,31,26,33,53,39,32,46,39,29,35,48,34,23,40,20,27,29,38,38,35,48,40,43,31,50,49,29,39,40,35,48,40
57,44,30,49,39,31,29,27,33,55,39,32,46,39,29,35,48,35,25,40,20,27,29,37,38,35,45,40,42,32,51,26,29,38,40,35,46
58,36,49,29,50,38,30,29,28,32,54,38,32,46,41,28,36,50,35,23,39,20,26,29,38,38,34,44,40,42,33,20,25,29,39,40,34
59,40,35,48,27,48,36,30,28,28,33,55,36,31,46,40,29,36,52,33,23,39,18,26,29,37,41,35,46,39,41,39,18,25,29,38,42
60,26,40,36,48,27,49,36,32,28,27,32,55,36,31,47,40,31,36,51,34,24,39,18,26,29,36,40,35,45,39,25,39,18,25,29,37
61,44,24,41,35,50,29,51,37,31,28,27,32,55,36,31,46,40,32,36,50,33,25,39,18,25,29,38,41,33,47,33,25,39,18,24,29
62,23,40,24,40,36,53,29,50,36,32,30,27,32,56,35,30,44,40,32,36,50,33,25,39,18,26,29,41,40,34,47,33,25,39,18,25
63,14,25,39,24,41,33,51,31,48,38,30,30,29,32,54,35,30,45,41,31,36,48,33,24,40,18,26,28,41,40,36,46,33,24,40,18
64,16,13,24,39,23,40,33,53,28,47,36,31,30,29,32,52,35,30,45,39,31,36,49,33,24,41,18,24,27,42,30,36,47,33,24,41
65,20,15,15,25,40,23,40,33,50,28,49,35,30,29,29,32,51,35,30,45,38,30,38,47,32,24,42,18,24,27,37,30,37,46,32,24
66,28,17,15,13,25,39,23,40,31,51,29,48,36,29,29,29,31,51,36,30,44,38,30,37,47,32,25,43,18,24,43,37,30,36,46,32
67,38,29,18,15,14,25,37,23,39,32,50,28,46,36,29,30,28,33,51,36,30,42,38,32,37,46,33,24,42,18,31,42,37,31,37,46
68,23,37,28,16,15,13,26,36,24,38,33,49,27,45,35,29,30,28,33,45,36,30,42,36,33,36,45,32,23,42,39,31,42,36,31,36
69,22,23,37,28,16,15,13,24,36,24,39,33,47,27,43,35,28,30,28,32,44,38,30,40,36,32,36,45,33,23,45,40,30,41,36,30
70,30,21,22,38,29,15,15,12,24,36,24,38,33,47,28,44,33,28,30,29,32,45,39,29,38,36,32,36,45,33,30,46,40,30,40,36
71,20,30,25,21,37,30,13,14,13,21,35,24,38,31,47,28,42,31,29,30,28,32,43,37,27,38,37,31,36,45,28,30,44,38,28,40
72,27,23,27,24,20,36,29,14,14,13,21,35,23,37,32,44,28,43,29,27,29,29,32,41,37,27,38,34,28,36,28,29,30,42,38,28
73,23,25,22,25,21,23,36,28,13,14,13,20,34,21,35,33,43,27,42,30,27,29,30,33,43,38,29,37,34,26,28,27,29,31,43,38
74,26,22,23,20,24,21,23,32,28,13,11,11,19,34,21,35,33,43,27,42,28,27,29,29,33,43,38,31,37,33,28,28,27,28,31,43
75,23,24,23,23,19,23,21,19,32,27,12,11,11,18,34,21,35,32,41,26,42,28,27,29,28,32,42,37,30,37,44,28,28,27,27,31
76,15,22,24,23,23,20,23,18,18,31,28,12,10,11,18,33,20,33,32,39,27,40,28,27,29,28,32,42,37,29,27,42,28,28,27,27
77,24,14,23,22,23,24,22,23,18,17,29,27,11,10,10,18,32,20,33,31,39,26,39,27,27,27,27,31,41,37,38,26,41,27,28,26
78,9,25,15,19,21,21,21,20,23,16,17,29,25,10,10,10,18,30,20,32,31,38,26,38,28,27,27,25,31,40,32,37,26,40,28,28
79,13,9,25,15,18,21,21,20,21,23,13,15,31,25,10,8,10,15,29,21,31,33,37,23,37,25,26,24,25,31,28,33,36,24,39,26
80,15,13,10,22,14,18,20,19,17,18,19,12,15,31,24,10,10,9,14,28,18,32,30,36,23,38,24,25,25,26,21,30,30,35,24,39
81,12,13,12,12,20,12,17,20,18,16,14,19,12,13,31,22,9,9,8,14,27,14,30,29,35,21,39,23,25,25,29,17,29,29,34,21
82,6,10,12,10,11,17,11,16,18,16,15,12,19,13,13,31,21,9,7,8,13,28,11,30,26,35,21,35,20,23,15,28,14,29,28,34
83,8,7,10,11,10,10,13,10,14,17,16,13,12,18,12,12,30,21,9,6,7,11,28,12,28,27,34,20,33,19,9,12,28,14,27,28
84,3,8,7,10,12,9,11,13,12,12,14,14,12,13,17,11,12,27,20,7,5,7,12,27,9,27,24,33,19,28,5,7,13,28,12,26
85,6,6,6,7,7,7,9,9,8,8,9,13,13,12,13,15,11,12,25,19,7,5,6,10,23,7,25,24,31,19,7,4,6,11,25,9
86,5,4,5,7,6,6,8,8,7,7,4,7,13,12,10,12,14,9,10,23,19,7,5,6,9,21,7,24,23,29,19,6,4,6,10,23
87,4,4,4,5,5,5,6,6,6,6,11,3,7,12,13,10,12,13,9,10,22,19,6,4,6,8,17,8,21,23,22,18,5,3,6,9
88,3,3,3,4,4,4,5,5,5,5,7,11,3,6,12,11,10,11,12,9,10,20,18,7,3,5,7,18,6,19,9,21,17,6,2,5
89,3,2,3,3,3,3,4,4,4,4,6,6,10,3,5,9,10,8,8,9,8,10,17,16,7,4,4,6,15,3,8,9,17,16,6,3
90,3,3,3,3,3,3,3,2,3,4,1,5,4,9,4,4,6,8,8,7,8,6,7,16,13,7,4,3,7,12,9,7,7,16,15,6
91,2,1,1,2,2,2,2,2,2,2,5,1,5,3,7,4,3,5,7,6,6,6,5,7,13,12,5,4,4,3,5,7,6,7,13,13
92,1,1,1,1,1,1,2,2,1,2,2,3,1,5,3,5,3,2,1,5,7,6,4,4,6,10,10,3,3,4,7,5,5,5,6,10
93,1,1,1,1,1,1,1,1,1,1,2,1,2,1,5,3,3,4,2,1,4,6,4,4,4,6,9,5,3,1,4,6,3,5,4,6
94,1,1,1,1,1,1,1,1,1,1,0,2,1,2,0,3,3,2,2,1,1,4,5,4,4,3,5,7,6,3,2,4,5,3,4,3
95,0,0,0,1,1,1,1,1,1,1,0,0,1,1,2,0,2,1,1,1,2,1,4,5,3,2,2,3,5,6,2,1,3,5,3,3
96,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0,1,0,1,1,2,1,4,2,2,1,1,3,5,1,2,0,3,3,2
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,1,0,0,2,1,1,3,0,1,2,0,1,1
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,1,1,0,1,2,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,0
