ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,38,33,41,39,34,31,25,19,31,27,28,27,18,25,24,20,24,35,28,28,32,29,28,17,27,29,28,35,28,33,32,28,26,19,28,28
1,37,39,33,37,36,32,31,23,20,31,23,28,26,19,23,24,22,26,37,26,29,34,28,28,18,30,30,28,30,30,27,34,27,27,20,28
2,46,37,39,32,36,37,34,35,23,21,30,22,29,26,19,23,26,24,27,40,27,33,36,27,27,18,29,30,26,34,28,31,34,27,26,19
3,35,44,35,37,35,34,36,31,31,24,17,30,22,29,26,20,23,27,22,28,41,29,32,35,28,27,18,31,29,30,40,29,30,34,27,26
4,50,39,44,35,37,36,37,38,29,31,24,18,29,23,29,26,20,24,28,22,29,42,29,33,33,28,28,20,31,30,28,42,29,31,34,27
5,45,49,41,42,35,34,34,37,37,33,30,24,18,30,25,31,26,19,24,30,24,29,39,29,31,30,28,28,19,28,26,28,40,29,30,31
6,36,45,49,37,43,31,35,33,38,37,34,30,24,18,29,29,31,26,20,24,29,28,29,40,30,30,31,28,26,19,27,27,29,41,28,29
7,50,36,43,51,37,41,31,35,34,36,35,34,30,24,19,30,29,32,27,21,24,30,30,29,39,29,30,33,28,28,25,28,28,28,41,27
8,43,51,37,46,50,41,41,31,35,33,34,33,34,31,24,19,30,29,33,25,21,27,30,29,31,38,30,31,33,27,20,27,29,27,29,40
9,51,41,53,35,46,50,41,43,31,34,33,34,33,34,31,27,19,30,30,32,27,21,29,28,29,30,39,28,32,34,27,20,28,28,27,28
10,46,46,40,49,35,43,51,42,41,32,34,33,33,35,35,31,27,21,31,31,32,31,22,28,32,28,33,36,26,31,32,29,21,28,31,27
11,54,47,46,43,49,38,46,50,40,40,34,34,34,33,36,35,31,26,21,33,32,33,30,20,28,34,28,31,37,24,31,32,28,20,28,32
12,53,50,49,46,43,52,36,43,49,39,40,35,34,36,33,37,34,31,25,21,32,30,33,28,21,29,34,28,30,37,32,30,32,27,21,29
13,50,54,54,45,50,42,51,39,47,49,39,40,35,34,36,33,37,35,31,25,22,32,33,33,28,21,29,33,28,28,23,32,31,32,27,20
14,55,55,55,52,45,49,43,53,41,45,46,38,41,35,34,36,34,38,35,30,25,22,32,35,32,30,19,27,35,27,26,23,32,32,31,28
15,59,56,53,55,53,49,47,43,50,38,45,47,38,41,37,34,36,34,37,36,30,30,24,32,34,33,31,21,27,34,28,30,24,32,32,32
