ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,24,22,18,20,16,16,14,20,21,17,11,20,21,17,11,13,11,17,16,17,28,18,16,25,20,33,24,29,20,15,27,17,16,25,20,33
1,21,25,19,18,20,15,17,12,20,21,16,11,21,23,18,13,16,9,18,16,15,30,16,16,24,21,35,22,24,19,15,28,17,16,24,20
2,20,20,20,18,19,20,18,18,13,21,20,16,11,22,24,18,14,17,11,16,16,16,31,14,17,27,22,34,24,29,15,16,29,17,17,27
3,24,18,20,21,19,19,17,19,18,13,22,24,16,13,21,23,18,15,17,10,17,17,20,30,13,18,26,19,32,25,19,16,19,31,16,18
4,29,24,18,19,23,18,18,17,18,20,13,22,24,18,13,24,22,20,17,17,9,17,18,20,31,14,21,25,20,29,10,17,17,17,30,18
5,33,28,23,18,19,25,18,18,19,20,18,12,21,24,18,13,25,23,20,17,17,9,18,19,20,31,14,20,25,21,16,10,17,19,17,29
6,23,30,28,20,18,18,21,18,18,18,17,18,13,20,24,17,13,25,23,20,17,18,9,18,21,20,28,16,20,25,15,17,10,18,19,17
7,26,24,30,28,21,17,17,22,19,18,18,18,18,13,21,24,18,13,25,23,19,19,18,11,20,23,16,28,16,18,21,17,17,11,20,22
8,31,24,22,31,28,20,18,17,23,19,19,21,19,18,14,21,23,19,13,26,23,21,19,17,14,21,23,16,28,17,25,22,17,16,13,20
9,29,28,24,21,30,27,20,17,16,22,19,20,22,19,17,14,23,24,19,13,25,22,21,19,16,14,22,23,17,27,25,22,22,17,16,13
10,35,29,28,23,22,30,26,20,18,18,23,19,20,22,20,18,15,22,25,19,15,29,22,21,16,19,15,22,24,17,14,28,23,23,16,19
11,34,35,29,28,22,23,31,26,20,17,18,25,20,21,22,21,17,15,23,25,19,15,29,23,20,18,19,15,21,22,17,14,28,24,22,18
12,28,35,36,30,28,21,23,31,28,18,16,18,25,21,21,22,20,19,16,23,25,18,15,29,24,24,18,19,14,21,26,16,16,27,24,25
13,26,28,35,35,30,27,21,23,31,26,21,16,18,25,22,21,22,20,19,17,23,25,19,14,26,25,24,19,17,15,26,25,17,14,26,25
14,24,23,30,36,36,30,26,23,23,31,27,25,17,17,24,21,22,21,18,19,16,24,24,20,15,26,25,24,18,20,16,26,24,17,14,26
15,30,24,23,27,38,35,30,26,22,22,31,27,24,17,17,24,21,21,21,17,19,15,22,23,20,15,27,25,22,18,17,15,24,23,17,14
16,36,30,26,23,25,37,36,30,26,22,22,31,26,23,18,19,24,20,21,21,17,19,15,22,25,21,15,27,26,23,18,18,15,24,24,19
17,21,34,29,25,24,26,37,37,32,26,22,24,31,26,23,19,19,25,20,20,21,18,18,14,24,26,19,15,26,25,20,19,16,14,25,25
18,27,23,35,29,26,22,27,39,36,31,28,22,23,32,26,24,19,19,24,21,19,24,20,19,16,25,27,20,13,27,21,24,20,18,15,26
19,22,25,22,35,29,23,24,26,38,35,33,26,21,23,29,27,25,19,23,26,22,20,25,18,19,16,25,28,23,14,22,22,25,18,19,15
20,41,25,26,23,35,29,28,22,27,34,37,35,27,20,22,29,28,26,20,23,25,20,19,27,19,19,16,24,28,23,24,20,21,24,19,19
21,30,43,24,25,25,36,29,26,20,28,33,38,33,24,20,22,30,25,25,23,22,26,18,17,27,22,20,16,24,25,19,25,19,19,24,22
22,34,27,41,26,24,25,35,29,28,20,29,34,38,33,23,22,21,30,22,26,23,22,25,24,15,26,25,21,19,24,21,18,24,24,18,23
23,22,35,27,40,25,23,26,39,29,29,21,31,35,43,30,26,23,22,29,22,26,24,23,26,24,16,25,21,19,20,26,21,19,26,24,19
24,30,23,32,29,39,26,22,29,39,27,32,23,31,32,43,29,26,23,25,30,21,29,24,23,27,30,20,25,22,20,21,29,22,19,26,29
25,33,30,21,32,29,42,27,25,28,38,29,33,24,30,31,44,30,27,25,24,32,20,30,24,29,27,24,20,26,24,33,21,30,22,26,25
26,23,35,26,21,34,32,43,26,25,33,39,27,31,23,32,31,42,31,28,28,21,34,22,26,23,31,30,28,22,27,24,36,22,27,21,28
27,27,22,33,27,20,35,30,43,25,23,34,38,28,34,22,32,31,41,32,27,28,28,37,23,23,21,36,32,29,25,26,25,36,23,25,20
