ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,26,26,27,23,27,12,24,29,25,23,21,29,27,23,32,23,31,17,32,37,25,32,23,33,29,27,28,45,44,22,24,32,23,34,28,26
1,28,27,26,28,23,26,12,22,29,24,20,21,33,27,25,34,22,32,21,31,37,24,33,23,34,27,30,29,42,43,37,23,32,25,36,27
2,30,27,28,27,31,21,28,12,22,25,22,23,21,36,31,25,34,19,32,18,32,39,26,31,22,39,25,28,28,40,32,39,25,31,24,40
3,40,31,28,29,27,28,23,32,12,26,23,22,21,21,37,30,27,35,17,30,18,28,40,27,33,21,43,26,31,31,19,30,40,28,33,24
4,22,40,32,27,27,29,29,19,32,13,25,24,25,20,23,34,32,29,33,18,29,19,29,41,26,35,19,42,27,30,28,19,32,43,28,33
5,30,23,41,36,24,28,29,29,25,33,13,26,23,26,20,24,34,33,31,33,20,32,19,29,42,30,37,22,39,26,21,32,20,29,46,31
6,39,32,26,43,32,25,30,29,31,25,26,15,28,25,28,20,24,35,33,32,32,21,36,20,32,46,29,37,23,39,34,22,35,21,32,47
7,36,41,32,26,41,29,24,31,30,29,23,27,13,30,25,27,20,24,32,34,32,32,22,36,22,31,46,29,36,24,30,34,23,35,24,31
8,34,36,42,34,30,42,34,25,34,28,32,21,25,13,30,25,26,23,25,32,37,34,32,24,36,25,31,49,31,33,36,33,33,24,36,27
9,25,30,37,39,32,31,43,31,25,36,28,31,21,25,12,30,25,26,23,27,31,37,34,31,25,34,28,34,49,32,30,38,33,34,26,35
10,39,24,30,36,38,33,29,45,36,25,36,28,31,20,27,11,31,27,25,25,30,30,36,30,33,25,33,30,33,52,30,30,37,31,35,26
11,44,39,27,33,38,40,33,30,45,33,27,39,28,29,22,27,11,30,26,25,26,33,32,36,30,33,26,32,29,32,25,34,31,39,31,35
12,44,45,41,29,32,38,39,33,29,43,34,29,36,28,30,24,28,11,30,26,25,25,36,35,38,29,34,29,34,28,25,25,37,33,40,30
13,38,45,45,41,26,36,38,42,37,31,42,34,27,35,28,29,27,31,14,32,27,25,25,36,37,40,29,36,29,34,28,26,26,36,37,40
14,32,36,44,42,41,28,34,37,41,37,30,42,35,27,35,30,29,27,30,14,33,27,27,25,36,38,36,32,36,30,33,28,27,26,36,37
15,35,32,36,44,43,41,29,37,37,39,35,28,42,34,27,35,30,28,26,32,14,32,28,28,24,35,36,37,32,38,14,32,29,28,25,36
16,27,33,33,38,46,42,45,30,40,38,41,34,29,42,34,26,34,31,29,26,34,14,32,28,29,25,33,37,36,31,33,14,32,29,29,26
17,40,28,36,31,40,46,45,45,30,37,39,43,33,29,43,33,26,33,30,29,27,33,14,35,30,29,21,34,37,35,25,33,15,35,31,28
18,36,39,27,35,33,42,46,44,43,29,39,38,43,33,30,42,34,26,32,30,27,26,33,14,37,31,30,25,33,36,27,25,32,17,37,32
19,39,33,43,31,30,35,40,44,45,45,29,42,37,44,32,31,43,32,27,31,31,28,26,32,13,39,30,27,25,34,30,28,25,31,18,39
20,36,34,32,46,28,31,31,37,47,44,43,28,42,36,43,30,30,42,33,29,32,28,31,30,33,16,39,30,28,22,32,28,31,28,32,20
21,37,38,35,35,43,28,34,34,38,48,46,41,30,45,39,46,30,30,41,34,31,33,27,32,32,33,23,40,29,26,32,33,29,33,32,33
22,32,37,36,35,34,45,29,36,35,39,47,47,43,34,47,37,46,33,31,45,31,28,32,29,35,29,36,23,42,31,31,30,32,33,36,32
23,33,34,38,37,37,37,46,34,39,36,41,46,46,44,33,43,37,47,35,32,44,34,29,34,32,35,28,40,25,42,42,34,31,35,39,38
24,29,31,35,33,40,34,43,47,38,39,36,42,46,47,41,31,40,38,45,37,34,45,36,34,39,31,38,27,42,24,36,44,36,34,43,39
25,35,29,30,35,37,43,32,44,50,38,41,34,43,46,49,46,34,40,39,47,42,34,44,37,37,39,33,38,31,38,42,36,45,35,36,44
26,39,35,32,30,36,40,45,30,48,48,39,41,36,46,47,51,48,41,44,38,47,46,38,47,39,38,42,32,37,33,45,43,40,45,36,40
27,38,37,37,34,30,37,40,49,29,49,47,43,48,40,47,46,49,49,40,45,40,44,47,40,51,45,42,43,38,40,41,46,45,40,47,37
28,26,40,37,36,34,32,37,43,52,30,44,47,43,50,44,47,46,48,44,40,46,44,45,53,48,50,48,48,40,38,49,44,44,47,44,49
29,43,27,38,38,38,34,36,39,42,51,33,45,50,44,54,43,51,46,50,45,38,44,41,49,57,50,49,52,49,38,38,47,42,53,52,47
30,34,43,30,40,39,35,33,38,41,41,57,36,47,51,45,50,43,49,45,47,46,41,40,43,57,59,51,48,56,54,47,41,44,48,60,53
31,46,38,46,32,36,37,37,34,41,43,44,57,38,49,52,41,56,40,54,44,48,49,47,46,46,60,62,52,49,48,49,51,42,43,48,62
32,50,44,39,45,38,35,40,33,35,39,43,45,63,40,53,51,40,54,40,52,43,52,54,51,52,51,64,57,53,49,42,53,53,44,49,52
33,42,52,44,39,52,36,36,38,36,39,42,44,47,64,41,55,50,40,56,41,54,46,53,54,56,55,57,63,53,55,59,46,57,56,55,51
34,43,40,54,44,40,47,35,36,40,39,40,42,44,45,64,40,56,50,41,54,43,53,49,59,62,58,53,58,60,46,44,56,48,57,64,60
35,29,47,44,56,43,38,48,38,37,41,37,42,44,45,46,64,40,54,52,42,56,48,52,49,61,64,53,57,57,59,58,45,59,46,56,66
36,27,27,49,44,57,43,37,46,37,36,46,38,44,45,47,44,65,40,49,51,40,58,44,56,56,63,63,50,53,57,42,61,45,64,51,59
37,43,29,27,49,47,58,45,39,47,37,37,47,37,44,44,45,45,62,39,52,52,39,61,45,58,57,60,63,52,52,51,42,64,48,64,55
