ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,24,16,20,18,19,22,10,15,18,12,13,14,10,10,8,9,9,7,9,5,8,5,7,9,4,11,12,7,5,5,9,5,7,9,4,11
1,21,23,15,21,19,19,19,10,14,18,11,14,16,9,10,8,9,9,7,10,5,8,5,7,10,5,12,11,8,4,5,9,5,7,9,5
2,23,20,24,15,22,21,19,21,10,14,19,11,15,17,9,9,9,9,9,6,11,5,8,7,7,11,5,12,10,7,8,5,9,7,7,10
3,19,24,20,23,15,22,20,19,20,12,12,19,11,15,16,8,11,9,8,7,6,11,5,8,7,7,11,5,12,8,7,8,5,9,7,7
4,26,17,24,21,21,16,23,18,20,19,10,14,18,12,16,16,8,11,9,9,7,6,11,5,8,7,3,11,5,12,8,7,8,5,9,7
5,21,27,17,24,21,21,15,24,18,19,20,10,15,18,12,16,16,8,12,9,9,7,5,10,5,8,7,3,12,5,9,8,6,8,5,9
6,25,21,27,19,25,21,23,14,25,17,17,21,10,15,18,14,20,15,8,11,9,9,7,5,10,5,8,7,3,13,9,9,8,6,8,5
7,25,25,22,28,19,23,21,23,14,25,18,17,21,10,14,17,14,20,15,8,12,9,9,8,5,10,5,8,7,5,12,9,9,8,6,8
8,25,26,25,22,27,19,24,21,22,14,25,18,17,24,10,15,17,14,19,15,8,11,9,9,8,5,9,4,9,7,8,11,9,9,8,6
9,18,26,26,25,22,27,19,23,21,23,15,25,17,17,24,10,15,17,15,19,16,8,11,9,9,8,5,9,4,11,15,8,11,9,9,8
10,23,19,27,26,25,22,27,19,22,22,22,14,25,17,17,23,11,15,19,14,19,15,8,12,9,9,9,7,9,6,19,14,9,11,9,9
11,18,25,19,27,27,24,22,27,18,23,21,22,14,25,17,17,24,11,15,19,15,17,14,8,11,9,9,7,7,9,15,16,13,9,11,9
