ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,5,7,2,3,6,0,4,2,4,4,1,3,9,5,5,4,7,5,3,7,3,5,8,10,10,5,3,3,2,7,4,5,6,9,12
1,3,4,5,6,3,3,6,0,4,1,4,5,1,4,7,5,5,3,7,5,3,7,2,6,9,7,9,4,3,4,3,7,3,7,7,8
2,9,3,4,6,6,3,3,5,0,5,1,4,5,1,4,8,5,5,3,7,3,3,6,2,4,8,8,9,3,2,3,3,6,3,5,6
3,5,9,3,2,6,6,3,3,7,0,5,1,5,6,1,3,7,5,5,3,7,3,5,6,2,4,6,8,9,3,7,3,4,6,3,5
4,8,4,9,3,3,6,6,4,3,6,1,5,0,6,5,1,4,6,5,5,3,6,3,5,7,3,4,6,8,9,3,6,3,4,7,3
5,6,9,4,9,3,2,7,6,3,4,6,1,6,0,6,4,1,5,6,4,5,3,6,3,5,7,3,3,5,9,5,3,6,3,4,7
6,7,5,10,4,9,3,2,6,6,3,4,6,1,6,2,6,4,1,5,6,4,6,1,6,2,5,7,3,4,5,4,6,2,8,2,4
7,11,7,5,10,5,9,3,2,6,6,4,5,6,2,6,3,7,3,1,5,6,4,6,2,6,3,6,6,4,4,5,4,7,2,8,3
8,3,10,6,5,10,4,8,3,2,6,4,4,5,6,2,6,3,6,3,1,5,7,3,7,3,5,3,6,6,4,6,6,3,8,3,8
9,8,3,10,6,5,10,4,7,3,2,6,4,4,5,6,2,7,3,6,3,1,5,7,4,7,3,6,3,6,6,1,6,6,4,8,3
10,5,8,3,10,6,5,10,5,7,3,3,6,4,4,5,8,2,5,3,6,3,2,5,8,4,7,2,6,3,6,3,2,6,7,4,8
11,2,4,8,3,10,6,5,10,5,7,4,3,6,4,5,5,8,1,5,3,6,3,3,6,9,4,7,3,7,3,6,3,2,7,8,4
12,8,2,4,8,3,10,6,6,10,6,8,4,3,6,4,5,5,9,1,5,3,6,3,3,6,9,5,6,3,7,3,6,3,2,7,8
13,5,7,2,4,9,4,10,6,6,10,6,8,4,3,6,4,5,4,9,1,5,3,4,3,4,7,9,5,7,3,5,3,5,3,3,7
14,7,4,7,2,5,9,3,12,7,6,12,6,9,4,3,6,4,5,4,8,1,5,3,3,4,4,7,9,5,7,1,5,3,4,4,3
15,10,7,4,7,4,4,9,4,11,8,6,12,6,9,4,3,7,5,5,4,8,1,6,4,3,4,4,7,8,5,8,1,5,3,4,4
16,11,10,7,4,7,4,4,8,3,11,8,6,12,6,9,4,3,7,6,5,4,7,1,7,4,3,4,3,8,8,4,7,1,6,3,4
17,9,11,10,7,6,7,4,4,9,3,13,8,6,12,6,10,4,3,7,6,5,5,7,1,6,4,3,4,2,7,5,5,7,1,5,3
18,9,10,11,10,9,5,6,5,4,10,4,13,9,6,12,6,7,4,4,8,6,5,6,7,1,7,4,3,4,2,6,5,5,7,1,6
19,4,9,10,11,10,10,7,6,4,4,10,5,13,10,6,13,6,7,2,4,8,7,5,8,7,1,7,4,5,4,9,7,5,7,8,1
20,8,4,10,9,11,10,10,6,8,4,5,13,5,13,10,5,13,7,7,5,3,8,8,5,6,7,3,7,4,5,3,9,7,5,5,8
21,7,7,4,12,9,13,11,9,6,7,7,6,12,6,14,11,6,13,7,7,4,3,7,9,5,6,7,3,7,5,5,3,8,8,5,5
22,5,6,6,3,9,7,13,10,10,5,8,6,6,12,6,13,10,6,14,7,6,5,3,8,7,5,6,8,3,6,8,5,3,9,7,5
23,4,4,5,5,5,9,4,13,10,10,10,8,5,7,11,6,13,11,9,12,7,6,6,3,8,7,4,6,10,2,7,8,6,3,9,7
24,11,5,5,4,4,3,9,5,12,11,12,11,8,5,8,9,5,14,10,8,13,7,8,5,3,6,8,4,5,9,12,7,8,5,3,7
25,1,12,4,5,4,4,2,10,4,12,10,12,11,8,4,8,9,6,13,10,7,14,6,10,7,3,5,9,5,5,7,13,6,13,7,3
26,4,1,11,4,5,5,3,4,11,3,15,9,12,10,8,4,10,10,4,12,10,7,14,5,9,7,3,3,6,6,10,7,14,6,12,7
27,2,4,1,10,1,6,6,3,4,12,3,15,10,11,7,7,3,11,9,4,12,10,8,13,3,6,6,3,5,7,11,10,8,13,5,9
28,8,2,4,2,9,2,5,6,3,5,13,3,13,10,10,7,9,4,11,11,4,12,9,9,13,6,11,7,3,8,5,11,8,10,13,6
29,8,7,0,4,1,8,2,5,6,1,7,13,4,14,13,9,4,9,6,11,12,6,12,10,10,10,6,9,6,4,11,7,11,8,11,11
30,6,7,7,0,4,0,8,2,5,6,2,6,13,5,13,12,8,5,7,7,10,15,6,12,12,10,9,6,11,8,9,13,7,12,9,11
31,5,6,7,8,1,4,0,7,5,5,7,2,7,11,3,13,11,5,5,5,5,9,15,6,12,11,11,8,7,9,5,8,15,7,12,9
32,6,6,4,7,8,2,4,1,7,3,6,8,2,7,11,3,11,11,5,6,6,6,11,16,5,11,11,9,6,6,6,6,10,17,7,12
33,7,8,6,4,8,9,1,4,1,7,4,6,8,2,6,12,3,11,12,5,7,4,7,10,14,7,10,11,9,5,7,4,7,10,17,8
34,3,6,7,5,5,7,9,0,4,1,7,4,6,11,2,6,12,6,10,12,6,6,5,5,10,12,8,10,11,9,7,6,4,7,10,15
