ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,10,6,8,6,9,13,10,11,4,10,8,9,8,12,13,10,8,10,9,6,13,8,14,8,6,11,8,13,10,6,13,8,14,8,6
1,11,6,9,7,8,6,9,13,9,12,5,10,7,9,7,12,13,9,6,10,9,6,14,9,14,7,6,13,7,12,9,6,14,8,14,7
2,10,10,8,8,8,9,4,8,14,8,13,5,11,8,9,7,12,13,11,5,11,10,6,16,9,15,10,8,13,8,10,9,6,15,8,15
3,12,11,11,6,8,7,9,4,8,13,8,13,5,14,8,9,7,13,13,11,5,11,9,5,16,7,13,10,6,13,6,10,9,6,15,6
4,11,12,10,11,6,8,8,9,5,8,15,10,13,5,14,8,9,7,13,14,10,6,10,9,5,14,7,12,11,7,11,7,9,9,6,14
5,13,12,12,10,12,6,7,7,8,5,8,15,10,13,6,15,8,8,7,13,14,10,7,10,9,5,16,7,12,13,15,11,8,10,9,6
6,8,14,11,13,11,11,7,8,7,8,6,8,15,10,13,6,15,8,8,7,13,14,12,7,9,8,5,13,8,16,12,15,12,8,9,8
7,13,8,16,12,13,11,10,6,7,8,10,8,8,16,9,15,7,15,8,8,8,13,14,12,6,9,8,6,13,8,9,12,15,13,7,9
8,16,13,8,15,11,11,12,10,7,8,7,10,7,8,14,9,14,7,15,8,8,8,13,15,13,6,9,8,6,14,8,9,12,15,14,7
9,4,14,15,8,14,11,12,12,12,9,8,9,10,7,9,14,8,14,9,15,8,8,8,13,15,13,6,9,9,6,9,8,9,12,15,14
10,12,3,15,13,9,14,11,14,13,11,8,8,9,10,6,9,14,9,15,7,16,8,8,8,12,15,12,7,9,9,15,9,8,9,12,15
11,16,14,4,14,13,8,15,12,14,12,11,8,8,9,10,6,10,14,9,14,8,15,10,8,8,13,15,12,10,10,7,15,11,8,9,13
12,20,18,12,5,13,14,9,15,12,14,12,11,8,9,9,10,5,10,14,10,14,8,15,11,8,8,14,15,12,8,13,6,15,12,8,9
13,12,21,17,11,5,13,14,8,14,13,14,12,11,8,9,9,9,6,11,14,13,14,8,15,10,7,8,14,15,14,14,13,6,15,10,7
14,16,9,20,17,11,5,13,15,10,14,14,12,12,11,8,10,9,10,6,12,14,13,13,8,14,9,7,10,14,13,15,14,12,6,13,9
15,16,16,11,21,17,11,6,13,13,10,14,14,13,12,11,8,10,10,10,6,14,15,13,13,7,14,9,7,10,14,14,16,14,12,5,13
16,21,16,17,9,20,17,11,6,13,16,10,14,14,13,12,11,8,10,9,10,6,14,16,13,13,7,14,7,7,10,6,14,17,14,22,7
17,22,23,17,18,9,18,17,13,6,14,14,9,14,14,13,12,11,8,10,10,10,6,14,17,14,12,8,14,7,7,10,6,14,17,15,12
