ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,9,10,5,10,6,7,9,9,15,8,5,5,6,7,8,5,10,5,9,5,12,3,9,8,14,10,11,13,5,5,12,3,8,8,14
1,11,8,10,10,5,10,6,7,9,9,15,7,5,4,7,7,6,7,11,4,9,5,12,2,8,9,14,12,12,13,9,5,12,2,7,9
2,13,11,7,10,11,6,10,7,9,7,9,16,7,5,3,7,7,6,6,11,5,9,6,13,1,8,9,14,12,14,5,9,6,13,1,7
3,10,14,12,7,10,10,6,10,7,9,9,11,14,10,5,1,7,9,7,6,11,6,10,5,13,1,8,10,13,11,11,6,10,3,12,1
4,8,11,12,12,7,10,10,6,9,8,8,9,10,13,9,6,2,7,9,7,6,11,6,10,5,12,1,7,10,12,6,11,6,9,3,11
5,13,8,10,16,12,7,10,10,6,9,7,9,10,9,13,9,6,3,6,9,8,6,11,6,10,4,11,2,8,11,8,6,11,6,9,3
6,12,13,9,11,13,12,8,9,10,6,8,7,9,10,9,14,9,6,4,5,9,9,7,11,7,11,3,11,1,8,9,9,7,12,7,10
7,21,10,13,10,10,13,13,8,10,10,6,8,7,10,11,9,15,9,6,6,5,11,8,6,11,7,11,4,12,1,4,10,9,8,12,7
8,15,21,12,12,10,11,13,14,8,10,9,6,8,7,10,11,8,15,8,7,6,6,11,8,6,11,8,11,3,11,6,5,10,9,8,12
9,12,15,21,13,11,10,11,13,16,9,11,9,6,8,9,10,12,8,15,8,6,6,7,12,8,5,10,7,11,4,6,6,5,11,9,8
10,13,12,15,20,12,10,9,11,13,13,9,11,9,7,8,9,10,11,8,15,8,6,7,6,12,8,6,10,6,10,8,6,7,4,11,9
11,17,14,12,15,20,12,10,9,10,12,13,9,11,10,9,8,9,13,12,8,15,8,7,6,8,13,8,5,11,7,15,8,7,6,6,12
12,19,17,13,12,15,19,12,10,9,10,13,13,9,11,10,10,8,9,13,12,8,14,9,8,5,7,11,8,6,11,8,15,9,8,6,6
13,18,21,16,13,12,15,18,11,10,9,11,12,13,8,11,10,9,9,10,13,10,9,14,9,9,5,7,11,11,6,10,9,15,9,9,6
14,11,16,19,17,13,12,15,17,12,10,9,11,12,14,8,11,10,8,10,10,13,10,9,15,9,9,5,7,11,12,13,10,9,15,9,9
15,19,11,16,19,16,14,12,16,17,11,10,9,11,12,14,8,11,10,7,12,9,12,10,9,14,9,9,5,6,11,7,11,10,9,14,9
16,18,21,11,17,20,16,14,12,16,17,11,10,9,11,12,14,9,11,12,6,13,8,13,11,8,14,9,9,7,6,12,6,11,11,8,14
17,20,19,20,12,17,20,16,14,12,16,17,11,10,8,11,12,14,9,12,12,6,13,7,13,11,8,12,9,9,8,6,12,6,12,11,8
18,19,18,19,18,10,15,19,16,13,13,17,17,11,10,8,13,14,15,10,11,12,6,11,8,11,11,10,12,9,9,13,6,12,7,11,11
19,17,18,20,19,19,11,15,18,16,12,11,17,17,11,11,8,13,13,15,10,9,12,6,11,8,11,11,11,15,10,9,13,6,11,7,11
20,19,17,16,19,23,20,10,16,18,17,11,13,19,17,12,10,9,14,14,13,12,9,13,6,11,9,9,12,11,14,12,9,14,6,11,8
21,14,17,16,15,20,21,20,10,18,17,17,11,14,21,17,13,10,8,13,15,13,12,9,13,6,13,8,10,13,12,13,12,9,14,6,13
22,13,12,18,17,12,19,22,19,10,21,20,17,12,14,21,17,13,10,12,13,14,12,11,8,12,7,15,8,11,12,14,14,11,9,13,7
23,18,12,12,16,14,13,18,23,20,14,23,21,20,13,13,21,18,13,10,12,14,14,11,13,8,10,9,16,7,11,13,14,13,15,9,12
24,16,19,12,11,18,13,12,18,22,19,13,23,21,18,13,16,20,18,13,11,13,14,15,10,15,7,11,10,14,9,14,14,15,13,17,8
25,12,17,19,12,9,19,16,11,16,23,21,15,23,21,17,15,16,18,17,11,10,10,17,13,10,19,6,10,9,14,10,14,17,12,12,20
26,18,11,18,18,16,11,18,15,13,18,29,20,15,23,21,18,16,16,18,15,11,12,13,19,13,10,18,7,11,10,11,12,15,19,11,12
27,27,19,14,20,18,16,12,18,14,13,16,28,18,14,21,24,17,17,17,16,14,11,13,13,21,14,10,17,7,11,14,11,13,15,20,12
28,8,26,20,14,18,18,16,14,21,16,14,18,25,17,13,22,23,17,15,18,15,16,13,12,12,19,16,10,20,6,15,15,13,12,14,19
29,11,7,25,17,14,18,18,18,13,19,14,15,16,24,16,12,20,22,18,15,19,17,18,12,12,11,18,13,15,20,18,16,17,12,11,13
30,15,10,7,24,16,11,18,19,19,15,20,13,15,16,24,16,11,21,22,17,16,20,17,16,13,15,12,19,12,18,16,21,15,15,12,13
31,19,13,8,11,24,17,11,18,19,18,16,19,10,15,16,24,16,11,20,19,17,14,22,15,13,12,15,14,18,9,17,15,21,14,13,12
32,17,17,13,8,9,23,15,10,17,20,19,16,20,11,15,17,21,16,12,20,19,17,14,19,13,12,11,13,15,20,20,17,15,18,14,12
33,14,17,17,12,9,9,25,17,10,17,18,20,16,20,11,13,16,22,15,13,19,19,17,14,19,14,12,13,10,14,22,22,17,15,21,15
34,16,14,16,16,12,11,9,23,16,13,20,18,21,16,21,12,13,16,22,15,14,18,20,19,13,21,11,13,15,10,15,20,22,19,13,22
