ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,7,7,6,7,10,8,7,6,14,15,5,7,7,8,7,3,7,7,3,4,5,3,4,2,2,4,4,6,2,3,5,3,4,2,2
1,12,4,7,8,6,8,9,9,6,6,10,15,6,7,7,7,7,3,7,6,3,4,5,3,4,1,2,4,4,7,4,3,5,3,4,1
2,4,11,4,8,7,7,7,8,9,6,7,9,15,6,7,7,7,7,3,7,6,3,5,5,3,4,1,2,4,4,7,4,4,5,3,4
3,4,3,11,4,8,7,6,7,8,9,6,7,9,15,6,8,7,6,7,2,6,6,3,5,5,3,4,1,2,4,7,7,4,4,5,3
4,4,3,5,11,4,9,6,6,6,8,9,6,7,11,16,6,8,7,6,7,3,6,6,3,4,5,3,4,1,2,3,7,7,4,4,5
5,7,3,3,5,11,5,9,5,6,6,8,9,8,7,10,16,6,8,7,6,7,2,6,7,3,4,6,3,4,1,7,1,7,7,4,4
6,4,7,4,3,4,11,5,9,5,5,6,8,9,8,7,10,16,6,9,7,7,7,2,6,7,3,4,5,3,4,7,7,2,7,7,4
7,6,2,7,4,4,5,11,6,9,5,4,5,8,9,8,7,10,16,6,9,7,7,7,2,6,7,3,4,5,3,7,7,7,2,7,7
8,11,6,3,8,4,3,4,11,6,9,7,4,5,8,9,8,7,10,16,6,8,6,7,7,2,5,8,3,4,5,7,6,7,7,2,6
9,11,11,6,3,8,4,3,5,11,5,10,7,4,5,9,9,8,7,10,16,6,7,6,7,7,2,5,7,4,4,6,7,6,7,7,2
10,10,11,12,6,5,9,5,3,5,11,6,9,7,5,5,9,9,8,7,11,16,6,8,6,7,7,2,6,7,4,14,6,8,6,7,7
11,13,10,11,11,6,5,9,6,3,5,10,6,9,7,5,5,9,7,8,7,11,16,6,8,6,7,7,2,6,7,11,14,6,8,6,7
12,11,13,10,11,11,5,7,9,7,3,6,13,6,10,8,6,5,9,7,8,7,11,16,6,8,6,7,7,2,6,7,11,15,6,8,6
13,8,12,14,10,10,11,5,8,10,6,4,6,13,6,10,9,6,6,9,7,9,7,11,16,6,8,6,7,6,2,9,7,11,17,6,8
14,12,8,11,14,10,11,11,5,8,10,7,4,6,13,6,10,9,6,6,9,7,9,7,11,16,6,8,6,7,6,9,9,7,11,16,6
15,19,13,8,11,15,10,10,11,5,8,8,7,5,7,13,6,10,9,6,5,9,6,9,7,11,16,6,7,6,7,9,8,9,7,11,16
16,8,18,13,8,11,15,10,9,11,5,9,8,7,5,7,13,6,10,8,6,5,9,6,9,7,11,16,6,8,6,5,9,8,9,7,11
17,18,9,18,13,8,11,16,10,9,11,5,9,8,7,5,7,13,6,9,8,6,5,9,6,9,7,11,16,6,8,6,5,9,8,9,7
18,18,19,8,18,14,7,12,15,10,9,12,5,9,7,7,5,8,13,5,9,8,6,5,9,6,9,7,11,16,6,7,6,5,9,8,9
19,16,19,19,8,19,13,7,12,16,8,11,12,5,8,7,7,6,9,13,6,9,8,6,5,9,7,9,7,10,16,10,7,6,5,9,9
20,23,18,18,18,7,21,13,7,12,17,9,11,13,5,9,7,7,6,9,13,6,8,6,6,5,11,7,10,7,10,6,9,6,6,5,10
21,7,19,17,17,15,7,22,14,7,13,19,9,12,13,3,8,8,7,5,9,13,5,7,6,6,5,10,7,10,7,11,5,8,6,6,5
22,14,8,19,15,14,16,5,20,13,7,12,19,9,11,13,4,9,7,7,5,8,13,5,6,6,6,5,9,6,10,8,11,5,7,6,6
