ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1569,1567,1546,1523,1551,1446,1395,1476,1389,1512,1279,1461,1474,1435,1278,1359,1303,1309,1199,1262,1218,1215,1250,1309,1382,1275,1317,1348,1310,1306,1224,1218,1257,1298,1363,1266
1,1573,1567,1573,1544,1517,1551,1436,1396,1463,1393,1325,1288,1453,1461,1444,1271,1347,1284,1309,1202,1234,1236,1229,1249,1299,1371,1288,1308,1342,1290,1247,1242,1228,1262,1293,1384
2,1654,1580,1577,1577,1534,1510,1554,1438,1389,1465,1300,1353,1293,1443,1462,1442,1266,1337,1276,1296,1202,1254,1240,1246,1263,1306,1382,1309,1298,1323,1198,1247,1258,1253,1267,1306
3,1758,1658,1584,1583,1582,1530,1509,1550,1422,1382,1377,1309,1356,1312,1441,1452,1440,1266,1339,1254,1281,1212,1271,1257,1248,1267,1324,1386,1312,1280,1286,1219,1275,1275,1273,1275
4,1726,1770,1659,1593,1599,1575,1525,1505,1549,1416,1300,1380,1315,1365,1338,1434,1445,1434,1265,1338,1240,1291,1221,1287,1265,1260,1289,1323,1373,1299,1249,1299,1243,1308,1288,1285
5,1855,1734,1768,1656,1600,1602,1585,1524,1504,1548,1356,1316,1384,1332,1380,1371,1429,1450,1427,1263,1328,1253,1298,1233,1311,1272,1264,1293,1335,1363,1307,1253,1314,1253,1313,1288
6,1808,1863,1738,1774,1659,1605,1608,1595,1516,1499,1496,1358,1323,1389,1349,1399,1392,1423,1445,1424,1257,1341,1271,1305,1248,1318,1289,1282,1298,1343,1259,1325,1281,1332,1266,1319
7,1872,1818,1874,1746,1782,1661,1613,1613,1585,1515,1446,1505,1369,1332,1396,1370,1417,1425,1418,1434,1419,1275,1365,1270,1330,1256,1321,1305,1287,1303,1418,1271,1353,1292,1345,1271
8,1965,1896,1835,1886,1745,1793,1668,1616,1622,1583,1458,1449,1512,1391,1347,1408,1383,1442,1449,1410,1430,1423,1289,1368,1282,1342,1268,1337,1308,1291,1448,1424,1292,1374,1305,1357
9,2055,1986,1916,1853,1895,1741,1794,1670,1606,1622,1532,1458,1455,1521,1405,1364,1419,1403,1464,1471,1402,1442,1436,1302,1379,1296,1356,1268,1337,1314,1410,1450,1448,1325,1374,1315
10,2068,2057,1997,1921,1858,1893,1745,1796,1670,1601,1590,1541,1462,1458,1531,1426,1375,1436,1413,1491,1498,1414,1459,1459,1332,1376,1302,1363,1271,1342,1479,1420,1478,1467,1344,1386
11,2045,2072,2072,2008,1930,1867,1892,1756,1794,1674,1574,1595,1545,1465,1464,1549,1439,1394,1447,1427,1518,1505,1424,1496,1476,1348,1385,1315,1369,1282,1518,1496,1443,1515,1484,1359
12,2156,2057,2084,2082,2014,1932,1870,1898,1750,1795,1655,1584,1602,1550,1477,1472,1558,1464,1406,1464,1442,1522,1521,1444,1507,1475,1363,1397,1325,1384,1422,1533,1511,1451,1531,1483
13,2144,2160,2063,2091,2082,2023,1936,1870,1896,1747,1777,1662,1583,1604,1563,1497,1480,1576,1482,1424,1480,1455,1527,1527,1464,1514,1497,1371,1406,1329,1490,1443,1543,1541,1472,1542
14,2210,2149,2163,2068,2095,2083,2035,1943,1871,1901,1736,1786,1664,1590,1610,1571,1506,1496,1588,1498,1440,1495,1460,1541,1537,1472,1530,1517,1392,1405,1467,1498,1461,1572,1551,1481
15,2261,2214,2151,2172,2071,2096,2088,2037,1945,1871,1905,1737,1796,1672,1611,1618,1573,1523,1500,1603,1514,1437,1500,1475,1562,1537,1482,1552,1523,1386,1502,1469,1518,1485,1586,1555
16,2303,2266,2220,2149,2189,2077,2099,2097,2041,1953,1880,1906,1734,1806,1685,1616,1624,1593,1532,1516,1615,1513,1456,1516,1488,1575,1556,1489,1563,1518,1609,1521,1495,1555,1501,1606
17,2330,2312,2267,2226,2153,2194,2080,2097,2101,2044,1972,1890,1910,1738,1820,1695,1630,1640,1593,1541,1527,1614,1515,1467,1525,1486,1593,1562,1497,1575,1543,1613,1540,1492,1577,1504
18,2149,2331,2307,2274,2222,2166,2197,2094,2103,2104,2087,1974,1891,1909,1753,1834,1710,1638,1647,1598,1557,1523,1625,1531,1489,1533,1506,1620,1564,1504,1556,1554,1641,1539,1520,1581
19,2125,2135,2338,2317,2284,2225,2173,2207,2104,2114,2147,2097,1983,1903,1922,1760,1841,1731,1642,1653,1608,1564,1535,1630,1540,1499,1558,1550,1647,1589,1603,1564,1588,1646,1563,1540
20,2093,2126,2139,2348,2329,2287,2243,2170,2206,2111,2144,2156,2099,1980,1926,1940,1770,1849,1741,1646,1666,1618,1587,1548,1651,1556,1546,1614,1567,1649,1668,1623,1597,1605,1673,1584
