ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,46,36,39,37,44,32,27,30,46,38,31,41,35,47,39,33,45,44,46,44,42,52,44,50,46,62,63,52,70,52,42,56,45,49,47,61
1,63,48,32,35,41,46,35,30,28,47,38,32,35,33,47,40,34,49,48,44,46,44,57,46,54,48,62,65,50,65,47,45,60,45,51,48
2,54,59,46,30,40,39,51,34,29,29,47,40,31,34,33,49,41,37,54,50,45,48,45,62,49,55,50,61,68,50,46,49,45,67,47,53
3,53,44,57,42,33,40,41,51,34,31,29,50,40,31,36,33,50,42,41,52,50,44,51,46,62,51,54,51,64,66,47,45,53,44,70,50
4,77,51,44,59,42,35,41,41,50,33,32,30,51,40,32,36,35,51,44,42,54,48,47,54,50,61,49,51,48,60,55,45,49,55,48,67
5,79,71,56,43,62,39,34,39,41,53,33,33,33,50,39,34,34,37,52,45,41,55,52,48,57,52,63,50,52,49,42,57,50,48,59,51
6,63,79,70,57,41,60,36,35,41,42,49,33,36,32,51,38,34,35,39,52,44,44,62,53,50,56,51,64,46,53,44,44,62,53,50,58
7,64,63,78,71,58,38,55,41,35,41,43,49,33,35,34,50,39,36,36,39,53,47,44,62,54,48,58,53,62,48,54,47,45,62,55,48
8,87,64,61,82,68,55,37,56,38,35,39,41,48,33,33,35,47,42,36,38,40,53,49,43,62,56,48,60,53,65,37,54,51,44,62,57
9,92,84,61,60,79,65,57,37,55,38,37,40,39,46,36,36,34,47,43,37,40,40,59,50,44,60,58,48,61,54,39,38,59,50,46,61
10,94,85,78,61,62,77,64,56,34,52,34,37,42,40,46,35,37,35,47,43,38,41,42,58,51,46,60,59,48,65,38,41,41,57,51,47
11,67,95,79,76,62,61,74,63,59,35,53,36,37,42,40,45,36,38,37,46,44,40,42,42,57,46,48,58,57,48,43,39,42,41,57,47
12,93,66,92,78,75,59,63,69,62,59,33,54,36,36,42,40,44,39,39,36,45,46,39,43,43,57,46,50,62,59,47,45,39,43,42,57
13,80,88,63,89,76,71,59,61,69,61,58,37,52,33,35,42,39,43,39,39,36,45,46,39,44,45,57,48,49,62,36,46,45,39,44,44
14,87,79,88,65,84,77,72,57,65,72,58,58,37,52,34,36,42,39,42,41,38,34,46,47,37,45,45,57,51,48,39,39,48,46,37,45
15,102,85,78,84,62,80,71,72,60,60,68,58,59,35,52,35,36,42,39,43,41,43,35,46,47,36,45,46,56,52,41,40,40,46,45,37
16,101,101,87,77,81,60,79,66,70,58,61,68,59,58,35,52,34,38,41,40,43,41,42,34,48,47,39,45,44,56,44,41,43,40,47,46
17,91,95,98,86,73,77,59,77,68,66,59,62,68,58,58,35,51,35,41,43,41,41,41,43,36,50,43,39,44,47,42,42,42,44,40,49
18,69,90,93,96,85,75,75,57,77,67,64,60,62,70,58,58,34,49,36,43,43,44,41,41,41,38,51,44,41,43,40,45,42,43,43,41
19,79,69,92,86,92,79,73,76,60,78,67,64,63,63,69,57,58,36,50,37,43,43,45,38,43,42,41,50,44,38,42,40,46,41,43,43
20,75,76,70,89,88,90,78,75,71,59,74,65,66,64,62,69,59,60,34,51,40,41,43,46,37,42,41,43,53,44,40,40,40,46,40,43
21,58,73,78,68,90,95,85,77,74,69,59,74,68,63,63,62,71,61,59,40,51,39,45,43,46,40,40,43,40,53,50,39,43,41,45,42
22,62,60,68,73,66,93,90,89,79,79,67,61,72,66,61,64,61,71,59,56,40,55,40,48,44,43,37,42,42,43,39,52,41,46,42,44
23,46,64,50,66,75,60,93,88,88,78,73,65,60,69,63,63,66,63,73,60,55,40,57,42,48,44,40,37,44,51,57,39,57,45,45,43
24,61,48,64,51,72,76,63,86,83,86,75,74,71,59,63,67,68,63,65,74,57,61,45,64,43,50,45,41,38,47,58,58,40,64,47,46
25,73,60,46,62,53,76,80,69,92,81,84,78,76,67,59,68,67,64,67,65,72,57,63,53,58,44,50,44,42,38,71,58,64,53,59,48
26,67,69,57,50,66,52,71,82,70,86,82,85,81,72,65,58,68,65,72,72,61,78,63,61,52,63,45,52,50,45,62,74,64,62,53,62
27,51,65,63,56,50,61,56,75,80,73,89,86,85,81,68,65,57,62,73,71,67,67,84,61,64,58,59,46,45,52,65,67,79,62,65,58
28,61,51,63,63,58,47,62,55,74,79,73,88,85,84,79,69,55,61,66,74,70,73,66,90,63,72,58,59,47,44,71,68,66,91,62,70
29,71,59,49,62,62,63,43,64,55,73,81,73,86,83,82,81,68,57,70,65,76,68,78,73,87,64,75,58,58,43,73,71,72,73,90,64
30,63,71,57,46,60,62,63,41,66,59,78,81,75,85,86,84,85,71,62,74,68,79,73,85,69,90,65,77,63,58,68,76,74,87,69,93
31,70,61,67,58,45,61,63,62,39,62,61,78,81,77,88,91,87,85,79,54,75,75,84,79,88,74,91,66,72,63,75,71,81,77,90,74
32,68,64,62,68,55,44,59,66,58,42,63,61,79,86,76,88,90,93,79,78,54,81,81,89,88,92,72,92,65,73,57,78,75,86,84,95
33,76,73,63,62,72,49,49,60,65,58,40,65,59,76,84,79,90,95,96,81,80,57,91,84,92,95,103,79,90,71,77,60,82,81,89,90
34,58,68,70,65,63,68,49,46,54,63,56,42,66,57,75,84,77,91,96,98,78,79,57,95,88,95,92,101,81,85,79,80,61,92,88,93
35,68,56,69,70,64,66,66,46,49,54,72,59,43,70,55,75,81,79,94,95,94,80,78,59,97,92,97,94,101,91,93,83,80,63,95,92
36,50,65,55,64,74,58,63,66,46,49,53,73,61,44,71,55,72,78,80,92,98,102,90,81,68,91,87,98,94,105,97,98,87,80,70,90
37,55,49,65,56,64,74,57,60,66,46,50,54,76,61,44,68,54,73,82,83,93,102,103,93,77,74,94,88,98,96,90,101,102,93,80,75
38,56,54,49,66,54,65,69,58,62,65,42,49,52,71,61,44,67,50,72,84,84,99,103,111,96,75,72,93,83,102,84,94,101,108,97,78
39,65,54,52,50,62,54,62,72,58,59,64,42,49,54,72,61,45,67,55,73,83,84,105,104,113,97,77,74,92,86,81,86,98,103,107,96
40,55,66,54,53,49,62,53,61,74,58,60,65,43,48,53,72,60,47,66,55,74,83,84,109,106,118,101,79,76,99,73,85,85,109,105,114
41,74,56,63,55,50,50,63,54,62,75,58,60,63,43,50,54,72,59,47,67,57,77,82,85,110,109,120,104,80,78,55,78,84,85,109,107
42,60,74,58,62,51,49,50,59,50,62,73,58,59,61,43,51,53,70,57,48,66,57,76,83,86,103,108,124,104,78,68,55,78,83,86,104
43,62,60,69,54,60,53,49,49,62,52,61,68,59,60,60,42,49,53,72,56,54,68,61,76,89,86,106,108,121,104,52,68,60,77,88,85
44,74,59,59,69,53,54,53,51,46,58,49,60,70,59,60,60,42,50,51,71,57,54,69,63,77,90,87,105,107,120,59,53,70,62,78,89
45,63,74,59,56,68,53,56,55,49,48,57,49,60,70,59,60,60,42,49,52,69,61,55,70,63,78,90,90,106,106,67,63,53,70,63,79
46,60,63,72,63,57,65,50,53,52,50,47,58,50,60,69,59,61,60,42,47,54,67,62,54,71,62,76,90,92,107,54,67,64,54,70,63
