ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,4,7,8,4,7,9,12,9,5,4,3,9,3,3,4,4,12,2,7,6,3,2,8,3,5,2,9,7,10,6,3,2,8,3,5
1,9,7,5,7,8,4,7,8,10,10,5,4,3,9,3,3,5,4,12,4,6,6,5,3,8,3,5,2,9,8,6,6,5,3,8,3
2,10,8,8,4,9,7,4,6,7,10,10,5,4,3,9,3,2,6,4,12,3,6,6,6,3,8,3,5,2,9,3,6,6,5,3,8
3,4,10,8,8,5,8,7,4,6,7,9,10,5,3,3,9,3,2,6,4,12,3,6,5,5,3,7,4,5,2,12,3,6,5,5,3
4,8,4,8,7,8,6,8,7,4,6,7,9,10,5,2,3,9,3,3,6,4,12,3,7,5,5,3,7,4,5,4,12,3,7,5,6
5,16,9,4,9,8,9,5,10,7,5,7,7,9,11,6,2,4,9,3,3,6,4,12,3,7,5,6,3,6,4,5,5,12,3,7,5
6,12,17,9,4,9,8,7,5,9,7,4,7,7,9,10,6,1,4,8,3,3,6,4,13,3,7,5,7,3,6,3,6,5,12,3,7
7,12,12,18,10,4,10,9,7,5,9,7,4,9,7,8,11,6,1,4,8,3,3,6,4,13,3,7,5,6,3,3,3,5,5,12,3
8,12,12,12,18,9,4,8,8,7,6,10,7,4,9,6,8,11,6,2,4,8,3,3,6,4,13,3,7,6,5,8,3,3,5,5,12
9,13,12,12,12,18,9,5,8,8,7,5,10,7,3,9,5,8,11,6,2,4,8,3,4,6,4,13,3,7,6,4,8,3,4,5,5
10,10,14,11,12,12,17,10,4,8,8,4,4,10,7,2,9,6,8,11,6,2,5,8,3,4,7,4,12,3,7,2,5,8,3,4,6
11,15,12,13,11,12,12,17,10,4,8,8,4,4,10,8,3,9,6,7,11,6,3,4,8,3,4,8,4,12,3,6,3,5,8,3,4
12,6,16,10,13,11,14,12,17,9,4,8,8,5,4,10,10,3,9,7,7,11,6,2,4,8,3,5,7,6,12,12,6,3,5,8,3
13,12,6,17,10,14,12,12,12,17,9,5,9,8,5,4,10,11,3,9,7,7,11,6,2,4,8,3,5,7,6,8,12,6,3,5,8
14,10,11,6,16,10,15,11,13,12,17,10,5,9,8,5,4,9,11,2,8,8,7,11,6,2,4,9,3,5,7,8,8,12,6,3,5
