ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,8,2,7,5,2,5,2,4,1,5,5,8,11,9,7,7,8,7,9,8,8,8,6,4,9,8,6,3,6,8,8,8,5,4,8
1,6,5,9,2,8,3,3,5,2,4,3,5,5,8,11,9,7,7,8,7,9,8,9,9,7,4,8,10,6,4,9,8,9,7,6,4
2,5,6,5,8,2,8,4,3,5,3,5,3,6,6,8,10,9,6,8,8,6,8,8,9,9,6,4,10,10,6,6,8,7,9,8,6
3,4,4,5,5,8,3,8,6,3,5,3,5,3,7,6,8,10,9,5,8,8,5,8,7,9,9,6,3,11,12,9,5,7,7,8,8
4,10,3,4,6,5,8,2,9,5,3,7,5,6,3,7,6,9,10,8,4,8,8,5,8,8,9,7,5,4,11,8,9,5,7,8,8
5,4,9,3,4,6,6,7,2,11,7,4,7,6,6,4,7,7,9,11,8,3,8,8,5,8,8,7,5,5,4,4,8,9,5,7,7
6,11,4,9,4,4,5,7,9,4,10,6,4,7,6,7,4,6,7,9,12,9,3,8,8,7,8,8,7,5,5,10,4,8,9,6,7
7,9,11,4,9,4,3,7,8,8,3,12,6,4,7,6,7,4,4,7,10,11,9,4,9,10,7,8,7,7,5,10,10,5,9,11,6
8,12,9,12,5,10,4,3,5,7,9,3,12,6,4,7,6,7,2,3,7,10,11,9,4,9,10,7,6,6,8,9,10,10,5,9,11
9,10,13,10,12,5,11,4,3,6,7,11,4,12,6,4,7,6,7,3,6,7,10,11,9,6,8,10,7,6,6,7,9,10,9,6,8
10,10,11,12,8,13,4,10,4,3,5,8,11,4,13,7,3,7,6,8,3,6,7,10,11,10,7,8,11,6,6,6,7,9,10,10,7
11,16,11,10,13,8,11,5,10,4,4,6,8,10,4,14,7,3,8,6,8,3,7,7,8,11,10,7,8,10,4,3,6,7,7,10,10
12,14,16,11,10,14,6,11,5,10,4,4,6,8,10,4,13,8,3,9,6,7,2,7,5,9,11,10,7,8,10,7,3,6,5,8,10
13,12,15,16,10,12,15,6,11,5,12,4,4,8,10,10,4,13,8,3,9,6,7,3,5,4,9,11,10,7,8,5,7,4,5,4,8
14,10,14,14,14,11,12,15,7,12,6,11,4,4,8,10,9,4,13,10,3,9,6,7,3,4,4,10,9,10,7,9,5,7,4,4,4
15,11,9,13,13,14,12,11,15,9,13,5,11,4,5,8,10,9,4,11,9,3,9,6,7,2,4,5,9,9,9,3,9,5,7,3,4
16,13,12,8,12,13,14,13,13,17,7,11,5,10,4,6,8,10,9,4,12,9,2,8,7,7,2,3,6,9,9,9,3,8,6,7,3
17,12,13,12,8,12,14,16,14,12,15,7,13,5,9,4,6,8,10,10,3,12,9,2,8,7,7,2,3,6,10,12,9,3,8,6,7
18,14,11,13,12,9,12,14,15,13,11,16,7,10,6,9,4,6,7,9,10,3,11,8,4,8,7,7,4,3,6,2,11,8,4,8,6
19,14,14,10,11,13,9,12,13,15,11,12,16,7,10,5,10,4,6,8,9,10,3,11,8,4,7,7,7,3,3,12,2,11,8,4,7
20,13,13,12,11,11,12,9,11,17,15,13,13,16,7,10,5,10,4,6,7,9,11,3,10,8,4,7,8,6,3,9,13,2,10,8,4
21,14,13,14,11,11,11,11,9,11,16,16,14,12,16,9,11,5,10,2,6,7,9,13,4,10,8,3,6,8,7,6,9,14,2,9,8
22,11,17,13,15,13,12,11,11,7,9,16,16,14,13,16,9,11,4,10,2,7,6,11,13,4,10,8,3,7,8,7,5,10,14,2,9
23,11,10,15,11,11,13,12,13,12,8,12,18,16,15,12,16,10,11,4,10,2,7,6,10,14,3,10,6,3,7,3,7,5,9,15,2
24,9,9,10,13,12,12,13,13,14,11,11,13,17,17,14,10,17,9,10,5,10,2,7,6,10,14,3,11,6,3,10,3,7,5,9,14
25,10,10,11,10,12,14,11,13,13,14,14,11,15,18,16,14,11,16,9,11,5,9,2,6,7,9,13,2,14,6,5,9,3,7,6,8
26,9,8,11,10,10,13,13,11,14,13,15,13,10,17,18,16,11,12,16,9,12,5,10,2,7,7,8,15,2,13,12,5,10,3,7,7
27,7,7,8,11,10,12,14,13,11,16,12,15,15,11,17,17,15,11,11,15,9,11,5,9,4,7,7,7,16,3,9,12,5,9,4,6
28,15,5,6,7,10,9,11,13,14,11,16,13,13,18,8,19,16,15,12,13,15,9,9,7,9,3,6,7,10,14,14,9,11,6,9,4
29,7,14,5,6,7,10,10,12,11,18,10,15,14,13,19,6,18,15,16,14,14,15,10,12,9,9,3,5,7,8,13,15,10,13,8,10
30,12,7,16,5,7,9,10,10,12,12,17,10,15,15,14,19,7,17,14,16,14,16,15,9,13,9,10,2,5,7,15,14,16,9,13,8
31,17,11,7,15,5,7,9,9,11,14,12,17,9,16,17,13,18,6,16,14,17,18,16,15,9,12,9,10,5,3,17,18,14,17,10,12
32,15,18,11,6,16,5,7,10,9,12,16,12,16,9,15,16,13,17,6,18,11,17,18,14,12,11,12,8,8,6,13,18,18,12,14,11
33,7,16,18,12,5,15,5,7,9,9,12,16,12,16,10,15,16,13,17,7,17,11,20,14,15,13,9,12,7,8,17,13,19,15,13,13
34,9,8,17,16,13,6,15,5,7,8,12,14,15,13,16,9,15,13,12,17,7,16,13,20,16,16,13,13,13,7,8,15,14,19,17,14
35,16,8,7,18,16,13,5,13,5,8,8,12,14,15,12,16,9,17,14,10,16,8,14,13,16,15,15,14,13,12,18,9,14,14,16,16
36,7,16,9,7,18,15,13,4,13,5,8,8,13,14,14,12,16,10,17,14,10,16,8,12,13,15,13,10,14,12,9,18,9,12,14,15
37,8,8,18,9,7,16,14,13,4,13,6,8,8,13,14,15,12,15,11,17,14,11,16,9,14,13,16,13,9,16,13,10,17,9,12,14
38,9,8,8,18,8,7,16,15,13,4,14,8,9,8,15,13,16,11,16,11,18,13,9,17,12,15,14,19,13,8,19,13,9,18,12,13
39,11,9,8,8,17,9,8,16,15,13,4,14,8,9,8,15,12,17,12,16,13,19,13,8,16,12,14,14,19,15,14,20,13,8,17,12
40,14,11,8,8,8,16,10,7,15,13,13,4,13,9,9,9,14,13,17,10,15,14,19,13,11,17,13,14,14,19,15,15,19,13,10,18
41,4,16,11,9,8,10,17,10,7,15,15,14,6,14,10,8,9,14,13,17,9,15,14,19,13,12,16,14,13,13,7,15,14,19,13,11
42,12,3,15,9,9,9,10,16,9,6,16,15,14,7,14,10,8,9,13,13,18,8,15,15,20,12,13,15,13,14,17,7,15,15,19,12
43,12,13,3,15,9,10,8,10,18,9,6,16,15,13,7,14,11,8,9,13,13,19,8,13,15,21,13,10,16,13,13,17,7,13,15,22
44,12,12,13,3,15,10,11,9,13,16,10,6,16,15,13,7,15,11,8,10,13,12,19,8,13,16,20,13,10,15,13,12,17,7,13,16
45,13,12,12,13,4,16,10,10,8,9,16,10,6,16,15,13,7,14,11,8,10,13,12,17,8,13,17,19,13,12,11,13,12,16,7,13
46,7,13,11,12,14,5,17,11,10,8,10,18,10,6,17,17,12,7,14,8,8,10,13,12,18,9,12,17,19,14,9,11,13,12,17,8
47,10,8,13,11,12,14,4,15,10,10,8,10,18,10,6,17,17,12,7,15,9,7,10,14,12,17,9,12,17,19,9,8,11,14,12,16
48,12,10,9,12,12,12,14,4,15,11,11,8,11,18,13,6,18,16,12,6,15,9,8,10,13,12,17,9,11,18,14,9,9,11,13,12
49,10,13,10,9,11,12,11,14,4,15,13,11,8,11,18,13,6,18,15,12,6,14,11,8,10,13,13,17,8,11,6,14,10,9,11,13
50,11,10,13,10,9,9,12,11,14,4,17,13,11,8,11,18,13,6,19,15,12,6,14,11,8,9,11,13,15,8,12,6,14,10,9,10
51,11,9,10,13,11,11,10,12,11,14,5,18,14,13,10,11,18,13,6,16,15,12,6,14,11,8,8,11,13,16,15,12,6,14,10,9
52,7,14,9,10,13,11,12,11,14,11,16,7,18,14,13,9,12,18,11,6,15,15,12,8,15,11,8,8,12,13,14,15,12,7,14,10
53,8,5,13,8,10,13,12,11,10,13,12,16,7,20,14,14,9,12,19,11,6,14,15,12,8,16,11,9,9,12,6,14,15,12,7,16
54,8,9,6,12,9,12,13,11,9,10,16,13,15,5,20,14,13,8,12,19,11,6,14,16,11,8,16,11,9,9,9,6,14,16,11,7
55,11,8,9,6,12,7,12,13,11,9,10,16,13,15,5,20,14,13,7,10,19,11,6,15,16,12,8,15,11,10,17,10,6,15,15,12
56,13,10,7,10,5,13,7,12,13,11,10,10,16,13,15,5,20,14,13,7,10,17,10,6,14,16,12,8,13,10,11,16,9,6,14,15
57,5,13,12,7,11,5,12,7,12,14,13,10,9,16,14,16,5,20,14,12,7,9,17,10,6,12,16,14,7,13,7,10,16,9,6,13
58,7,5,13,12,6,10,4,12,8,12,13,13,10,9,16,14,16,5,20,15,12,7,8,17,11,6,14,16,14,8,12,7,9,16,10,6
59,12,6,6,14,10,6,11,4,12,8,11,12,13,10,11,15,14,16,5,16,15,12,7,8,17,11,6,14,14,14,15,12,7,9,16,10
60,14,14,6,5,13,10,6,10,4,12,8,11,13,13,9,11,15,14,16,5,16,15,12,7,8,17,10,6,15,14,16,15,12,7,9,16
61,8,14,13,6,5,12,10,6,10,4,12,8,11,13,13,9,10,15,14,16,5,16,15,11,7,8,16,10,5,14,5,16,15,11,7,9
62,11,6,13,13,6,5,12,10,6,10,4,13,8,11,13,13,9,11,17,14,15,5,17,15,11,7,8,16,9,5,15,5,17,15,11,7
63,5,11,6,13,13,6,4,12,10,6,11,4,13,8,11,13,14,9,11,17,12,15,5,17,14,11,7,8,15,9,12,15,5,17,14,11
64,4,5,9,6,13,14,6,4,12,10,7,10,4,13,8,10,12,15,8,12,17,12,15,5,17,14,11,7,9,16,18,12,15,5,17,14
65,1,4,5,9,6,13,13,6,4,11,10,7,10,4,13,8,10,11,14,8,12,17,12,15,5,16,14,11,7,9,12,17,12,15,5,16
66,11,2,4,5,9,6,13,14,5,4,12,10,8,10,4,13,8,10,11,14,9,13,17,12,15,5,16,14,11,7,9,13,17,12,15,5
67,14,11,2,3,5,9,6,12,13,5,5,13,10,7,10,4,12,8,10,13,14,9,12,17,12,15,5,16,13,11,13,9,12,17,12,15
68,10,14,11,3,3,5,9,5,12,13,5,5,13,10,7,10,4,12,7,10,13,14,9,12,17,12,15,5,16,14,14,13,9,12,17,12
69,10,10,14,11,2,3,5,9,5,14,13,5,5,13,10,7,10,4,12,7,10,13,14,10,12,15,12,15,5,16,10,14,13,10,12,16
70,9,10,9,13,11,2,3,5,9,5,12,13,5,5,13,10,8,10,3,11,7,10,13,14,10,12,15,12,15,5,7,10,14,13,10,12
71,10,8,10,9,13,10,1,2,4,9,5,12,13,6,5,12,10,8,10,3,9,6,10,13,14,10,12,14,12,15,10,6,10,14,13,10
72,10,10,9,10,9,15,10,1,2,4,9,5,12,13,7,5,12,10,7,10,3,9,6,9,13,14,10,12,14,12,3,10,6,9,14,13
73,7,9,10,8,10,9,12,10,1,2,4,9,5,11,13,7,5,12,10,7,9,3,9,6,9,14,14,10,12,14,9,3,10,6,9,14
74,9,7,9,10,7,10,8,13,10,1,2,4,9,5,11,11,7,5,12,11,7,9,3,9,6,9,14,14,10,12,7,9,3,10,6,9
75,10,9,8,10,10,7,10,8,12,8,1,2,4,9,5,11,11,6,4,13,11,7,9,3,9,6,9,14,14,9,11,7,9,3,10,6
76,3,10,8,6,10,10,7,10,8,11,9,1,2,4,9,5,10,11,6,4,13,10,7,9,3,9,6,9,13,12,12,10,7,9,3,10
77,8,1,10,7,6,8,8,7,10,8,11,8,1,2,4,8,5,10,11,6,4,12,10,7,9,3,9,6,9,13,4,11,10,7,9,3
78,6,7,1,10,7,5,8,8,7,10,7,11,8,1,2,4,8,5,9,11,6,4,12,10,7,9,3,9,6,9,6,4,11,10,7,9
79,4,6,7,1,10,6,5,8,6,6,10,6,11,8,1,2,4,8,5,8,8,6,4,11,10,7,9,1,9,6,8,6,4,10,10,7
80,3,3,6,6,1,10,5,4,7,5,5,8,6,11,7,1,2,4,7,5,8,8,6,4,10,10,7,8,1,9,8,8,6,4,9,10
81,1,5,3,6,6,0,9,5,4,4,6,5,7,6,10,6,1,2,4,5,5,8,8,6,4,10,10,7,8,1,5,8,8,6,4,9
82,2,1,6,3,4,7,0,9,4,4,2,5,4,8,6,10,5,1,2,4,5,5,7,9,6,4,9,10,7,8,5,5,7,8,6,4
83,1,2,0,4,2,4,6,0,8,4,4,2,5,4,7,6,9,5,1,2,4,4,6,6,9,6,4,9,7,6,4,4,5,6,8,6
84,4,1,2,0,4,2,4,6,0,8,3,4,2,5,4,7,5,8,5,1,2,4,3,7,6,8,5,3,7,7,2,4,3,5,6,7
85,3,3,2,1,1,2,1,1,3,2,6,3,3,1,5,3,6,4,7,4,1,2,4,3,6,7,7,5,2,7,1,2,4,3,5,7
86,3,2,1,1,1,1,1,1,2,2,1,5,2,3,1,4,3,5,4,7,5,2,2,4,2,6,7,7,5,1,5,2,2,4,2,5
87,2,2,1,1,1,1,1,1,2,2,6,1,5,2,3,1,3,2,5,6,7,3,2,2,0,2,5,6,6,4,8,3,2,2,0,2
88,2,2,1,1,1,1,1,1,2,1,2,3,1,5,2,3,1,3,2,4,6,6,3,2,2,0,2,4,6,5,5,7,3,2,2,0
89,1,1,1,1,1,1,0,1,1,1,1,3,3,1,4,2,3,1,1,2,4,5,4,2,2,2,0,2,3,5,4,5,5,2,2,2
90,2,2,1,2,1,2,1,1,2,2,2,0,3,4,1,4,1,3,1,1,2,3,5,3,2,2,2,0,2,4,2,3,5,4,2,2
91,1,1,0,0,0,0,0,0,1,1,1,3,0,1,4,2,4,1,2,1,1,1,2,4,3,1,1,2,0,1,1,1,2,4,4,1
92,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,2,4,1,2,1,1,0,2,3,2,1,0,1,0,1,1,0,2,3,3
93,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,2,4,1,1,1,1,0,2,1,1,1,0,1,1,1,1,0,2,2
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
