ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,5,7,0,5,5,1,3,0,2,4,1,5,5,4,0,4,6,6,3,3,2,1,0,0,3,4,2,2,5,3,2,1,0,0,3
1,7,4,4,5,1,4,5,1,3,1,3,4,3,3,5,4,0,4,5,6,3,4,2,1,0,0,3,5,3,2,3,3,2,1,0,0
2,3,6,4,4,6,0,3,5,1,3,2,4,4,3,3,5,4,0,4,5,6,3,4,2,1,0,0,3,4,3,6,3,3,2,1,0
3,7,4,6,4,3,6,2,4,5,1,2,3,4,4,3,3,5,4,0,4,5,6,3,4,2,1,0,0,3,4,5,6,3,3,2,1
4,6,7,5,6,5,3,2,1,3,5,0,2,3,4,4,3,3,4,4,0,4,5,6,3,4,2,1,0,0,3,4,5,6,3,3,2
5,7,6,9,4,6,4,2,2,1,3,5,0,2,2,4,4,3,3,3,4,0,4,6,6,3,4,2,1,0,0,0,4,5,6,3,3
6,8,9,6,7,4,6,4,2,3,2,4,5,0,2,1,4,6,3,2,3,4,0,4,6,6,3,4,2,1,0,4,0,4,5,6,3
7,7,8,8,6,8,5,6,3,2,2,1,4,7,0,2,2,4,8,2,2,3,4,0,4,6,7,2,3,2,1,3,4,0,4,5,6
8,11,8,9,9,7,8,5,6,3,2,2,0,4,7,0,2,2,4,8,2,2,4,4,0,4,6,7,3,3,2,2,4,4,0,4,5
9,8,11,9,9,8,7,8,4,6,3,3,2,0,4,7,0,3,2,4,8,2,2,4,4,0,4,6,5,2,3,2,2,4,4,0,4
10,6,7,11,9,8,8,7,7,3,6,6,4,2,0,4,7,0,3,3,3,8,2,2,4,4,0,4,5,5,2,6,2,2,4,4,0
11,5,5,7,12,8,9,8,7,8,3,5,6,4,2,0,4,6,0,3,3,3,8,2,2,4,4,0,4,5,5,3,6,2,2,4,4
12,4,5,5,7,10,10,8,8,7,7,4,5,6,4,2,0,5,6,0,3,3,3,8,2,2,4,4,0,4,5,3,3,6,2,2,4
13,2,4,5,5,7,10,9,8,8,7,7,4,6,5,4,2,0,5,6,0,3,3,3,8,2,2,4,4,0,4,3,3,3,6,2,2
14,6,2,4,6,7,7,10,9,8,8,7,7,4,6,6,4,2,1,5,6,0,3,4,3,8,2,2,4,5,0,0,3,3,3,6,2
15,14,5,3,4,6,5,7,9,10,8,10,6,7,3,6,6,4,2,2,5,6,0,3,4,3,8,2,2,4,5,6,0,3,3,3,6
16,12,13,5,3,4,4,5,7,9,9,9,10,6,7,3,6,6,4,2,2,6,6,0,3,4,3,6,2,2,4,6,6,0,3,3,3
17,16,12,14,4,5,5,4,5,7,10,11,9,8,6,7,3,6,6,4,2,3,6,6,0,3,4,3,4,2,2,2,6,6,0,3,3
18,12,16,14,10,5,6,3,3,5,6,11,11,9,8,6,7,3,6,6,4,3,3,4,5,0,3,4,3,5,2,3,2,5,5,0,3
