ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,19,12,14,10,10,16,11,9,11,14,11,9,12,9,5,9,9,8,2,8,7,6,10,9,4,11,9,8,11,9,6,6,10,9,3
1,14,12,18,12,12,10,11,16,11,9,9,14,11,8,12,8,4,9,10,10,2,8,8,6,11,10,5,10,9,8,3,8,6,5,10,10
2,18,13,12,17,12,13,10,12,16,13,10,10,15,11,8,11,8,4,9,10,10,2,8,8,5,11,10,5,10,10,10,3,8,6,5,11
3,20,18,12,11,16,11,13,8,9,18,12,11,9,14,11,7,11,8,4,9,9,10,3,8,5,6,10,11,5,9,8,10,3,7,6,6
4,18,20,18,13,11,16,12,15,8,10,16,11,10,9,13,10,7,10,8,4,9,8,10,3,8,4,6,9,11,6,10,7,12,3,7,4
5,15,18,18,18,13,10,15,13,14,9,10,15,11,10,11,15,9,7,10,9,4,9,9,10,4,7,4,6,9,11,4,10,8,12,3,7
6,23,15,17,17,17,11,10,15,11,16,6,8,16,11,10,11,15,8,6,11,10,4,9,9,10,5,6,4,6,9,10,4,10,8,12,6
7,14,22,15,18,17,17,11,11,16,11,15,7,8,16,13,9,10,15,7,6,11,10,4,8,9,12,5,6,3,6,11,10,4,9,8,12
8,24,13,23,14,17,18,17,11,10,15,11,13,7,8,15,13,10,11,14,7,6,11,11,4,9,9,12,6,6,3,5,11,11,4,9,9
9,17,26,13,22,14,17,16,17,11,10,16,11,13,7,7,16,13,10,11,15,6,5,10,11,4,10,9,13,5,6,6,4,10,11,4,11
10,12,16,25,13,22,14,18,18,17,11,9,16,11,13,7,7,16,13,7,12,15,6,5,10,11,4,10,9,12,6,17,6,4,10,11,4
11,21,12,16,25,14,24,14,17,18,17,10,10,16,12,12,10,7,20,13,7,12,15,6,5,11,11,4,11,9,11,12,17,6,4,10,11
12,19,19,13,16,26,15,24,14,17,19,19,11,10,16,12,12,10,8,19,13,7,12,14,6,5,11,11,4,11,9,7,12,15,6,4,11
13,18,18,19,12,16,25,14,24,14,17,21,19,11,10,16,11,14,10,8,20,13,7,11,13,6,5,11,12,4,9,13,7,11,14,6,4
14,14,18,19,20,13,16,26,15,24,18,15,21,19,11,9,16,12,13,10,8,20,13,7,11,13,6,5,11,12,4,17,13,7,11,14,6
