ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,32,26,28,33,38,29,31,34,30,25,32,36,21,32,30,33,34,32,38,38,43,33,42,44,39,33,36,30,40,44,43,32,42,46,38,35
1,39,32,24,28,33,38,29,31,38,33,26,32,38,21,30,33,35,34,32,38,37,43,37,40,46,45,38,39,34,37,37,42,35,41,47,43
2,39,39,29,25,28,34,39,31,33,38,34,29,35,38,18,31,31,36,32,30,38,35,42,40,40,41,42,40,40,35,37,37,44,38,44,42
3,34,43,38,27,24,31,38,39,31,39,41,35,29,34,39,18,32,31,35,33,28,36,37,41,41,44,42,42,43,40,31,36,39,41,39,46
4,38,37,42,39,28,27,32,38,39,35,38,39,34,29,34,42,19,32,29,36,34,29,42,39,42,40,43,41,42,40,33,31,40,41,43,39
5,33,37,36,44,38,31,29,32,39,39,36,36,41,34,29,34,44,21,32,33,38,35,30,40,42,41,40,45,39,38,35,34,33,39,44,42
6,44,34,37,39,46,38,32,30,30,41,37,39,36,41,32,28,34,43,21,32,33,38,34,31,41,47,42,39,45,38,35,35,34,34,40,49
7,44,45,34,37,42,45,40,29,31,31,41,38,38,37,40,33,31,33,42,21,33,35,37,35,35,41,47,42,41,42,34,36,36,32,39,39
8,43,47,46,35,40,41,46,40,29,32,32,39,38,38,35,40,34,31,33,41,24,34,35,39,36,36,42,46,43,41,24,35,36,35,32,40
9,52,43,48,47,39,41,41,45,41,31,34,31,40,38,37,36,40,34,32,32,38,23,32,38,40,33,36,41,47,41,39,25,34,38,37,30
10,47,53,43,47,46,38,41,42,44,46,31,32,31,40,37,38,34,40,34,33,33,40,24,32,37,39,31,38,40,47,34,40,27,34,38,36
11,44,46,53,41,49,47,40,42,40,45,50,34,34,35,41,38,38,31,37,34,36,33,44,26,33,42,36,31,38,40,34,36,42,27,36,43
12,53,43,46,55,41,50,50,39,44,42,46,50,36,34,35,43,38,39,33,37,35,35,36,43,25,36,44,37,32,37,34,35,37,42,28,38
13,47,52,44,46,56,41,50,53,38,44,41,46,48,36,35,36,44,38,39,31,37,33,35,38,42,29,36,43,36,32,39,33,36,39,42,31
14,52,48,52,46,48,57,41,49,52,39,44,40,47,47,34,34,37,44,38,39,30,38,34,35,39,43,27,39,42,37,30,38,34,37,40,43
15,45,50,47,52,47,47,58,41,51,52,40,46,40,48,47,38,37,37,42,37,40,31,39,35,35,41,47,31,37,44,41,34,39,36,37,41
16,66,45,50,48,60,49,48,59,43,53,53,41,49,40,49,47,39,38,36,42,38,41,30,36,33,35,39,47,29,37,40,41,34,40,34,37
17,50,65,47,50,48,61,50,47,61,44,55,53,41,50,40,49,47,38,38,35,42,39,41,33,37,35,38,38,44,31,42,41,41,36,40,37
18,45,51,66,47,53,51,62,50,51,63,45,56,51,41,50,40,51,48,40,39,36,44,42,42,34,37,37,39,37,44,34,44,43,44,36,42
19,61,49,46,66,49,52,49,63,52,52,65,50,56,52,42,51,41,53,48,35,39,35,42,41,42,36,37,35,42,37,36,35,42,42,44,37
20,54,57,50,47,66,51,52,50,62,53,55,65,50,57,51,41,49,40,53,45,36,38,37,42,40,44,35,43,33,44,38,37,37,43,42,46
21,45,53,57,50,50,75,52,51,53,62,54,57,64,51,56,52,43,49,40,53,46,33,36,39,45,41,44,35,47,33,48,38,38,39,47,43
22,36,46,54,53,54,51,77,57,56,52,66,51,59,63,54,54,52,45,49,43,50,48,36,38,39,44,39,49,37,45,51,52,40,40,39,46
23,51,36,47,52,60,58,54,79,60,57,55,63,52,59,64,55,51,49,50,48,42,49,46,39,39,41,45,40,51,37,39,51,51,44,42,40
24,52,49,40,53,51,63,59,58,83,62,59,61,66,56,57,66,58,50,49,55,48,39,55,48,38,47,41,47,42,52,49,36,54,49,44,48
25,65,54,53,39,51,55,70,57,64,88,64,59,59,67,53,57,68,60,51,50,59,49,46,53,48,41,46,42,47,42,57,53,38,57,52,47
26,36,63,55,56,45,51,57,73,60,64,91,66,61,59,67,52,56,69,65,48,53,59,54,50,55,46,44,47,37,50,52,57,57,47,60,49
27,38,41,62,52,54,45,54,56,76,61,67,91,67,63,57,65,55,56,66,71,48,52,56,55,54,54,44,47,45,38,46,51,53,55,52,60
28,53,40,44,63,61,55,46,52,60,77,60,69,93,66,65,54,70,64,57,68,75,53,53,58,54,55,56,46,46,46,73,47,55,54,57,53
29,46,51,40,42,63,62,58,48,52,64,77,62,70,95,63,70,55,73,59,58,71,78,57,58,66,53,60,60,50,49,70,77,50,60,63,60
30,62,43,53,46,44,62,63,61,48,56,66,78,59,67,93,65,69,52,70,59,59,76,78,54,64,64,56,58,64,50,60,73,80,61,61,62
31,61,62,44,55,48,44,66,61,63,53,58,67,77,59,70,97,68,69,47,70,63,59,79,77,55,66,62,60,58,70,65,57,78,77,64,64
32,57,63,61,43,55,49,46,69,59,64,53,60,66,77,57,69,92,69,67,49,70,62,60,79,82,50,63,62,57,62,72,62,60,80,81,59
33,74,57,64,61,46,55,55,49,70,61,63,53,63,65,74,57,70,88,71,68,50,69,63,63,75,85,54,63,72,56,53,72,61,67,80,88
34,55,74,55,66,61,47,57,50,53,77,60,62,55,63,62,76,60,68,85,74,71,52,71,65,69,76,84,54,61,71,69,54,75,63,77,82
35,61,55,72,55,66,62,46,56,52,54,79,62,66,56,61,65,77,63,66,86,75,76,59,73,66,68,82,88,55,63,75,73,58,76,65,75
36,54,62,55,72,57,68,61,48,58,54,54,82,64,65,55,61,72,79,66,67,85,77,84,60,73,71,73,84,89,54,84,80,77,60,77,69
37,58,55,64,57,73,61,68,64,51,60,54,56,81,64,64,56,62,75,77,65,70,85,76,85,56,76,70,77,88,88,70,87,83,80,58,79
38,44,58,53,68,58,76,61,68,64,50,61,52,55,81,63,69,56,62,72,76,68,75,88,77,82,57,80,74,75,91,68,73,92,78,80,60
39,46,44,59,54,69,56,76,61,68,68,54,63,52,55,80,65,70,58,55,71,77,68,80,93,73,81,56,80,73,79,78,67,77,96,76,80
40,54,47,45,57,56,70,54,74,60,73,70,57,65,52,54,81,65,71,58,54,69,75,71,81,96,79,74,58,78,73,67,79,70,79,96,80
41,52,56,47,46,60,58,67,53,75,61,74,71,57,64,52,56,83,69,72,58,55,69,82,72,84,99,75,72,54,79,54,71,85,70,83,97
42,52,53,57,48,48,58,59,67,52,74,60,77,73,57,64,51,59,87,71,71,63,54,71,81,71,83,100,76,72,52,63,50,72,82,69,83
43,54,52,52,58,49,48,58,59,68,53,74,60,76,73,57,65,50,60,88,73,74,61,54,73,80,73,84,100,75,76,75,62,54,72,83,70
44,46,52,51,52,60,51,51,58,60,65,53,77,60,73,73,59,64,50,60,86,75,73,60,56,79,81,73,82,100,74,71,77,63,50,77,84
45,45,47,54,52,53,61,52,54,60,61,66,53,77,60,74,72,57,66,49,59,86,76,77,62,52,81,83,69,83,99,84,73,80,62,49,79
46,44,45,48,56,52,52,62,52,53,62,62,65,51,78,59,77,74,59,66,50,60,88,80,76,63,54,81,82,67,82,59,89,77,77,64,49
47,65,44,45,49,60,52,53,60,57,52,57,62,67,53,78,57,79,77,59,62,51,61,87,76,74,66,57,85,82,69,53,60,90,73,76,68
48,36,68,46,45,49,59,53,53,61,57,53,58,64,69,51,77,57,79,76,59,62,50,63,85,76,78,64,56,83,85,63,50,63,87,74,80
49,52,37,68,46,45,49,59,52,55,61,56,55,56,63,70,54,78,55,80,76,61,63,53,61,85,78,77,66,59,81,60,65,52,61,88,76
50,63,52,37,67,47,48,49,58,55,54,63,57,55,55,61,71,55,77,57,78,79,61,62,54,62,83,77,80,69,62,80,62,64,52,63,87
51,64,63,50,36,67,47,49,50,60,58,55,67,55,55,54,62,69,58,76,56,78,83,62,63,55,61,86,75,84,68,75,84,61,65,53,62
52,54,66,64,49,35,69,46,48,51,61,58,56,67,56,54,52,63,70,59,76,56,80,83,64,66,55,61,90,71,83,58,79,86,62,68,53
53,53,53,64,63,47,36,68,47,49,53,60,57,55,66,58,50,52,62,69,62,80,62,86,82,63,67,55,60,89,68,80,63,82,83,63,69
54,58,54,56,64,61,48,37,67,48,49,53,61,56,56,63,59,50,51,62,69,63,81,63,87,83,63,69,53,61,86,65,82,64,85,84,63
55,68,60,56,58,65,61,49,37,66,48,48,54,61,55,57,63,59,51,52,65,69,66,84,65,84,85,67,69,53,61,66,69,86,62,84,85
56,62,67,60,54,60,67,64,50,37,67,48,49,55,60,54,59,63,58,48,53,69,66,66,84,63,84,84,67,68,57,67,66,68,84,61,83
57,44,63,67,60,56,60,69,64,54,37,68,51,50,54,59,53,58,63,60,49,53,72,68,65,84,66,81,86,63,65,56,71,67,66,84,64
58,53,46,62,67,60,56,59,67,65,52,38,66,52,49,50,58,56,58,62,63,50,54,68,65,67,84,65,84,84,65,52,56,68,64,68,85
59,55,53,46,62,67,59,56,60,67,67,52,40,63,52,47,50,57,56,59,62,64,50,56,69,65,65,87,63,86,84,62,54,58,66,64,68
60,59,55,53,46,65,71,56,55,61,68,67,52,40,63,53,49,50,57,56,59,62,62,52,56,68,68,64,86,60,86,65,63,55,57,64,68
61,60,58,53,53,46,66,69,56,52,62,70,69,52,39,62,54,49,49,57,57,60,64,61,53,56,65,67,68,88,61,59,68,62,55,57,61
62,33,61,58,52,53,47,66,67,56,53,63,68,71,50,39,63,54,48,48,56,56,61,65,65,52,56,66,66,68,88,54,60,69,64,54,57
63,27,33,61,56,51,55,48,66,67,59,52,61,68,71,49,40,62,55,48,48,57,56,60,68,67,53,58,65,68,68,60,55,60,70,66,54
64,29,26,33,58,55,51,51,49,63,68,58,52,62,66,72,47,41,63,56,48,50,56,56,60,67,66,54,53,65,68,54,59,54,59,69,65
65,33,30,25,35,55,56,51,52,49,64,68,59,51,62,68,72,48,40,62,54,48,48,57,56,57,65,64,59,51,63,49,52,61,55,58,67
66,51,34,30,24,34,54,54,51,51,48,65,69,58,52,63,67,69,49,44,62,52,48,48,59,55,59,64,64,58,49,49,48,52,61,54,60
67,60,48,33,30,22,34,53,53,49,52,50,63,69,58,51,61,67,69,47,45,60,52,47,48,58,54,60,65,65,57,61,49,48,52,60,53
