ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,None,1,None,1,3,None,1,3,None,None,None,1,1,None,2,1,None,4,1,2,1,1,1,1,None,1,2,1,None,1,1,1,1,1,None,2
1,None,None,2,None,1,3,None,1,2,None,None,None,1,1,None,2,1,None,4,1,2,1,1,1,1,None,1,1,1,None,2,1,1,1,1,None
2,2,1,1,2,None,1,3,1,1,3,None,None,None,1,1,None,2,1,None,4,1,2,1,1,None,1,None,1,1,1,1,1,1,1,1,None
3,None,2,None,1,1,None,1,3,None,None,5,None,1,None,1,1,None,2,1,None,4,1,2,1,1,1,None,None,2,1,3,1,1,1,1,1
4,None,None,2,None,None,1,None,1,3,None,None,4,None,None,None,1,1,None,1,1,None,3,1,2,1,1,1,None,None,2,None,3,1,1,1,1
5,4,None,None,2,None,None,1,None,1,3,None,None,4,None,None,None,1,1,None,1,1,None,3,1,2,2,1,1,None,None,1,None,3,1,1,1
6,2,3,1,None,2,None,None,1,None,1,3,None,None,4,None,None,None,1,1,None,1,1,None,3,1,2,2,1,2,1,1,1,None,3,1,1
7,None,2,3,1,None,2,None,None,1,1,1,2,None,None,4,None,None,None,1,1,None,1,1,None,3,1,2,2,1,1,None,1,1,None,3,1
8,None,None,2,3,1,None,2,None,None,None,1,1,2,None,None,4,None,None,None,1,1,None,1,1,None,3,1,2,2,1,1,None,1,1,None,3
9,None,1,None,2,3,1,None,2,None,None,1,1,1,2,None,None,2,None,None,None,1,1,None,1,1,None,3,1,2,1,1,1,None,1,1,None
10,2,None,1,None,2,3,1,None,4,None,None,1,1,1,2,1,1,2,None,None,None,1,1,None,1,2,None,3,2,1,None,1,1,None,1,2
11,1,2,None,None,None,3,3,None,None,4,None,None,1,1,1,2,None,1,2,1,None,None,None,1,None,1,3,None,4,2,None,None,1,1,None,1
12,2,1,2,None,1,None,5,3,None,None,3,None,None,1,1,1,2,None,1,2,1,None,None,None,1,None,2,3,1,4,None,None,None,1,1,None
13,None,2,1,2,None,None,None,3,3,None,None,3,None,None,1,None,1,2,None,1,2,1,None,None,None,1,None,2,3,1,3,None,None,None,1,1
14,4,None,2,1,2,None,None,None,3,3,1,None,3,None,None,1,2,1,2,None,1,2,1,None,None,1,1,None,3,3,1,3,None,None,None,2
15,2,3,None,2,1,2,None,None,None,2,5,1,None,3,None,None,1,2,1,2,None,1,2,1,None,1,1,1,None,3,None,1,3,None,None,1
16,None,2,3,None,1,1,2,None,None,None,2,5,1,None,3,None,None,1,2,1,3,None,1,2,1,None,1,1,1,None,2,None,1,3,None,None
17,1,None,2,3,None,1,1,2,None,None,1,2,5,1,None,3,None,None,1,1,1,3,None,1,3,1,None,1,1,None,1,2,None,1,4,None
18,2,None,None,2,3,None,1,1,2,None,None,1,2,5,1,None,3,None,None,None,1,1,3,None,1,2,1,None,1,2,1,1,2,None,1,3
19,1,3,1,None,1,3,None,1,1,2,None,None,1,2,5,None,None,3,None,None,None,2,1,3,None,None,4,1,None,1,None,1,1,2,None,None
20,4,1,2,1,None,2,3,None,1,1,3,None,None,1,3,5,None,None,3,None,None,None,2,1,3,None,None,4,1,None,None,None,1,1,2,None
21,2,2,1,2,1,None,2,2,None,1,2,3,None,None,1,3,5,1,None,3,None,None,None,2,1,3,None,None,4,1,None,None,None,1,1,2
22,1,2,2,1,2,1,None,2,3,None,2,3,3,None,None,1,3,3,1,None,3,None,None,None,2,1,3,None,1,4,3,None,None,None,1,1
23,1,None,None,2,1,2,1,None,2,3,1,2,3,2,None,None,1,4,3,2,None,3,1,None,None,1,1,3,1,1,None,3,1,None,None,1
24,None,2,1,None,2,1,2,1,None,1,3,3,2,3,2,None,None,1,3,3,2,None,2,1,None,2,1,1,3,None,2,None,3,1,None,1
25,None,None,2,1,None,2,None,2,1,None,2,3,3,2,2,2,None,None,1,3,3,2,None,2,1,None,1,1,1,4,3,2,None,3,1,None
26,1,None,None,2,None,None,1,None,2,1,1,2,3,3,2,2,2,None,None,1,2,3,2,None,1,None,None,1,1,1,3,3,2,None,2,None
27,1,1,None,None,2,None,None,1,None,2,2,1,2,3,2,2,2,3,1,1,1,2,3,2,1,1,None,None,1,2,1,3,3,2,1,2
28,None,1,1,None,None,2,None,1,None,1,3,2,1,3,3,2,1,2,3,1,2,1,3,3,1,None,2,None,None,1,1,1,2,3,1,1
29,1,None,1,1,None,None,2,None,None,None,2,3,1,1,3,3,2,2,4,3,1,3,1,3,3,1,2,2,None,None,1,1,1,3,4,1
30,None,None,None,1,1,None,None,2,None,None,None,2,3,1,1,3,3,2,3,2,3,1,3,1,2,4,2,2,3,1,3,1,1,1,2,4
31,1,None,2,None,1,None,None,None,2,1,None,None,2,2,1,None,3,3,2,3,2,3,3,3,1,2,6,2,3,2,2,3,1,1,1,3
32,None,None,None,2,None,2,None,None,None,2,2,None,None,3,2,None,None,3,3,2,3,3,1,3,2,None,2,6,2,3,3,3,2,1,1,1
33,1,None,None,None,2,None,2,None,None,None,3,2,None,None,2,2,None,None,3,3,2,4,3,2,3,2,None,2,6,1,2,3,3,2,2,1
34,2,1,None,None,None,1,None,2,None,None,1,3,2,None,None,2,2,1,None,3,3,3,4,3,3,3,2,None,3,6,3,2,3,2,3,2
35,3,2,None,None,None,None,1,1,2,1,1,1,2,2,None,None,2,2,1,1,3,2,4,4,2,2,2,2,1,3,3,2,2,3,1,3
36,1,3,2,None,None,None,None,None,1,1,1,1,1,2,1,None,None,2,2,1,1,3,None,4,5,1,2,2,2,1,2,3,1,2,4,1
37,3,1,2,2,None,None,None,None,None,1,2,None,1,1,2,1,None,None,1,4,1,1,3,None,4,7,1,4,2,2,1,2,3,1,2,6
38,None,2,1,2,2,None,None,None,None,None,1,2,None,1,1,2,1,None,None,2,4,1,1,2,None,3,3,1,4,2,3,1,2,2,1,2
39,2,None,2,1,2,2,None,None,None,None,1,1,2,None,1,2,2,1,None,None,2,4,1,1,2,1,3,3,1,4,3,3,1,2,2,1
40,2,1,None,2,1,2,2,None,None,None,None,None,3,2,None,1,None,2,2,None,None,3,4,1,1,4,1,3,4,1,None,3,3,1,2,3
41,1,2,1,None,2,1,2,2,None,None,1,None,None,2,2,None,1,None,2,2,None,None,3,4,1,None,4,1,3,4,None,None,3,3,1,1
42,2,1,2,1,None,2,1,2,2,None,1,1,None,None,2,2,None,1,None,2,2,None,None,2,4,1,None,4,1,2,1,None,None,3,4,1
43,1,2,1,2,1,None,2,1,2,2,1,1,1,None,None,2,2,None,1,None,2,3,None,None,2,5,1,None,4,1,2,2,None,None,3,4
44,2,1,2,2,2,1,None,2,1,2,3,1,1,1,None,None,2,2,None,1,None,2,3,None,None,None,6,2,None,4,None,2,2,None,None,1
