ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,45,66,55,42,53,56,47,63,61,49,48,50,51,37,44,71,46,45,53,54,52,38,53,51,58,52,51,60,46,53,52,39,51,47,60,52
1,51,47,65,53,45,54,53,43,62,65,46,50,49,50,41,46,72,46,45,55,56,49,38,52,50,56,52,50,62,43,59,53,42,50,48,56
2,68,53,48,64,53,46,55,56,46,61,57,44,48,50,51,45,49,71,51,44,55,58,51,41,53,53,57,50,55,67,54,61,52,42,53,50
3,61,59,56,52,64,53,41,55,56,50,59,61,44,50,52,57,51,47,74,51,45,57,59,53,42,53,51,59,48,55,46,57,63,52,43,54
4,67,56,59,62,49,63,51,38,58,58,47,60,61,46,47,52,55,52,47,77,45,44,58,62,56,41,53,48,59,52,46,44,57,63,53,44
5,73,68,57,58,58,50,63,55,42,59,53,48,58,65,46,48,49,55,54,47,78,46,44,60,66,57,44,53,44,58,79,46,42,57,66,54
6,70,71,68,60,57,58,46,62,53,43,54,53,48,57,67,47,50,48,55,53,46,74,48,43,58,65,55,46,55,46,49,80,48,45,57,65
7,62,71,72,68,58,58,56,49,62,51,43,54,54,47,58,68,47,51,51,55,52,49,72,51,42,55,69,56,50,56,52,52,80,49,45,55
8,75,63,68,71,71,57,59,56,47,63,51,45,54,56,44,60,69,49,51,50,56,50,50,73,50,44,51,71,58,54,56,53,52,81,49,47
9,72,76,65,68,70,71,58,58,55,51,63,50,47,52,55,46,60,71,55,50,49,58,50,52,73,49,42,50,73,59,52,58,53,54,82,48
10,73,66,77,63,69,71,72,57,62,54,49,64,49,47,53,55,50,59,73,57,51,50,60,51,52,71,50,42,50,69,52,52,58,53,55,83
11,87,73,71,76,62,68,70,76,57,65,51,48,65,48,47,52,54,48,61,74,55,50,51,64,52,52,69,48,44,52,55,51,53,61,53,55
12,77,88,75,70,76,62,68,71,73,56,59,53,46,65,47,46,52,56,48,62,75,56,49,53,62,52,54,69,51,46,76,55,50,54,60,53
13,107,80,87,76,71,77,63,69,68,76,56,59,55,45,64,46,46,50,53,47,61,77,58,51,53,61,54,55,69,50,58,77,59,51,54,61
14,90,107,81,90,73,70,77,61,70,67,76,57,60,54,45,65,47,47,51,54,47,62,76,61,51,55,61,54,57,69,49,60,75,59,50,54
15,93,88,107,81,87,74,70,78,62,70,64,77,56,60,54,45,64,47,46,51,56,46,64,76,61,52,57,59,55,57,55,49,61,74,60,51
16,93,98,92,106,85,84,73,73,79,60,69,67,76,57,61,54,45,65,48,46,52,56,44,65,73,62,53,55,60,58,51,56,48,61,72,62
17,90,92,94,95,107,82,87,71,70,77,63,70,67,75,56,60,53,45,67,48,45,52,56,46,64,70,63,50,56,61,45,52,56,47,60,70
18,81,93,88,95,93,105,83,83,68,76,80,63,67,65,72,56,62,57,45,68,49,45,52,56,46,61,71,66,52,55,51,45,54,56,48,57
19,74,79,94,89,97,93,99,81,82,75,75,77,64,67,67,73,57,63,57,45,67,48,45,58,57,45,64,75,67,55,65,51,45,56,56,45
20,77,75,80,94,89,98,92,100,84,83,75,76,76,64,69,70,71,58,64,56,47,64,52,45,57,56,46,64,74,67,44,65,53,43,55,57
21,78,71,77,80,100,89,104,85,102,85,84,74,76,75,61,69,70,70,57,64,54,45,66,53,45,56,58,45,68,75,54,43,65,54,46,54
22,91,79,68,81,82,104,90,99,81,104,84,87,71,79,77,65,67,73,72,57,62,57,48,65,55,50,60,56,45,70,61,55,46,63,55,49
23,68,94,85,70,80,80,99,88,107,86,100,83,89,70,79,81,68,65,72,70,58,63,54,47,62,52,52,64,56,47,58,64,54,44,61,52
24,71,71,91,89,84,79,85,106,93,107,87,106,84,85,67,77,82,74,63,73,70,61,63,50,46,68,53,56,64,63,68,61,64,52,43,62
25,80,68,72,95,89,85,78,89,104,98,112,89,104,84,83,65,79,78,73,65,70,74,70,67,52,46,71,48,62,68,66,69,65,68,51,42
26,87,80,70,70,100,92,84,78,95,105,102,109,89,100,83,86,63,81,79,77,64,71,77,74,64,51,47,72,50,59,64,68,71,65,65,52
27,80,86,81,76,68,95,91,89,83,98,105,99,107,93,94,79,85,62,80,75,74,59,69,84,73,65,59,50,75,46,73,62,72,79,65,64
28,60,78,90,83,79,73,100,92,85,80,104,105,97,102,87,92,78,90,62,83,73,76,63,78,84,75,63,54,55,72,74,76,64,73,81,67
29,75,64,72,89,88,76,68,97,93,88,83,101,97,95,106,87,98,81,90,63,80,72,73,65,73,81,75,69,58,60,79,72,77,62,71,76
30,86,74,58,74,85,87,78,69,89,93,87,84,99,94,95,104,82,96,81,88,60,84,76,80,68,74,89,73,72,58,61,80,76,73,66,73
31,74,84,74,57,78,83,88,71,70,96,96,86,84,94,99,102,109,83,93,82,91,70,88,82,79,68,76,91,76,70,90,62,81,78,71,66
32,73,73,84,74,50,75,84,92,69,69,100,100,85,83,94,101,101,109,88,94,84,91,70,88,86,77,69,76,83,80,86,91,64,91,78,70
33,69,73,72,86,75,51,74,81,87,67,67,99,97,86,81,92,104,101,109,88,97,85,91,70,90,85,82,69,80,77,95,86,95,69,92,79
34,105,68,73,72,84,76,52,74,85,90,70,67,94,96,84,81,93,107,102,111,89,96,84,94,75,96,86,81,72,82,92,94,87,93,72,95
35,79,100,64,74,71,81,74,53,73,83,90,67,67,92,93,84,77,92,103,98,110,93,97,88,95,75,94,83,79,76,108,94,94,89,91,74
36,69,80,101,65,73,71,79,77,54,77,84,88,67,66,97,92,85,74,94,104,99,110,89,99,88,96,73,90,86,80,97,108,95,97,91,93
37,68,66,80,108,69,77,73,83,81,55,76,83,86,68,64,95,92,88,73,90,105,94,107,89,94,86,102,73,90,87,105,95,107,98,99,92
38,67,68,72,84,104,66,73,72,86,77,57,76,83,83,69,64,94,93,93,75,91,99,96,112,89,91,83,100,74,97,92,101,95,110,101,99
39,63,63,69,67,82,105,71,72,76,83,74,56,73,82,83,72,65,92,92,93,80,89,100,96,111,87,91,81,98,75,80,90,101,93,107,101
40,70,61,63,69,75,84,106,72,71,77,82,73,56,71,82,81,76,62,90,92,90,75,88,103,97,111,92,87,80,101,90,78,90,103,95,106
41,71,75,65,67,69,76,85,103,74,77,77,84,73,58,68,80,80,75,63,88,88,92,74,89,103,97,109,93,85,87,91,90,75,89,104,95
