ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,55,52,64,53,65,60,57,70,72,67,43,66,54,59,64,50,74,50,47,49,60,55,50,36,48,42,48,45,47,50,62,55,50,36,46,43
1,80,60,55,65,52,64,59,58,72,72,64,48,66,57,59,63,51,72,54,48,49,60,53,51,38,50,44,48,45,46,47,60,53,50,40,47
2,56,78,63,58,62,57,61,63,56,72,70,66,51,66,59,60,68,54,74,55,51,51,59,53,48,38,49,49,49,43,49,49,60,53,49,39
3,75,56,77,66,54,61,54,64,65,60,69,71,72,53,64,61,60,65,54,74,56,52,48,59,52,50,37,52,48,50,57,49,48,60,54,51
4,73,74,58,79,68,57,62,53,66,61,60,71,72,71,55,64,61,60,67,53,72,57,52,50,58,52,49,41,54,51,70,58,49,49,60,54
5,63,72,77,60,84,69,55,67,55,65,61,59,73,74,68,57,66,62,60,70,54,74,55,52,54,56,51,46,40,52,55,75,57,49,52,58
6,72,64,70,75,61,81,67,56,61,55,61,58,62,77,73,69,58,66,64,64,69,57,70,55,53,54,57,50,46,41,72,57,71,59,50,52
7,85,76,67,73,79,62,82,67,54,63,55,61,57,62,75,71,68,61,65,64,63,68,58,68,56,52,52,57,53,46,63,70,58,69,59,50
8,72,88,70,66,72,78,63,81,71,52,62,56,64,59,65,73,73,66,62,66,66,63,69,56,66,57,51,51,58,54,67,59,70,57,68,59
9,71,74,87,70,68,72,78,61,83,70,54,64,57,64,59,68,74,74,67,63,67,65,62,70,57,67,57,50,50,55,66,64,59,70,58,68
10,74,71,72,86,71,71,75,77,63,84,67,52,64,61,63,59,69,72,73,66,64,65,64,62,68,61,67,57,49,51,65,65,66,60,69,60
11,76,77,68,72,87,75,70,73,82,63,82,66,52,64,62,65,60,69,70,73,65,62,67,63,62,67,59,66,56,48,66,61,67,65,60,68
12,80,80,76,68,74,86,70,73,76,78,64,84,66,53,65,62,64,60,72,70,73,65,62,66,65,62,69,57,72,56,77,68,62,67,66,59
13,74,80,81,76,70,73,89,73,77,81,79,64,84,69,53,64,61,66,60,72,68,72,66,61,67,65,61,71,57,72,72,75,68,61,69,66
14,80,77,84,81,75,70,80,93,69,81,77,79,64,86,69,53,64,62,64,59,74,69,71,67,62,65,68,59,70,56,76,74,76,68,62,67
