ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,6,2,4,6,3,3,8,3,1,4,6,6,5,2,3,9,3,4,6,5,8,7,3,6,10,10,8,6,8,5,8,7,4,6,10
1,9,6,6,2,5,6,2,2,7,3,2,4,7,6,5,3,5,10,2,3,6,4,8,7,3,6,10,10,8,6,6,4,7,7,4,7
2,8,12,3,5,3,5,6,3,2,7,4,2,4,6,6,6,4,7,9,2,3,6,5,9,6,4,7,11,9,8,3,6,5,7,6,5
3,8,7,11,3,6,2,4,8,4,2,9,4,2,5,6,6,6,4,7,9,3,4,7,5,9,7,4,7,10,10,3,4,6,5,8,5
4,2,9,6,12,3,5,4,5,7,2,2,9,4,2,5,7,6,6,3,7,10,2,4,7,5,10,4,6,6,10,10,2,4,6,5,10
5,4,3,9,6,12,4,5,3,5,7,3,3,10,3,2,6,7,6,6,4,5,10,2,5,7,5,11,4,5,6,5,10,2,5,6,4
6,7,4,3,9,6,11,5,6,3,5,8,4,3,10,4,4,6,7,6,6,4,6,10,2,7,7,7,12,4,4,4,6,10,2,6,6
7,4,7,3,4,10,7,10,5,4,3,6,8,4,3,10,4,4,6,8,6,5,4,6,9,2,8,6,6,11,6,5,4,6,9,3,7
8,12,3,7,3,4,10,6,10,4,4,2,6,8,4,3,10,4,4,7,8,5,7,5,5,9,2,7,6,6,11,5,7,5,5,8,3
9,11,12,3,7,4,5,10,6,9,5,3,2,5,8,4,3,10,4,4,7,8,5,7,5,5,10,2,7,6,6,8,5,7,5,5,9
10,7,13,12,4,7,4,5,10,6,9,6,2,2,5,8,4,3,9,4,4,7,9,6,7,4,5,9,4,8,7,7,9,6,6,4,5
11,11,7,13,12,3,7,5,5,10,6,8,6,2,2,5,8,4,3,8,4,4,8,9,6,7,4,8,10,3,8,4,7,9,6,7,4
12,8,12,6,13,14,3,9,6,3,10,6,8,6,2,2,5,7,4,2,8,4,4,9,9,6,8,4,8,10,3,4,3,8,9,7,8
13,8,8,11,6,13,13,3,7,4,4,12,7,8,6,2,2,5,7,4,2,8,3,4,11,9,7,9,5,9,10,9,3,3,10,9,8
14,10,7,8,11,6,14,12,3,8,5,3,12,8,10,7,2,2,5,6,4,2,8,5,4,11,9,6,7,5,8,2,9,5,3,9,9
15,14,10,8,8,12,7,13,12,4,9,5,3,12,9,10,7,3,2,6,6,4,2,8,5,4,10,11,7,7,5,3,2,8,5,3,8
16,11,13,11,9,8,13,7,13,13,4,8,5,3,11,9,10,7,4,2,6,5,4,2,8,4,6,8,10,7,7,6,3,2,8,4,5
17,9,13,13,11,9,8,14,8,13,13,4,8,5,3,12,9,10,7,5,4,6,5,4,3,8,4,5,8,10,7,6,6,3,3,8,4
18,11,8,11,13,11,7,9,14,7,14,12,3,7,4,3,11,7,11,7,5,4,6,5,4,3,8,5,5,8,9,4,6,6,3,3,9
19,12,10,9,11,13,12,7,9,12,7,14,12,4,8,6,3,12,7,11,6,6,4,6,5,4,3,9,7,6,7,6,4,5,6,3,3
20,10,14,13,11,12,13,12,7,10,13,8,17,12,5,9,4,4,14,8,12,8,6,4,7,5,4,3,11,5,6,9,6,4,7,6,2
