ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,25,11,17,11,9,17,10,14,20,18,30,18,16,14,16,22,24,21,16,18,12,14,17,18,16,21,8,15,13,15,12,16,17,17,17,21
1,9,25,11,15,12,8,16,11,14,21,16,32,16,15,13,17,20,23,22,17,20,13,15,18,19,20,21,9,16,11,21,13,14,18,18,20
2,16,9,24,14,14,13,10,18,10,16,17,16,32,18,16,13,17,19,23,21,19,21,12,14,16,18,18,21,9,16,19,22,12,13,17,17
3,15,16,9,23,13,15,12,8,18,10,12,16,15,31,16,18,14,17,19,21,19,19,17,10,13,15,19,17,19,9,19,19,19,12,12,14
4,21,16,17,9,21,14,14,10,8,18,12,14,15,15,33,13,19,14,15,18,21,20,19,17,11,13,15,18,17,18,21,19,19,18,13,13
5,24,22,14,15,9,21,14,13,10,8,17,13,14,16,15,32,12,17,14,15,18,19,20,19,18,13,14,15,18,16,18,19,19,20,18,14
6,17,22,23,14,14,12,21,17,12,10,6,15,13,15,15,15,31,11,17,14,17,17,15,21,19,17,13,13,16,19,17,17,16,21,20,17
7,25,19,24,23,14,14,13,19,15,13,7,8,17,13,15,16,15,29,10,17,12,19,18,14,21,20,18,15,12,15,12,19,18,15,21,20
8,24,21,17,24,24,14,14,14,19,16,12,10,8,17,13,16,16,15,29,10,17,13,18,18,14,20,20,18,15,12,17,13,18,18,15,20
9,30,26,22,17,23,26,15,15,13,19,13,14,10,9,18,13,15,17,15,29,10,17,13,18,19,13,22,20,18,14,11,17,13,19,19,14
10,20,28,24,22,20,23,26,14,15,14,16,12,13,10,10,19,14,15,17,17,28,12,17,13,17,21,13,21,21,18,28,13,16,13,18,21
11,34,22,27,24,23,20,22,27,15,14,14,19,12,13,10,10,19,14,14,19,17,28,12,17,13,16,21,13,21,22,17,28,14,16,13,16
12,30,39,25,29,25,25,20,22,27,15,14,15,19,12,13,11,10,18,13,15,20,17,27,12,18,14,17,21,13,19,20,17,27,14,17,14
13,28,29,37,23,28,24,26,20,20,26,16,16,16,20,12,13,10,9,19,13,15,19,16,27,13,19,13,18,21,13,13,19,16,27,14,18
14,34,28,30,38,22,26,23,25,18,18,27,15,17,15,20,11,13,11,9,19,13,13,20,17,27,13,16,13,18,21,14,12,20,17,27,14
15,26,32,28,31,39,22,29,23,26,18,18,27,15,18,14,20,13,14,10,8,19,14,13,20,17,27,14,16,13,18,19,14,12,20,17,27
16,28,25,29,30,32,38,22,30,20,22,17,18,27,13,16,15,21,15,13,10,8,18,15,13,21,19,27,14,15,13,9,19,14,12,21,19
17,32,26,24,31,29,30,39,23,29,24,24,18,18,25,14,16,15,20,15,13,10,10,17,17,14,21,21,27,16,16,11,10,19,15,13,21
18,25,31,26,23,31,31,32,39,25,32,22,23,21,21,24,13,16,16,20,16,13,10,11,19,17,14,20,22,26,18,13,11,11,19,15,12
19,27,24,35,28,26,30,32,33,36,24,33,20,24,23,21,24,14,17,16,20,16,13,10,14,18,16,14,22,24,25,16,13,11,13,18,14
20,33,29,24,38,31,25,34,34,36,39,27,35,19,24,25,21,23,12,16,16,22,16,12,9,13,17,17,16,23,21,21,15,12,10,12,17
21,35,33,31,23,40,29,25,38,35,37,35,26,34,22,24,24,21,25,14,14,16,24,15,11,7,13,19,17,15,23,16,23,15,11,8,12
