ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,43,32,31,23,32,32,33,33,36,17,26,28,29,31,33,39,34,41,52,37,43,40,30,45,37,40,42,42,43,46,41,39,30,46,37,39
1,37,41,31,30,22,32,30,38,35,37,18,26,32,30,34,33,35,33,41,48,37,42,40,30,50,37,36,43,44,47,36,42,39,33,49,38
2,37,38,44,30,30,23,33,33,36,37,37,18,29,31,29,33,36,36,34,41,46,35,47,36,33,51,45,37,42,47,47,35,46,36,36,52
3,40,37,40,46,31,32,23,33,32,37,35,37,17,29,29,27,35,33,37,34,41,45,34,51,39,31,52,42,41,41,39,43,34,50,40,34
4,37,40,33,38,44,30,33,23,32,34,38,35,38,17,33,31,27,35,32,38,32,45,49,33,51,37,30,59,41,44,35,42,47,34,50,39
5,33,37,38,33,36,49,31,31,23,34,33,39,36,39,17,33,31,28,34,30,36,29,45,49,33,50,38,28,62,48,36,32,44,48,35,50
6,53,31,37,37,33,38,48,31,31,22,30,31,39,36,39,17,33,31,30,30,32,37,29,45,47,36,48,37,28,62,33,36,33,41,47,37
7,43,54,30,35,39,31,38,51,33,30,21,32,32,38,34,38,17,33,34,29,29,32,35,29,49,45,36,45,40,30,31,35,35,32,45,46
8,46,44,54,29,36,39,31,37,50,36,28,22,32,32,35,33,38,16,33,34,32,30,34,37,31,49,47,36,44,40,32,31,36,36,33,46
9,51,42,44,54,30,36,39,32,38,49,33,27,23,32,33,37,33,40,14,36,33,35,29,32,36,32,48,47,37,45,32,34,31,36,37,35
10,41,50,40,43,54,28,40,38,32,37,41,31,27,23,32,33,35,31,42,17,34,32,37,28,33,36,34,48,47,39,32,31,35,30,36,38
11,38,43,52,42,44,55,30,36,39,33,34,41,32,26,23,32,31,38,32,42,18,33,31,36,29,36,37,35,47,45,18,32,30,34,29,39
12,48,40,43,50,42,43,58,29,37,40,33,32,42,35,26,24,32,33,37,28,42,20,35,32,36,27,37,36,37,47,41,19,34,31,33,29
