ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,7,3,6,5,4,1,2,7,5,None,1,1,3,2,2,2,1,1,3,None,None,1,None,1,2,2,1,3,None,2,None,1,None,1,2,2
1,7,8,3,4,4,4,1,1,7,4,None,1,1,2,None,2,2,1,1,2,None,1,1,None,1,3,2,1,2,None,None,1,1,None,1,3
2,5,7,8,3,4,2,4,1,1,6,3,1,2,1,2,None,1,2,1,1,2,None,1,1,None,1,3,1,1,2,2,None,1,1,None,1
3,2,5,7,7,3,4,1,4,1,1,6,4,1,2,1,2,None,1,1,1,1,2,None,1,1,None,1,3,1,1,1,2,None,1,1,None
4,5,3,5,6,6,3,3,None,4,1,1,6,4,1,2,1,2,None,1,1,1,1,2,None,1,2,None,1,3,1,1,1,2,None,1,2
5,5,3,2,3,6,6,2,3,None,4,1,2,6,5,1,2,1,1,None,1,1,1,1,1,None,2,2,None,1,2,1,1,1,1,None,2
6,10,4,3,2,2,4,6,1,3,None,4,1,2,6,5,None,2,1,1,None,1,2,1,1,1,None,2,2,None,1,1,2,1,1,1,None
7,4,10,4,3,3,2,4,5,None,3,None,4,1,2,6,5,None,2,1,1,None,1,2,1,1,1,None,2,2,None,None,1,2,1,1,1
8,7,4,8,4,3,2,2,4,4,None,3,1,4,1,2,6,5,None,2,1,1,None,None,2,1,1,1,None,2,2,1,None,None,2,1,1
9,5,6,3,7,4,3,2,2,3,5,2,3,None,4,1,2,6,4,None,2,1,1,None,None,2,2,1,1,1,1,1,1,None,None,2,2
10,2,5,5,2,6,4,3,2,1,3,4,2,3,1,4,1,2,6,4,None,2,1,1,1,None,2,2,1,1,1,2,1,1,1,None,2
11,9,2,4,4,3,5,4,3,3,1,3,4,2,3,1,4,1,2,6,4,None,2,1,1,1,None,2,2,None,1,None,2,1,1,1,None
12,5,7,2,4,3,2,5,4,3,2,1,3,4,2,3,1,3,1,2,5,4,None,2,1,1,1,None,2,2,None,4,None,2,1,1,1
13,6,4,7,1,5,3,2,4,4,3,2,1,3,4,2,3,1,3,1,2,5,4,None,1,1,1,1,None,2,2,5,4,None,1,1,1
14,3,6,4,6,1,3,3,2,4,3,3,2,1,3,4,2,3,1,3,1,2,5,4,None,1,1,1,1,None,3,2,5,4,None,1,1
15,8,2,6,4,6,2,3,1,2,3,3,3,2,2,3,4,2,3,1,3,1,1,5,4,None,1,1,1,1,None,1,1,5,4,None,1
16,6,9,2,6,4,6,2,3,2,2,3,3,3,2,2,3,4,2,2,1,3,1,1,5,5,None,1,1,1,1,3,1,1,5,5,None
17,4,5,10,2,5,3,5,2,2,2,2,3,3,3,2,2,3,4,3,2,1,3,1,1,5,5,None,2,1,1,1,3,1,1,5,5
18,10,6,5,9,2,5,3,4,2,2,2,3,3,3,3,3,2,2,4,3,2,1,3,1,1,5,4,None,2,1,2,1,3,1,1,5
19,3,8,5,5,8,3,4,3,5,2,3,2,3,3,3,2,3,2,1,4,2,2,1,3,1,2,5,4,None,2,2,2,1,3,1,2
20,10,2,7,4,5,8,3,4,4,5,1,2,2,3,3,3,3,3,2,1,4,2,2,1,3,1,2,4,5,None,4,2,2,1,3,1
21,4,8,1,9,4,5,8,3,4,4,6,1,2,2,3,3,2,3,3,3,1,4,2,None,1,3,1,2,4,5,1,4,2,None,1,3
22,7,3,9,2,11,4,5,7,3,4,5,6,None,2,3,3,4,2,3,3,3,1,5,2,None,1,2,1,2,4,2,1,5,2,None,1
23,4,10,3,8,2,9,6,5,6,3,4,5,7,None,2,3,3,3,2,3,1,3,1,5,2,None,1,2,2,2,1,2,1,4,2,None
24,4,2,8,3,9,2,8,5,4,6,4,6,5,7,None,1,3,3,2,2,3,1,4,1,4,2,None,1,2,2,3,1,3,1,4,2
25,3,3,2,8,2,7,2,7,5,4,8,3,6,4,7,1,3,3,3,2,1,3,1,4,1,4,2,None,None,2,1,3,1,3,1,4
26,5,4,3,5,7,2,7,2,5,5,4,7,2,3,4,7,1,3,4,3,1,1,3,1,4,1,4,2,None,None,1,1,3,1,3,1
27,3,6,5,3,5,5,2,5,1,4,5,4,6,2,3,2,8,1,3,2,3,1,1,3,None,6,1,4,2,None,3,1,1,3,None,4
28,3,4,5,4,3,1,5,2,5,2,4,5,4,6,2,3,2,7,1,3,2,3,1,1,3,1,6,1,4,2,3,3,1,1,3,1
29,5,1,4,5,1,2,1,5,2,5,2,4,5,3,6,2,3,2,9,1,3,1,3,1,1,3,1,3,1,4,4,2,3,1,1,3
30,2,5,1,5,5,1,2,1,6,2,4,2,4,4,3,5,2,3,2,8,2,4,1,2,1,2,2,2,2,1,2,5,2,3,1,1
31,5,3,5,1,5,4,1,2,1,5,4,4,3,3,4,3,5,2,3,2,8,2,4,1,2,1,2,3,3,1,6,2,5,2,3,1
32,5,4,1,5,1,5,4,1,1,1,5,4,4,3,3,4,3,5,2,3,1,7,1,3,2,4,1,2,1,3,1,6,2,5,2,4
33,4,6,4,1,5,1,4,3,1,1,1,5,6,5,2,4,4,3,5,2,4,2,7,1,4,1,3,1,1,1,4,1,6,2,5,2
34,6,2,6,3,2,5,2,4,5,1,1,3,5,7,6,2,4,4,3,5,2,6,2,5,2,4,2,4,1,1,2,4,1,3,2,5
