ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,18,19,20,25,27,21,25,26,16,26,23,24,8,18,16,17,9,12,12,15,5,24,17,14,14,19,11,19,11,18,9,24,18,13,14
1,22,18,20,17,19,27,27,23,21,26,15,26,23,22,11,18,17,17,10,12,12,15,5,24,17,13,14,20,9,19,12,18,9,24,18,13
2,28,19,17,21,16,20,28,25,24,19,25,13,27,22,23,11,16,17,17,12,12,12,15,5,24,17,13,15,20,10,15,12,18,9,24,18
3,27,31,21,16,18,16,19,29,27,22,19,24,13,28,21,23,12,16,15,18,12,12,13,15,6,24,18,13,15,19,12,15,12,20,9,24
4,24,29,33,20,17,19,16,20,29,26,23,17,25,13,28,21,22,13,16,16,18,12,12,13,14,7,24,17,13,15,16,12,15,16,20,9
5,31,25,27,32,20,18,22,17,22,29,28,23,19,22,13,29,21,22,14,17,17,18,11,11,14,14,6,25,17,13,19,16,12,18,16,20
6,33,31,28,27,30,21,19,21,19,22,28,29,24,19,23,13,29,21,22,15,16,17,19,13,11,14,14,6,25,17,15,19,17,12,18,16
7,23,33,34,29,29,34,21,21,24,20,23,28,29,24,20,21,16,29,20,22,16,16,17,19,12,11,14,14,6,25,20,15,19,20,17,18
8,29,23,34,34,28,27,32,23,21,24,20,23,27,29,24,20,21,16,31,20,22,16,17,17,18,11,11,14,14,7,21,20,14,19,20,17
9,38,29,23,34,36,27,27,34,24,22,24,20,23,27,29,24,20,21,16,31,20,21,17,18,16,18,10,11,14,13,21,21,20,14,19,20
10,30,40,29,22,33,33,25,26,33,27,23,24,20,24,27,30,24,20,21,16,32,20,20,17,18,16,18,10,11,14,30,21,19,20,14,19
11,35,31,38,29,21,34,36,25,27,34,27,21,23,20,24,24,28,24,20,21,16,31,20,20,17,17,16,17,10,10,13,29,22,19,15,14
12,25,36,32,38,29,22,33,35,27,27,37,29,21,23,20,25,24,29,24,20,21,16,31,20,18,17,17,16,17,9,22,13,31,22,19,15
13,40,28,36,30,39,30,21,30,36,26,27,36,28,21,23,21,25,24,28,24,21,21,17,31,21,19,17,17,15,17,21,22,14,30,22,19
14,38,40,26,38,29,35,28,22,32,36,26,29,36,28,21,23,21,26,22,28,24,21,21,16,31,21,19,17,17,15,22,21,22,14,31,22
15,35,37,41,25,38,28,35,29,20,33,39,26,29,36,28,21,23,21,26,22,28,24,21,21,16,30,21,19,17,16,25,22,21,22,14,31
16,38,35,37,41,24,39,30,34,29,20,31,39,26,30,35,28,21,23,21,28,22,28,24,21,18,16,29,21,19,16,19,25,23,21,22,14
17,42,40,36,37,42,24,39,30,35,31,21,30,39,27,30,35,28,21,23,21,29,23,27,25,20,18,16,29,21,19,30,19,27,23,21,22
18,35,40,38,36,33,40,25,41,27,34,32,21,30,38,27,30,35,27,21,24,21,29,23,27,24,20,18,16,29,20,18,30,22,27,23,21
19,35,33,41,33,35,31,37,26,41,25,32,31,21,33,37,27,30,33,27,20,24,21,28,22,25,24,20,17,16,29,27,18,26,22,25,23
20,33,33,32,43,33,35,29,40,24,43,24,32,31,22,33,36,27,28,33,27,20,23,21,27,21,25,23,19,17,15,18,27,20,26,22,25
21,25,31,32,28,41,30,35,29,42,25,42,26,32,32,23,33,37,27,27,34,27,21,22,20,26,21,24,23,18,16,25,18,27,20,24,22
22,40,23,31,30,26,43,28,37,29,39,27,42,28,33,33,24,32,38,28,26,33,25,21,21,19,26,21,23,22,17,36,25,19,27,20,24
23,23,41,23,32,33,27,46,30,36,31,39,27,40,28,34,34,25,31,37,28,26,33,26,21,21,19,24,20,23,19,28,35,28,23,26,21
24,28,22,37,21,32,31,29,46,28,38,27,37,27,41,29,35,34,25,30,36,28,27,32,26,20,21,19,24,20,22,24,28,39,28,23,26
25,23,26,21,36,20,29,31,27,46,28,37,28,36,25,40,30,35,34,26,30,36,28,30,32,25,19,20,19,22,20,40,24,29,37,28,23
26,35,20,26,19,36,22,31,31,28,50,27,37,27,36,26,40,30,34,34,27,29,35,29,27,32,24,19,20,19,21,32,40,25,28,38,28
27,25,36,18,24,19,35,19,29,30,25,51,27,37,30,36,26,40,30,35,33,26,29,36,28,27,32,23,18,20,17,26,31,43,25,29,36
28,30,24,35,20,26,18,36,19,27,29,26,53,27,36,31,36,26,39,33,35,33,26,30,36,26,28,32,21,17,18,29,26,32,40,30,31
29,31,28,26,35,22,26,18,35,22,29,32,28,51,26,36,31,35,26,39,32,33,32,26,31,35,25,28,30,21,17,35,29,29,28,39,30
30,27,28,29,24,33,24,27,18,36,22,30,30,28,48,25,36,34,35,25,39,30,31,33,26,26,33,25,28,30,20,35,32,29,28,29,36
31,22,24,29,29,23,35,24,25,20,35,22,31,30,27,48,26,36,34,34,25,42,29,31,31,25,24,35,23,26,30,38,35,32,28,29,29
32,41,21,22,30,28,23,34,24,26,19,34,22,30,30,26,46,28,36,34,33,25,39,29,29,31,23,23,35,20,25,22,37,34,33,28,29
33,36,39,23,21,30,29,24,33,23,24,20,35,21,30,30,25,45,27,35,33,33,24,38,28,27,30,23,24,31,18,36,22,40,33,34,28
34,37,36,39,21,20,31,28,23,34,23,24,20,34,21,28,30,25,44,28,34,33,32,25,36,28,27,31,23,21,31,34,35,23,35,34,33
35,31,35,33,36,21,20,29,26,24,32,24,24,20,34,21,29,29,25,42,29,35,32,31,24,36,26,27,30,22,21,34,33,32,23,35,33
36,23,29,33,31,36,21,19,31,26,23,35,24,24,20,34,21,29,26,26,40,29,34,32,31,25,35,25,24,30,21,33,35,32,31,23,34
37,13,24,27,33,29,35,22,19,30,26,24,34,24,23,20,34,21,29,26,24,38,28,32,31,31,23,33,24,24,28,41,33,37,35,32,23
38,32,15,23,27,33,29,35,23,18,31,26,24,34,24,23,19,34,21,29,26,23,38,27,31,30,32,22,31,25,23,23,42,29,35,35,32
