ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,9,8,5,8,3,6,3,6,7,8,5,6,5,3,8,5,6,7,9,9,7,4,7,6,7,8,5,6,11,9,6,3,7,6,8
1,9,7,10,8,5,8,1,8,2,5,7,9,6,6,6,3,8,5,5,8,9,10,8,3,7,8,9,6,4,7,9,10,7,3,7,7
2,7,9,8,9,8,4,9,1,7,2,4,9,8,8,6,6,3,8,5,5,7,9,11,8,3,5,7,6,7,4,6,9,11,6,3,6
3,13,7,10,6,10,6,4,8,1,7,1,5,9,8,6,6,6,4,8,5,5,7,10,11,9,3,7,7,7,7,5,6,10,11,7,3
4,8,14,7,11,5,11,7,4,8,2,8,1,5,8,9,7,6,6,4,9,5,5,7,10,11,5,3,8,8,8,5,5,6,10,11,4
5,7,8,15,8,11,5,10,6,4,8,3,10,1,5,7,7,7,6,6,5,10,5,5,7,12,9,5,3,7,7,9,5,5,6,11,10
6,12,9,9,14,8,10,5,11,9,4,9,4,10,2,4,9,7,6,6,6,4,10,6,5,7,11,10,5,3,7,4,9,6,5,6,10
7,8,13,11,9,15,7,9,6,13,7,3,9,3,13,2,3,8,7,6,6,6,5,11,7,5,6,11,9,5,3,7,5,10,8,5,6
8,11,8,14,11,9,15,7,9,5,13,7,3,10,4,13,2,4,10,7,7,7,6,5,10,7,5,6,11,9,4,8,7,5,9,8,5
9,11,11,8,14,12,10,15,9,9,5,14,8,3,9,4,13,2,5,11,7,8,9,6,5,10,7,4,6,12,8,8,10,7,5,9,8
10,7,11,11,7,14,13,11,16,8,9,4,15,9,4,9,3,12,2,5,12,7,8,8,7,5,10,5,4,6,11,8,8,9,7,5,9
