ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,8,10,10,4,8,10,13,15,15,6,15,9,9,6,19,9,10,7,8,11,7,12,11,13,13,14,17,9,15,11,7,12,11,14,13
1,16,10,11,10,16,3,8,10,13,15,12,6,15,8,9,5,18,11,8,6,7,12,6,14,11,14,12,16,18,10,10,11,6,12,11,15
2,16,14,10,13,10,14,3,10,10,11,15,12,7,16,6,9,7,19,11,9,6,8,12,6,13,11,14,12,15,14,5,10,11,7,11,11
3,13,16,13,9,11,13,14,5,9,10,12,16,13,8,15,5,10,8,20,11,9,6,10,11,7,13,11,14,12,16,8,5,10,10,8,11
4,11,13,16,13,9,10,8,13,6,7,8,13,15,13,9,15,5,11,9,20,9,9,6,10,11,6,13,14,13,14,10,8,5,10,10,6
5,15,13,14,16,16,9,8,8,12,4,8,8,14,14,12,9,17,6,13,9,19,10,9,8,11,11,7,13,14,15,19,10,8,8,11,10
6,16,16,13,16,15,15,9,10,9,12,4,9,11,16,14,11,10,17,5,14,10,20,10,9,8,12,12,7,13,14,10,20,10,8,8,12
7,25,17,16,12,13,15,16,9,10,8,11,4,8,11,16,12,11,10,17,3,14,10,18,10,9,7,12,12,7,12,14,10,18,10,8,7
8,16,25,18,17,12,14,15,15,12,10,9,12,4,8,11,16,13,12,11,16,3,15,10,18,10,11,9,12,11,8,3,15,10,17,10,10
9,11,16,28,17,16,11,14,17,15,10,14,9,11,5,8,11,16,14,14,11,16,3,15,10,19,10,14,11,12,10,16,3,15,10,18,10
10,20,11,15,27,17,17,10,14,18,13,9,14,11,12,5,8,12,14,13,14,10,14,3,16,10,18,11,14,13,13,11,15,3,15,10,17
11,26,20,13,15,26,20,17,11,16,17,14,10,14,11,11,6,9,12,17,11,13,10,16,3,16,9,16,11,14,13,12,11,17,3,15,9
12,15,26,19,11,17,29,17,17,10,13,15,14,10,14,10,10,7,8,13,17,12,13,10,17,4,16,10,16,12,13,12,12,11,18,3,15
13,20,16,26,20,12,19,29,19,16,8,11,15,13,14,14,10,9,7,9,12,17,13,13,9,17,4,16,10,16,12,19,13,12,10,18,3
14,13,19,18,25,20,11,19,26,18,16,9,11,15,14,14,11,9,11,7,12,12,19,13,16,8,17,5,13,10,14,12,20,13,15,9,18
15,22,15,20,16,25,19,12,20,26,22,15,9,11,15,14,13,11,11,11,9,12,12,17,13,16,10,18,5,12,11,11,12,17,13,15,10
16,14,24,13,19,17,24,17,13,18,26,19,15,11,13,16,14,13,12,12,13,9,12,12,16,13,15,11,19,4,12,11,11,11,16,13,14
17,17,16,22,13,19,18,25,18,12,18,28,18,15,11,14,18,14,14,13,12,13,8,12,13,15,13,15,11,20,4,13,9,11,12,16,13
18,21,20,15,23,14,18,18,25,17,13,18,28,19,16,10,13,20,15,15,15,11,14,8,12,13,17,13,16,11,20,11,14,9,11,12,17
19,18,22,19,15,22,14,17,16,18,15,12,20,28,19,16,10,13,18,14,14,15,11,14,8,10,11,16,13,18,12,15,11,14,9,10,10
20,28,16,24,18,16,20,14,17,16,19,14,11,18,29,21,16,10,11,18,15,14,15,12,16,8,10,12,16,15,19,15,15,12,15,9,10
21,18,28,14,22,19,16,18,13,18,18,18,14,11,17,29,21,19,11,15,18,15,16,13,13,18,8,9,11,17,15,15,16,13,13,16,10
22,15,19,27,13,22,17,15,23,15,15,19,18,13,10,18,28,23,21,13,13,18,14,19,16,14,18,10,11,13,15,16,14,17,15,13,16
23,16,17,19,27,17,23,19,20,20,15,14,18,18,13,11,20,28,22,20,16,10,19,16,19,15,13,17,11,10,14,10,18,15,17,14,13
24,14,18,17,20,28,14,24,21,20,20,15,16,19,19,13,10,16,27,23,19,17,10,21,15,17,15,15,17,9,10,17,11,20,15,16,13
25,21,12,17,14,23,23,14,26,19,19,22,16,17,19,19,13,10,18,27,24,18,16,9,21,12,16,15,13,18,12,19,16,10,20,15,14
26,19,19,17,20,14,23,25,17,27,20,20,23,17,19,20,18,14,13,19,24,22,20,18,13,18,12,20,13,15,19,19,21,17,13,18,15
27,18,17,21,19,19,15,27,25,17,28,15,17,22,16,17,22,20,17,12,16,23,20,20,19,15,19,14,20,15,17,21,20,22,18,15,18
28,18,22,17,21,21,18,15,26,23,17,29,13,20,21,16,16,23,27,18,13,17,21,22,25,19,15,18,15,18,16,18,22,23,26,18,15
29,17,14,22,19,20,19,19,14,26,25,20,30,15,18,19,19,18,22,28,18,16,17,24,19,25,22,17,18,17,22,15,17,25,22,26,20
30,14,19,13,22,16,19,17,21,15,26,26,22,29,14,18,21,20,24,25,29,16,17,15,25,22,24,20,19,20,17,17,17,17,27,25,26
31,19,15,19,14,20,20,18,17,21,15,27,26,24,32,13,21,23,21,26,24,31,16,17,14,27,22,26,21,23,22,29,17,15,18,29,25
32,16,18,15,20,12,21,17,20,15,21,18,27,25,22,34,12,20,25,20,26,25,33,16,15,19,27,25,26,22,24,24,28,18,15,22,31
33,31,16,20,15,20,12,19,18,23,18,21,18,27,27,22,32,16,19,26,22,29,25,32,15,16,20,34,30,26,23,28,24,29,17,17,21
34,18,34,17,19,13,21,13,19,19,22,18,21,18,25,27,22,33,15,20,25,24,28,28,30,16,17,21,35,34,27,22,26,26,29,17,17
35,14,19,36,17,23,13,20,13,20,17,21,18,22,18,25,25,22,31,17,19,24,24,27,32,30,17,20,20,37,30,23,24,25,31,29,16
36,15,12,19,34,15,20,15,21,14,19,18,22,19,22,18,26,25,22,30,18,23,27,24,26,28,28,16,22,18,38,23,26,24,25,28,27
37,10,14,13,18,34,15,19,17,21,14,20,18,23,20,22,18,28,26,22,28,17,23,27,21,26,27,29,19,23,17,16,23,26,21,25,27
38,11,11,15,16,20,33,18,22,17,24,13,20,18,23,19,23,18,30,28,24,27,18,23,28,21,24,29,30,17,25,26,17,22,27,21,23
39,12,10,11,14,14,18,31,15,18,16,21,13,19,20,22,19,24,17,30,28,24,27,17,22,29,20,23,30,28,19,24,26,17,21,28,22
