ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,7,7,9,0,6,11,10,7,7,6,12,6,9,5,5,10,13,9,7,3,3,9,5,8,9,11,12,7,10,3,4,11,4,7,9
1,4,11,5,6,9,0,6,12,9,8,8,10,13,7,9,5,5,10,12,10,6,4,4,9,5,10,9,10,11,7,6,3,4,10,4,9
2,8,4,12,5,5,9,0,6,12,10,6,9,8,13,7,9,5,5,9,11,10,7,5,4,9,3,9,9,10,12,8,6,3,5,11,3
3,6,6,2,12,5,5,9,0,7,11,7,5,9,9,15,7,9,6,5,9,11,9,7,5,4,11,2,8,8,12,13,8,6,3,4,11
4,7,6,7,3,11,3,5,9,1,7,12,8,8,8,9,15,7,9,6,5,8,11,9,7,5,3,10,3,7,9,8,12,8,7,3,4
5,5,8,6,8,4,11,4,5,11,1,7,12,11,8,8,7,15,7,8,7,5,8,12,9,9,4,3,11,3,7,9,8,13,10,7,3
6,6,5,10,8,8,3,11,4,6,12,0,6,13,10,8,8,7,15,7,8,8,5,8,11,10,8,4,4,11,3,7,9,8,11,11,7
7,7,6,5,9,8,7,2,10,4,6,13,2,5,13,11,8,8,7,14,5,8,8,6,8,12,10,9,4,4,10,8,7,9,8,12,10
8,7,7,6,5,10,7,7,3,9,4,3,13,2,5,13,11,8,8,7,14,6,8,8,6,8,12,10,11,4,4,6,8,7,6,8,11
9,9,7,7,6,5,9,7,7,4,11,4,4,13,2,5,13,13,8,8,7,15,6,9,8,6,8,11,9,11,3,16,6,9,7,6,8
10,9,9,8,8,6,4,10,6,7,5,10,4,4,13,3,5,13,13,8,8,7,15,6,9,8,5,9,11,9,8,8,14,6,9,7,5
11,6,9,10,8,8,6,5,10,7,7,7,11,2,4,13,4,5,13,12,9,9,7,15,7,7,8,5,11,11,9,9,8,16,8,9,7
12,4,6,8,10,8,7,7,5,10,7,6,7,10,2,5,14,4,5,13,12,9,10,7,14,7,7,8,5,11,11,9,9,8,15,8,8
13,4,4,5,8,10,7,7,6,6,11,6,7,4,10,5,5,14,4,5,11,12,9,10,7,14,6,8,9,5,10,11,9,9,8,15,7
14,10,4,5,4,8,10,8,7,6,6,14,4,9,3,11,6,4,15,4,5,11,12,9,11,7,15,6,9,8,6,11,10,9,9,8,15
15,20,9,5,5,5,7,10,8,7,5,6,14,3,9,7,13,6,4,15,7,8,12,12,9,10,7,14,5,9,9,6,11,10,10,9,8
16,7,22,10,5,5,5,7,10,8,8,5,7,13,4,9,8,13,7,7,12,7,8,11,13,11,10,9,14,5,9,6,5,11,14,11,9
17,6,7,22,9,5,6,5,8,10,8,9,7,6,13,4,10,8,14,7,7,12,6,8,11,13,11,10,9,13,5,11,6,5,11,14,11
18,18,6,7,20,10,5,6,5,8,10,9,9,7,6,13,5,10,8,14,6,7,12,7,8,11,13,11,10,8,13,10,11,7,8,12,13
19,12,16,5,7,18,12,5,6,5,10,10,9,9,7,6,14,5,10,7,13,7,7,12,7,8,11,13,9,9,9,5,10,11,6,8,11
20,16,13,16,6,7,19,12,5,7,5,12,10,10,9,8,6,16,8,10,7,14,9,7,12,7,8,12,13,10,9,14,5,10,11,6,8
21,8,16,15,16,7,8,19,12,6,6,6,13,8,10,10,8,6,16,9,10,9,14,9,7,12,7,8,13,14,10,12,13,5,9,12,7
22,14,10,15,15,15,7,7,20,14,7,6,6,10,9,9,10,9,6,14,9,12,9,13,9,7,11,7,9,13,14,9,11,15,6,9,11
23,11,14,11,14,15,17,8,7,20,14,7,7,6,10,10,7,9,9,6,13,9,14,9,12,9,7,11,5,10,12,9,9,11,11,6,9
24,11,10,12,10,15,15,19,8,7,19,16,7,3,6,10,10,9,9,8,8,16,8,14,8,12,8,8,10,6,10,12,9,9,8,12,6
25,14,9,9,12,11,13,15,18,12,8,22,17,4,4,5,10,11,8,10,10,8,15,8,17,9,11,8,7,10,5,7,11,10,10,8,11
26,4,13,10,9,10,12,11,15,19,13,9,21,16,4,7,6,11,10,7,11,10,7,15,8,16,9,11,9,7,10,12,7,16,9,17,8
27,8,1,13,8,8,12,12,13,15,18,15,7,21,14,3,6,7,11,9,7,12,9,7,14,8,16,10,11,8,9,11,12,7,15,10,14
28,9,6,1,12,8,9,12,12,12,15,21,14,6,23,14,4,6,8,12,9,6,12,11,8,14,10,16,9,11,6,10,11,13,6,14,11
29,5,8,8,1,13,9,7,12,11,13,19,23,10,6,24,16,4,7,7,12,10,5,13,11,8,15,12,15,10,12,12,10,12,11,6,14
30,11,5,7,8,2,11,8,7,12,9,15,18,21,8,5,25,18,5,8,8,12,11,6,14,12,10,16,15,14,9,8,12,11,11,25,8
31,2,9,4,8,8,3,11,8,8,12,12,16,15,21,9,5,26,17,7,9,8,12,11,6,11,10,9,14,14,14,10,8,10,12,9,9
32,4,2,11,6,7,9,3,11,8,8,11,10,16,15,20,9,8,27,14,7,10,8,12,11,6,11,9,9,16,13,6,10,8,14,19,10
33,8,4,1,11,6,8,8,4,11,9,9,11,9,14,14,21,10,9,25,14,6,10,9,13,12,6,11,10,7,19,6,6,11,11,14,9
34,4,8,4,2,11,5,9,8,6,12,10,10,16,9,14,15,23,10,8,26,14,4,10,9,13,10,7,10,10,9,15,6,7,10,30,13
35,7,4,9,4,2,10,6,8,7,8,13,10,8,17,9,13,14,24,10,8,25,12,6,11,9,11,12,9,11,10,26,14,7,9,11,12
36,4,7,5,9,4,3,12,6,8,7,9,14,11,7,17,10,13,14,24,11,9,24,14,8,11,8,12,11,9,12,9,24,16,8,17,8
37,10,3,7,5,8,4,4,12,7,9,6,10,14,13,7,16,11,14,14,25,11,11,23,14,8,11,9,13,11,9,9,9,26,19,8,10
38,6,9,2,8,5,8,3,3,12,6,7,6,10,14,13,8,14,10,12,13,26,12,11,24,14,9,11,10,12,11,30,9,9,27,19,10
39,4,6,9,1,9,6,9,3,6,12,8,7,6,10,15,12,8,13,10,11,12,25,15,12,25,13,8,11,10,11,13,28,11,10,4,18
40,3,4,7,9,3,9,7,10,3,6,14,7,6,7,10,14,12,9,12,9,11,12,25,16,12,25,16,9,10,11,12,12,30,11,5,27
41,4,3,4,6,9,3,7,7,11,3,5,15,8,6,7,10,14,12,10,11,9,11,12,25,14,12,25,17,10,11,8,10,13,32,8,11
42,7,4,3,3,6,9,2,8,9,10,4,4,14,8,6,9,9,14,11,10,11,8,11,15,24,15,13,24,16,10,11,8,10,16,21,16
43,6,7,5,4,5,6,9,3,8,10,9,4,3,14,8,6,10,8,14,11,11,11,7,11,15,26,14,14,24,18,11,11,9,11,16,27
44,7,5,8,5,4,5,7,9,3,8,10,9,2,4,12,9,8,11,8,14,11,12,12,7,10,15,27,13,11,23,11,11,16,10,12,17
45,7,7,6,8,4,3,5,7,8,4,8,11,9,2,4,13,10,8,10,8,13,11,12,12,7,10,14,24,13,9,14,11,11,12,9,10
46,8,7,7,5,7,4,3,6,7,9,5,8,10,9,3,6,12,10,9,11,9,13,11,11,14,8,10,14,25,13,11,13,9,10,15,10
47,7,7,7,6,5,7,4,5,5,7,12,6,8,10,8,3,7,13,11,10,13,9,13,11,12,14,11,12,14,23,14,11,15,14,16,14
48,10,7,7,7,6,5,7,3,4,6,8,12,7,8,13,8,3,7,14,11,10,11,8,12,11,10,14,10,14,14,8,12,10,14,11,10
49,2,8,7,6,8,7,5,6,3,4,7,8,11,8,9,13,8,3,7,14,11,10,11,7,14,11,11,12,10,15,12,8,11,8,3,12
50,9,1,7,7,6,8,8,5,6,3,6,9,7,11,8,9,15,9,3,9,12,12,10,12,7,16,11,11,13,10,10,12,8,10,7,16
51,6,9,1,7,6,8,8,8,6,8,4,6,9,7,11,8,10,15,9,7,10,11,12,10,14,8,16,12,11,13,11,11,12,10,13,9
52,11,6,9,0,6,6,9,9,9,7,8,5,10,9,7,11,6,10,15,10,9,10,11,11,10,14,8,16,13,11,9,11,11,11,7,14
53,8,10,5,10,0,6,7,9,8,9,8,7,4,9,9,7,11,7,10,16,10,9,10,10,11,12,15,8,15,13,7,9,10,10,12,12
54,5,7,10,5,10,0,7,8,9,8,9,8,9,4,8,8,9,11,6,10,16,10,10,10,10,11,11,15,9,15,17,7,5,10,11,11
55,7,6,7,10,4,10,0,7,7,10,8,9,8,9,6,8,9,9,11,7,10,16,10,10,11,9,11,11,14,9,7,16,7,5,11,10
56,6,9,5,6,10,4,10,0,7,8,12,10,9,7,9,6,8,9,8,11,7,10,16,10,10,12,9,11,12,15,9,7,17,10,9,11
57,6,6,10,5,5,11,5,11,0,7,8,13,10,10,8,9,7,9,9,9,9,7,10,16,11,9,11,10,10,12,10,9,6,17,11,11
58,2,5,8,10,5,5,11,5,11,0,8,8,13,10,10,8,10,7,7,10,10,8,7,9,16,11,11,9,10,11,11,10,9,6,14,11
59,5,3,5,8,10,5,5,11,6,12,3,10,10,14,10,10,8,11,6,8,10,10,8,7,9,15,12,11,9,10,13,11,10,8,5,13
