ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,40,44,52,37,41,45,40,54,34,37,39,50,34,39,37,33,40,25,33,32,29,33,35,29,38,34,35,26,28,20,27,33,37,31,37,34
1,37,41,43,48,34,35,42,34,47,32,34,40,51,33,39,34,34,36,24,32,31,34,32,31,29,40,32,30,29,25,30,30,35,34,31,38
2,37,37,42,43,45,32,34,39,33,45,28,35,41,49,32,36,32,33,38,24,32,32,34,33,34,28,40,32,31,27,35,30,33,36,34,29
3,60,37,38,43,41,44,31,32,38,31,40,28,34,39,49,32,37,30,33,36,23,30,34,37,34,31,30,38,34,33,25,32,32,35,36,32
4,54,62,35,38,44,41,40,30,35,37,29,41,29,35,39,46,32,36,29,32,35,23,33,35,35,33,33,32,36,31,36,25,36,33,34,35
5,44,58,64,36,38,42,41,40,30,35,34,29,40,28,32,41,48,31,35,28,32,36,23,35,37,35,33,34,31,37,31,37,25,37,38,34
6,53,44,55,64,36,40,40,41,40,29,34,32,31,46,28,32,44,50,29,34,28,34,35,23,35,37,37,33,35,31,27,31,37,25,36,38
7,53,53,50,54,62,39,40,39,40,40,29,33,32,32,47,29,32,46,49,30,33,27,34,38,22,34,37,36,34,35,36,27,33,38,24,35
8,65,55,54,50,56,61,39,40,41,40,36,31,33,29,33,45,29,32,46,48,29,32,27,33,40,21,34,39,37,33,28,35,32,33,38,23
9,45,65,57,52,51,57,58,40,39,41,40,35,30,33,29,34,47,28,33,45,48,29,36,30,31,40,21,34,38,39,47,28,40,32,32,39
10,68,45,66,57,52,51,58,56,43,40,40,39,35,30,34,30,35,47,28,34,44,50,30,37,30,31,40,22,34,37,45,47,29,40,31,32
11,54,67,47,65,57,51,50,58,57,42,36,37,39,36,30,34,31,35,47,28,35,44,52,32,38,30,32,40,24,35,33,45,50,34,40,31
12,67,57,69,48,67,58,52,50,59,55,43,35,38,38,36,29,35,30,36,47,28,35,44,52,32,38,33,33,40,25,30,34,47,54,33,40
13,68,67,56,67,50,68,58,52,52,60,54,43,36,38,38,36,29,34,31,37,47,27,36,45,51,32,39,34,33,40,48,30,36,47,53,33
14,55,66,69,57,66,50,69,58,51,54,60,54,44,37,37,36,36,29,35,32,37,48,26,36,45,51,32,40,34,32,37,51,29,36,47,53
15,71,55,67,67,58,68,48,69,59,51,53,59,54,44,38,34,35,35,29,36,33,36,50,28,36,45,51,31,40,32,33,36,54,30,35,47
16,63,70,55,66,66,55,66,48,64,57,52,54,60,54,44,39,31,35,34,29,36,32,35,50,29,36,44,52,31,40,34,32,37,52,30,36
17,68,59,68,54,66,65,55,66,50,65,59,52,53,57,56,43,39,30,35,34,29,35,31,36,49,29,36,44,52,31,30,34,34,38,51,30
18,65,67,58,69,52,64,64,55,64,49,68,59,54,52,57,56,42,40,30,38,33,29,35,30,38,49,29,34,45,53,32,30,34,34,39,50
19,55,62,63,58,66,53,64,64,54,64,49,67,58,52,51,56,56,42,41,30,38,33,30,35,30,38,47,30,34,46,40,32,33,34,32,39
20,63,53,61,64,55,64,52,63,63,54,64,48,67,58,52,50,57,56,41,41,29,35,34,29,33,30,37,51,32,35,28,38,34,30,32,32
21,55,62,50,55,63,52,61,48,62,60,53,58,47,64,60,51,48,56,55,40,43,29,35,33,29,30,29,38,51,32,43,28,39,37,29,31
22,45,52,59,50,55,59,52,58,46,61,63,53,59,46,64,59,49,45,51,54,41,44,31,35,34,28,30,29,38,49,40,42,30,39,37,29
23,41,47,50,59,45,55,56,49,55,43,63,62,55,57,44,60,59,45,43,52,55,39,45,35,38,37,28,31,30,37,56,40,45,32,38,40
24,39,41,48,47,54,43,56,52,43,51,42,63,58,54,58,40,57,59,46,39,53,55,38,43,37,40,37,29,31,32,50,57,43,44,39,40
25,25,35,42,46,44,52,42,50,50,42,52,41,60,51,51,55,35,55,60,46,36,56,56,38,42,36,41,39,30,34,35,51,61,47,42,38
26,34,26,37,45,48,44,53,41,46,48,44,50,39,58,49,50,56,32,51,56,44,39,55,55,38,39,35,43,41,32,42,35,56,57,45,39
27,35,31,25,34,40,51,42,54,41,48,42,43,47,36,59,47,46,57,30,47,53,45,38,51,55,38,40,36,42,41,51,42,38,55,58,43
28,35,36,30,24,29,39,47,40,52,40,51,42,41,50,35,59,45,40,55,28,47,53,45,38,52,53,40,40,36,40,46,53,46,43,53,56
29,21,33,31,32,23,29,37,48,41,48,35,51,44,39,50,33,59,44,38,52,27,45,54,45,38,53,50,40,42,36,27,46,60,49,43,57
30,30,21,34,30,30,22,30,38,50,39,46,38,48,44,37,46,32,57,41,35,49,28,48,53,48,37,56,49,42,43,47,27,51,58,49,43
31,32,29,24,36,33,30,23,29,36,47,41,45,37,47,47,36,43,30,55,38,34,49,26,46,53,48,41,55,50,43,33,47,29,51,58,49
32,34,36,29,23,36,33,28,24,30,35,49,42,44,38,49,47,35,44,30,52,37,34,49,31,45,50,45,38,53,51,36,33,52,30,48,56
33,53,34,35,30,24,40,33,30,25,29,36,48,40,45,38,49,48,35,44,30,49,39,36,48,31,46,51,47,41,52,47,36,35,55,41,48
34,32,52,35,35,29,23,40,33,28,24,30,36,47,41,44,37,51,50,37,43,29,48,42,36,49,32,46,50,47,41,29,48,38,37,55,41
35,36,31,51,36,34,30,23,40,32,28,25,31,36,47,43,44,37,53,49,38,44,30,51,43,40,53,32,47,49,50,43,29,53,40,47,57
36,32,38,32,49,34,33,28,22,39,31,29,23,30,36,46,44,44,36,55,49,38,47,29,53,45,41,57,36,48,53,37,43,33,54,54,46
37,31,33,39,32,50,32,34,29,22,39,32,29,24,31,35,45,44,42,36,57,49,37,50,30,55,48,43,58,37,51,49,38,46,32,54,55
38,39,30,33,41,32,53,33,36,31,25,40,34,30,23,29,38,44,41,40,35,57,47,38,51,30,57,50,43,58,41,55,47,43,49,31,56
39,38,41,29,33,39,33,51,32,36,30,24,40,34,32,23,27,38,43,43,40,34,57,46,37,52,32,60,51,45,59,37,57,47,41,54,32
40,27,38,41,30,33,41,35,52,32,38,32,24,39,32,32,23,27,38,44,45,39,36,60,49,39,51,32,59,55,45,42,38,62,49,41,53
41,33,26,38,41,29,35,40,35,56,29,36,31,25,39,32,31,26,26,37,44,47,39,38,61,49,39,51,33,57,54,47,41,40,62,48,41
42,33,35,26,37,41,30,37,40,34,58,29,35,31,25,39,32,32,25,25,37,45,45,41,38,60,47,41,52,32,57,45,47,44,40,62,47
43,39,30,35,25,37,41,29,35,39,36,58,29,35,31,26,39,32,31,25,27,36,45,47,43,40,61,46,41,52,33,38,46,51,44,41,64
44,26,39,31,34,21,35,39,28,35,39,36,56,29,35,31,26,39,32,33,24,27,35,46,48,44,42,62,47,42,53,27,37,48,50,44,42
45,33,24,39,33,34,22,35,41,27,34,41,36,56,31,35,32,25,38,33,33,25,27,36,46,48,43,41,62,49,40,25,27,39,46,49,43
46,36,34,24,39,33,34,21,37,39,28,33,41,38,58,30,35,32,27,39,33,32,25,28,35,46,47,44,41,63,48,32,27,32,38,46,48
47,40,35,33,24,39,35,33,22,35,38,27,35,41,38,59,29,35,32,26,39,33,32,26,28,36,46,45,45,41,63,35,34,28,32,37,46
48,40,40,35,33,24,40,35,32,22,34,39,27,35,41,36,58,29,35,33,25,40,34,32,26,28,36,47,44,45,41,38,36,35,28,31,37
49,31,38,41,37,31,25,41,36,33,23,33,40,27,35,40,35,57,28,36,33,25,39,34,32,26,28,37,49,44,46,28,37,36,34,27,30
50,45,31,37,41,36,30,24,41,37,34,23,33,40,25,35,40,34,55,29,36,33,24,40,35,32,26,30,38,50,47,35,28,38,36,33,27
51,30,46,31,36,40,37,30,25,39,38,34,23,34,41,25,35,39,32,54,29,36,31,24,41,35,32,26,30,38,50,36,33,27,39,35,32
52,41,30,45,31,37,43,36,31,24,40,40,34,23,34,38,24,35,36,31,53,29,36,30,25,45,35,33,26,30,40,31,36,33,26,48,35
53,36,40,30,45,31,36,42,34,29,24,40,43,34,23,34,38,24,35,36,31,52,29,38,30,25,43,34,33,27,29,49,31,41,33,25,46
54,43,36,41,29,46,32,35,41,34,29,26,40,42,34,23,34,37,23,34,36,29,53,30,37,30,25,44,34,33,27,29,49,34,38,32,25
55,35,42,36,40,29,42,32,36,39,34,30,26,40,41,34,24,33,36,20,33,34,29,54,31,38,31,25,41,34,33,37,29,52,34,39,33
56,27,36,42,35,39,29,41,32,36,40,35,32,26,40,41,36,23,33,35,20,33,35,30,54,32,39,34,25,43,34,36,38,30,54,33,40
57,42,26,36,42,33,38,30,40,31,35,41,35,31,26,40,40,36,24,33,33,20,32,38,31,56,33,38,33,25,43,20,35,41,33,59,34
58,29,44,26,36,41,35,37,31,40,33,33,41,35,30,26,40,40,35,25,33,32,20,33,40,31,57,33,40,32,25,34,20,35,42,32,59
59,42,28,42,23,36,40,33,38,30,40,32,32,41,35,29,26,40,40,35,23,33,32,22,30,41,31,58,33,39,32,34,34,21,33,42,32
60,29,42,27,42,24,36,38,34,40,29,41,32,32,40,35,29,26,41,39,35,24,32,33,23,30,40,31,55,33,39,23,32,36,22,32,41
61,34,29,41,30,39,23,38,37,31,39,29,42,31,32,40,35,29,25,40,38,34,25,32,32,23,30,40,31,56,34,33,25,32,35,27,31
62,24,32,28,43,29,39,23,38,38,30,36,29,42,30,33,40,35,29,25,41,37,34,25,32,32,23,32,40,31,56,37,34,26,31,34,26
63,15,25,31,26,44,29,39,23,38,37,27,36,28,42,29,32,39,35,28,26,41,35,36,25,32,32,25,32,39,32,40,35,37,26,30,34
64,15,15,22,31,23,43,29,39,25,38,38,26,35,26,41,27,31,38,35,29,26,40,34,37,25,32,32,24,33,40,23,38,36,38,25,30
65,16,17,15,23,32,23,42,29,37,26,35,39,25,34,26,34,25,31,38,35,28,27,39,32,37,25,33,34,25,31,31,25,40,34,37,26
66,19,17,17,15,21,30,22,40,28,37,25,34,38,25,35,26,34,26,30,38,35,28,27,39,30,37,26,33,32,26,35,31,26,40,31,37
67,28,21,16,16,15,20,31,20,38,28,35,25,34,37,26,34,26,34,26,29,38,34,29,25,38,29,35,26,34,33,36,33,34,24,38,30
68,34,26,21,15,17,15,18,31,21,36,28,33,24,34,36,26,32,24,33,24,29,36,32,29,22,38,29,34,26,33,30,35,33,32,22,38
69,16,30,25,20,15,17,14,18,30,18,36,28,30,24,37,34,26,31,22,32,24,28,35,32,29,22,38,31,33,26,24,30,35,33,31,22
70,17,15,31,24,20,15,14,13,18,31,19,36,29,30,24,35,33,24,27,23,32,23,29,34,31,29,21,37,31,31,32,24,31,34,31,31
71,27,17,15,28,22,20,14,12,15,17,30,17,36,27,24,23,35,30,24,36,23,31,22,28,32,31,30,20,34,31,21,32,23,30,31,31
72,20,25,17,16,26,19,19,14,12,14,17,30,16,36,26,23,24,34,29,24,36,21,31,21,28,32,30,31,20,34,35,21,33,22,29,31
73,17,21,24,17,15,25,20,17,14,10,15,17,30,13,32,24,23,24,31,28,23,35,22,32,21,27,30,29,30,21,24,34,22,33,22,28
74,23,16,18,23,18,12,21,19,18,14,11,14,16,30,13,28,24,22,19,29,26,23,35,21,31,19,25,29,27,27,27,25,35,20,31,20
75,7,20,14,18,20,17,12,21,19,17,16,11,13,16,29,17,26,23,22,19,27,23,21,33,21,29,19,26,27,24,26,25,24,34,20,29
76,14,6,19,15,16,20,16,12,18,18,15,16,11,13,15,27,17,26,22,19,18,28,22,20,31,20,29,19,25,22,17,27,24,22,30,19
77,9,15,5,19,15,16,17,13,12,15,18,13,13,11,13,13,23,16,26,22,19,18,27,21,18,30,19,28,18,24,21,17,27,22,20,29
78,6,9,14,4,16,16,15,14,14,11,14,18,13,9,10,13,12,20,17,25,19,17,18,25,20,16,30,17,26,20,19,19,19,25,21,18
79,2,7,7,12,4,17,13,15,16,12,14,14,17,13,9,10,12,10,19,13,23,18,16,16,22,21,16,29,16,25,21,19,18,16,21,21
80,6,3,6,7,11,3,15,10,14,14,12,11,12,12,13,9,10,7,10,19,12,23,15,15,15,22,21,15,28,17,12,21,16,17,15,21
81,5,4,1,6,6,10,3,15,9,13,15,10,9,11,11,11,8,10,7,9,18,10,20,13,13,14,20,19,13,28,19,10,18,15,14,14
82,8,6,5,None,7,5,9,5,14,9,13,13,12,9,11,11,11,8,9,6,9,17,7,17,12,9,12,20,19,16,11,18,8,16,14,11
83,5,6,4,4,None,7,5,9,4,15,9,10,9,12,9,9,12,11,8,8,5,7,16,6,16,10,8,11,17,17,4,9,18,7,15,12
84,7,2,4,3,3,None,6,4,10,4,14,8,8,4,12,8,7,10,10,8,8,5,7,16,5,14,10,8,8,14,9,4,8,17,6,13
85,4,4,3,4,4,3,4,3,3,4,2,12,7,8,4,10,6,7,9,8,7,7,4,5,14,5,12,11,6,7,7,8,3,7,15,6
86,3,3,2,3,3,3,3,2,2,3,3,2,10,6,7,3,9,5,7,8,7,6,6,4,6,12,4,10,11,6,7,6,6,3,7,13
87,3,3,2,2,3,2,2,2,2,2,2,3,2,8,6,7,2,8,4,6,6,6,6,4,4,6,9,5,9,9,6,6,6,4,3,7
88,2,2,2,2,2,2,2,1,2,2,2,2,2,2,5,6,6,3,8,3,7,5,5,6,4,4,5,9,3,9,7,5,5,6,4,3
89,1,2,1,2,2,1,1,1,1,2,None,2,1,1,2,3,6,2,3,6,3,5,3,5,3,2,2,4,7,2,3,5,3,5,4,2
90,2,2,2,2,2,2,2,2,2,2,1,None,1,1,1,1,2,4,2,1,6,3,5,3,4,3,1,2,4,2,6,3,5,3,4,3
91,1,1,1,1,1,1,1,None,1,1,None,1,None,1,1,1,1,1,3,None,2,5,3,5,2,4,3,1,2,5,2,5,2,5,2,4
92,1,1,None,None,1,None,None,None,None,None,2,None,1,None,1,None,1,1,None,3,1,2,4,2,3,2,4,3,1,2,1,2,4,1,3,2
93,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,1,1,None,2,None,1,3,2,3,1,3,1,1,2,None,1,3,1,3
94,None,None,None,None,None,None,None,None,None,None,1,1,None,None,1,None,None,None,1,1,None,2,None,1,3,2,2,None,1,1,None,1,None,1,3,1
95,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,1,1,None,2,None,1,None,2,None,None,1,1,None,1,None,1,1
96,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,1,None,None,None,1,None,1,None,None,1,1,None,None,None,1
97,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,1,None,None,None,1,None,1,None,None,1,1,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,1,None,None,None,None,1,1,None,None
99,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,1,None,None
