ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,6,3,7,3,5,5,8,2,5,6,7,6,4,7,2,8,5,2,4,2,2,7,9,9,9,5,8,9,5,2,2,7,9,9,9
1,5,1,6,4,7,3,6,7,10,2,5,6,8,6,5,7,2,8,5,2,4,2,2,7,9,7,8,4,8,9,4,2,2,7,9,7
2,5,5,1,8,4,7,3,6,6,11,3,5,6,8,6,5,7,2,9,5,2,5,2,3,7,9,7,8,3,8,2,5,2,3,7,9
3,1,5,5,1,11,4,8,2,5,6,12,4,5,6,7,5,5,7,2,9,6,2,5,3,3,7,9,7,9,4,6,2,5,3,3,7
4,3,2,4,5,1,11,4,7,2,6,6,12,4,5,6,6,5,4,8,2,9,8,2,6,3,3,7,10,6,9,9,8,2,6,3,3
5,6,3,2,4,5,1,11,4,7,1,8,6,13,4,5,7,6,5,4,8,2,9,8,3,6,3,3,7,10,6,2,9,8,3,6,3
6,2,6,3,2,4,5,1,10,5,6,1,8,6,13,4,5,7,6,5,4,8,2,9,8,3,6,3,3,7,10,9,2,9,8,3,6
7,4,3,6,3,3,4,6,1,10,4,7,1,8,6,13,3,5,7,6,5,4,8,2,10,8,3,6,3,3,7,4,8,2,10,8,3
8,6,4,3,6,3,3,4,5,1,10,4,7,1,8,6,11,3,5,7,6,5,5,8,2,10,9,3,6,3,3,5,5,8,2,10,9
9,3,6,4,3,6,3,3,4,5,1,10,4,7,1,8,6,11,3,5,6,6,5,5,8,2,10,9,4,6,3,6,5,5,8,2,10
10,5,3,6,4,3,6,3,3,4,5,1,10,4,6,1,8,6,11,3,5,6,6,5,5,8,2,10,8,4,6,5,6,5,5,8,2
11,9,6,4,7,4,4,6,4,3,4,5,1,10,4,6,1,8,6,11,4,5,5,6,6,5,8,2,9,8,4,5,5,6,5,5,8
12,4,11,6,3,6,4,4,6,4,3,4,5,1,10,4,6,1,8,6,11,4,5,5,6,6,5,8,3,8,8,4,5,5,6,5,5
13,4,4,10,5,3,6,4,4,6,4,3,4,5,1,10,4,6,1,8,6,11,4,5,5,6,5,7,8,3,8,11,4,5,5,6,5
14,6,5,4,10,5,3,6,4,4,6,6,3,4,5,1,10,4,6,1,8,6,11,4,5,5,6,5,7,8,3,6,12,4,5,5,6
15,9,4,5,4,10,5,3,5,4,4,6,6,5,5,5,1,10,5,6,1,8,6,11,4,5,5,6,5,7,8,8,6,11,4,5,5
16,10,11,4,5,4,10,5,3,6,5,4,6,6,5,5,5,1,10,5,6,1,8,6,12,4,5,5,6,5,7,1,8,6,13,4,5
17,5,10,10,4,5,4,10,6,3,5,5,4,6,6,5,5,5,1,10,5,6,1,8,6,12,4,5,5,6,5,6,1,8,6,12,4
18,6,5,11,10,4,5,4,11,6,3,5,5,4,6,5,5,5,5,1,10,5,6,1,8,6,12,5,5,5,7,5,6,1,8,6,12
19,6,5,5,10,10,4,5,5,9,5,4,3,5,4,6,5,5,5,5,1,10,5,6,2,9,6,11,5,5,6,9,5,6,1,9,6
