ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,23,28,29,29,20,27,17,27,31,28,23,22,20,30,22,26,33,21,24,25,19,32,28,39,28,35,30,38,39,46,19,32,28,41,29,35
1,31,24,28,27,29,21,25,16,25,31,25,23,23,21,30,23,27,35,21,25,26,20,35,31,43,29,34,33,40,41,27,21,35,31,45,31
2,39,31,26,28,28,27,22,27,15,26,30,25,24,25,23,28,21,27,35,23,25,24,23,36,35,48,31,35,31,38,23,26,24,35,33,49
3,25,37,30,26,28,27,26,22,28,17,28,29,24,28,26,24,29,24,27,36,24,25,25,25,37,30,46,32,32,31,24,23,27,25,36,31
4,39,25,34,31,27,31,27,27,23,27,18,25,29,24,29,25,23,28,25,29,32,23,25,26,27,36,26,50,32,29,36,22,23,29,28,35
5,36,41,23,36,32,30,29,27,27,23,28,18,25,31,24,31,25,22,27,27,29,35,25,24,26,25,36,27,48,30,28,39,24,25,29,25
6,32,35,39,22,34,34,27,29,28,27,22,28,18,26,29,25,31,25,22,27,25,31,36,26,25,26,26,41,26,46,25,29,39,26,26,27
7,32,33,34,41,22,34,35,28,29,25,27,22,27,17,26,31,26,31,26,19,27,26,31,37,25,27,28,27,39,27,27,26,29,41,25,27
8,36,33,32,34,41,21,33,34,26,29,28,27,21,27,17,28,31,27,33,26,19,29,23,26,38,25,28,29,26,37,21,28,24,26,41,25
9,42,36,31,32,35,43,21,32,34,27,26,29,27,20,27,16,28,31,29,35,26,19,30,24,27,41,28,28,29,25,26,21,28,26,27,44
10,34,41,36,31,32,33,42,20,34,33,26,27,29,28,20,28,16,28,31,29,36,27,20,31,25,26,43,32,25,30,34,27,21,28,27,26
11,23,33,42,37,31,31,33,41,19,32,34,28,28,28,29,20,28,16,27,35,30,37,26,21,32,24,27,45,30,27,29,35,27,21,35,26
12,43,22,32,41,35,31,31,33,43,17,30,34,28,28,28,30,22,27,17,29,34,30,37,27,21,33,24,27,46,30,33,29,33,28,22,36
13,46,41,22,31,42,35,31,31,33,44,18,30,34,29,27,28,31,24,26,17,29,37,30,37,30,22,34,26,28,45,31,35,29,34,31,22
14,44,46,41,21,32,40,34,31,33,34,43,18,29,35,29,28,28,34,24,27,17,32,39,29,39,31,23,36,26,30,17,34,37,29,36,32
15,28,40,46,41,23,33,39,36,31,31,33,45,18,29,35,29,30,28,34,26,27,17,35,39,30,42,31,24,37,25,26,18,35,37,30,39
16,46,28,41,46,41,21,31,41,36,33,32,33,45,18,29,35,29,30,26,33,25,26,19,34,41,28,42,35,23,37,23,26,20,35,39,28
17,46,44,28,41,45,40,24,31,42,36,34,34,33,46,18,30,36,31,31,27,33,26,25,20,36,35,28,43,33,22,36,24,26,21,37,35
18,41,45,44,28,42,44,39,24,31,44,37,35,32,32,46,18,31,36,30,33,28,36,26,26,22,36,36,28,41,34,29,37,24,27,23,37
19,41,39,45,43,27,40,43,39,24,31,45,39,35,32,32,46,18,32,34,32,34,27,36,26,31,23,39,38,29,38,34,29,38,24,31,24
