ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,48,33,43,38,36,39,34,47,30,33,38,32,30,48,22,33,42,32,29,35,37,27,31,30,30,32,29,27,26,30,35,27,32,29,29,32
1,45,51,34,40,38,36,38,35,46,30,31,38,33,29,46,23,34,43,34,30,34,36,27,32,28,30,30,29,26,27,34,34,29,33,27,29
2,47,47,50,34,40,39,34,38,36,45,31,31,34,34,31,45,26,34,46,34,32,35,35,27,29,28,32,31,29,25,30,36,36,29,32,27
3,38,49,43,46,35,40,39,38,38,36,44,30,33,35,33,32,46,28,33,47,34,31,35,34,25,32,28,29,35,30,33,29,38,36,28,35
4,37,36,49,43,48,35,40,42,35,39,35,45,29,33,35,32,32,46,31,34,48,35,33,35,32,25,33,28,28,36,45,33,31,37,35,28
5,42,36,38,47,42,49,34,39,41,35,37,36,46,30,33,40,32,33,46,32,35,48,35,33,35,33,25,34,27,28,33,45,34,31,36,35
6,48,41,39,37,50,43,49,38,40,42,38,39,36,44,30,33,39,32,35,45,31,36,48,35,31,36,33,24,31,27,34,33,47,34,30,37
7,51,47,43,36,40,49,43,48,37,41,41,37,39,37,44,30,34,39,35,36,44,32,36,48,33,30,36,32,25,32,45,33,34,48,32,30
8,50,50,45,44,36,39,50,42,48,36,41,42,38,39,37,46,34,35,37,35,38,44,33,35,49,33,27,37,31,26,37,46,34,34,49,32
9,44,53,49,48,42,36,39,49,42,50,38,41,43,36,39,38,46,32,34,36,35,38,45,34,36,49,33,26,38,31,34,38,46,36,35,49
10,58,42,52,49,50,44,37,39,49,42,49,41,40,43,36,39,38,47,34,35,37,35,39,42,35,36,49,31,27,37,40,33,39,42,36,35
11,56,58,46,53,51,46,44,38,39,50,43,49,40,39,43,36,37,38,47,33,37,37,35,38,42,37,34,47,31,26,36,40,34,38,41,38
12,52,59,58,43,56,47,47,44,39,40,49,43,47,40,38,43,36,38,38,47,33,38,40,34,37,42,38,35,46,31,34,37,42,32,38,41
13,49,54,57,61,43,56,48,49,45,38,42,51,43,47,40,37,44,36,38,37,48,33,39,40,33,37,42,37,35,46,48,32,39,42,32,38
14,46,50,53,55,62,46,52,50,47,47,38,42,51,43,47,40,36,44,35,39,37,46,33,40,40,33,37,43,37,35,35,45,34,40,41,32
15,58,44,51,54,57,60,45,53,51,48,48,37,42,51,43,47,40,35,44,34,38,37,45,34,41,39,32,38,41,38,38,35,45,35,41,40
16,51,58,44,51,52,57,58,44,55,51,48,48,39,42,52,43,49,40,34,44,34,38,37,46,34,44,38,31,38,42,34,38,36,45,35,44
17,69,53,56,44,53,52,56,59,42,54,50,49,48,39,42,52,43,49,40,34,45,33,38,36,46,35,44,37,31,38,45,33,38,36,45,36
18,46,67,54,56,45,50,50,54,57,44,55,48,50,48,39,42,51,45,49,40,34,45,33,38,36,46,35,45,37,31,34,45,34,38,35,45
19,68,46,67,54,56,43,49,50,53,57,44,57,49,49,48,40,42,51,44,48,40,35,44,33,38,37,46,34,42,37,37,33,45,34,38,36
20,44,65,47,67,50,58,45,49,50,53,58,44,57,48,49,46,39,40,51,43,48,40,35,45,33,39,37,46,36,42,51,38,34,46,34,39
21,59,51,66,47,64,50,56,45,49,51,53,59,43,55,48,46,46,40,40,52,42,48,41,36,45,34,40,34,45,35,43,50,38,35,46,36
22,46,60,47,62,47,58,49,57,45,52,50,54,59,44,54,47,45,47,41,42,52,42,48,42,37,44,35,40,34,45,51,43,50,39,41,44
23,44,48,61,46,60,45,60,49,55,44,49,51,50,60,42,53,44,43,43,40,41,51,42,48,43,37,46,35,39,35,43,49,45,51,40,40
