ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,65,81,106,80,71,76,75,67,67,79,123,63,63,59,58,71,65,56,75,61,44,50,66,80,61,59,96,63,92,86,44,49,67,77,58,59
1,75,65,82,105,76,69,76,77,66,66,68,115,63,61,59,53,71,64,59,75,60,44,50,67,78,61,64,97,66,93,60,45,50,68,76,59
2,66,78,66,81,102,74,69,73,78,69,60,71,114,63,60,58,56,73,65,56,70,61,46,51,71,80,63,71,96,66,72,60,46,51,70,79
3,89,65,76,65,83,102,74,71,74,78,66,62,74,115,63,60,57,60,73,66,53,73,61,47,50,71,77,66,70,92,54,70,61,47,52,72
4,88,91,64,81,65,80,102,77,75,74,73,66,63,73,107,64,61,61,63,73,67,57,71,62,48,52,71,79,66,66,67,55,70,64,43,53
5,80,89,90,66,78,64,79,102,78,73,70,76,67,61,73,101,63,57,62,68,73,70,57,72,59,48,55,71,80,66,72,66,56,73,61,44
6,81,82,89,90,66,79,65,79,103,79,67,73,76,68,60,75,96,64,59,64,71,74,71,57,74,60,46,59,73,81,67,74,67,57,77,60
7,75,82,81,86,89,66,80,67,79,105,79,68,74,78,67,62,77,91,67,60,62,70,74,72,57,74,63,45,58,74,62,67,78,70,58,76
8,78,73,81,79,86,90,67,80,68,79,100,83,66,73,78,65,65,79,86,69,60,63,69,77,72,59,76,66,47,57,63,63,66,81,71,59
9,86,78,72,82,78,85,87,66,80,65,80,99,81,68,74,80,67,65,79,81,72,61,63,66,80,72,64,75,66,47,74,63,63,65,81,71
10,109,85,78,74,82,77,87,87,66,80,67,80,99,78,68,74,82,70,66,83,77,74,62,63,71,81,76,65,78,68,77,76,65,63,69,81
11,102,108,84,78,73,81,78,86,89,66,77,67,78,97,78,69,76,82,70,70,84,78,74,62,65,69,88,76,65,83,83,78,77,65,64,68
12,84,100,110,83,78,74,81,78,85,90,65,80,69,77,96,78,68,76,83,71,73,88,79,73,65,67,68,87,74,67,69,85,82,76,67,66
13,89,84,98,110,82,78,74,81,76,85,89,63,82,68,77,97,80,69,81,86,73,74,88,80,73,66,65,71,86,74,74,70,86,83,77,68
14,96,88,82,96,109,82,79,77,81,79,85,86,62,75,67,75,97,80,69,81,89,73,74,85,79,74,66,65,70,88,91,74,72,85,84,79
15,78,98,88,84,97,110,81,78,79,81,78,90,91,64,75,68,77,98,81,70,83,91,73,73,85,82,75,65,65,67,84,93,74,72,86,86
16,103,80,98,89,86,97,111,80,80,79,82,78,93,91,64,76,70,77,101,81,71,83,90,73,73,87,83,75,67,65,70,83,93,74,73,87
17,101,104,80,100,90,85,93,111,81,81,78,83,80,91,92,65,77,72,78,102,82,71,84,90,73,72,88,85,76,70,84,70,85,93,75,74
18,99,99,105,77,97,92,85,94,114,81,80,78,81,82,90,91,66,78,74,79,103,81,72,83,92,73,74,89,85,79,106,84,71,85,96,74
19,89,99,100,104,79,100,93,84,95,116,83,80,79,83,78,90,92,67,80,73,78,104,83,73,82,94,71,78,94,87,79,107,86,72,86,98
20,101,89,99,100,105,77,94,87,84,96,116,84,81,80,83,78,90,92,67,81,73,77,103,84,74,82,94,76,79,95,77,82,105,88,73,85
21,92,101,86,95,96,108,79,95,89,86,98,118,82,84,76,81,79,89,95,69,82,70,80,103,84,72,82,98,73,80,83,74,86,108,88,72
22,78,87,104,87,96,100,104,80,97,90,87,99,118,81,82,76,86,77,92,95,66,81,73,79,106,86,73,88,102,75,67,82,76,86,111,90
