ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,85,69,84,78,91,100,88,64,64,79,83,87,61,56,73,62,62,55,54,60,55,55,63,62,46,55,57,64,53,53,57,56,62,64,48,55
1,87,82,69,87,82,87,102,85,72,59,74,87,86,60,57,73,60,60,53,54,60,56,52,59,65,44,53,57,64,49,58,57,54,58,66,43
2,80,88,86,74,87,85,83,99,85,69,52,73,87,93,60,56,72,59,59,55,53,57,60,53,65,67,43,49,51,65,52,55,58,55,62,68
3,97,87,85,83,78,88,89,85,100,85,66,54,71,86,95,60,62,73,60,62,54,54,57,63,54,61,65,41,47,50,53,56,53,64,54,61
4,88,95,83,83,87,81,86,90,85,99,81,66,53,73,86,97,59,63,72,57,62,58,57,55,61,55,60,63,43,47,59,54,56,54,66,56
5,89,94,94,80,85,90,79,86,88,84,95,80,66,53,71,89,94,58,62,73,57,63,58,56,54,60,57,60,61,47,58,60,56,59,55,64
6,88,90,94,94,82,83,96,78,86,87,77,93,82,67,57,71,86,92,57,63,69,58,64,60,55,60,62,60,60,63,70,59,61,59,58,58
7,96,90,88,99,95,85,81,95,82,86,83,78,89,82,69,62,69,82,89,56,62,70,58,62,58,55,59,62,61,62,63,67,63,59,58,56
8,92,94,95,90,95,96,80,78,92,82,84,83,76,88,83,72,63,67,81,91,56,59,66,58,62,57,55,60,63,64,54,61,66,65,61,57
9,113,87,96,90,90,95,93,81,81,94,75,83,81,77,87,82,72,61,68,78,89,55,58,66,57,62,60,56,58,65,87,54,61,67,61,60
10,101,114,85,97,90,94,95,88,77,77,88,72,83,81,78,88,81,72,61,68,77,89,54,57,65,56,57,62,57,58,77,89,54,61,66,59
11,111,99,117,88,100,89,92,96,88,76,73,88,71,83,83,81,88,79,71,61,69,76,89,54,56,64,55,59,59,57,66,79,91,54,60,63
12,98,112,101,118,90,100,90,90,98,91,75,70,87,71,86,84,81,88,77,70,63,70,77,91,54,58,66,54,60,60,63,68,79,91,55,58
13,96,91,110,100,117,92,96,90,94,97,91,74,70,85,71,88,82,85,89,77,70,63,72,77,91,52,59,66,53,59,69,65,70,81,92,54
14,98,97,96,111,101,120,92,95,91,89,95,91,74,70,87,76,87,83,87,89,78,70,64,73,76,91,50,57,66,53,79,70,66,72,77,91
15,111,99,95,98,110,102,123,94,97,94,90,95,87,75,74,86,76,86,82,84,86,76,68,63,74,73,90,49,60,66,86,78,69,66,73,75
16,89,113,101,97,98,111,101,124,89,96,90,89,91,89,75,74,85,76,85,83,84,87,75,68,63,76,73,87,50,60,84,86,75,71,64,74
17,97,89,115,99,99,100,113,106,122,89,99,89,87,91,92,72,74,85,76,85,85,85,83,74,68,61,74,75,86,53,80,84,84,80,70,63
18,98,102,92,115,102,95,97,110,104,124,90,97,87,90,92,92,71,74,86,76,85,84,84,82,73,70,60,71,71,87,87,80,85,86,78,72
19,85,99,92,93,115,100,96,97,114,99,121,86,97,85,89,96,92,72,71,83,75,83,84,86,79,74,67,57,72,71,72,83,79,88,83,78
20,79,88,100,92,87,114,100,97,96,112,102,122,86,98,83,88,95,92,70,71,82,75,80,83,84,79,72,65,58,69,79,75,82,80,88,83
