ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,7,None,2,1,3,4,7,1,3,2,6,7,2,6,7,2,3,3,5,9,3,2,2,3,1,5,3,5,2,3,3,2,2,2,1,5
1,4,6,1,3,1,3,4,7,2,3,2,6,7,2,6,7,2,4,3,5,8,3,2,2,3,1,6,3,5,2,8,3,2,2,2,1
2,4,4,7,1,2,1,4,4,7,3,5,2,5,7,2,6,7,2,4,3,5,8,1,2,2,2,1,7,3,5,5,8,1,2,2,2
3,3,3,4,7,1,2,2,3,4,7,3,5,2,5,7,2,6,7,2,4,3,5,8,1,2,2,2,1,6,3,3,5,7,1,2,2
4,2,3,3,4,7,1,2,1,3,4,7,3,5,2,5,7,2,6,7,2,4,3,5,8,1,2,2,2,1,6,4,3,5,8,1,2
5,5,2,3,2,4,6,1,2,2,3,6,6,4,5,2,5,7,2,5,7,2,3,2,5,7,3,2,2,2,1,2,3,2,5,7,2
6,3,5,2,3,2,4,5,1,3,3,4,6,6,5,5,2,5,7,2,5,7,2,3,2,4,7,3,2,2,2,7,2,3,2,4,7
7,4,4,4,2,3,2,4,6,1,3,2,4,6,6,5,6,2,5,7,2,5,6,2,3,2,5,7,3,2,2,5,6,2,3,2,5
8,6,5,4,4,2,3,2,4,6,1,2,1,4,6,5,6,6,2,5,7,2,5,5,2,3,3,5,6,3,2,2,5,5,2,3,3
9,7,6,5,4,4,2,3,2,3,6,1,2,2,4,6,5,5,6,3,5,8,1,5,5,2,3,3,5,6,3,8,1,5,5,2,3
10,2,7,5,5,4,5,2,2,2,3,5,1,2,2,4,6,5,5,6,2,5,8,1,5,5,2,3,2,5,6,5,8,1,5,5,2
11,3,3,7,4,5,4,5,2,2,2,3,5,1,3,2,5,6,5,5,6,2,4,8,1,5,5,2,4,2,5,2,4,8,1,5,5
