ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,12,15,18,9,16,11,15,18,17,14,8,15,12,11,11,15,14,12,12,19,11,10,4,11,12,23,15,18,14,19,11,11,4,13,12
1,15,10,13,13,18,8,15,10,14,18,15,14,9,16,11,12,11,14,14,12,14,17,13,10,4,11,14,20,20,18,13,16,12,11,4,13
2,17,17,11,13,14,17,8,17,10,12,17,14,15,8,16,11,12,11,13,13,13,14,16,13,10,5,11,16,20,19,13,13,16,11,11,5
3,15,16,16,10,13,13,15,7,17,11,13,16,13,14,9,16,12,12,10,13,13,16,15,16,14,9,6,12,15,20,13,15,13,16,12,10
4,15,15,16,16,10,13,14,15,7,17,11,13,19,15,14,11,16,12,12,10,12,12,15,15,17,12,9,5,14,15,13,12,14,13,17,11
5,14,14,17,16,15,9,12,14,15,8,17,12,13,20,14,18,11,16,11,11,10,12,9,15,13,18,12,10,5,14,11,13,11,14,12,18
6,13,14,14,16,16,16,9,12,16,16,8,17,13,13,22,15,17,11,18,9,11,10,12,9,15,13,19,13,10,5,12,11,13,11,14,12
7,20,15,14,16,16,15,18,9,12,16,16,8,17,13,13,23,14,17,11,18,9,13,10,13,12,14,11,17,12,9,9,13,11,14,12,13
8,17,21,15,14,15,19,14,18,10,13,14,16,10,19,12,12,22,13,17,12,18,10,13,10,13,12,14,10,17,12,18,8,13,10,14,12
9,23,16,21,16,14,16,16,13,19,11,14,13,16,10,19,11,12,22,13,17,12,19,11,11,10,12,13,13,11,17,11,19,9,12,9,13
10,16,22,16,21,16,15,15,17,14,19,11,14,13,17,10,20,11,11,21,13,17,12,19,10,13,10,12,14,12,11,16,11,19,9,14,9
11,20,18,21,16,20,16,15,16,19,14,19,11,14,13,17,11,20,12,11,21,17,18,13,20,9,12,10,12,13,12,17,17,12,20,8,12
12,18,20,18,21,17,20,16,15,17,19,14,19,10,14,13,16,11,20,12,11,21,17,18,14,21,10,13,9,12,13,20,17,17,13,21,9
13,19,18,20,19,19,16,19,16,14,18,19,15,18,10,13,13,14,12,19,12,10,22,17,18,14,21,10,14,9,12,11,20,17,17,13,20
14,16,19,18,21,18,20,16,19,16,14,18,17,15,18,10,13,13,14,12,18,12,11,21,16,18,13,21,9,14,9,12,11,19,17,17,12
15,13,17,20,18,21,17,18,16,20,16,15,18,17,15,20,10,13,11,13,12,19,12,11,21,17,19,13,18,10,13,20,12,11,19,18,18
16,21,15,17,20,18,19,17,18,16,20,16,15,18,17,17,21,10,13,11,14,12,19,13,10,21,17,19,12,18,10,12,20,13,11,19,18
17,19,23,15,17,20,18,20,18,17,16,21,17,16,18,16,17,21,10,14,12,17,12,20,13,10,21,18,17,12,17,17,12,21,13,11,19
18,21,19,23,15,17,21,19,21,20,17,16,22,17,17,18,16,16,20,10,13,12,17,12,20,13,10,21,21,17,12,13,17,12,21,13,10
19,22,21,19,24,14,17,19,19,21,19,17,19,23,17,17,20,16,16,20,11,13,14,17,10,21,13,13,18,20,17,13,14,17,11,22,13
