ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,10,11,5,15,11,11,14,8,13,7,5,13,5,6,6,9,15,6,23,8,5,5,10,4,11,10,6,6,5,7,5,5,9,4,11
1,11,8,10,11,6,16,11,11,14,9,11,7,5,13,6,6,6,9,15,7,23,8,5,6,8,4,10,11,6,6,24,8,5,6,8,4
2,11,12,8,9,13,5,15,11,11,15,7,11,7,5,13,6,6,6,9,15,8,23,9,5,6,7,4,10,12,7,8,23,9,5,5,7
3,8,11,12,8,9,13,6,14,12,11,14,8,10,7,5,13,7,5,7,9,14,8,24,8,5,5,7,4,10,11,14,8,23,8,5,4
4,10,8,12,14,9,9,12,6,14,12,10,14,8,10,8,5,13,7,5,7,8,15,8,23,8,4,5,7,2,10,7,15,8,23,8,4
5,11,9,8,12,13,8,9,13,6,13,13,10,14,8,11,9,5,13,7,6,7,6,14,7,23,9,4,5,8,2,6,6,14,7,23,9
6,11,11,9,8,12,13,9,9,12,7,13,13,10,14,8,11,9,5,13,7,6,8,6,14,7,22,9,4,4,8,7,7,6,14,7,22
7,11,10,11,9,7,10,13,10,9,12,7,13,13,10,14,8,11,9,5,13,7,6,8,6,15,6,22,9,4,4,7,7,7,6,15,6
8,16,12,10,11,9,7,10,13,12,11,14,7,13,14,10,14,8,11,9,5,14,7,6,8,6,15,7,22,6,4,14,7,7,7,6,15
9,22,17,12,10,11,8,7,9,13,10,10,14,7,13,13,10,13,8,11,9,6,14,7,6,8,6,15,7,22,7,6,14,7,7,7,6
10,29,23,15,13,9,12,8,7,9,13,11,10,14,8,13,13,10,13,8,11,9,6,14,7,4,8,6,15,8,22,9,6,14,7,5,7
11,17,30,23,14,13,9,11,8,7,9,14,11,11,14,8,13,13,10,13,9,11,9,5,14,8,4,8,6,15,7,11,9,5,14,8,5
12,15,16,28,24,14,13,9,11,8,7,9,14,11,10,14,8,11,13,9,13,8,11,9,4,14,7,4,8,6,15,8,11,9,4,14,7
13,19,15,16,27,23,14,13,9,11,9,7,8,14,11,10,14,8,11,13,9,13,8,11,9,4,14,7,4,7,6,13,8,11,9,4,14
14,24,19,15,15,27,24,14,13,9,11,8,9,8,14,11,10,13,8,11,13,10,13,7,11,10,4,14,8,5,7,10,13,8,11,10,4
15,14,22,19,15,15,27,24,13,14,8,11,8,9,8,14,11,10,13,8,11,13,10,14,7,11,9,4,14,8,5,13,10,13,7,11,9
16,16,12,21,19,15,16,26,25,13,13,7,11,8,9,8,14,10,10,14,8,11,13,10,14,7,11,9,4,13,7,11,13,10,13,7,11
17,19,16,12,23,19,17,15,26,25,13,14,7,11,8,9,8,15,10,9,12,7,11,13,10,13,7,11,9,4,13,7,11,13,10,12,7
18,15,19,16,11,22,19,14,15,26,25,13,14,7,11,8,9,8,15,10,9,12,7,11,12,10,14,8,11,9,4,12,7,11,13,10,12
19,16,15,19,16,11,21,20,15,14,25,27,13,14,7,11,8,9,9,14,10,8,12,7,11,12,10,14,8,10,10,9,12,7,11,13,10
20,23,15,15,19,14,11,21,20,15,13,27,27,12,14,7,11,8,9,10,14,9,8,12,7,11,12,11,14,7,10,9,9,12,7,11,13
21,18,24,15,15,21,15,12,22,21,15,14,27,24,12,13,7,11,8,8,10,14,9,9,9,8,11,12,10,13,8,14,9,9,9,7,11
22,9,19,21,16,14,21,15,11,23,22,15,14,27,24,13,10,7,11,8,7,10,14,8,9,9,8,12,12,10,12,10,14,8,9,9,7
23,19,9,19,22,16,13,20,16,12,21,23,15,12,27,24,13,11,7,11,9,4,9,15,8,10,9,8,12,11,10,4,9,15,8,10,9
24,11,20,8,18,23,16,12,19,16,12,22,23,16,12,25,24,13,11,7,11,9,4,9,14,8,10,9,8,12,12,9,4,9,14,8,10
25,19,12,20,9,18,21,17,13,18,19,13,21,23,15,13,25,23,12,10,7,11,9,4,10,13,8,10,9,9,11,11,9,4,11,13,8
26,14,17,10,18,13,20,20,16,13,19,20,12,21,22,14,14,24,25,12,10,6,10,8,6,10,13,7,10,9,8,6,10,8,6,10,13
27,15,14,16,8,17,13,19,22,16,12,17,17,12,21,24,13,14,25,25,13,10,7,11,9,6,8,13,7,9,9,11,6,11,9,6,9
28,12,15,15,17,8,18,12,16,22,15,13,17,16,11,21,23,13,15,26,25,12,10,10,11,11,8,5,13,5,9,11,11,7,11,10,8
29,10,12,16,16,18,8,20,12,16,22,16,13,17,16,9,23,21,11,15,24,23,13,11,10,11,10,8,6,14,5,24,12,12,7,11,9
30,7,9,12,16,14,18,7,17,12,15,23,16,13,14,15,8,22,19,13,13,22,23,14,12,11,11,9,9,8,13,22,23,14,12,8,11
31,10,7,10,12,14,13,16,7,17,12,14,23,19,13,14,15,9,22,18,12,13,23,22,12,10,11,13,9,8,9,12,23,22,13,11,8
32,16,12,8,10,12,16,16,18,7,18,13,14,21,20,15,14,15,9,22,16,12,14,22,22,11,10,9,14,10,7,12,13,22,24,12,10
33,15,17,11,8,9,13,16,14,15,7,19,13,14,20,21,15,13,16,11,22,15,12,15,23,22,9,9,9,13,8,15,12,14,23,22,11
34,16,14,16,12,6,10,13,16,14,15,8,18,13,14,21,22,17,13,15,11,22,14,15,13,22,20,9,12,8,10,21,14,14,12,24,21
35,16,17,14,18,9,7,11,13,17,14,14,9,18,13,14,21,22,18,14,15,10,20,14,14,12,21,18,9,12,8,10,20,14,13,12,22
