ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,5,5,2,7,3,5,1,4,2,3,1,6,5,3,5,3,3,3,7,6,8,3,3,9,6,6,8,7,7,7,8,3,4,8,7
1,5,4,5,5,2,6,2,4,0,4,2,3,1,7,5,3,5,3,3,3,8,6,7,3,5,10,7,6,11,6,8,6,6,3,5,8
2,7,7,7,5,5,2,6,3,4,1,5,3,3,1,7,4,2,6,3,3,2,8,8,7,3,5,10,6,6,11,2,8,8,6,3,4
3,5,7,6,6,4,4,1,6,2,5,1,5,3,3,1,7,5,2,6,4,4,4,10,9,7,3,4,7,6,7,4,3,9,8,6,3
4,4,5,8,7,5,4,4,1,7,3,4,0,5,3,3,0,7,4,4,5,4,4,5,9,9,7,2,7,8,6,3,4,4,8,8,7
5,8,6,4,8,8,5,4,5,1,8,2,4,0,5,3,4,0,7,4,4,5,4,4,5,9,9,7,2,8,8,5,4,4,4,9,8
6,10,8,6,7,8,6,5,4,7,1,9,2,4,0,5,4,4,0,7,4,3,5,4,4,5,9,8,7,3,7,3,5,4,4,4,9
7,9,9,8,7,6,8,6,4,3,9,0,9,2,4,0,5,4,7,0,7,4,4,5,4,4,5,8,8,7,3,5,4,5,4,4,4
8,10,11,10,8,5,7,9,6,5,1,9,0,9,2,4,0,5,4,8,1,7,4,4,5,4,5,4,8,8,7,7,5,4,5,4,5
9,15,10,11,12,7,6,7,10,6,5,2,9,0,9,2,4,0,4,3,8,1,7,4,3,5,4,5,4,8,9,1,7,5,4,5,4
10,7,14,11,11,12,7,5,6,7,5,4,2,8,0,8,2,4,0,6,3,8,1,8,5,3,5,4,5,5,8,8,1,8,6,4,5
11,7,7,15,11,11,11,9,7,5,6,5,4,2,10,1,7,2,4,1,6,4,8,1,8,5,4,5,3,5,4,4,8,1,8,6,5
12,17,8,7,14,11,11,12,9,6,5,6,5,4,2,11,1,7,2,4,3,6,4,8,1,8,6,5,5,3,5,6,4,8,1,8,7
13,9,17,8,6,14,9,11,10,7,5,4,6,5,4,2,11,1,7,1,5,3,6,4,8,1,8,5,5,5,3,3,6,4,8,1,8
14,13,10,17,9,6,12,9,12,10,8,5,2,6,5,3,2,11,1,7,2,4,3,6,4,9,1,8,4,5,5,4,3,6,4,9,1
15,12,12,9,17,9,6,12,9,12,11,8,7,2,6,5,3,3,11,3,7,2,4,3,5,5,9,1,8,6,5,3,4,3,5,5,9
16,8,12,12,10,17,9,6,13,10,11,13,8,8,2,6,5,3,3,12,3,7,2,4,4,6,6,9,1,8,6,7,3,4,3,6,6
17,8,8,12,12,10,16,10,6,11,10,10,11,8,8,4,6,6,3,3,12,3,7,2,3,4,6,6,9,1,8,4,7,3,4,3,6
18,14,9,8,12,13,10,15,9,5,11,9,9,10,8,9,4,6,6,4,3,11,3,8,2,3,3,6,5,9,1,10,4,8,2,4,3
19,5,13,8,9,12,12,10,16,10,5,12,9,9,10,8,9,8,6,6,3,3,13,3,8,1,4,3,6,4,8,3,12,4,8,2,4
20,13,6,13,8,9,10,13,10,16,9,7,14,8,9,10,8,9,7,7,6,3,3,13,3,8,1,4,3,6,4,3,3,12,4,8,2
21,3,11,5,13,8,9,11,14,10,17,8,5,14,8,9,11,8,9,7,7,6,3,3,13,3,8,1,6,3,6,6,3,3,12,5,8
22,5,4,11,6,13,8,9,11,12,10,16,8,4,15,7,9,11,10,8,7,6,5,3,3,13,3,8,3,6,3,6,5,3,2,12,4
23,5,4,5,10,6,12,7,9,10,12,9,16,8,6,13,7,9,12,12,8,7,5,6,2,2,13,4,8,2,5,7,5,7,2,2,12
