ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,5,0,2,1,0,2,0,3,3,0,0,1,0,4,4,1,2,3,2,2,3,1,3,2,1,3,2,1,4,2,3,1,3,2,1
1,1,1,4,0,2,1,0,3,0,2,3,0,0,1,0,3,3,1,2,2,2,2,3,4,1,1,1,3,2,2,2,2,3,3,1,1
2,2,1,1,4,0,2,1,0,3,0,3,3,0,0,1,0,2,3,1,2,1,2,2,3,4,1,1,1,4,3,1,2,2,3,3,1
3,0,1,1,2,4,0,2,1,0,3,0,3,3,0,0,2,0,2,3,1,2,1,2,4,2,3,1,1,1,2,2,1,2,3,2,3
4,2,0,1,1,2,5,0,2,1,0,3,0,4,3,0,0,2,1,1,3,1,3,1,2,4,2,3,1,1,1,1,3,1,2,3,3
5,3,2,0,1,1,2,5,0,2,1,0,3,0,4,3,0,0,2,2,2,3,1,3,1,2,4,2,3,1,1,3,1,3,1,2,3
6,2,4,2,0,1,1,2,5,0,2,1,0,3,0,3,3,0,0,2,3,2,4,1,3,2,2,5,3,3,2,3,4,1,3,2,2
7,3,2,3,2,0,1,1,2,5,0,3,1,0,3,0,3,3,0,0,2,4,2,4,1,3,2,3,5,3,3,4,3,4,1,3,2
8,4,4,2,3,2,0,1,1,2,6,0,3,1,0,3,0,3,3,0,0,2,4,2,4,2,2,2,3,5,5,2,4,3,5,2,2
9,3,3,4,2,3,2,0,2,1,2,6,0,3,2,1,3,0,3,4,0,0,2,4,3,5,1,2,2,3,4,0,2,4,3,5,1
10,5,3,3,3,2,4,2,0,2,2,3,6,0,3,2,1,3,1,4,5,0,0,2,4,4,4,1,2,2,2,0,0,2,4,3,4
11,3,4,3,3,3,2,4,2,0,2,1,3,6,0,3,3,1,3,1,4,5,0,0,2,4,5,4,1,2,2,5,0,0,2,4,4
12,6,3,4,3,3,4,3,4,3,0,2,1,3,6,0,3,3,1,3,1,4,5,0,0,2,4,5,4,2,2,4,4,0,0,2,4
13,3,7,3,4,2,3,3,3,4,2,0,1,1,3,6,0,3,3,1,3,1,4,5,0,1,2,3,5,4,2,0,4,4,0,1,2
14,5,3,7,3,4,2,3,3,3,4,3,0,1,1,3,6,0,3,4,1,2,1,4,5,0,1,2,3,5,3,2,0,4,4,0,1
15,4,4,3,7,4,5,3,3,3,3,5,1,0,1,3,3,6,0,3,4,1,2,1,4,5,0,1,2,4,4,1,2,0,4,4,0
16,7,4,4,2,7,4,4,3,3,3,3,5,1,0,1,3,3,6,0,3,4,1,2,1,5,5,0,1,2,4,4,1,2,0,5,4
17,2,7,4,4,3,8,5,4,3,3,4,3,5,1,0,1,3,3,6,0,3,3,1,2,1,5,5,1,1,2,3,3,1,2,0,5
18,2,3,7,5,4,4,9,5,4,3,3,4,4,6,1,0,1,3,3,6,0,3,3,1,2,1,5,5,1,1,0,3,3,1,2,0
19,5,3,3,7,4,4,4,8,5,4,4,3,4,4,6,2,0,1,5,3,7,1,3,3,1,2,1,5,5,1,7,1,3,3,1,2
20,5,7,3,3,7,5,4,2,8,4,4,4,3,3,4,6,2,0,2,5,3,6,1,3,3,1,2,1,5,3,3,6,1,3,3,1
21,0,3,6,3,3,8,4,4,2,8,5,4,4,3,3,3,6,2,0,2,4,4,6,1,3,3,2,2,1,5,3,4,6,1,3,3
22,5,0,3,6,3,4,8,4,4,2,9,5,3,4,3,3,4,6,3,0,2,5,5,5,1,3,3,2,2,0,2,4,5,5,1,3
23,1,6,0,3,6,4,4,7,5,4,3,8,5,3,4,2,3,4,5,3,0,1,5,5,4,0,3,3,3,2,0,2,4,5,4,0
24,0,1,6,0,2,7,4,5,8,5,4,3,7,5,4,4,2,3,4,3,4,0,1,5,6,4,0,3,3,2,4,0,1,4,5,4
25,3,1,3,4,0,2,9,5,5,8,8,5,3,6,3,5,4,4,3,5,2,4,1,2,4,6,5,0,3,4,2,4,1,2,4,6
26,6,2,1,4,4,0,2,7,4,5,11,8,5,3,5,5,5,4,4,3,6,2,4,1,3,4,7,5,1,4,5,2,4,1,3,4
27,4,4,1,1,4,4,0,0,5,4,6,12,8,5,3,5,5,5,4,4,3,6,2,4,0,3,5,7,5,1,4,5,2,5,0,3
28,4,2,4,1,1,4,4,0,1,7,4,4,12,9,5,3,6,5,5,5,4,3,6,2,3,0,2,5,7,5,3,4,5,3,3,0
29,3,2,2,3,1,1,4,5,1,2,7,2,5,11,8,5,4,6,6,5,5,4,3,6,3,4,1,3,5,5,6,3,4,5,3,3
30,0,3,2,2,3,1,1,3,4,1,1,9,4,5,9,8,5,4,7,6,5,5,3,6,6,4,6,2,3,5,5,6,2,5,5,4
31,0,1,3,1,4,3,2,1,3,4,3,2,8,4,5,9,6,5,4,7,6,3,6,4,6,5,5,4,2,1,6,4,6,3,5,5
