ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,28,25,31,22,33,21,24,26,28,38,23,32,35,21,27,26,35,30,40,33,38,44,49,45,49,41,46,46,52,44,39,44,49,45,47,42
1,37,27,24,30,22,31,21,24,28,27,39,23,32,34,27,24,25,33,32,41,36,37,49,50,48,50,41,47,44,53,34,37,45,50,47,48
2,28,40,25,27,32,22,32,26,19,25,26,40,23,36,36,26,28,25,32,34,41,36,42,48,53,51,46,42,43,42,41,37,38,48,54,49
3,27,27,40,26,24,30,21,33,29,22,24,27,37,25,38,38,26,27,25,35,36,47,39,45,49,56,50,47,44,43,35,42,39,39,49,58
4,37,28,28,34,33,28,28,20,30,24,19,26,25,39,26,40,39,26,28,25,35,36,46,38,54,49,56,49,46,44,34,35,43,40,54,49
5,45,34,26,29,37,33,27,28,22,27,24,19,27,25,39,27,43,37,31,28,26,35,40,47,43,59,53,55,48,49,27,34,39,44,44,59
6,52,49,37,26,27,39,36,29,28,23,24,24,19,27,27,39,33,42,38,32,32,28,33,38,48,41,61,53,55,52,32,28,32,40,51,42
7,55,50,44,37,30,29,36,36,30,32,22,28,24,18,26,27,42,33,42,43,33,32,34,33,43,49,39,60,57,58,33,31,29,33,45,51
8,57,51,50,41,40,29,28,36,34,27,32,23,30,23,18,26,30,42,32,42,41,34,32,35,36,47,51,41,55,56,43,34,31,30,35,48
9,56,55,55,47,42,41,26,29,35,34,29,31,22,29,24,20,24,31,47,36,44,40,35,32,34,35,49,52,44,54,45,43,35,32,35,33
10,43,55,59,56,53,48,45,24,30,36,37,29,31,22,30,23,21,26,32,49,37,41,39,37,35,34,36,51,55,44,37,44,42,37,35,35
11,58,42,58,56,58,52,44,41,23,29,35,37,29,28,22,30,23,22,28,38,52,38,44,38,37,37,37,37,55,56,50,38,46,41,37,36
12,56,58,41,57,58,56,52,44,41,28,25,35,37,29,28,23,33,22,22,30,39,53,37,45,39,39,36,38,39,55,37,51,37,45,41,39
13,57,53,59,41,58,59,58,49,45,42,27,26,32,38,28,30,24,33,23,24,29,39,50,39,44,41,41,38,37,42,27,39,49,39,44,42
14,56,50,51,58,44,59,64,60,48,43,38,27,27,32,35,28,28,27,33,23,25,31,42,48,40,45,44,39,38,38,24,29,43,47,39,45
15,54,56,54,52,61,43,58,65,58,53,42,38,26,28,36,36,29,30,29,34,24,23,33,43,49,38,45,42,39,38,25,24,31,43,49,37
16,45,53,60,54,53,59,43,55,65,57,53,40,39,25,29,38,37,30,32,32,34,26,22,32,45,50,39,45,42,40,36,25,24,30,46,50
17,51,47,49,58,52,54,59,43,54,63,56,51,41,38,26,31,40,35,30,33,32,35,25,27,35,45,50,39,45,41,34,37,25,25,33,46
