ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,22,26,25,30,21,24,29,27,22,21,19,31,23,27,23,27,23,22,21,23,34,21,27,36,33,33,42,45,41,23,34,21,27,39,31
1,23,16,22,26,23,30,23,24,28,28,19,17,21,32,25,27,25,27,23,24,19,23,38,19,28,38,30,30,38,43,20,21,37,19,27,38
2,26,29,16,21,28,24,30,23,25,28,29,19,18,22,33,23,28,26,28,22,25,19,21,38,20,30,38,33,33,41,25,20,20,37,20,28
3,36,25,27,15,20,29,24,28,25,26,26,29,21,17,24,32,25,27,25,29,22,23,20,19,38,24,27,38,32,37,23,24,20,18,37,22
4,36,35,27,29,15,18,28,24,27,25,22,27,29,20,18,25,31,26,27,26,31,25,22,22,17,36,22,29,40,34,31,26,24,22,17,35
5,40,37,34,28,29,18,19,25,26,28,26,24,28,32,20,21,23,32,26,27,25,32,25,21,25,17,35,22,27,40,25,32,25,24,24,18
6,34,39,39,35,26,27,18,18,22,25,27,28,25,26,31,21,22,24,32,26,27,26,29,26,21,28,16,34,22,27,29,26,28,26,24,26
7,45,36,40,42,33,27,27,19,22,23,24,27,26,25,25,31,22,23,26,32,27,30,26,28,30,21,28,16,34,21,27,31,26,28,29,25
8,33,46,35,38,38,37,26,29,20,19,19,25,24,26,25,25,31,23,22,27,33,30,30,29,28,34,23,29,19,35,33,29,31,28,27,32
9,40,34,47,36,39,38,35,23,27,22,18,20,27,27,26,26,27,32,24,24,27,34,31,32,28,28,33,28,26,20,26,34,30,32,27,28
10,51,39,32,47,34,39,37,39,24,29,22,18,20,26,26,27,26,29,30,27,26,26,34,31,33,29,28,34,28,25,26,26,34,31,33,28
11,48,50,42,32,46,34,39,37,38,26,29,24,17,20,28,27,28,27,25,31,26,25,28,34,31,33,26,28,31,32,27,24,28,34,31,33
12,50,45,49,42,31,46,34,40,37,39,25,29,22,17,21,29,29,28,27,25,31,27,25,30,34,31,31,28,28,33,31,29,24,30,35,31
13,50,49,46,47,42,34,46,34,43,37,37,25,29,23,16,21,30,31,29,27,28,31,23,28,30,34,31,32,27,31,28,31,25,28,30,34
14,59,50,50,49,47,40,33,45,32,42,38,38,29,30,24,16,22,29,32,29,27,28,30,24,27,31,34,31,33,29,29,28,30,26,27,31
15,44,56,48,52,49,47,37,33,46,32,43,39,39,29,31,26,17,22,30,35,29,29,26,32,24,28,29,35,30,37,27,31,28,32,26,28
16,49,42,60,48,52,48,46,37,33,45,33,43,38,39,30,32,26,18,21,30,37,27,29,26,33,26,29,31,35,30,34,27,30,29,33,27
17,44,50,44,61,49,52,49,46,37,33,46,33,43,41,39,32,32,27,19,22,29,37,28,30,25,35,27,33,32,38,30,34,28,31,28,35
18,40,45,51,41,58,46,53,51,47,38,38,48,32,42,41,40,32,30,29,21,23,30,38,30,35,26,38,27,38,33,24,31,35,29,36,29
19,41,43,43,51,42,59,47,55,50,47,39,39,49,32,45,42,39,32,31,30,24,22,31,39,29,38,30,39,28,36,24,23,32,36,29,38
20,41,38,43,45,54,43,59,48,53,48,45,38,37,50,33,46,40,39,31,31,30,29,20,32,40,31,37,30,42,30,32,28,21,34,38,31
21,38,40,42,43,47,51,41,58,47,52,54,46,39,37,50,34,48,39,39,29,36,31,30,21,32,39,34,35,32,40,35,33,29,23,34,35
22,66,37,38,41,40,45,54,41,59,51,53,52,47,41,39,52,35,50,38,42,29,39,28,27,21,34,40,38,40,33,30,38,31,28,23,33
23,41,64,42,39,40,42,44,54,41,62,54,56,53,47,42,39,53,38,52,38,46,31,39,28,26,24,32,42,42,40,47,32,38,32,28,24
24,45,43,66,46,38,41,42,44,51,44,64,55,60,54,50,46,38,54,35,50,39,45,31,37,29,26,22,31,43,40,42,47,33,37,33,28
25,49,43,44,68,46,38,40,43,43,52,45,62,57,61,56,50,46,36,52,35,54,40,43,35,39,31,27,23,33,43,54,44,45,34,37,34
26,45,45,41,48,65,47,37,43,43,47,55,49,67,57,63,55,49,46,39,51,38,51,45,43,34,39,33,26,27,39,36,52,46,45,34,37
27,44,44,43,41,48,63,46,36,45,43,46,56,49,67,58,60,54,49,46,40,50,43,52,43,43,33,39,32,33,29,50,37,52,46,43,35
28,37,39,45,42,41,45,61,44,35,43,45,48,61,49,68,52,62,57,44,45,38,52,42,52,43,47,35,44,39,35,38,52,39,52,44,48
29,39,39,40,44,45,40,44,57,42,34,44,45,50,61,53,70,52,62,61,47,46,39,53,45,55,47,51,39,39,42,47,40,51,43,51,49
30,43,44,37,40,42,44,45,44,59,44,39,46,47,50,64,51,68,53,62,58,48,53,36,55,47,54,48,52,37,44,50,49,41,55,44,51
31,44,44,42,38,42,42,41,45,42,61,45,39,48,43,49,62,55,69,49,64,57,49,53,46,53,46,55,48,56,37,54,49,52,46,52,45
32,52,44,45,41,34,41,43,40,46,43,63,46,40,48,46,49,65,59,70,51,62,58,49,56,42,53,43,52,53,57,61,55,50,55,46,52
33,50,52,42,45,42,36,38,38,38,47,44,59,48,40,47,48,51,62,59,73,52,62,66,54,57,43,51,49,53,51,53,61,55,53,56,47
34,45,51,49,42,49,43,33,39,41,38,44,41,59,49,36,47,46,49,62,61,73,53,64,66,53,61,41,51,53,52,67,55,64,63,52,58
35,49,44,52,50,41,44,44,33,37,42,39,46,43,58,49,34,45,45,49,65,61,74,58,66,61,56,60,41,52,50,62,68,59,66,59,56
36,38,50,48,55,48,40,47,47,36,37,42,38,46,42,58,52,36,42,45,50,69,63,73,68,67,62,57,57,47,55,64,62,68,63,66,62
37,45,38,48,46,52,50,39,45,45,38,41,48,37,49,41,62,54,37,43,45,47,64,60,71,67,66,59,55,56,49,47,61,61,67,66,65
38,44,42,40,46,46,49,50,38,43,45,41,43,47,36,46,43,60,56,38,46,47,47,68,59,70,63,63,58,54,62,48,47,61,61,68,62
39,47,47,43,39,45,45,51,49,40,43,44,40,43,46,38,45,43,59,58,36,48,45,50,72,58,65,62,61,58,51,51,46,49,69,59,65
40,59,46,44,41,39,47,46,50,50,36,47,45,40,43,47,38,43,47,59,58,36,44,47,50,74,56,69,67,59,61,38,47,46,48,70,58
41,59,59,50,43,42,38,46,42,51,51,37,45,43,41,40,48,39,45,43,61,59,38,45,48,50,68,56,70,71,60,57,39,48,48,48,68
42,44,57,58,50,45,42,38,46,42,49,52,37,47,43,43,42,49,38,42,43,63,57,40,47,48,47,68,55,69,66,60,54,43,48,48,47
43,57,47,57,56,50,46,42,39,45,42,49,49,36,47,41,43,39,48,39,45,41,64,54,40,46,50,49,71,57,70,42,62,51,41,48,49
44,55,59,47,55,58,47,47,44,40,45,45,49,51,34,48,41,43,39,47,40,43,43,62,54,43,47,48,46,73,59,46,43,61,51,44,47
45,53,56,60,46,53,55,45,45,44,39,47,46,49,51,32,47,41,41,40,47,37,43,43,60,55,44,48,50,47,71,39,46,43,61,53,45
46,50,53,57,61,46,52,55,47,44,44,40,47,42,49,52,34,45,40,41,40,48,36,43,43,59,55,44,48,51,45,49,38,46,44,60,53
47,44,49,51,57,61,45,50,56,46,44,45,40,47,42,50,53,36,43,40,40,40,49,40,43,44,62,55,40,46,52,39,48,41,46,44,65
48,59,40,51,49,59,61,44,51,56,47,43,45,40,47,42,51,52,36,43,40,40,41,47,40,42,44,64,53,41,46,38,41,47,41,45,45
49,57,57,41,48,47,56,62,46,53,55,49,42,44,41,47,40,50,52,39,43,41,41,43,46,39,47,44,66,52,42,41,39,42,46,40,48
50,50,60,57,41,48,47,58,64,43,51,54,49,42,45,43,47,39,48,52,38,41,40,43,43,45,40,46,44,65,51,41,39,41,42,47,39
51,53,51,56,55,41,48,47,54,61,44,50,54,48,44,41,42,46,39,48,50,38,42,39,42,38,46,36,44,43,65,39,42,39,41,38,48
52,46,51,52,55,56,41,50,47,57,61,47,51,53,48,44,42,43,45,40,47,50,36,41,38,41,40,45,37,43,46,47,38,42,38,40,40
53,44,48,50,51,56,55,42,47,47,55,59,46,51,52,48,40,42,42,45,40,48,49,38,41,36,41,41,44,38,44,47,48,39,42,37,40
54,59,44,46,48,50,54,52,43,45,48,55,59,46,50,54,45,39,39,42,46,41,49,49,37,42,37,42,41,44,38,41,50,48,38,42,37
55,60,61,44,47,51,50,54,54,41,43,47,55,55,47,49,54,43,40,38,38,46,44,49,46,38,42,37,41,41,45,47,45,50,46,39,42
56,58,59,57,44,50,52,51,53,53,43,43,45,57,54,45,50,53,43,39,38,39,46,43,49,45,39,44,39,39,42,40,47,44,50,45,40
57,44,58,58,61,44,46,53,49,52,54,41,44,45,59,54,45,48,53,43,39,37,39,47,42,48,47,39,43,39,39,37,39,48,43,49,48
58,51,43,57,58,57,42,44,54,46,48,50,38,45,43,61,56,45,47,53,43,38,37,39,49,41,48,45,36,43,38,38,37,39,49,42,49
59,42,47,42,54,55,57,42,44,53,46,49,49,38,44,41,60,56,42,47,53,43,39,37,39,49,39,50,47,36,41,43,38,36,39,49,40
60,49,41,48,44,55,56,56,41,45,51,45,45,48,38,44,40,60,57,41,47,53,44,39,37,39,46,37,50,47,36,53,43,38,36,39,46
61,43,49,41,47,44,53,55,57,42,42,53,43,44,49,38,43,39,60,57,41,47,55,44,40,38,38,46,36,48,47,49,54,43,39,37,38
62,35,40,51,40,47,43,56,54,56,43,42,52,43,42,49,38,43,39,58,56,41,46,52,44,38,37,37,42,34,49,41,47,51,43,37,36
63,17,34,42,50,39,45,43,51,51,53,44,42,49,43,42,47,39,45,41,57,55,40,46,53,44,38,35,35,40,36,54,42,47,53,43,36
64,30,18,34,39,48,40,45,46,48,51,51,44,44,49,42,41,48,38,44,41,56,54,40,44,52,42,38,34,35,40,54,53,40,45,52,42
