ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,19,14,7,17,13,15,14,14,16,13,19,19,11,20,12,10,7,18,16,16,12,18,16,16,14,29,16,19,19,15,11,18,16,16,14
1,18,16,18,15,7,14,12,15,12,13,13,12,19,20,11,19,14,11,9,18,16,18,12,18,14,18,11,30,20,20,17,17,11,18,14,18
2,14,14,15,17,15,7,14,11,13,12,13,13,11,20,20,13,18,13,12,10,18,16,17,14,18,15,13,13,30,17,18,15,17,14,18,15
3,15,16,17,13,17,16,7,16,11,13,12,12,13,11,20,20,14,22,13,11,10,16,17,18,15,18,16,13,16,27,11,17,16,18,16,18
4,17,15,17,18,13,17,16,7,14,11,14,12,10,12,11,19,19,13,18,13,11,11,19,18,19,15,17,16,13,17,10,12,19,18,18,16
5,25,18,14,15,20,14,19,17,6,16,10,16,12,10,13,10,18,18,13,19,13,12,11,21,17,18,14,19,17,13,12,11,12,20,17,17
6,15,26,18,15,15,19,15,20,16,4,16,9,16,12,10,12,10,17,18,13,19,12,13,11,16,19,16,15,20,18,19,12,12,11,16,19
7,26,14,28,20,15,15,19,15,21,18,5,16,10,14,17,10,12,10,17,17,13,18,14,13,8,16,21,16,15,21,13,19,14,13,8,16
8,25,28,15,25,19,14,16,21,14,21,18,5,14,9,14,17,10,14,14,17,17,13,21,13,13,9,15,21,16,15,16,13,22,13,13,9
9,24,24,25,16,25,17,16,15,21,15,23,22,5,14,9,13,17,10,14,14,17,19,14,21,12,13,10,15,21,15,16,19,14,22,13,13
10,24,24,24,24,16,21,16,15,15,21,15,23,22,5,13,10,14,18,11,14,14,17,20,12,21,12,14,10,15,20,14,16,20,13,22,12
11,25,25,24,24,28,16,22,16,14,17,21,15,23,23,5,12,10,15,17,11,14,13,18,21,14,20,13,13,10,16,14,13,17,21,14,21
12,24,25,25,24,26,28,17,23,17,16,17,20,14,23,23,5,12,11,15,17,11,13,14,19,21,15,21,13,13,10,11,13,14,17,21,16
13,25,24,25,24,25,23,29,19,25,17,15,17,20,15,21,24,5,12,11,15,17,12,12,13,17,19,15,19,14,11,17,12,12,13,16,20
14,29,24,24,26,24,25,25,27,18,23,17,15,18,22,15,23,23,5,13,11,16,17,11,12,14,17,18,15,21,14,16,18,12,12,14,16
15,28,29,25,25,27,23,23,23,26,16,24,18,14,18,21,14,23,22,6,13,11,15,18,11,12,14,16,18,15,20,12,15,18,11,12,14
16,29,26,29,24,24,27,24,22,23,26,16,23,19,15,17,22,13,22,22,6,13,12,15,19,10,13,14,15,20,16,14,13,15,19,10,12
17,27,31,27,29,24,23,26,24,23,23,25,14,24,18,15,18,22,13,22,18,4,16,11,16,18,9,13,14,15,19,4,16,13,14,17,9
18,20,26,28,27,29,23,23,26,22,22,22,25,13,24,17,15,16,23,11,21,18,3,17,12,16,18,11,13,14,15,17,4,16,13,14,18
19,17,21,25,30,27,29,22,23,27,22,24,22,25,14,26,15,14,17,24,11,21,17,5,16,12,18,18,11,12,14,23,17,5,16,13,16
20,22,19,20,22,28,24,27,23,24,26,22,24,22,25,15,26,15,15,17,23,14,20,17,4,16,11,18,19,13,12,15,22,17,5,15,12
21,32,24,20,19,22,28,25,27,23,23,28,22,24,21,26,13,26,15,14,18,23,16,21,18,4,15,11,16,18,15,23,16,22,18,5,14
22,18,30,21,20,19,21,28,23,25,26,23,28,24,24,22,26,12,26,15,15,16,24,18,22,15,5,15,10,18,18,16,24,17,22,16,6
23,29,18,29,22,16,20,21,27,22,27,26,27,29,24,24,22,26,15,27,15,16,14,23,19,20,14,5,13,11,18,17,15,24,18,21,14
24,36,28,17,33,22,15,21,24,27,25,27,24,28,31,21,24,22,27,17,27,17,20,17,25,20,19,14,7,14,11,18,19,17,26,18,21
25,16,36,27,15,31,24,17,20,25,30,25,27,24,27,33,21,25,24,26,21,29,18,18,17,25,19,22,12,6,14,27,18,18,17,26,18
26,24,18,36,29,16,27,23,14,20,27,31,28,22,26,27,35,21,26,25,29,21,27,22,18,21,23,18,21,13,6,21,26,21,19,20,24
27,26,21,18,33,26,18,25,25,15,20,26,31,29,24,27,27,34,22,27,26,28,22,28,21,21,17,24,17,23,14,30,21,27,20,22,16
28,41,26,19,22,32,25,19,26,25,16,20,27,31,29,25,25,26,34,25,26,28,29,21,29,19,21,16,21,19,22,28,30,21,28,18,22
29,22,39,24,21,25,34,28,19,27,28,18,21,24,32,28,25,26,27,35,23,27,28,28,20,29,21,21,19,23,20,27,29,29,22,29,20
30,16,22,38,26,24,26,35,31,21,25,29,18,19,24,33,25,22,25,24,39,23,26,29,28,24,27,21,20,18,23,23,26,30,28,24,27
31,34,16,21,38,25,22,27,31,28,18,28,29,21,18,20,33,25,24,28,23,37,21,28,31,25,24,27,22,20,18,34,22,27,33,27,26
32,30,31,16,22,38,27,23,30,29,28,19,29,29,20,18,20,27,24,25,30,25,40,23,29,32,27,22,26,24,20,27,37,22,29,33,31
33,29,30,32,15,21,39,25,21,30,31,27,18,27,29,23,18,21,26,24,27,32,30,41,22,31,29,26,20,30,24,32,30,41,22,31,31
34,23,30,32,34,14,21,39,27,21,29,32,26,18,26,29,22,20,23,27,26,32,29,30,38,22,31,25,28,19,26,31,29,30,38,22,31
35,24,23,30,31,34,14,23,39,26,25,29,31,25,20,25,30,20,20,26,25,26,35,31,31,39,23,32,22,27,21,27,33,32,31,40,22
36,14,25,22,31,29,30,16,22,36,28,26,30,29,25,19,27,31,20,19,26,24,26,32,35,32,40,22,32,27,29,24,27,30,34,32,39
37,25,15,25,21,28,27,31,16,21,36,31,26,29,27,21,19,27,32,19,20,26,22,27,30,31,33,40,20,31,28,26,22,27,29,31,33
38,17,26,15,25,22,29,29,32,17,21,39,31,26,28,28,21,19,24,28,19,23,27,21,28,31,31,32,38,19,25,23,28,21,28,31,31
39,20,15,27,15,27,24,27,29,32,19,25,40,34,26,26,24,21,18,23,29,18,25,27,23,31,28,31,32,38,21,17,24,28,23,30,28
40,20,20,15,25,17,26,24,27,29,33,19,25,40,33,23,26,25,22,17,22,26,18,26,26,24,31,29,32,33,38,25,18,25,27,24,31
41,30,19,19,16,28,16,25,23,26,28,35,18,25,38,30,23,23,24,22,17,22,27,23,27,27,23,30,25,33,33,21,26,22,25,28,23
42,32,28,17,20,15,28,17,25,23,25,28,33,20,26,39,32,24,23,23,22,17,21,29,26,23,29,24,29,25,32,16,22,28,24,23,30
43,37,31,29,18,20,14,28,20,27,25,27,26,32,20,26,37,33,22,22,28,25,17,22,30,26,23,29,25,28,24,26,16,24,28,24,23
44,27,36,31,28,17,21,15,27,18,26,28,28,27,33,19,25,36,34,21,23,28,26,17,22,27,24,19,29,29,29,28,28,16,24,26,23
45,29,27,36,29,28,18,22,15,25,18,26,28,25,28,32,18,23,36,33,26,23,29,28,18,23,29,22,19,29,28,23,29,30,17,25,28
46,27,28,28,37,29,28,17,20,14,25,18,26,28,25,28,31,18,25,35,32,26,20,32,29,14,25,27,22,18,30,27,21,32,31,14,26
47,25,26,26,27,37,31,29,19,20,15,23,17,26,27,24,26,30,20,25,34,32,28,20,31,30,14,25,26,21,18,30,29,21,32,32,14
48,20,28,27,26,28,38,27,29,16,20,14,23,16,25,27,23,25,31,20,25,33,32,29,20,29,30,14,26,26,21,33,31,30,20,31,31
49,26,20,26,26,26,26,38,27,30,19,19,14,22,15,27,27,22,25,34,20,25,32,33,31,20,30,30,13,28,27,26,32,32,31,21,32
50,24,26,23,27,28,23,25,38,27,31,19,19,14,22,15,27,29,23,23,35,20,26,33,34,31,20,30,29,13,25,20,27,34,33,32,21
51,30,24,26,24,27,26,24,25,39,27,32,20,19,13,21,15,26,28,23,23,35,20,28,32,34,33,21,30,29,13,34,20,29,33,33,34
52,25,29,22,25,26,27,26,24,23,39,28,32,20,19,14,22,15,27,28,23,24,35,20,26,32,35,32,22,30,29,24,35,20,27,33,34
53,24,25,29,23,26,25,27,27,22,23,39,27,33,20,18,13,22,13,28,28,23,25,37,20,26,32,37,30,21,30,23,25,37,20,27,33
54,31,23,26,31,22,24,25,27,27,22,22,38,27,31,19,19,12,23,13,29,28,23,24,34,22,28,31,37,28,24,27,23,24,34,22,28
55,24,30,23,25,28,22,22,25,27,26,21,22,37,27,31,20,19,12,22,12,29,28,21,23,31,22,29,31,34,29,28,27,21,23,31,22
56,27,24,30,23,26,27,25,21,23,28,28,21,23,35,27,30,21,19,12,22,12,30,28,20,23,32,22,27,30,34,12,30,27,20,23,32
57,29,29,25,31,23,27,27,22,20,24,28,28,19,21,35,27,28,20,19,12,24,12,30,28,20,22,32,18,26,29,24,12,30,26,19,22
58,21,28,28,25,33,22,25,27,22,21,25,29,27,19,21,34,28,27,19,19,12,26,11,29,28,18,21,30,19,26,12,25,11,30,27,18
59,23,22,25,30,25,28,21,25,27,20,21,25,29,26,19,21,34,26,27,19,19,13,25,11,29,27,18,18,27,19,18,13,24,11,30,25
60,12,24,22,25,29,24,29,22,26,26,20,21,25,26,26,20,21,32,26,25,20,19,15,27,10,29,27,19,18,25,20,18,15,25,10,30
61,18,13,25,21,25,29,24,29,21,26,27,19,22,25,26,24,22,19,31,25,23,18,21,15,27,10,28,26,19,18,24,19,20,15,25,10
62,7,18,13,24,21,24,30,24,29,21,27,29,19,20,25,27,24,22,19,32,25,23,19,21,15,27,10,27,24,20,25,24,19,20,15,26
63,4,7,18,13,24,20,25,29,23,29,20,26,29,21,19,24,25,23,20,19,32,25,26,19,18,15,24,10,27,24,32,25,25,19,18,15
64,10,4,7,18,14,24,20,24,29,25,27,20,24,30,20,20,24,22,22,20,20,32,25,25,19,18,15,24,10,27,21,32,25,24,19,18
65,9,10,4,7,17,14,23,19,24,27,23,29,19,23,28,20,20,23,21,22,20,18,31,25,22,18,18,15,24,10,20,19,31,25,22,18
66,20,9,11,5,8,15,14,23,19,24,27,21,28,18,22,27,17,20,22,22,22,21,16,31,24,21,16,18,15,24,23,21,17,31,24,21
67,10,20,9,12,5,6,15,13,21,18,25,28,22,28,18,21,26,17,20,22,22,22,20,17,30,25,21,16,18,15,23,23,20,17,30,24
68,15,7,18,10,10,4,7,14,13,22,18,23,26,22,29,18,21,26,17,20,20,21,22,21,17,30,23,22,16,18,20,22,23,21,17,30
69,13,14,7,19,9,9,3,7,15,13,21,15,22,26,22,28,18,21,27,17,19,19,20,21,22,17,29,23,21,15,20,18,21,22,22,17
70,12,15,14,6,19,8,9,4,7,14,13,18,15,19,25,22,27,19,22,26,16,19,19,20,21,21,17,28,22,22,17,20,19,21,22,21
71,15,13,15,13,6,16,8,9,3,5,17,13,17,16,19,23,21,26,19,21,25,16,19,19,18,20,19,17,28,20,24,17,20,19,18,21
72,14,15,13,13,13,7,14,8,9,3,3,17,12,16,13,19,23,20,25,18,20,23,16,19,19,16,22,18,17,27,19,22,17,20,19,16
73,22,12,13,13,11,13,8,15,7,10,3,3,16,12,17,10,18,23,18,23,18,18,24,15,18,18,16,22,18,18,18,18,23,16,19,18
74,6,21,11,12,13,10,13,6,15,5,8,3,3,15,12,15,10,17,22,18,22,18,19,24,17,17,16,16,22,18,22,17,18,23,17,18
75,12,6,19,9,12,12,10,13,5,13,5,8,3,3,13,10,15,9,17,19,18,23,17,18,24,16,17,14,16,21,18,22,16,17,23,16
76,13,10,6,19,10,10,11,10,12,6,14,3,7,3,2,15,10,14,9,17,20,19,23,14,17,23,16,16,13,13,19,18,22,14,16,22
77,7,13,11,4,18,8,10,11,11,13,6,14,2,7,3,2,14,9,13,9,13,19,19,21,12,16,21,16,16,13,14,18,17,20,12,15
78,6,5,13,9,3,13,8,9,11,7,9,4,14,2,7,3,2,14,9,14,9,14,18,18,19,12,16,20,16,14,9,14,17,16,18,12
79,4,8,5,13,10,6,14,9,6,10,7,8,3,13,2,6,3,2,14,9,13,9,13,14,17,19,12,15,20,15,13,9,13,13,16,18
80,4,5,6,6,15,9,5,11,8,7,11,7,5,3,11,2,5,3,2,14,8,9,10,11,14,17,17,11,12,20,8,10,9,11,13,16
81,2,1,4,6,5,11,8,3,12,8,3,11,6,3,3,10,2,4,3,3,14,5,10,7,12,13,15,16,11,11,13,6,10,7,11,11
82,2,1,0,5,5,4,8,8,2,10,7,2,10,6,3,3,10,1,4,3,3,11,6,10,8,10,11,14,14,11,4,11,6,9,7,10
83,2,0,1,1,2,3,3,5,9,1,9,5,2,10,6,3,2,10,1,4,3,5,11,6,9,7,9,8,13,13,3,5,11,6,8,7
84,0,0,0,1,0,2,3,3,5,6,1,6,4,2,8,5,3,1,10,3,4,1,5,11,5,6,6,6,7,12,4,1,5,11,5,7
85,2,2,1,1,1,1,2,2,2,3,7,1,6,1,1,7,5,3,1,10,2,4,1,5,7,5,7,6,5,6,3,4,1,5,8,5
86,2,1,1,1,2,2,2,2,2,2,6,7,1,5,0,4,4,4,4,2,6,2,4,2,4,6,5,6,6,5,6,3,4,2,4,7
87,1,1,1,1,1,1,1,1,2,2,4,5,6,1,5,0,4,4,4,4,2,6,2,4,2,4,6,4,5,5,2,6,3,4,2,4
