ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,8,5,6,3,2,9,5,11,2,3,9,7,7,10,8,8,11,2,8,7,10,10,10,5,8,13,6,6,14,8,10,10,10,5,8
1,3,3,8,4,6,4,2,7,4,9,3,4,10,7,9,10,10,8,11,2,8,6,8,10,9,5,9,13,5,6,6,7,9,10,9,5
2,5,3,3,9,5,6,4,2,8,5,7,3,4,10,7,9,11,10,8,10,1,9,6,9,10,9,5,10,12,6,1,7,7,9,10,8
3,5,5,3,3,8,5,6,4,2,8,5,7,3,4,10,7,10,11,11,9,10,2,9,6,10,10,10,9,10,14,11,2,6,7,9,10
4,11,6,4,3,4,8,5,7,5,2,9,5,10,3,5,10,10,11,11,10,9,12,3,8,6,10,11,10,9,10,9,12,3,6,7,8
5,9,11,5,6,3,4,7,5,8,4,2,9,5,10,3,5,10,11,12,11,11,10,14,3,8,7,9,10,10,8,11,10,14,3,6,7
6,13,10,12,5,7,2,4,7,5,6,6,3,9,5,10,3,6,10,11,14,11,11,11,14,5,7,7,10,9,11,11,11,10,15,4,6
7,11,13,10,12,5,7,2,4,9,5,6,6,4,9,5,10,3,6,10,13,14,12,10,11,14,3,6,9,11,9,14,12,11,11,14,3
8,14,12,13,9,11,5,6,2,4,8,5,8,6,4,9,5,11,3,7,10,13,13,11,10,11,14,3,5,9,11,13,13,11,11,11,14
9,13,14,12,13,7,11,5,7,2,4,7,5,8,5,4,9,5,12,3,7,9,11,13,11,10,11,13,3,5,7,9,12,12,11,11,11
10,8,13,14,12,13,8,10,5,7,2,5,7,5,9,7,4,9,5,12,3,8,10,11,13,11,10,11,14,3,5,8,9,12,12,10,10
11,13,8,12,14,11,13,7,11,5,8,2,5,7,6,9,6,4,10,6,11,4,10,10,11,15,10,10,11,13,3,6,9,10,12,14,10
12,5,13,8,12,14,12,14,7,10,5,9,2,5,7,6,9,7,6,10,6,10,4,10,10,11,15,10,11,10,13,10,6,9,10,12,13
13,10,6,13,8,11,14,11,14,7,10,5,9,3,5,8,6,8,7,6,11,6,10,4,10,10,11,14,10,10,10,6,10,6,9,10,12
14,16,10,6,12,8,11,13,10,14,6,11,5,9,3,5,8,6,8,8,6,11,7,11,6,10,11,10,15,10,10,11,8,11,8,9,11
15,12,15,10,6,12,8,11,12,10,14,6,11,5,8,3,5,8,7,8,8,7,11,7,11,6,10,11,10,15,10,7,11,8,11,7,9
16,7,13,16,12,6,12,8,11,12,10,16,8,10,7,8,3,4,8,7,8,8,7,11,8,10,6,10,11,11,14,7,7,12,8,10,8
17,12,5,13,16,12,6,11,8,10,12,11,16,8,10,8,8,3,4,7,7,9,8,7,11,8,10,7,12,11,11,9,7,7,12,8,10
18,8,12,5,14,16,10,8,12,8,11,11,11,16,8,10,7,8,4,4,7,7,11,8,8,11,9,10,8,13,11,7,10,7,7,12,9
19,13,7,13,5,14,17,10,6,13,8,9,11,11,16,9,10,7,8,6,4,7,7,12,10,9,11,9,10,8,12,7,7,11,8,8,12
20,14,13,8,14,5,13,17,10,6,11,8,8,9,10,16,9,12,7,8,5,4,8,8,12,10,9,12,9,11,8,4,8,9,11,8,8
21,9,14,12,9,13,4,13,16,10,6,12,8,8,10,10,16,10,12,7,7,5,4,8,6,10,9,9,13,9,11,4,4,8,8,10,7
